resource_code,name,type,category,unit,price_avg,price_min,price_max,price_median,price_variants,currency,avg_cost_per_use,avg_qty_per_use,usage_count,used_in_work_items,parent_category,parent_collection,parent_department,parent_section
870005,composite work-day,Labor,Labor,work-day,78.7,78.7,78.7,78.7,1,CNY,449.12,5.7067,7704,7704,建筑工程,General installation works - Vol.4 Electrical equipment installation,dry installation,() installation
840023,other tools cost,Equipment,General,CNY,0.0,0.0,0.0,0.0,0,CNY,11.93,13.1468,5840,5840,建筑工程,earthwork and rock works,rock works works,excavating general earthwork
840004,other materials cost,Material,General,CNY,0.0,0.0,0.0,0.0,0,CNY,6.98,6.9714,5546,5546,建筑工程,earthwork and rock works,backfill,foundation backfill
870003,composite work-day,Labor,Labor,work-day,87.9,87.9,87.9,87.9,1,CNY,22.54,0.2564,1585,1585,建筑工程,door and window works,metal door,ceiling
870002,composite work-day,Labor,Labor,work-day,83.2,83.2,83.2,83.2,1,CNY,126.33,1.5184,814,814,建筑工程,ground treatment and slope support,foundation pit,()
100321,diesel,Material,General,kg,8.98,8.98,8.98,8.98,1,CNY,53.93,6.0055,718,718,建筑工程,earthwork and rock works,rock works works,excavating general earthwork
090290,welding rod (composite),Material,Welding Consumables,kg,7.78,7.78,7.78,7.78,1,CNY,13.83,1.7775,690,690,建筑工程,ground treatment and slope support,foundation pit,section steel pile
870004,composite work-day,Labor,Labor,work-day,104.0,104.0,104.0,104.0,1,CNY,90.25,0.8678,589,589,建筑工程,floor finishing works,floor tiling,ground
110057,drier,Material,General,kg,19.0,19.0,19.0,19.0,1,CNY,0.05,0.0026,542,542,建筑工程,"painting, coating and paper-hanging works",timber handrail and other items slab strips and mouldings paint,"metal door, window paint"
800138,mortar mixer 200L,Equipment,General,machine-shift,11.0,11.0,11.0,11.0,1,CNY,0.09,0.0086,530,530,建筑工程,ground treatment and slope support,foundation pit,nail
870006,composite work-day,Labor,Labor,work-day,96.6,96.6,96.6,96.6,1,CNY,2745.28,28.4191,414,414,建筑工程,General installation works - Vol.4 Electrical equipment installation,height electricity,electricity
850108,electricity,Equipment,General,machine-shift,18.17,18.17,18.17,18.17,1,CNY,117.14,6.4467,399,399,建筑工程,General installation works - Vol.5 Building intelligence systems,installation,installation
030001,sawn timber,Material,Wood & Timber,m3,1900.0,1900.0,1900.0,1900.0,1,CNY,25.89,0.0136,392,392,建筑工程,ground treatment and slope support,precast concrete column,profile and other items roof
800011,welding machine (composite),Equipment,Welding Equip.,machine-shift,18.6,18.6,18.6,18.6,1,CNY,3.3,0.1773,389,389,建筑工程,piling works,bored pile,profile and other items roof
110120,acetylene gas,Material,Chemicals,m3,28.0,28.0,28.0,28.0,1,CNY,12.0,0.4285,324,324,建筑工程,ground treatment and slope support,foundation pit,()
110499,acrylic paint thinner,Material,Paint & Coatings,kg,14.6,14.6,14.6,14.6,1,CNY,0.55,0.0374,321,321,建筑工程,"painting, coating and paper-hanging works",timber handrail and other items slab strips and mouldings paint,"metal door, window paint"
110121,oxygen,Material,Chemicals,m3,3.6,3.6,3.6,3.6,1,CNY,2.87,0.7981,315,315,建筑工程,ground treatment and slope support,foundation pit,()
840021,materials cost,Material,General,CNY,0.0,0.0,0.0,0.0,0,CNY,26.69,26.686,269,269,建筑工程,General installation works - Vol.6 Automation control instrumentation,and with,single
800045,rotary hammer 520W,Equipment,General,machine-shift,3.96,3.96,3.96,3.96,1,CNY,0.42,0.1064,222,222,建筑工程,door and window works,metal door,decorative wall plastering
850002,34401A,Equipment,General,machine-shift,17.5,17.5,17.5,17.5,1,CNY,35.39,2.0225,219,219,建筑工程,General installation works - Vol.4 Electrical equipment installation,height electricity,height electricity
870001,composite work-day,Labor,Labor,work-day,74.3,74.3,74.3,74.3,1,CNY,69.09,0.9299,206,206,建筑工程,earthwork and rock works,rock works works,excavating general earthwork
800102,truck crane 16t,Equipment,Cranes,machine-shift,915.2,915.2,915.2,915.2,1,CNY,43.93,0.048,198,198,建筑工程,ground treatment and slope support,foundation pit,section steel pile
850125,F-87,Equipment,General,machine-shift,6.8,6.8,6.8,6.8,1,CNY,57.37,8.4372,185,185,建筑工程,General installation works - Vol.4 Electrical equipment installation,electricity,electricity
800073,stone cutter,Equipment,General,machine-shift,23.2,23.2,23.2,23.2,1,CNY,0.31,0.0135,179,179,建筑工程,roofing and waterproofing works,anti-corrosion finish layer,profile and other items roof
280120,6,Material,General,pcs,3.39,3.39,3.39,3.39,1,CNY,6.88,2.03,173,173,建筑工程,General installation works - Vol.4 Electrical equipment installation,electricity installation,mesh installation
010023,galvanized flat steel,Material,Steel & Metal,kg,5.22,5.22,5.22,5.22,1,CNY,13.72,2.6293,165,165,建筑工程,General installation works - Vol.4 Electrical equipment installation,dry installation,() installation
800186,hand drill 0.5kW,Equipment,General,machine-shift,1.15,1.15,1.15,1.15,1,CNY,0.08,0.0667,158,158,建筑工程,door and window works,metal door,stone slab beam surface
100040,paint white spirit,Material,Paint & Coatings,kg,18.0,18.0,18.0,18.0,1,CNY,0.51,0.0282,158,158,建筑工程,floor finishing works,timber handrail and other items slab strips and mouldings paint,"metal door, window paint"
