resource_code,name,type,category,unit,price_avg,price_min,price_max,price_median,price_variants,currency,avg_cost_per_use,avg_qty_per_use,usage_count,used_in_work_items,parent_category,parent_collection,parent_department,parent_section
870005,jornada laboral compuesta,Labor,Labor,work-day,13140.21,13140.21,13140.21,13140.21,1,ARS,74987.13,5.7067,7704,7704,建筑工程,Trabajos generales de instalación - Vol.4 Instalación de equipos eléctricos,instalación en seco,instalación
840023,otros costos de herramientas,Equipment,General,CNY,0.0,0.0,0.0,0.0,0,ARS,1992.39,13.1468,5840,5840,建筑工程,trabajos de movimiento de tierra y roca,trabajos de roca,excavación de movimientos de tierra generales
840004,otros costos de materiales,Material,General,CNY,0.0,0.0,0.0,0.0,0,ARS,1165.38,6.9714,5546,5546,建筑工程,trabajos de movimiento de tierra y roca,relleno,relleno de cimientos
870003,jornada laboral compuesta,Labor,Labor,work-day,14676.3,14676.3,14676.3,14676.3,1,ARS,3762.84,0.2564,1585,1585,建筑工程,trabajos de puertas y ventanas,puerta de metal,techo
870002,jornada laboral compuesta,Labor,Labor,work-day,13891.56,13891.56,13891.56,13891.56,1,ARS,21092.62,1.5184,814,814,建筑工程,tratamiento del terreno y soporte de taludes,foso de cimentación,()
100321,diésel,Material,General,kg,1499.35,1499.35,1499.35,1499.35,1,ARS,9004.36,6.0055,718,718,建筑工程,trabajos de movimiento de tierra y roca,trabajos de roca,excavación de movimientos de tierra generales
090290,varilla de soldadura (compuesta),Material,Welding Consumables,kg,1298.99,1298.99,1298.99,1298.99,1,ARS,2308.93,1.7775,690,690,建筑工程,tratamiento del terreno y soporte de taludes,foso de cimentación,pilote de acero de sección
870004,jornada laboral compuesta,Labor,Labor,work-day,17364.45,17364.45,17364.45,17364.45,1,ARS,15069.1,0.8678,589,589,建筑工程,trabajos de acabado de suelos,loseta de suelo,suelo
110057,secador,Material,General,kg,3172.35,3172.35,3172.35,3172.35,1,ARS,8.27,0.0026,542,542,建筑工程,"trabajos de pintura, recubrimiento y papel pintado","pasamanos de madera y otros elementos, láminas, tiras y molduras, pintura","pintura para puertas metálicas, ventanas"
800138,mezclador de mortero 200L,Equipment,General,machine-shift,1836.62,1836.62,1836.62,1836.62,1,ARS,15.78,0.0086,530,530,建筑工程,tratamiento del terreno y soporte de taludes,foso de cimentación,clavo
870006,jornada laboral compuesta,Labor,Labor,work-day,16128.9,16128.9,16128.9,16128.9,1,ARS,458368.01,28.4191,414,414,建筑工程,Trabajos generales de instalación - Vol.4 Instalación de equipos eléctricos,altura electricidad,electricidad
850108,electricidad,Equipment,General,machine-shift,3033.77,3033.77,3033.77,3033.77,1,ARS,19557.78,6.4467,399,399,建筑工程,Trabajos generales de instalación - Vol.5 Sistemas de inteligencia de edificios,instalación,instalación
030001,madera aserrada,Material,Wood & Timber,m3,317235.06,317235.06,317235.06,317235.06,1,ARS,4322.89,0.0136,392,392,建筑工程,tratamiento del terreno y soporte de taludes,columna de concreto prefabricado,perfil y otros elementos techo
800011,máquina de soldar (compuesta),Equipment,Welding Equip.,machine-shift,3105.56,3105.56,3105.56,3105.56,1,ARS,550.58,0.1773,389,389,建筑工程,trabajos de pilotes,pilote de pilote,perfil y otros elementos techo
110120,gas de acetileno,Material,Chemicals,m3,4675.04,4675.04,4675.04,4675.04,1,ARS,2003.27,0.4285,324,324,建筑工程,tratamiento del terreno y soporte de taludes,foso de cimentación,()
110499,diluyente de pintura acrílica,Material,Paint & Coatings,kg,2437.7,2437.7,2437.7,2437.7,1,ARS,91.15,0.0374,321,321,建筑工程,"trabajos de pintura, recubrimiento y papel pintado","pasamanos de madera y otros elementos, láminas, tiras y molduras, pintura","pintura para puertas metálicas, ventanas"
110121,oxígeno,Material,Chemicals,m3,601.08,601.08,601.08,601.08,1,ARS,479.74,0.7981,315,315,建筑工程,tratamiento del terreno y soporte de taludes,foso de cimentación,()
840021,coste de materiales,Material,General,CNY,0.0,0.0,0.0,0.0,0,ARS,4455.65,26.686,269,269,建筑工程,Trabajos generales de instalación - Vol.6 Control de automatización e instrument,y con,único
800045,martillo rotatorio 520W,Equipment,General,machine-shift,661.18,661.18,661.18,661.18,1,ARS,70.35,0.1064,222,222,建筑工程,trabajos de puertas y ventanas,puerta de metal,revoque decorativo de paredes
850002,34401A,Equipment,General,machine-shift,2921.9,2921.9,2921.9,2921.9,1,ARS,5909.57,2.0225,219,219,建筑工程,Trabajos generales de instalación - Vol.4 Instalación de equipos eléctricos,altura electricidad,altura electricidad
870001,jornada laboral compuesta,Labor,Labor,work-day,12405.56,12405.56,12405.56,12405.56,1,ARS,11536.18,0.9299,206,206,建筑工程,trabajos de movimiento de tierra y roca,trabajos de roca,excavación de movimientos de tierra generales
800102,grúa móvil 16t,Equipment,Cranes,machine-shift,152807.12,152807.12,152807.12,152807.12,1,ARS,7335.56,0.048,198,198,建筑工程,tratamiento del terreno y soporte de taludes,foso de cimentación,pilote de acero de sección
850125,F-87,Equipment,General,machine-shift,1135.37,1135.37,1135.37,1135.37,1,ARS,9579.34,8.4372,185,185,建筑工程,Trabajos generales de instalación - Vol.4 Instalación de equipos eléctricos,electricidad,electricidad
800073,cortador de piedra,Equipment,General,machine-shift,3873.61,3873.61,3873.61,3873.61,1,ARS,52.15,0.0135,179,179,建筑工程,trabajos de techado y impermeabilización,capa de acabado anticorrosiva,perfil y otros elementos techo
280120,6,Material,General,pcs,566.01,566.01,566.01,566.01,1,ARS,1149.01,2.03,173,173,建筑工程,Trabajos generales de instalación - Vol.4 Instalación de equipos eléctricos,instalación eléctrica,instalación de malla
010023,acero plano galvanizado,Material,Steel & Metal,kg,871.56,871.56,871.56,871.56,1,ARS,2291.6,2.6293,165,165,建筑工程,Trabajos generales de instalación - Vol.4 Instalación de equipos eléctricos,instalación en seco,instalación
800186,taladro manual 0.5kW,Equipment,General,machine-shift,192.01,192.01,192.01,192.01,1,ARS,12.81,0.0667,158,158,建筑工程,trabajos de puertas y ventanas,puerta de metal,superficie de viga de losa de piedra
100040,pintura de espíritu blanco,Material,Paint & Coatings,kg,3005.38,3005.38,3005.38,3005.38,1,ARS,84.68,0.0282,158,158,建筑工程,trabajos de acabado de suelos,"pasamanos de madera y otros elementos, láminas, tiras y molduras, pintura","pintura para puertas metálicas, ventanas"
800033,Soldador de CA de 32 kVA,Equipment,Welding Equip.,machine-shift,2504.49,2504.49,2504.49,2504.49,1,ARS,1439.23,0.5747,157,157,建筑工程,tratamiento del terreno y soporte de taludes,foso de cimentación,pilote de acero de sección
800148,taladro eléctrico 1kW,Equipment,General,machine-shift,768.04,768.04,768.04,768.04,1,ARS,166.31,0.2165,152,152,建筑工程,trabajos de puertas y ventanas,"puerta, puerta",superficie decorativa de columna (viga)
110060,sellador de silicona (sellador),Material,Rubber,pcs,1135.37,1135.37,1135.37,1135.37,1,ARS,701.87,0.6182,149,149,建筑工程,trabajos de puertas y ventanas,zócalo,superficie de columna de losa de piedra
800278,camión de carga 15t,Equipment,Trucks,machine-shift,65600.87,65600.87,65600.87,65600.87,1,ARS,2624.3,0.04,145,145,建筑工程,preliminares y medidas del sitio,encofrado y soportes de hormigón in situ,andamios
150007,electricidad,Material,General,kWh,212.05,212.05,212.05,212.05,1,ARS,1731.45,8.1654,143,143,建筑工程,tratamiento del terreno y soporte de taludes,foso de cimentación,muro de tierra
840027,coste amortizado de materiales,Material,General,CNY,0.0,0.0,0.0,0.0,0,ARS,11511.24,68.9437,142,142,建筑工程,preliminares y medidas del sitio,encofrado y soportes de hormigón in situ,andamios
840028,coste de materiales de alquiler,Material,General,CNY,0.0,0.0,0.0,0.0,0,ARS,3212.91,19.2429,142,142,建筑工程,preliminares y medidas del sitio,encofrado y soportes de hormigón in situ,andamios
350011,moulding BV-6,Material,General,m,659.52,659.52,659.52,659.52,1,ARS,1358.64,2.0601,140,140,建筑工程,Trabajos generales de instalación - Vol.5 Sistemas de inteligencia de edificios,instalación,instalación de malla
800007,camión de carga 5t,Equipment,Trucks,machine-shift,32307.89,32307.89,32307.89,32307.89,1,ARS,2553.02,0.079,140,140,建筑工程,Trabajos generales de instalación - Vol.4 Instalación de equipos eléctricos,instalación eléctrica de altura,instalación
090263,conexiones de hierro,Material,Steel & Metal,kg,751.35,751.35,751.35,751.35,1,ARS,18692.33,24.8784,137,137,建筑工程,trabajos de pilotes,mampostería de bloques,agua de cubierta
280122,16,Material,General,pcs,1132.03,1132.03,1132.03,1132.03,1,ARS,2917.83,2.5775,135,135,建筑工程,Trabajos generales de instalación - Vol.4 Instalación de equipos eléctricos,instalación eléctrica,instalación de embebido eléctrico
090045,galvanizado 8,Material,General,pcs,1.67,1.67,1.67,1.67,1,ARS,8.11,4.8598,130,130,建筑工程,Trabajos generales de instalación - Vol.4 Instalación de equipos eléctricos,instalación eléctrica,instalación
800014,cabrestante eléctrico de 5t,Equipment,Hoists,machine-shift,18833.74,18833.74,18833.74,18833.74,1,ARS,7546.42,0.4007,129,129,建筑工程,Trabajos generales de instalación - Vol.7 Ventilación y aire acondicionado,y instalación,instalación
850009,electricidad 3141,Equipment,General,machine-shift,1046.88,1046.88,1046.88,1046.88,1,ARS,491.37,0.4694,128,128,建筑工程,Trabajos generales de instalación - Vol.4 Instalación de equipos eléctricos,electricidad,electricidad
090029,galvanizado 8,Material,General,pcs,18.37,18.37,18.37,18.37,1,ARS,175.23,9.541,127,127,建筑工程,trabajos de cielorraso,techo suspendido,quilla de techo
090030,galvanizado 10,Material,General,pcs,18.37,18.37,18.37,18.37,1,ARS,192.76,10.4954,121,121,建筑工程,Trabajos generales de instalación - Vol.4 Instalación de equipos eléctricos,instalación de altura,instalación
110152,adhesivo de contacto,Material,General,kg,2254.04,2254.04,2254.04,2254.04,1,ARS,652.34,0.2894,120,120,建筑工程,trabajos de puertas y ventanas,losa de ventana,cubierta ()
110321,agua,Material,Water,kg,1073.59,1073.59,1073.59,1073.59,1,ARS,58.49,0.0545,117,117,建筑工程,Trabajos generales de instalación - Vol.5 Sistemas de inteligencia de edificios,instalación,instalación
010138,placa de cojín,Material,General,kg,764.7,764.7,764.7,764.7,1,ARS,1659.59,2.1702,116,116,建筑工程,trabajos de pilotes,columna de concreto prefabricado,perfil y otros elementos techo
020003,cemento blanco,Material,Concrete & Cement,kg,158.62,158.62,158.62,158.62,1,ARS,95.58,0.6026,116,116,建筑工程,"acabados de paredes y columnas, particiones y muros cortina",capa de cara de bloque de pared,superficie de pared de losa de piedra
010016,acero angular 63 dentro,Material,Steel & Metal,kg,612.76,612.76,612.76,612.76,1,ARS,3498.86,5.71,115,115,建筑工程,trabajos de techado y impermeabilización,revestimiento de columna (viga),perfil y otros elementos techo
150122,cuchilla de cortadora de piedra,Equipment,General,pcs,1335.73,1335.73,1335.73,1335.73,1,ARS,45.2,0.0338,113,113,建筑工程,"acabados de paredes y columnas, particiones y muros cortina",capa de cara de bloque de pared,superficie de pared de losa de piedra
090174,placa de cojín,Material,General,kg,634.47,634.47,634.47,634.47,1,ARS,2267.55,3.5739,113,113,建筑工程,Trabajos generales de instalación - Vol.4 Instalación de equipos eléctricos,instalación en seco,instalación
110570,imprimador de madera a base de aceite acrílico,Material,Wood & Timber,kg,2671.45,2671.45,2671.45,2671.45,1,ARS,292.29,0.1094,112,112,建筑工程,"trabajos de pintura, recubrimiento y papel pintado","pasamanos de madera y otros elementos, láminas, tiras y molduras, pintura",pintura de pasamanos de madera
110769,imprimador de madera nitrocelulósico diluyente,Material,Wood & Timber,kg,5843.8,5843.8,5843.8,5843.8,1,ARS,107.31,0.0184,112,112,建筑工程,"trabajos de pintura, recubrimiento y papel pintado","pasamanos de madera y otros elementos, láminas, tiras y molduras, pintura",pintura de pasamanos de madera
350237,moldeo de suelo,Material,General,m,2504.49,2504.49,2504.49,2504.49,1,ARS,1650.39,0.659,111,111,建筑工程,Trabajos generales de instalación - Vol.4 Instalación de equipos eléctricos,instalación eléctrica,instalación de embebido eléctrico
110172,gasolina,Material,General,kg,1576.16,1576.16,1576.16,1576.16,1,ARS,26602.26,16.8779,109,109,建筑工程,tratamiento del terreno y soporte de taludes,impermeabilización de techos y menudencias,impermeabilización de membrana de techo
400034,mortero DS,Material,Concrete & Cement,m3,76637.31,76637.31,76637.31,76637.31,1,ARS,2056.7,0.0268,107,107,建筑工程,trabajos de albañilería,capa de enmascarado,perfil y otros elementos techo
110593,imprimación de poliuretano diluyente,Material,Paint & Coatings,kg,2437.7,2437.7,2437.7,2437.7,1,ARS,54.95,0.0225,106,106,建筑工程,"trabajos de pintura, recubrimiento y papel pintado","pasamanos de madera y otros elementos, láminas, tiras y molduras, pintura","pintura para puertas metálicas, ventanas"
110132,latex,Material,General,kg,1085.28,1085.28,1085.28,1085.28,1,ARS,1008.39,0.9292,106,106,建筑工程,trabajos de estructura de madera,madera estructural,revestimiento decorativo de superficie de pared
020001,cemento (compuesto),Material,Concrete & Cement,kg,66.79,66.79,66.79,66.79,1,ARS,2135.21,31.9707,101,101,建筑工程,trabajos de pilotes,pilote de pilote,capa de acabado de mortero anticorrosivo
090503,clavo galvanizado M6,Equipment,General,set,75.13,75.13,75.13,75.13,1,ARS,298.03,3.9667,100,100,建筑工程,Trabajos generales de instalación - Vol.5 Sistemas de inteligencia de edificios,instalación,instalación eléctrica
