resource_code,name,type,category,unit,price_avg,price_min,price_max,price_median,price_variants,currency,avg_cost_per_use,avg_qty_per_use,usage_count,used_in_work_items,parent_category,parent_collection,parent_department,parent_section
870005,композитен работен ден,Labor,Labor,work-day,9.4,9.4,9.4,9.4,1,BGN,53.63,5.7067,7704,7704,建筑工程,Общи инсталационни работи - Том 4 Инсталация на електрическо оборудване,суха инсталация,монтаж
840023,други инструменти разходи,Equipment,General,CNY,0.0,0.0,0.0,0.0,0,BGN,1.42,13.1468,5840,5840,建筑工程,земни работи и скални работи,скални работи,изкопни работи с обща земна маса
840004,други материали разходи,Material,General,CNY,0.0,0.0,0.0,0.0,0,BGN,0.83,6.9714,5546,5546,建筑工程,земни работи и скални работи,запълване,запълване на основи
870003,композитен работен ден,Labor,Labor,work-day,10.5,10.5,10.5,10.5,1,BGN,2.69,0.2564,1585,1585,建筑工程,работи по врати и прозорци,метална врата,таван
870002,композитен работен ден,Labor,Labor,work-day,9.93,9.93,9.93,9.93,1,BGN,15.08,1.5184,814,814,建筑工程,обработка на терена и подпорна стена,фундаментна яма,()
100321,дизел,Material,General,kg,1.07,1.07,1.07,1.07,1,BGN,6.44,6.0055,718,718,建筑工程,земни работи и скални работи,скални работи,изкопни работи с обща земна маса
090290,електрод (композитен),Material,Welding Consumables,kg,0.93,0.93,0.93,0.93,1,BGN,1.65,1.7775,690,690,建筑工程,обработка на терена и подпорна стена,фундаментна яма,сечение стоманен пилот
870004,композитен работен ден,Labor,Labor,work-day,12.42,12.42,12.42,12.42,1,BGN,10.78,0.8678,589,589,建筑工程,работи по завършване на пода,плочки за под,подова настилка
110057,сушилня,Material,General,kg,2.27,2.27,2.27,2.27,1,BGN,0.01,0.0026,542,542,建筑工程,"работи по боядисване, покритие и тапетиране","дървена парапет и други елементи, плочи, ленти и корнизи, боя","метална врата, боя за прозорци"
800138,миксер за хоросан 200L,Equipment,General,machine-shift,1.31,1.31,1.31,1.31,1,BGN,0.01,0.0086,530,530,建筑工程,обработка на терена и подпорна стена,фундаментна яма,гвозде
870006,композитен работен ден,Labor,Labor,work-day,11.53,11.53,11.53,11.53,1,BGN,327.8,28.4191,414,414,建筑工程,Общи инсталационни работи - Том 4 Инсталация на електрическо оборудване,височинна електрическа инсталация,електричество
850108,електричество,Equipment,General,machine-shift,2.17,2.17,2.17,2.17,1,BGN,13.99,6.4467,399,399,建筑工程,Общи инсталационни работи - Том 5 Системи за сграден интелект,монтаж,монтаж
030001,обработен дървен материал,Material,Wood & Timber,m3,226.87,226.87,226.87,226.87,1,BGN,3.09,0.0136,392,392,建筑工程,обработка на терена и подпорна стена,предварително излята бетонна колона,профил и други елементи на покрива
800011,машина за заваряване (композитна),Equipment,Welding Equip.,machine-shift,2.22,2.22,2.22,2.22,1,BGN,0.39,0.1773,389,389,建筑工程,работи по сондаж,бурена колона,профил и други елементи на покрива
110120,ацетилен,Material,Chemicals,m3,3.34,3.34,3.34,3.34,1,BGN,1.43,0.4285,324,324,建筑工程,обработка на терена и подпорна стена,фундаментна яма,()
110499,акрилен разредител за боя,Material,Paint & Coatings,kg,1.74,1.74,1.74,1.74,1,BGN,0.07,0.0374,321,321,建筑工程,"работи по боядисване, покритие и тапетиране","дървена парапет и други елементи, плочи, ленти и корнизи, боя","метална врата, боя за прозорци"
110121,кислород,Material,Chemicals,m3,0.43,0.43,0.43,0.43,1,BGN,0.34,0.7981,315,315,建筑工程,обработка на терена и подпорна стена,фундаментна яма,()
840021,разходи за материали,Material,General,CNY,0.0,0.0,0.0,0.0,0,BGN,3.19,26.686,269,269,建筑工程,Общи инсталационни работи - Том 6 Автоматизация на контролни инструменти,и с,единичен
800045,ротационен чук 520W,Equipment,General,machine-shift,0.47,0.47,0.47,0.47,1,BGN,0.05,0.1064,222,222,建筑工程,работи по врати и прозорци,метална врата,декоративна стенна мазилка
850002,34401A,Equipment,General,machine-shift,2.09,2.09,2.09,2.09,1,BGN,4.23,2.0225,219,219,建筑工程,Общи инсталационни работи - Том 4 Инсталация на електрическо оборудване,височинна електрическа инсталация,височинна електрическа инсталация
870001,композитен работен ден,Labor,Labor,work-day,8.87,8.87,8.87,8.87,1,BGN,8.25,0.9299,206,206,建筑工程,земни работи и скални работи,скални работи,изкопни работи с обща земна маса
800102,кран камион 16t,Equipment,Cranes,machine-shift,109.28,109.28,109.28,109.28,1,BGN,5.25,0.048,198,198,建筑工程,обработка на терена и подпорна стена,фундаментна яма,сечение стоманен пилот
