resource_code,name,type,category,unit,price_avg,price_min,price_max,price_median,price_variants,currency,avg_cost_per_use,avg_qty_per_use,usage_count,used_in_work_items,parent_category,parent_collection,parent_department,parent_section
870005,composite work-day,Labor,Labor,work-day,27.02,27.02,27.02,27.02,1,CAD,154.22,5.7067,7704,7704,建筑工程,General installation works - Vol.4 Electrical equipment installation,dry installation,installation
840023,other tools cost,Equipment,General,CNY,0.0,0.0,0.0,0.0,0,CAD,4.1,13.1468,5840,5840,建筑工程,earthwork and rock works,rock works works,excavating general earthwork
840004,other materials cost,Material,General,CNY,0.0,0.0,0.0,0.0,0,CAD,2.4,6.9714,5546,5546,建筑工程,earthwork and rock works,backfill,foundation backfill
870003,composite work-day,Labor,Labor,work-day,30.18,30.18,30.18,30.18,1,CAD,7.74,0.2564,1585,1585,建筑工程,door and window works,metal door,ceiling
870002,composite work-day,Labor,Labor,work-day,28.57,28.57,28.57,28.57,1,CAD,43.38,1.5184,814,814,建筑工程,ground treatment and slope support,foundation pit,()
100321,diesel,Material,General,kg,3.08,3.08,3.08,3.08,1,CAD,18.52,6.0055,718,718,建筑工程,earthwork and rock works,rock works works,excavating general earthwork
090290,welding rod (composite),Material,Welding Consumables,kg,2.67,2.67,2.67,2.67,1,CAD,4.75,1.7775,690,690,建筑工程,ground treatment and slope support,foundation pit,section steel pile
870004,composite work-day,Labor,Labor,work-day,35.71,35.71,35.71,35.71,1,CAD,30.99,0.8678,589,589,建筑工程,floor finishing works,floor tiling,ground
110057,drier,Material,General,kg,6.52,6.52,6.52,6.52,1,CAD,0.02,0.0026,542,542,建筑工程,"painting, coating and wallpapering works",timber handrail and other items slab strips and mouldings paint,"metal door, window paint"
800138,mortar mixer 200L,Equipment,General,machine-shift,3.78,3.78,3.78,3.78,1,CAD,0.03,0.0086,530,530,建筑工程,ground treatment and slope support,foundation pit,nail
870006,composite work-day,Labor,Labor,work-day,33.17,33.17,33.17,33.17,1,CAD,942.66,28.4191,414,414,建筑工程,General installation works - Vol.4 Electrical equipment installation,height electricity,electricity
850108,electricity,Equipment,General,machine-shift,6.24,6.24,6.24,6.24,1,CAD,40.22,6.4467,399,399,建筑工程,General installation works - Vol.5 Building intelligence systems,installation,installation
030001,sawn timber,Material,Wood & Timber,m3,652.41,652.41,652.41,652.41,1,CAD,8.89,0.0136,392,392,建筑工程,ground treatment and slope support,precast concrete column,profile and other items roof
800011,welding machine (composite),Equipment,Welding Equip.,machine-shift,6.39,6.39,6.39,6.39,1,CAD,1.13,0.1773,389,389,建筑工程,Piling works,bored pile,profile and other items roof
110120,acetylene gas,Material,Chemicals,m3,9.61,9.61,9.61,9.61,1,CAD,4.12,0.4285,324,324,建筑工程,ground treatment and slope support,foundation pit,()
110499,acrylic paint thinner,Material,Paint & Coatings,kg,5.01,5.01,5.01,5.01,1,CAD,0.19,0.0374,321,321,建筑工程,"painting, coating and wallpapering works",timber handrail and other items slab strips and mouldings paint,"metal door, window paint"
110121,oxygen,Material,Chemicals,m3,1.24,1.24,1.24,1.24,1,CAD,0.99,0.7981,315,315,建筑工程,ground treatment and slope support,foundation pit,()
840021,materials cost,Material,General,CNY,0.0,0.0,0.0,0.0,0,CAD,9.16,26.686,269,269,建筑工程,General installation works - Vol.6 Automation control instrumentation,and with,single
800045,rotary hammer 520W,Equipment,General,machine-shift,1.36,1.36,1.36,1.36,1,CAD,0.14,0.1064,222,222,建筑工程,door and window works,metal door,decorative wall plastering
850002,34401A,Equipment,General,machine-shift,6.01,6.01,6.01,6.01,1,CAD,12.15,2.0225,219,219,建筑工程,General installation works - Vol.4 Electrical equipment installation,height electricity,height electricity
870001,composite work-day,Labor,Labor,work-day,25.51,25.51,25.51,25.51,1,CAD,23.72,0.9299,206,206,建筑工程,earthwork and rock works,rock works works,excavating general earthwork
800102,truck crane 16t,Equipment,Cranes,machine-shift,314.26,314.26,314.26,314.26,1,CAD,15.09,0.048,198,198,建筑工程,ground treatment and slope support,foundation pit,section steel pile
850125,F-87,Equipment,General,machine-shift,2.33,2.33,2.33,2.33,1,CAD,19.7,8.4372,185,185,建筑工程,General installation works - Vol.4 Electrical equipment installation,electricity,electricity
800073,stone cutter,Equipment,General,machine-shift,7.97,7.97,7.97,7.97,1,CAD,0.11,0.0135,179,179,建筑工程,roofing and waterproofing works,anti-corrosion finish layer,profile and other items roof
280120,6,Material,General,pcs,1.16,1.16,1.16,1.16,1,CAD,2.36,2.03,173,173,建筑工程,General installation works - Vol.4 Electrical equipment installation,electricity installation,mesh installation
010023,galvanized flat steel,Material,Steel & Metal,kg,1.79,1.79,1.79,1.79,1,CAD,4.71,2.6293,165,165,建筑工程,General installation works - Vol.4 Electrical equipment installation,dry installation,installation
800186,hand drill 0.5kW,Equipment,General,machine-shift,0.39,0.39,0.39,0.39,1,CAD,0.03,0.0667,158,158,建筑工程,door and window works,metal door,stone slab beam surface
100040,white spirit paint,Material,Paint & Coatings,kg,6.18,6.18,6.18,6.18,1,CAD,0.17,0.0282,158,158,建筑工程,floor finishing works,timber handrail and other items slab strips and mouldings paint,"metal door, window paint"
800033,AC welder 32kVA,Equipment,Welding Equip.,machine-shift,5.15,5.15,5.15,5.15,1,CAD,2.96,0.5747,157,157,建筑工程,ground treatment and slope support,foundation pit,section steel pile
800148,electric drill 1kW,Equipment,General,machine-shift,1.58,1.58,1.58,1.58,1,CAD,0.34,0.2165,152,152,建筑工程,door and window works,"door, door",column (beam) surface decorative
110060,silicone sealant (sealant),Material,Rubber,pcs,2.33,2.33,2.33,2.33,1,CAD,1.44,0.6182,149,149,建筑工程,door and window works,skirting,stone slab column surface
800278,cargo truck 15t,Equipment,Trucks,machine-shift,134.91,134.91,134.91,134.91,1,CAD,5.4,0.04,145,145,建筑工程,Preliminaries and site measures,cast-in-situ concrete formwork and brackets,scaffolding
150007,electricity,Material,General,kWh,0.44,0.44,0.44,0.44,1,CAD,3.56,8.1654,143,143,建筑工程,ground treatment and slope support,foundation pit,ground wall
840027,amortised materials cost,Material,General,CNY,0.0,0.0,0.0,0.0,0,CAD,23.67,68.9437,142,142,建筑工程,Preliminaries and site measures,cast-in-situ concrete formwork and brackets,scaffolding
840028,rental materials cost,Material,General,CNY,0.0,0.0,0.0,0.0,0,CAD,6.61,19.2429,142,142,建筑工程,Preliminaries and site measures,cast-in-situ concrete formwork and brackets,scaffolding
350011,moulding BV-6,Material,General,m,1.36,1.36,1.36,1.36,1,CAD,2.79,2.0601,140,140,建筑工程,General installation works - Vol.5 Building intelligence systems,installation,mesh installation
800007,cargo truck 5t,Equipment,Trucks,machine-shift,66.44,66.44,66.44,66.44,1,CAD,5.25,0.079,140,140,建筑工程,General installation works - Vol.4 Electrical equipment installation,height electricity installation,installation
090263,iron fittings,Material,Steel & Metal,kg,1.55,1.55,1.55,1.55,1,CAD,38.44,24.8784,137,137,建筑工程,Piling works,block masonry,roof water
280122,16,Material,General,pcs,2.33,2.33,2.33,2.33,1,CAD,6.0,2.5775,135,135,建筑工程,General installation works - Vol.4 Electrical equipment installation,electricity installation,electricity embedding installation
090045,galvanized 8,Material,General,pcs,0.0,0.0,0.0,0.0,1,CAD,0.02,4.8598,130,130,建筑工程,General installation works - Vol.4 Electrical equipment installation,electricity installation,installation
800014,electricity winch single 5t,Equipment,Hoists,machine-shift,38.73,38.73,38.73,38.73,1,CAD,15.52,0.4007,129,129,建筑工程,General installation works - Vol.7 Ventilation and air conditioning,and installation,installation
850009,electricity 3141,Equipment,General,machine-shift,2.15,2.15,2.15,2.15,1,CAD,1.01,0.4694,128,128,建筑工程,General installation works - Vol.4 Electrical equipment installation,electricity,electricity
090029,galvanized 8,Material,General,pcs,0.04,0.04,0.04,0.04,1,CAD,0.36,9.541,127,127,建筑工程,ceiling works,ceiling suspended ceiling,ceiling keel
090030,galvanized 10,Material,General,pcs,0.04,0.04,0.04,0.04,1,CAD,0.4,10.4954,121,121,建筑工程,General installation works - Vol.4 Electrical equipment installation,height installation,installation
110152,contact adhesive,Material,General,kg,4.64,4.64,4.64,4.64,1,CAD,1.34,0.2894,120,120,建筑工程,door and window works,window slab,roof ()
110321,water,Material,Water,kg,2.21,2.21,2.21,2.21,1,CAD,0.12,0.0545,117,117,建筑工程,General installation works - Vol.5 Building intelligence systems,installation,installation
010138,shim plate,Material,General,kg,1.57,1.57,1.57,1.57,1,CAD,3.41,2.1702,116,116,建筑工程,Piling works,precast concrete column,profile and other items roof
020003,white cement,Material,Concrete & Cement,kg,0.33,0.33,0.33,0.33,1,CAD,0.2,0.6026,116,116,建筑工程,"wall and column finishes, partitions and curtain walls",wall block-facing layer,stone slab wall surface
010016,angle steel 63 within,Material,Steel & Metal,kg,1.26,1.26,1.26,1.26,1,CAD,7.2,5.71,115,115,建筑工程,roofing and waterproofing works,column (beam) facing,profile and other items roof
150122,stone-cutter blade,Equipment,General,pcs,2.75,2.75,2.75,2.75,1,CAD,0.09,0.0338,113,113,建筑工程,"wall and column finishes, partitions and curtain walls",wall block-facing layer,stone slab wall surface
090174,shim plate,Material,General,kg,1.3,1.3,1.3,1.3,1,CAD,4.66,3.5739,113,113,建筑工程,General installation works - Vol.4 Electrical equipment installation,dry installation,installation
110570,oil-based acrylic woodwork primer,Material,Wood & Timber,kg,5.49,5.49,5.49,5.49,1,CAD,0.6,0.1094,112,112,建筑工程,"painting, coating and wallpapering works",timber handrail and other items slab strips and mouldings paint,timber handrail paint
110769,nitrocellulose woodwork primer thinner,Material,Wood & Timber,kg,12.02,12.02,12.02,12.02,1,CAD,0.22,0.0184,112,112,建筑工程,"painting, coating and wallpapering works",timber handrail and other items slab strips and mouldings paint,timber handrail paint
350237,ground moulding,Material,General,m,5.15,5.15,5.15,5.15,1,CAD,3.39,0.659,111,111,建筑工程,General installation works - Vol.4 Electrical equipment installation,electricity installation,electricity embedding installation
110172,petrol,Material,General,kg,3.24,3.24,3.24,3.24,1,CAD,54.71,16.8779,109,109,建筑工程,ground treatment and slope support,Roof waterproofing and sundries,roof membrane waterproofing
400034,DS mortar,Material,Concrete & Cement,m3,157.61,157.61,157.61,157.61,1,CAD,4.23,0.0268,107,107,建筑工程,Masonry works,blinding layer,profile and other items roof
110593,polyurethane primer thinner,Material,Paint & Coatings,kg,5.01,5.01,5.01,5.01,1,CAD,0.11,0.0225,106,106,建筑工程,"painting, coating and wallpapering works",timber handrail and other items slab strips and mouldings paint,"metal door, window paint"
110132,latex,Material,General,kg,2.23,2.23,2.23,2.23,1,CAD,2.07,0.9292,106,106,建筑工程,timber-structure works,timber structural,wall surface decorative slab
020001,cement (composite),Material,Concrete & Cement,kg,0.14,0.14,0.14,0.14,1,CAD,4.39,31.9707,101,101,建筑工程,Piling works,bored pile,anti-corrosion mortar finish layer
090503,galvanized nail M6,Equipment,General,set,0.15,0.15,0.15,0.15,1,CAD,0.61,3.9667,100,100,建筑工程,General installation works - Vol.5 Building intelligence systems,installation,electricity installation
830075,composite plywood formwork,Material,Wood & Timber,m2,10.3,10.3,10.3,10.3,1,CAD,0.95,0.0922,99,99,建筑工程,Preliminaries and site measures,cast-in-situ concrete formwork and brackets,foundation
110360,coal bitumen primer,Material,Paint & Coatings,kg,5.53,5.53,5.53,5.53,1,CAD,0.69,0.1245,99,99,建筑工程,"General installation works - Vol.12 Painting, anti-corrosion, thermal insulation",anti-corrosion,ordinary anti-corrosion brushing coating
040025,sand,Material,Aggregates,kg,0.02,0.02,0.02,0.02,1,CAD,1.82,75.7993,99,99,建筑工程,ground treatment and slope support,stone masonry,profile and other items roof
110361,coal bitumen topcoat,Material,Waterproofing,kg,5.53,5.53,5.53,5.53,1,CAD,5.59,1.0119,99,99,建筑工程,"General installation works - Vol.12 Painting, anti-corrosion, thermal insulation",anti-corrosion,ordinary anti-corrosion brushing coating
090278,alloy-steel drill bit,Material,Steel & Metal,pcs,10.3,10.3,10.3,10.3,1,CAD,1.97,0.1911,98,98,建筑工程,"wall and column finishes, partitions and curtain walls",wall block-facing layer,stone slab wall surface
850194,composite 2422,Equipment,General,machine-shift,10.47,10.47,10.47,10.47,1,CAD,48.21,4.6033,98,98,建筑工程,General installation works - Vol.6 Automation control instrumentation,and,(DCS)
090495,galvanized 10,Material,General,pcs,0.01,0.01,0.01,0.01,1,CAD,0.05,5.1336,97,97,建筑工程,General installation works - Vol.4 Electrical equipment installation,height installation,installation
840006,water,Material,Water,t,2.13,2.13,2.13,2.13,1,CAD,1.18,0.553,96,96,建筑工程,ground treatment and slope support,foundation pit,section steel pile
850201,electricity SB861,Equipment,General,machine-shift,15.14,15.14,15.14,15.14,1,CAD,8.54,0.5644,96,96,建筑工程,General installation works - Vol.6 Automation control instrumentation,and,single
400043,adhesive DTA mortar,Material,Concrete & Cement,m3,755.43,755.43,755.43,755.43,1,CAD,5.02,0.0066,96,96,建筑工程,door and window works,door window,profile and other items roof
800185,electric cutter,Equipment,General,machine-shift,9.55,9.55,9.56,9.55,2,CAD,0.45,0.0472,95,95,建筑工程,"wall and column finishes, partitions and curtain walls",wall facing,wall surface decorative slab
090233,galvanized iron wire 8 12,Material,Steel & Metal,kg,2.15,2.15,2.15,2.15,1,CAD,3.54,1.6515,95,95,建筑工程,concrete and reinforced concrete works,cast-in-situ concrete slab,timber ground slab
110546,thinner,Material,General,kg,11.67,11.67,11.67,11.67,1,CAD,1.2,0.1031,93,93,建筑工程,"General installation works - Vol.12 Painting, anti-corrosion, thermal insulation",anti-corrosion,paint
850180,DF-1,Equipment,General,machine-shift,4.34,4.34,4.34,4.34,1,CAD,23.08,5.3229,93,93,建筑工程,General installation works - Vol.6 Automation control instrumentation,mesh and,mesh
110586,alkyd enamel thinner,Material,Paint & Coatings,kg,3.67,3.67,3.67,3.67,1,CAD,0.06,0.016,90,90,建筑工程,"painting, coating and wallpapering works",timber handrail and other items slab strips and mouldings paint,timber handrail paint
110585,alkyd enamel,Material,Paint & Coatings,kg,5.56,5.56,5.56,5.56,1,CAD,0.86,0.1542,90,90,建筑工程,"painting, coating and wallpapering works",timber handrail and other items slab strips and mouldings paint,timber handrail paint
110174,200 petrol,Material,General,kg,2.15,2.15,2.15,2.15,1,CAD,0.12,0.0541,90,90,建筑工程,General installation works - Vol.4 Electrical equipment installation,rectangular brushing,water slab
110547,poly paint thinner,Material,Paint & Coatings,kg,4.64,4.64,4.64,4.64,1,CAD,0.22,0.0467,90,90,建筑工程,"General installation works - Vol.12 Painting, anti-corrosion, thermal insulation",,poly paint
110589,polyurethane topcoat thinner,Material,General,kg,5.01,5.01,5.01,5.01,1,CAD,0.12,0.0234,88,88,建筑工程,"painting, coating and wallpapering works",timber handrail and other items slab strips and mouldings paint,"metal door, window paint"
110583,alkyd enamel,Material,Paint & Coatings,kg,6.01,6.01,6.01,6.01,1,CAD,0.76,0.1266,86,86,建筑工程,"painting, coating and wallpapering works",timber handrail and other items slab strips and mouldings paint,timber handrail paint
110568,alkyd primer,Material,Paint & Coatings,kg,4.46,4.46,4.46,4.46,1,CAD,0.41,0.0912,86,86,建筑工程,"painting, coating and wallpapering works",timber handrail and other items slab strips and mouldings paint,timber handrail paint
850205,electricity PZ38,Equipment,General,machine-shift,1.62,1.62,1.62,1.62,1,CAD,9.13,5.6206,86,86,建筑工程,General installation works - Vol.6 Automation control instrumentation,mesh and,mesh
110584,alkyd enamel thinner,Material,Paint & Coatings,kg,3.67,3.67,3.67,3.67,1,CAD,0.05,0.0145,86,86,建筑工程,"painting, coating and wallpapering works",timber handrail and other items slab strips and mouldings paint,timber handrail paint
110564,oil-based clear sealer primer,Material,Paint & Coatings,kg,6.97,6.97,6.97,6.97,1,CAD,0.42,0.0608,86,86,建筑工程,"painting, coating and wallpapering works",timber handrail and other items slab strips and mouldings paint,timber handrail paint
010001,reinforcing steel 10 within,Material,Steel & Metal,kg,1.29,1.29,1.29,1.29,1,CAD,80.62,62.2772,85,85,建筑工程,ground treatment and slope support,foundation pit,nail
850258,composite D-063,Equipment,General,machine-shift,3.76,3.76,3.76,3.76,1,CAD,3.43,0.9118,85,85,建筑工程,General installation works - Vol.6 Automation control instrumentation,lock,single
010014,round bar 10 within,Material,General,kg,1.25,1.25,1.25,1.25,1,CAD,1.33,1.0639,84,84,建筑工程,other decoration works,moulding installation,(substrate)
110581,phenolic ready-mixed paint,Material,Paint & Coatings,kg,6.01,6.01,6.01,6.01,1,CAD,0.83,0.1379,84,84,建筑工程,"painting, coating and wallpapering works",timber handrail and other items slab strips and mouldings paint,timber handrail paint
110579,phenolic enamel,Material,Paint & Coatings,kg,4.98,4.98,4.98,4.98,1,CAD,0.67,0.1351,84,84,建筑工程,"painting, coating and wallpapering works",timber handrail and other items slab strips and mouldings paint,timber handrail paint
110572,nitrocellulose woodwork primer,Material,Wood & Timber,kg,6.35,6.35,6.35,6.35,1,CAD,0.42,0.0666,84,84,建筑工程,"painting, coating and wallpapering works",timber handrail and other items slab strips and mouldings paint,timber handrail paint
110580,phenolic enamel thinner,Material,Paint & Coatings,kg,5.32,5.32,5.32,5.32,1,CAD,0.11,0.0204,84,84,建筑工程,"painting, coating and wallpapering works",timber handrail and other items slab strips and mouldings paint,timber handrail paint
110573,polyurethane woodwork primer,Material,Wood & Timber,kg,7.73,7.73,7.73,7.73,1,CAD,0.61,0.0788,84,84,建筑工程,"painting, coating and wallpapering works",timber handrail and other items slab strips and mouldings paint,timber handrail paint
030007,plywood 5mm,Material,Wood & Timber,m2,5.22,5.22,5.22,5.22,1,CAD,5.46,1.0453,84,84,建筑工程,"wall and column finishes, partitions and curtain walls",wall facing,wall surface decorative slab
110582,phenolic ready-mixed paint thinner,Material,Paint & Coatings,kg,4.98,4.98,4.98,4.98,1,CAD,0.14,0.029,84,84,建筑工程,"painting, coating and wallpapering works",timber handrail and other items slab strips and mouldings paint,timber handrail paint
090176,shim plate,Material,General,kg,1.3,1.3,1.3,1.3,1,CAD,25.29,19.381,82,82,建筑工程,General installation works - Vol.7 Ventilation and air conditioning,installation,water installation
110569,alkyd primer thinner,Material,Paint & Coatings,kg,4.98,4.98,4.98,4.98,1,CAD,0.04,0.0087,82,82,建筑工程,"painting, coating and wallpapering works",timber handrail and other items slab strips and mouldings paint,timber handrail paint
090160,expansion bolt 10,Material,Fasteners,set,0.85,0.85,0.85,0.85,1,CAD,4.81,5.6749,82,82,建筑工程,ceiling works,ceiling suspended ceiling,ceiling keel
090175,flat shim plate,Material,General,kg,1.3,1.3,1.3,1.3,1,CAD,19.65,15.0586,82,82,建筑工程,General installation works - Vol.7 Ventilation and air conditioning,installation,water installation
800024,air compressor 6m3/min,Equipment,Compressors,machine-shift,11.16,11.16,11.16,11.16,1,CAD,0.58,0.0523,81,81,建筑工程,metal-structure works,steel frame,roof membrane waterproofing
330026,moulding,Material,General,Package,51.51,51.51,51.51,51.51,1,CAD,1.14,0.0222,81,81,建筑工程,General installation works - Vol.5 Building intelligence systems,installation,() moulding
110565,water-based clear sealer primer,Material,Paint & Coatings,kg,6.35,6.35,6.35,6.35,1,CAD,0.21,0.0325,78,78,建筑工程,"painting, coating and wallpapering works",timber handrail and other items slab strips and mouldings paint,timber handrail paint
090273,iron fittings,Material,Steel & Metal,kg,1.41,1.41,1.41,1.41,1,CAD,29.65,21.0596,77,77,建筑工程,concrete and reinforced concrete works,reinforcing steel works,GRC decorative moulding
110561,woodwork putty,Material,Wood & Timber,kg,2.06,2.06,2.06,2.06,1,CAD,0.58,0.2795,76,76,建筑工程,"painting, coating and wallpapering works",timber handrail and other items slab strips and mouldings paint,timber handrail paint
110576,oil-based acrylic topcoat,Material,General,kg,9.61,9.61,9.61,9.61,1,CAD,1.29,0.1338,76,76,建筑工程,"painting, coating and wallpapering works",timber handrail and other items slab strips and mouldings paint,"metal door, window paint"
110500,polyurethane woodwork topcoat,Material,Wood & Timber,kg,12.7,12.7,12.7,12.7,1,CAD,1.37,0.108,76,76,建筑工程,"painting, coating and wallpapering works",timber handrail and other items slab strips and mouldings paint,timber handrail paint
110567,phenolic primer thinner,Material,Paint & Coatings,kg,4.64,4.64,4.64,4.64,1,CAD,0.06,0.0133,76,76,建筑工程,"painting, coating and wallpapering works",timber handrail and other items slab strips and mouldings paint,timber handrail paint
110248,thinner,Material,General,kg,4.5,4.5,4.5,4.5,1,CAD,0.26,0.0579,75,75,建筑工程,"General installation works - Vol.12 Painting, anti-corrosion, thermal insulation",,H8701 anti-corrosion coating
110020,anti-rust paint,Material,Paint & Coatings,kg,5.6,5.6,5.6,5.6,1,CAD,0.24,0.0421,74,74,建筑工程,"painting, coating and wallpapering works",metal surface paint,"metal door, window paint"
400031,plastering mortar DP-MR,Material,Concrete & Cement,m3,151.77,151.77,151.77,151.77,1,CAD,1.0,0.0066,73,73,建筑工程,roofing and waterproofing works,"wall surface waterproofing, moisture-proofing",wall surface mortar waterproofing (moisture-proofing)
800010,composite,Equipment,General,machine-shift,143.29,143.29,143.29,143.29,1,CAD,22.47,0.1568,73,73,建筑工程,General installation works - Vol.7 Ventilation and air conditioning,and installation,installation
110566,phenolic primer,Material,Paint & Coatings,kg,3.88,3.88,3.88,3.88,1,CAD,0.26,0.0676,72,72,建筑工程,"painting, coating and wallpapering works",timber handrail and other items slab strips and mouldings paint,timber handrail paint
830076,steel formwork,Material,Steel & Metal,m2-day,0.12,0.12,0.12,0.12,1,CAD,1.43,11.8833,71,71,建筑工程,Preliminaries and site measures,cast-in-situ concrete formwork and brackets,foundation
090188,nail,Material,Fasteners,pcs,0.01,0.01,0.01,0.01,1,CAD,0.09,6.8854,70,70,建筑工程,metal-structure works,"steel plate floor slab, wall slab",and
110587,nitrocellulose woodwork topcoat,Material,Wood & Timber,kg,7.04,7.04,7.04,7.04,1,CAD,0.83,0.1175,70,70,建筑工程,"painting, coating and wallpapering works",timber handrail and other items slab strips and mouldings paint,timber handrail paint
090121,galvanized with bolt 8×(30 60),Material,Fasteners,set,0.14,0.14,0.14,0.14,1,CAD,1.2,8.5273,70,70,建筑工程,roofing and waterproofing works,installation,bonding structural roof
110588,nitrocellulose woodwork topcoat thinner,Material,Wood & Timber,kg,5.67,5.67,5.67,5.67,1,CAD,0.08,0.0147,70,70,建筑工程,"painting, coating and wallpapering works",timber handrail and other items slab strips and mouldings paint,timber handrail paint
090159,expansion bolt 8,Material,Fasteners,set,0.39,0.39,0.39,0.39,1,CAD,1.82,4.6487,69,69,建筑工程,roofing and waterproofing works,Roof waterproofing and sundries,roof ()
030011,slab,Material,General,m2,12.02,12.02,12.02,12.02,1,CAD,35.31,2.9382,68,68,建筑工程,door and window works,door window,wall surface decorative slab
090125,galvanized with bolt 10×(40 60),Material,Fasteners,set,0.22,0.22,0.22,0.22,1,CAD,0.99,4.5012,67,67,建筑工程,General installation works - Vol.4 Electrical equipment installation,installation,installation
030053,square timber,Material,Wood & Timber,m3,652.41,652.41,652.41,652.41,1,CAD,50.16,0.0769,67,67,建筑工程,concrete and reinforced concrete works,precast concrete beam,wall surface decorative slab
130001,glass,Material,Glass,m2,0.96,0.96,0.96,0.96,1,CAD,2.28,2.3665,65,65,建筑工程,roofing and waterproofing works,wall facing,profile and other items roof
010018,flat steel 60 within,Material,Steel & Metal,kg,1.26,1.26,1.26,1.26,1,CAD,2.4,1.9068,65,65,建筑工程,roofing and waterproofing works,column (beam) facing,profile and other items roof
110199,type adhesive,Material,General,kg,0.69,0.69,0.69,0.69,1,CAD,2.99,4.3518,64,64,建筑工程,"wall and column finishes, partitions and curtain walls",wall block-facing layer,decorative wall plastering
350029,moulding BV-16,Material,General,m,3.04,3.04,3.04,3.04,1,CAD,4.15,1.3652,64,64,建筑工程,General installation works - Vol.5 Building intelligence systems,installation,"frame, installation"
400045,surface mortar DB,Material,Concrete & Cement,m3,157.61,157.61,157.61,157.61,1,CAD,0.2,0.0013,64,64,建筑工程,Thermal insulation and anti-corrosion works,decorative,ceiling
010030,ordinary steel plate 3.5 4.0,Material,Steel & Metal,kg,1.51,1.51,1.51,1.51,1,CAD,1.28,0.845,63,63,建筑工程,General installation works - Vol.4 Electrical equipment installation,installation,Moulding and steel fabrication installation
120010,poly with d 20,Material,General,m,0.12,0.12,0.12,0.12,1,CAD,0.22,1.8839,62,62,建筑工程,General installation works - Vol.9 Fire protection,welding steel pipe,welding steel pipe ()
850196,NF-1513A,Equipment,General,machine-shift,3.04,3.04,3.04,3.04,1,CAD,2.89,0.949,62,62,建筑工程,General installation works - Vol.6 Automation control instrumentation,and,(DCS)
850256,electricity composite,Equipment,General,machine-shift,4.06,4.06,4.06,4.06,1,CAD,3.4,0.8372,62,62,建筑工程,General installation works - Vol.6 Automation control instrumentation,and,single
