resource_code,name,type,category,unit,price_avg,price_min,price_max,price_median,price_variants,currency,avg_cost_per_use,avg_qty_per_use,usage_count,used_in_work_items,parent_category,parent_collection,parent_department,parent_section
870005,zusammengesetzter Arbeitstag,Labor,Labor,work-day,21.56,21.56,21.56,21.56,1,CHF,123.03,5.7067,7704,7704,建筑工程,Allgemeine Installationsarbeiten - Bd.4 Elektrogeräteinstallation,Trockeninstallation,Installation
840023,Sonstige Werkzeugkosten,Equipment,General,CNY,0.0,0.0,0.0,0.0,0,CHF,3.27,13.1468,5840,5840,建筑工程,Erdarbeiten und Felsarbeiten,Felsarbeiten,Aushub von allgemeinem Erdreich
840004,Kosten für sonstige Materialien,Material,General,CNY,0.0,0.0,0.0,0.0,0,CHF,1.91,6.9714,5546,5546,建筑工程,Erdarbeiten und Felsarbeiten,Auffüllung,Fundamentverfüllung
870003,zusammengesetzter Arbeitstag,Labor,Labor,work-day,24.08,24.08,24.08,24.08,1,CHF,6.17,0.2564,1585,1585,建筑工程,Tür- und Fensterarbeiten,Metalltür,Decke
870002,zusammengesetzter Arbeitstag,Labor,Labor,work-day,22.79,22.79,22.79,22.79,1,CHF,34.61,1.5184,814,814,建筑工程,Bodenbehandlung und Böschungsstützung,Baugrube,()
100321,Diesel,Material,General,kg,2.46,2.46,2.46,2.46,1,CHF,14.77,6.0055,718,718,建筑工程,Erdarbeiten und Felsarbeiten,Felsarbeiten,Aushub von allgemeinem Erdreich
090290,Schweißelektrode (Verbund),Material,Welding Consumables,kg,2.13,2.13,2.13,2.13,1,CHF,3.79,1.7775,690,690,建筑工程,Bodenbehandlung und Böschungsstützung,Baugrube,Sektion Stahlpfahl
870004,zusammengesetzter Arbeitstag,Labor,Labor,work-day,28.49,28.49,28.49,28.49,1,CHF,24.72,0.8678,589,589,建筑工程,Bodenbelagsarbeiten,Bodenfliesenverlegung,Boden
110057,Trockner,Material,General,kg,5.2,5.2,5.2,5.2,1,CHF,0.01,0.0026,542,542,建筑工程,"Maler-, Beschichtungs- und Tapezierarbeiten","Holzhandlauf und andere Elemente, Plattenleisten und Formteile, Anstrich",Metalltür- und Fensteranstrich
800138,Mörtelmischer 200L,Equipment,General,machine-shift,3.01,3.01,3.01,3.01,1,CHF,0.03,0.0086,530,530,建筑工程,Bodenbehandlung und Böschungsstützung,Baugrube,Nagel
870006,zusammengesetzter Arbeitstag,Labor,Labor,work-day,26.46,26.46,26.46,26.46,1,CHF,752.03,28.4191,414,414,建筑工程,Allgemeine Installationsarbeiten - Bd.4 Elektrogeräteinstallation,Höhenstrom,Strom
850108,Strom,Equipment,General,machine-shift,4.98,4.98,4.98,4.98,1,CHF,32.09,6.4467,399,399,建筑工程,Allgemeine Installationsarbeiten - Vol.5 Gebäudeleittechnik,Installation,Installation
030001,geschnittenes Holz,Material,Wood & Timber,m3,520.48,520.48,520.48,520.48,1,CHF,7.09,0.0136,392,392,建筑工程,Bodenbehandlung und Böschungsstützung,Fertigteilsäule,Profil und andere Dachteile
800011,Schweißgerät (Verbund),Equipment,Welding Equip.,machine-shift,5.1,5.1,5.1,5.1,1,CHF,0.9,0.1773,389,389,建筑工程,Pfahlgründungsarbeiten,Bohrpfahl,Profil und andere Dachteile
110120,Acetylen-Gas,Material,Chemicals,m3,7.67,7.67,7.67,7.67,1,CHF,3.29,0.4285,324,324,建筑工程,Bodenbehandlung und Böschungsstützung,Baugrube,()
110499,Acrylfarbenverdünner,Material,Paint & Coatings,kg,4.0,4.0,4.0,4.0,1,CHF,0.15,0.0374,321,321,建筑工程,"Maler-, Beschichtungs- und Tapezierarbeiten","Holzhandlauf und andere Elemente, Plattenleisten und Formteile, Anstrich",Metalltür- und Fensteranstrich
110121,Sauerstoff,Material,Chemicals,m3,0.99,0.99,0.99,0.99,1,CHF,0.79,0.7981,315,315,建筑工程,Bodenbehandlung und Böschungsstützung,Baugrube,()
840021,Materialkosten,Material,General,CNY,0.0,0.0,0.0,0.0,0,CHF,7.31,26.686,269,269,建筑工程,Allgemeine Installationsarbeiten - Vol.6 Automatisierungssteuerungsinstrumentier,und mit,einzeln
800045,Bohrhammer 520W,Equipment,General,machine-shift,1.08,1.08,1.08,1.08,1,CHF,0.12,0.1064,222,222,建筑工程,Tür- und Fensterarbeiten,Metalltür,Dekorativer Wandputz
850002,34401A,Equipment,General,machine-shift,4.79,4.79,4.79,4.79,1,CHF,9.7,2.0225,219,219,建筑工程,Allgemeine Installationsarbeiten - Bd.4 Elektrogeräteinstallation,Höhenstrom,Höhenstrom
870001,zusammengesetzter Arbeitstag,Labor,Labor,work-day,20.35,20.35,20.35,20.35,1,CHF,18.93,0.9299,206,206,建筑工程,Erdarbeiten und Felsarbeiten,Felsarbeiten,Aushub von allgemeinem Erdreich
800102,LKW-Kran 16t,Equipment,Cranes,machine-shift,250.71,250.71,250.71,250.71,1,CHF,12.04,0.048,198,198,建筑工程,Bodenbehandlung und Böschungsstützung,Baugrube,Sektion Stahlpfahl
850125,F-87,Equipment,General,machine-shift,1.86,1.86,1.86,1.86,1,CHF,15.72,8.4372,185,185,建筑工程,Allgemeine Installationsarbeiten - Bd.4 Elektrogeräteinstallation,Strom,Strom
800073,Steinschneider,Equipment,General,machine-shift,6.36,6.36,6.36,6.36,1,CHF,0.09,0.0135,179,179,建筑工程,Dach- und Abdichtungsarbeiten,Korrosionsschutzbeschichtungsschicht,Profil und andere Dachteile
280120,6,Material,General,pcs,0.93,0.93,0.93,0.93,1,CHF,1.89,2.03,173,173,建筑工程,Allgemeine Installationsarbeiten - Bd.4 Elektrogeräteinstallation,Strominstallation,Mesh-Installation
010023,verzinkter Flachstahl,Material,Steel & Metal,kg,1.43,1.43,1.43,1.43,1,CHF,3.76,2.6293,165,165,建筑工程,Allgemeine Installationsarbeiten - Bd.4 Elektrogeräteinstallation,Trockeninstallation,Installation
800186,Handbohrmaschine 0.5kW,Equipment,General,machine-shift,0.32,0.32,0.32,0.32,1,CHF,0.02,0.0667,158,158,建筑工程,Tür- und Fensterarbeiten,Metalltür,Steinplattenbalkenoberfläche
100040,Lackweißgeist,Material,Paint & Coatings,kg,4.93,4.93,4.93,4.93,1,CHF,0.14,0.0282,158,158,建筑工程,Bodenbelagsarbeiten,"Holzhandlauf und andere Elemente, Plattenleisten und Formteile, Anstrich",Metalltür- und Fensteranstrich
800033,Wechselstrom-Schweißgerät 32kVA,Equipment,Welding Equip.,machine-shift,4.11,4.11,4.11,4.11,1,CHF,2.36,0.5747,157,157,建筑工程,Bodenbehandlung und Böschungsstützung,Baugrube,Sektion Stahlpfahl
800148,Elektrobohrmaschine 1kW,Equipment,General,machine-shift,1.26,1.26,1.26,1.26,1,CHF,0.27,0.2165,152,152,建筑工程,Tür- und Fensterarbeiten,"Tür, Tür",Säulen- (Träger-) Oberflächendekoration
110060,Silikondichtstoff (Dichtstoff),Material,Rubber,pcs,1.86,1.86,1.86,1.86,1,CHF,1.15,0.6182,149,149,建筑工程,Tür- und Fensterarbeiten,Sockelleiste,Steinsäulenoberfläche
800278,Lastwagen 15t,Equipment,Trucks,machine-shift,107.63,107.63,107.63,107.63,1,CHF,4.31,0.04,145,145,建筑工程,Vorleistungen und Baustelleneinrichtung,Ortbeton-Schalung und Konsolen,Gerüstbau
150007,Strom,Material,General,kWh,0.35,0.35,0.35,0.35,1,CHF,2.84,8.1654,143,143,建筑工程,Bodenbehandlung und Böschungsstützung,Baugrube,Fundamentmauer
840027,amortisierte Materialkosten,Material,General,CNY,0.0,0.0,0.0,0.0,0,CHF,18.89,68.9437,142,142,建筑工程,Vorleistungen und Baustelleneinrichtung,Ortbeton-Schalung und Konsolen,Gerüstbau
840028,Mietmaterialkosten,Material,General,CNY,0.0,0.0,0.0,0.0,0,CHF,5.27,19.2429,142,142,建筑工程,Vorleistungen und Baustelleneinrichtung,Ortbeton-Schalung und Konsolen,Gerüstbau
350011,Formteil BV-6,Material,General,m,1.08,1.08,1.08,1.08,1,CHF,2.23,2.0601,140,140,建筑工程,Allgemeine Installationsarbeiten - Vol.5 Gebäudeleittechnik,Installation,Mesh-Installation
800007,Lastwagen 5t,Equipment,Trucks,machine-shift,53.01,53.01,53.01,53.01,1,CHF,4.19,0.079,140,140,建筑工程,Allgemeine Installationsarbeiten - Bd.4 Elektrogeräteinstallation,Höhen-Elektroinstallation,Installation
090263,Eisenbeschläge,Material,Steel & Metal,kg,1.23,1.23,1.23,1.23,1,CHF,30.67,24.8784,137,137,建筑工程,Pfahlgründungsarbeiten,Blockmauerwerk,Dachwasser
280122,16,Material,General,pcs,1.86,1.86,1.86,1.86,1,CHF,4.79,2.5775,135,135,建筑工程,Allgemeine Installationsarbeiten - Bd.4 Elektrogeräteinstallation,Strominstallation,Elektroeinbettung
090045,verzinkt 8,Material,General,pcs,0.0,0.0,0.0,0.0,1,CHF,0.01,4.8598,130,130,建筑工程,Allgemeine Installationsarbeiten - Bd.4 Elektrogeräteinstallation,Strominstallation,Installation
800014,elektrische Winde einzeln 5t,Equipment,Hoists,machine-shift,30.9,30.9,30.9,30.9,1,CHF,12.38,0.4007,129,129,建筑工程,Allgemeine Installationsarbeiten - Vol.7 Lüftung und Klimatisierung,und Installation,Installation
850009,Elektrizität 3141,Equipment,General,machine-shift,1.72,1.72,1.72,1.72,1,CHF,0.81,0.4694,128,128,建筑工程,Allgemeine Installationsarbeiten - Bd.4 Elektrogeräteinstallation,Strom,Strom
090029,verzinkt 8,Material,General,pcs,0.03,0.03,0.03,0.03,1,CHF,0.29,9.541,127,127,建筑工程,Deckenarbeiten,Decke abgehängte Decke,Deckenprofil
090030,verzinkt 10,Material,General,pcs,0.03,0.03,0.03,0.03,1,CHF,0.32,10.4954,121,121,建筑工程,Allgemeine Installationsarbeiten - Bd.4 Elektrogeräteinstallation,Höhe Installation,Installation
110152,Kontaktklebstoff,Material,General,kg,3.7,3.7,3.7,3.7,1,CHF,1.07,0.2894,120,120,建筑工程,Tür- und Fensterarbeiten,Fensterplatte,Dach ()
110321,Wasser,Material,Water,kg,1.76,1.76,1.76,1.76,1,CHF,0.1,0.0545,117,117,建筑工程,Allgemeine Installationsarbeiten - Vol.5 Gebäudeleittechnik,Installation,Installation
010138,Unterlegplatte,Material,General,kg,1.25,1.25,1.25,1.25,1,CHF,2.72,2.1702,116,116,建筑工程,Pfahlgründungsarbeiten,Fertigteilsäule,Profil und andere Dachteile
020003,weißer Zement,Material,Concrete & Cement,kg,0.26,0.26,0.26,0.26,1,CHF,0.16,0.6026,116,116,建筑工程,"Wand- und Säulenbekleidungen, Trennwände und Vorhangfassaden",Wandverkleidungsschicht,Steinplatten-Wandoberfläche
010016,Winkelstahl 63 innen,Material,Steel & Metal,kg,1.01,1.01,1.01,1.01,1,CHF,5.74,5.71,115,115,建筑工程,Dach- und Abdichtungsarbeiten,Säulen- (Träger-) Verkleidung,Profil und andere Dachteile
150122,Steinschneidklinge,Equipment,General,pcs,2.19,2.19,2.19,2.19,1,CHF,0.07,0.0338,113,113,建筑工程,"Wand- und Säulenbekleidungen, Trennwände und Vorhangfassaden",Wandverkleidungsschicht,Steinplatten-Wandoberfläche
090174,Unterlegplatte,Material,General,kg,1.04,1.04,1.04,1.04,1,CHF,3.72,3.5739,113,113,建筑工程,Allgemeine Installationsarbeiten - Bd.4 Elektrogeräteinstallation,Trockeninstallation,Installation
110570,ölbasierte Acrylholzgrundierung,Material,Wood & Timber,kg,4.38,4.38,4.38,4.38,1,CHF,0.48,0.1094,112,112,建筑工程,"Maler-, Beschichtungs- und Tapezierarbeiten","Holzhandlauf und andere Elemente, Plattenleisten und Formteile, Anstrich",Holzhandlaufanstrich
110769,Nitrozellulose-Holzgrundierungverdünner,Material,Wood & Timber,kg,9.59,9.59,9.59,9.59,1,CHF,0.18,0.0184,112,112,建筑工程,"Maler-, Beschichtungs- und Tapezierarbeiten","Holzhandlauf und andere Elemente, Plattenleisten und Formteile, Anstrich",Holzhandlaufanstrich
350237,Fundamentierung,Material,General,m,4.11,4.11,4.11,4.11,1,CHF,2.71,0.659,111,111,建筑工程,Allgemeine Installationsarbeiten - Bd.4 Elektrogeräteinstallation,Strominstallation,Elektroeinbettung
110172,Benzin,Material,General,kg,2.59,2.59,2.59,2.59,1,CHF,43.65,16.8779,109,109,建筑工程,Bodenbehandlung und Böschungsstützung,Dachabdichtung und Zubehör,Dachabdichtung mit Dachbahn
400034,DS-Mörtel,Material,Concrete & Cement,m3,125.74,125.74,125.74,125.74,1,CHF,3.37,0.0268,107,107,建筑工程,Mauerwerksarbeiten,Schichtabdeckung,Profil und andere Dachteile
110593,Polyurethan-Grundierungverdünner,Material,Paint & Coatings,kg,4.0,4.0,4.0,4.0,1,CHF,0.09,0.0225,106,106,建筑工程,"Maler-, Beschichtungs- und Tapezierarbeiten","Holzhandlauf und andere Elemente, Plattenleisten und Formteile, Anstrich",Metalltür- und Fensteranstrich
110132,Latex,Material,General,kg,1.78,1.78,1.78,1.78,1,CHF,1.65,0.9292,106,106,建筑工程,Holzbauarbeiten,Holztragwerk,Wandoberflächen-Dekorplatte
020001,Zement (Komposit),Material,Concrete & Cement,kg,0.11,0.11,0.11,0.11,1,CHF,3.5,31.9707,101,101,建筑工程,Pfahlgründungsarbeiten,Bohrpfahl,Korrosionsschutz-Mörtelbeschichtung
090503,verzinkter Nagel M6,Equipment,General,set,0.12,0.12,0.12,0.12,1,CHF,0.49,3.9667,100,100,建筑工程,Allgemeine Installationsarbeiten - Vol.5 Gebäudeleittechnik,Installation,Strominstallation
830075,Verbund-Sperrholz-Schalung,Material,Wood & Timber,m2,8.22,8.22,8.22,8.22,1,CHF,0.76,0.0922,99,99,建筑工程,Vorleistungen und Baustelleneinrichtung,Ortbeton-Schalung und Konsolen,Fundament
110360,Kohleteer-Grundierung,Material,Paint & Coatings,kg,4.41,4.41,4.41,4.41,1,CHF,0.55,0.1245,99,99,建筑工程,"Allgemeine Montagearbeiten - Bd.12 Malerarbeiten, Korrosionsschutz, Wärmedämmung",Korrosionsschutz,Streichen Beschichtung gewöhnlich Korrosionsschutz
040025,Sand,Material,Aggregates,kg,0.02,0.02,0.02,0.02,1,CHF,1.45,75.7993,99,99,建筑工程,Bodenbehandlung und Böschungsstützung,Steinmauerwerk,Profil und andere Dachteile
110361,Kohlenbitumen-Deckanstrich,Material,Waterproofing,kg,4.41,4.41,4.41,4.41,1,CHF,4.46,1.0119,99,99,建筑工程,"Allgemeine Montagearbeiten - Bd.12 Malerarbeiten, Korrosionsschutz, Wärmedämmung",Korrosionsschutz,Streichen Beschichtung gewöhnlich Korrosionsschutz
090278,Legierter Stahlbohrer,Material,Steel & Metal,pcs,8.22,8.22,8.22,8.22,1,CHF,1.57,0.1911,98,98,建筑工程,"Wand- und Säulenbekleidungen, Trennwände und Vorhangfassaden",Wandverkleidungsschicht,Steinplatten-Wandoberfläche
850194,Verbund 2422,Equipment,General,machine-shift,8.36,8.36,8.36,8.36,1,CHF,38.46,4.6033,98,98,建筑工程,Allgemeine Installationsarbeiten - Vol.6 Automatisierungssteuerungsinstrumentier,und,(DCS)
