resource_code,name,type,category,unit,price_avg,price_min,price_max,price_median,price_variants,currency,avg_cost_per_use,avg_qty_per_use,usage_count,used_in_work_items,parent_category,parent_collection,parent_department,parent_section
870005,journée de travail composite,Labor,Labor,work-day,5008.3,5008.3,5008.3,5008.3,1,XOF,28580.81,5.7067,7704,7704,建筑工程,Travaux d'installation générale - Vol.4 Installation d'équipements électriques,installation à sec,installation ()
840023,coût des autres outils,Equipment,General,CNY,0.0,0.0,0.0,0.0,0,XOF,759.39,13.1468,5840,5840,建筑工程,terrains et travaux de roche,travaux de roche,terrassement général
840004,coût des autres matériaux,Material,General,CNY,0.0,0.0,0.0,0.0,0,XOF,444.18,6.9714,5546,5546,建筑工程,terrains et travaux de roche,remblai,remblai de fondation
870003,journée de travail composite,Labor,Labor,work-day,5593.76,5593.76,5593.76,5593.76,1,XOF,1434.18,0.2564,1585,1585,建筑工程,travaux de portes et fenêtres,porte en métal,plafond
870002,journée de travail composite,Labor,Labor,work-day,5294.67,5294.67,5294.67,5294.67,1,XOF,8039.3,1.5184,814,814,建筑工程,traitement du sol et soutien de pente,fosse de fondation,()
100321,diesel,Material,General,kg,571.47,571.47,571.47,571.47,1,XOF,3431.95,6.0055,718,718,建筑工程,terrains et travaux de roche,travaux de roche,terrassement général
090290,barre à souder (composite),Material,Welding Consumables,kg,495.1,495.1,495.1,495.1,1,XOF,880.03,1.7775,690,690,建筑工程,traitement du sol et soutien de pente,fosse de fondation,section pieu en acier
870004,journée de travail composite,Labor,Labor,work-day,6618.33,6618.33,6618.33,6618.33,1,XOF,5743.48,0.8678,589,589,建筑工程,travaux de finition de sol,carrelage de sol,sol
110057,séchage,Material,General,kg,1209.12,1209.12,1209.12,1209.12,1,XOF,3.15,0.0026,542,542,建筑工程,"travaux de peinture, de revêtement et de pose de papier","main de bois et autres éléments, bandes de dalle et moulures, peinture","porte métallique, peinture pour fenêtres"
800138,malaxeur à mortier 200L,Equipment,General,machine-shift,700.02,700.02,700.02,700.02,1,XOF,6.01,0.0086,530,530,建筑工程,traitement du sol et soutien de pente,fosse de fondation,clou
870006,journée de travail composite,Labor,Labor,work-day,6147.41,6147.41,6147.41,6147.41,1,XOF,174703.67,28.4191,414,414,建筑工程,Travaux d'installation générale - Vol.4 Installation d'équipements électriques,électricité en hauteur,électricité
850108,électricité,Equipment,General,machine-shift,1156.3,1156.3,1156.3,1156.3,1,XOF,7454.31,6.4467,399,399,建筑工程,Travaux d'installation généraux - Vol.5 Systèmes d'intelligence des bâtiments,installation,installation
030001,bois scié,Material,Wood & Timber,m3,120911.86,120911.86,120911.86,120911.86,1,XOF,1647.64,0.0136,392,392,建筑工程,traitement du sol et soutien de pente,poteau en béton préfabriqué,profil et autres éléments de toiture
800011,machine à souder (composite),Equipment,Welding Equip.,machine-shift,1183.66,1183.66,1183.66,1183.66,1,XOF,209.85,0.1773,389,389,建筑工程,travaux de fondation,pieu foré,profil et autres éléments de toiture
110120,gaz acétylène,Material,Chemicals,m3,1781.86,1781.86,1781.86,1781.86,1,XOF,763.53,0.4285,324,324,建筑工程,traitement du sol et soutien de pente,fosse de fondation,()
110499,diluant acrylique,Material,Paint & Coatings,kg,929.11,929.11,929.11,929.11,1,XOF,34.74,0.0374,321,321,建筑工程,"travaux de peinture, de revêtement et de pose de papier","main de bois et autres éléments, bandes de dalle et moulures, peinture","porte métallique, peinture pour fenêtres"
110121,oxygène,Material,Chemicals,m3,229.1,229.1,229.1,229.1,1,XOF,182.85,0.7981,315,315,建筑工程,traitement du sol et soutien de pente,fosse de fondation,()
840021,coût des matériaux,Material,General,CNY,0.0,0.0,0.0,0.0,0,XOF,1698.24,26.686,269,269,建筑工程,Travaux d'installation généraux - Vol.6 Instrumentation de contrôle d'automatisa,et avec,simple
800045,perforateur rotatif 520W,Equipment,General,machine-shift,252.01,252.01,252.01,252.01,1,XOF,26.81,0.1064,222,222,建筑工程,travaux de portes et fenêtres,porte en métal,enduit décoratif mural
850002,34401,Equipment,General,machine-shift,1113.66,1113.66,1113.66,1113.66,1,XOF,2252.39,2.0225,219,219,建筑工程,Travaux d'installation générale - Vol.4 Installation d'équipements électriques,électricité en hauteur,électricité en hauteur
870001,journée de travail composite,Labor,Labor,work-day,4728.29,4728.29,4728.29,4728.29,1,XOF,4396.93,0.9299,206,206,建筑工程,terrains et travaux de roche,travaux de roche,terrassement général
800102,grue à camion 16t,Equipment,Cranes,machine-shift,58241.34,58241.34,58241.34,58241.34,1,XOF,2795.9,0.048,198,198,建筑工程,traitement du sol et soutien de pente,fosse de fondation,section pieu en acier
850125,F-87,Equipment,General,machine-shift,432.74,432.74,432.74,432.74,1,XOF,3651.1,8.4372,185,185,建筑工程,Travaux d'installation générale - Vol.4 Installation d'équipements électriques,électricité,électricité
800073,tailleur de pierre,Equipment,General,machine-shift,1476.4,1476.4,1476.4,1476.4,1,XOF,19.88,0.0135,179,179,建筑工程,travaux de toiture et d'étanchéité,couche de finition anticorrosion,profil et autres éléments de toiture
280120,6,Material,General,pcs,215.73,215.73,215.73,215.73,1,XOF,437.94,2.03,173,173,建筑工程,Travaux d'installation générale - Vol.4 Installation d'équipements électriques,installation électrique,installation de maillage
010023,acier plat galvanisé,Material,Steel & Metal,kg,332.19,332.19,332.19,332.19,1,XOF,873.43,2.6293,165,165,建筑工程,Travaux d'installation générale - Vol.4 Installation d'équipements électriques,installation à sec,installation ()
800186,perceuse à main 0.5kW,Equipment,General,machine-shift,73.18,73.18,73.18,73.18,1,XOF,4.88,0.0667,158,158,建筑工程,travaux de portes et fenêtres,porte en métal,surface de poutre en dalle de pierre
100040,esprit de peinture blanc,Material,Paint & Coatings,kg,1145.48,1145.48,1145.48,1145.48,1,XOF,32.28,0.0282,158,158,建筑工程,travaux de finition de sol,"main de bois et autres éléments, bandes de dalle et moulures, peinture","porte métallique, peinture pour fenêtres"
800033,Soudeuse AC 32kVA,Equipment,Welding Equip.,machine-shift,954.57,954.57,954.57,954.57,1,XOF,548.55,0.5747,157,157,建筑工程,traitement du sol et soutien de pente,fosse de fondation,section pieu en acier
800148,perceuse électrique 1kW,Equipment,General,machine-shift,292.73,292.73,292.73,292.73,1,XOF,63.39,0.2165,152,152,建筑工程,travaux de portes et fenêtres,"porte, porte",surface décorative de colonne (poutre)
