resource_code,name,type,category,unit,price_avg,price_min,price_max,price_median,price_variants,currency,avg_cost_per_use,avg_qty_per_use,usage_count,used_in_work_items,parent_category,parent_collection,parent_department,parent_section
870005,journée de travail composite,Labor,Labor,work-day,4593.4,4593.4,4593.4,4593.4,1,XAF,26213.13,5.7067,7704,7704,建筑工程,Travaux d'installation générale - Vol.4 Installation d'équipements électriques,installation à sec,installation ()
840023,coût des autres outils,Equipment,General,CNY,0.0,0.0,0.0,0.0,0,XAF,696.48,13.1468,5840,5840,建筑工程,terrains et travaux de roche,travaux de roche,terrassement général
840004,coût des autres matériaux,Material,General,CNY,0.0,0.0,0.0,0.0,0,XAF,407.38,6.9714,5546,5546,建筑工程,terrains et travaux de roche,remblai,remblai de fondation
870003,journée de travail composite,Labor,Labor,work-day,5130.37,5130.37,5130.37,5130.37,1,XAF,1315.37,0.2564,1585,1585,建筑工程,travaux de portes et fenêtres,porte en métal,plafond
870002,journée de travail composite,Labor,Labor,work-day,4856.05,4856.05,4856.05,4856.05,1,XAF,7373.31,1.5184,814,814,建筑工程,traitement du sol et soutien de pente,fosse de fondation,()
100321,diesel,Material,General,kg,524.13,524.13,524.13,524.13,1,XAF,3147.64,6.0055,718,718,建筑工程,terrains et travaux de roche,travaux de roche,terrassement général
090290,barre à souder (composite),Material,Welding Consumables,kg,454.09,454.09,454.09,454.09,1,XAF,807.13,1.7775,690,690,建筑工程,traitement du sol et soutien de pente,fosse de fondation,section pieu en acier
870004,journée de travail composite,Labor,Labor,work-day,6070.06,6070.06,6070.06,6070.06,1,XAF,5267.68,0.8678,589,589,建筑工程,travaux de finition de sol,carrelage de sol,sol
110057,séchage,Material,General,kg,1108.95,1108.95,1108.95,1108.95,1,XAF,2.89,0.0026,542,542,建筑工程,"travaux de peinture, de revêtement et de pose de papier","main de bois et autres éléments, bandes de dalle et moulures, peinture","porte métallique, peinture pour fenêtres"
800138,malaxeur à mortier 200L,Equipment,General,machine-shift,642.03,642.03,642.03,642.03,1,XAF,5.51,0.0086,530,530,建筑工程,traitement du sol et soutien de pente,fosse de fondation,clou
870006,journée de travail composite,Labor,Labor,work-day,5638.15,5638.15,5638.15,5638.15,1,XAF,160230.96,28.4191,414,414,建筑工程,Travaux d'installation générale - Vol.4 Installation d'équipements électriques,électricité en hauteur,électricité
850108,électricité,Equipment,General,machine-shift,1060.51,1060.51,1060.51,1060.51,1,XAF,6836.78,6.4467,399,399,建筑工程,Travaux d'installation généraux - Vol.5 Systèmes d'intelligence des bâtiments,installation,installation
030001,bois scié,Material,Wood & Timber,m3,110895.35,110895.35,110895.35,110895.35,1,XAF,1511.15,0.0136,392,392,建筑工程,traitement du sol et soutien de pente,poteau en béton préfabriqué,profil et autres éléments de toiture
800011,machine à souder (composite),Equipment,Welding Equip.,machine-shift,1085.61,1085.61,1085.61,1085.61,1,XAF,192.46,0.1773,389,389,建筑工程,travaux de fondation,pieu foré,profil et autres éléments de toiture
110120,gaz acétylène,Material,Chemicals,m3,1634.25,1634.25,1634.25,1634.25,1,XAF,700.28,0.4285,324,324,建筑工程,traitement du sol et soutien de pente,fosse de fondation,()
110499,diluant acrylique,Material,Paint & Coatings,kg,852.14,852.14,852.14,852.14,1,XAF,31.86,0.0374,321,321,建筑工程,"travaux de peinture, de revêtement et de pose de papier","main de bois et autres éléments, bandes de dalle et moulures, peinture","porte métallique, peinture pour fenêtres"
110121,oxygène,Material,Chemicals,m3,210.12,210.12,210.12,210.12,1,XAF,167.7,0.7981,315,315,建筑工程,traitement du sol et soutien de pente,fosse de fondation,()
840021,coût des matériaux,Material,General,CNY,0.0,0.0,0.0,0.0,0,XAF,1557.55,26.686,269,269,建筑工程,Travaux d'installation généraux - Vol.6 Instrumentation de contrôle d'automatisa,et avec,simple
800045,perforateur rotatif 520W,Equipment,General,machine-shift,231.13,231.13,231.13,231.13,1,XAF,24.59,0.1064,222,222,建筑工程,travaux de portes et fenêtres,porte en métal,enduit décoratif mural
850002,34401,Equipment,General,machine-shift,1021.4,1021.4,1021.4,1021.4,1,XAF,2065.8,2.0225,219,219,建筑工程,Travaux d'installation générale - Vol.4 Installation d'équipements électriques,électricité en hauteur,électricité en hauteur
870001,journée de travail composite,Labor,Labor,work-day,4336.59,4336.59,4336.59,4336.59,1,XAF,4032.68,0.9299,206,206,建筑工程,terrains et travaux de roche,travaux de roche,terrassement général
