resource_code,name,type,category,unit,price_avg,price_min,price_max,price_median,price_variants,currency,avg_cost_per_use,avg_qty_per_use,usage_count,used_in_work_items,parent_category,parent_collection,parent_department,parent_section
870005,kompozitní pracovní den,Labor,Labor,work-day,300.97,300.97,300.97,300.97,1,CZK,1717.52,5.7067,7704,7704,建筑工程,Obecné instalační práce - Sv.4 Instalace elektrického zařízení,suchá instalace,instalace
840023,náklady na ostatní nástroje,Equipment,General,CNY,0.0,0.0,0.0,0.0,0,CZK,45.63,13.1468,5840,5840,建筑工程,zemní práce a práce se skalou,skalní práce,výkopové práce obecné zemní
840004,náklady na ostatní materiály,Material,General,CNY,0.0,0.0,0.0,0.0,0,CZK,26.69,6.9714,5546,5546,建筑工程,zemní práce a práce se skalou,záplava,zásyp základů
870003,kompozitní pracovní den,Labor,Labor,work-day,336.15,336.15,336.15,336.15,1,CZK,86.18,0.2564,1585,1585,建筑工程,práce na dveřích a oknech,kovové dveře,strop
870002,kompozitní pracovní den,Labor,Labor,work-day,318.18,318.18,318.18,318.18,1,CZK,483.11,1.5184,814,814,建筑工程,úprava půdy a podpora svahů,výkop pro základy,()
100321,nafta,Material,General,kg,34.34,34.34,34.34,34.34,1,CZK,206.24,6.0055,718,718,建筑工程,zemní práce a práce se skalou,skalní práce,výkopové práce obecné zemní
090290,svařovací tyč (kompozitní),Material,Welding Consumables,kg,29.75,29.75,29.75,29.75,1,CZK,52.88,1.7775,690,690,建筑工程,úprava půdy a podpora svahů,výkop pro základy,sekční ocelová pilotáž
870004,kompozitní pracovní den,Labor,Labor,work-day,397.72,397.72,397.72,397.72,1,CZK,345.15,0.8678,589,589,建筑工程,podlahové dokončovací práce,dlažba,základ
110057,sušička,Material,General,kg,72.66,72.66,72.66,72.66,1,CZK,0.19,0.0026,542,542,建筑工程,"malířské, nátěrové a tapetářské práce","dřevěné zábradlí a další položky, desky, lišty a nátěry","kovové dveře, barva na okna"
800138,míchací zařízení na maltu 200L,Equipment,General,machine-shift,42.07,42.07,42.07,42.07,1,CZK,0.36,0.0086,530,530,建筑工程,úprava půdy a podpora svahů,výkop pro základy,hřebík
870006,kompozitní pracovní den,Labor,Labor,work-day,369.42,369.42,369.42,369.42,1,CZK,10498.56,28.4191,414,414,建筑工程,Obecné instalační práce - Sv.4 Instalace elektrického zařízení,výška elektřiny,elektřina
850108,elektřina,Equipment,General,machine-shift,69.49,69.49,69.49,69.49,1,CZK,447.96,6.4467,399,399,建筑工程,Obecné instalační práce - Sv.5 Systémy inteligence budov,montáž,montáž
030001,řezivo,Material,Wood & Timber,m3,7266.02,7266.02,7266.02,7266.02,1,CZK,99.01,0.0136,392,392,建筑工程,úprava půdy a podpora svahů,předpjatý betonový sloup,profil a další položky střechy
800011,svářečka (kompozitní),Equipment,Welding Equip.,machine-shift,71.13,71.13,71.13,71.13,1,CZK,12.61,0.1773,389,389,建筑工程,práce na pilotách,vrtaná pilotáž,profil a další položky střechy
110120,acetylénový plyn,Material,Chemicals,m3,107.08,107.08,107.08,107.08,1,CZK,45.88,0.4285,324,324,建筑工程,úprava půdy a podpora svahů,výkop pro základy,()
110499,ředidlo na akrylové barvy,Material,Paint & Coatings,kg,55.83,55.83,55.83,55.83,1,CZK,2.09,0.0374,321,321,建筑工程,"malířské, nátěrové a tapetářské práce","dřevěné zábradlí a další položky, desky, lišty a nátěry","kovové dveře, barva na okna"
110121,kyslík,Material,Chemicals,m3,13.77,13.77,13.77,13.77,1,CZK,10.99,0.7981,315,315,建筑工程,úprava půdy a podpora svahů,výkop pro základy,()
