resource_code,name,type,category,unit,price_avg,price_min,price_max,price_median,price_variants,currency,avg_cost_per_use,avg_qty_per_use,usage_count,used_in_work_items,parent_category,parent_collection,parent_department,parent_section
870005,zusammengesetzter Arbeitstag,Labor,Labor,work-day,16.45,16.45,16.45,16.45,1,EUR,93.85,5.7067,7704,7704,建筑工程,Allgemeine Installationsarbeiten - Bd.4 Elektrogeräteinstallation,Trockeninstallation,Installation
840023,Sonstige Werkzeugkosten,Equipment,General,CNY,0.0,0.0,0.0,0.0,0,EUR,2.49,13.1468,5840,5840,建筑工程,Erdarbeiten und Felsarbeiten,Felsarbeiten,Aushub von allgemeinem Erdreich
840004,Kosten für sonstige Materialien,Material,General,CNY,0.0,0.0,0.0,0.0,0,EUR,1.46,6.9714,5546,5546,建筑工程,Erdarbeiten und Felsarbeiten,Auffüllung,Fundamentverfüllung
870003,zusammengesetzter Arbeitstag,Labor,Labor,work-day,18.37,18.37,18.37,18.37,1,EUR,4.71,0.2564,1585,1585,建筑工程,Tür- und Fensterarbeiten,Metalltür,Decke
870002,zusammengesetzter Arbeitstag,Labor,Labor,work-day,17.39,17.39,17.39,17.39,1,EUR,26.4,1.5184,814,814,建筑工程,Bodenbehandlung und Böschungsstützung,Baugrube,()
100321,Diesel,Material,General,kg,1.88,1.88,1.88,1.88,1,EUR,11.27,6.0055,718,718,建筑工程,Erdarbeiten und Felsarbeiten,Felsarbeiten,Aushub von allgemeinem Erdreich
090290,Schweißelektrode (Verbund),Material,Welding Consumables,kg,1.63,1.63,1.63,1.63,1,EUR,2.89,1.7775,690,690,建筑工程,Bodenbehandlung und Böschungsstützung,Baugrube,Sektion Stahlpfahl
870004,zusammengesetzter Arbeitstag,Labor,Labor,work-day,21.73,21.73,21.73,21.73,1,EUR,18.86,0.8678,589,589,建筑工程,Bodenbelagsarbeiten,Bodenfliesenverlegung,Boden
110057,Trockner,Material,General,kg,3.97,3.97,3.97,3.97,1,EUR,0.01,0.0026,542,542,建筑工程,"Maler-, Beschichtungs- und Tapezierarbeiten","Holzhandlauf und andere Elemente, Plattenleisten und Formteile, Anstrich",Metalltür- und Fensteranstrich
800138,Mörtelmischer 200L,Equipment,General,machine-shift,2.3,2.3,2.3,2.3,1,EUR,0.02,0.0086,530,530,建筑工程,Bodenbehandlung und Böschungsstützung,Baugrube,Nagel
870006,zusammengesetzter Arbeitstag,Labor,Labor,work-day,20.19,20.19,20.19,20.19,1,EUR,573.66,28.4191,414,414,建筑工程,Allgemeine Installationsarbeiten - Bd.4 Elektrogeräteinstallation,Höhenstrom,Strom
850108,Strom,Equipment,General,machine-shift,3.8,3.8,3.8,3.8,1,EUR,24.48,6.4467,399,399,建筑工程,Allgemeine Installationsarbeiten - Vol.5 Gebäudeleittechnik,Installation,Installation
030001,geschnittenes Holz,Material,Wood & Timber,m3,397.03,397.03,397.03,397.03,1,EUR,5.41,0.0136,392,392,建筑工程,Bodenbehandlung und Böschungsstützung,Fertigteilsäule,Profil und andere Dachteile
