resource_code,name,type,category,unit,price_avg,price_min,price_max,price_median,price_variants,currency,avg_cost_per_use,avg_qty_per_use,usage_count,used_in_work_items,parent_category,parent_collection,parent_department,parent_section
870005,يوم عمل مركب,Labor,Labor,work-day,175.66,175.66,175.66,175.66,1,EGP,1002.44,5.7067,7704,7704,建筑工程,أعمال التركيب العامة - المجلد 4 تركيب المعدات الكهربائية,تركيب جاف,تركيب ()
840023,تكلفة أدوات أخرى,Equipment,General,CNY,0.0,0.0,0.0,0.0,0,EGP,26.63,13.1468,5840,5840,建筑工程,أعمال الحفر والصخور,أعمال الصخور,حفر أعمال ترابية عامة
840004,تكلفة مواد أخرى,Material,General,CNY,0.0,0.0,0.0,0.0,0,EGP,15.58,6.9714,5546,5546,建筑工程,أعمال الحفر والصخور,ردم,ردم الأساسات
870003,يوم عمل مركب,Labor,Labor,work-day,196.19,196.19,196.19,196.19,1,EGP,50.3,0.2564,1585,1585,建筑工程,أعمال الأبواب والنوافذ,باب معدني,سقف
870002,يوم عمل مركب,Labor,Labor,work-day,185.7,185.7,185.7,185.7,1,EGP,281.97,1.5184,814,814,建筑工程,معالجة التربة ودعم المنحدرات,حفرة الأساس,()
100321,ديزل,Material,General,kg,20.04,20.04,20.04,20.04,1,EGP,120.37,6.0055,718,718,建筑工程,أعمال الحفر والصخور,أعمال الصخور,حفر أعمال ترابية عامة
090290,سلك لحام (مركب),Material,Welding Consumables,kg,17.37,17.37,17.37,17.37,1,EGP,30.87,1.7775,690,690,建筑工程,معالجة التربة ودعم المنحدرات,حفرة الأساس,ركيزة فولاذية مقطعية
870004,يوم عمل مركب,Labor,Labor,work-day,232.13,232.13,232.13,232.13,1,EGP,201.45,0.8678,589,589,建筑工程,أعمال تشطيب الأرضيات,تبليط الأرضيات,أرضية
110057,مجفف,Material,General,kg,42.41,42.41,42.41,42.41,1,EGP,0.11,0.0026,542,542,建筑工程,أعمال الدهان والطلاء وتغليف الجدران بالورق,دهان الدرابزين الخشبي والعناصر الأخرى من شرائح الألواح والقوالب,دهان الأبواب والنوافذ المعدنية
800138,خلاط ملاط 200L,Equipment,General,machine-shift,24.55,24.55,24.55,24.55,1,EGP,0.21,0.0086,530,530,建筑工程,معالجة التربة ودعم المنحدرات,حفرة الأساس,مسمار
870006,يوم عمل مركب,Labor,Labor,work-day,215.61,215.61,215.61,215.61,1,EGP,6127.53,28.4191,414,414,建筑工程,أعمال التركيب العامة - المجلد 4 تركيب المعدات الكهربائية,كهرباء الارتفاع,كهرباء
850108,كهرباء,Equipment,General,machine-shift,40.56,40.56,40.56,40.56,1,EGP,261.45,6.4467,399,399,建筑工程,أعمال التركيب العامة - المجلد 5 أنظمة ذكاء المباني,التركيب,التركيب
030001,خشب منشور,Material,Wood & Timber,m3,4240.84,4240.84,4240.84,4240.84,1,EGP,57.79,0.0136,392,392,建筑工程,معالجة التربة ودعم المنحدرات,عمود خرساني مسبق الصب,سقف العناصر المشكلة وغيرها
800011,آلة لحام (مركبة),Equipment,Welding Equip.,machine-shift,41.52,41.52,41.52,41.52,1,EGP,7.36,0.1773,389,389,建筑工程,أعمال الخوازيق,الركيزة المثقبة,سقف العناصر المشكلة وغيرها
110120,غاز الأسيتيلين,Material,Chemicals,m3,62.5,62.5,62.5,62.5,1,EGP,26.78,0.4285,324,324,建筑工程,معالجة التربة ودعم المنحدرات,حفرة الأساس,()
110499,مخفف طلاء أكريليك,Material,Paint & Coatings,kg,32.59,32.59,32.59,32.59,1,EGP,1.22,0.0374,321,321,建筑工程,أعمال الدهان والطلاء وتغليف الجدران بالورق,دهان الدرابزين الخشبي والعناصر الأخرى من شرائح الألواح والقوالب,دهان الأبواب والنوافذ المعدنية
110121,أكسجين,Material,Chemicals,m3,8.04,8.04,8.04,8.04,1,EGP,6.41,0.7981,315,315,建筑工程,معالجة التربة ودعم المنحدرات,حفرة الأساس,()
840021,تكلفة المواد,Material,General,CNY,0.0,0.0,0.0,0.0,0,EGP,59.56,26.686,269,269,建筑工程,أعمال التركيب العامة - المجلد 6 أجهزة التحكم الآلي والقياس,ومع,واحد
800045,مطرقة دوارة 520W,Equipment,General,machine-shift,8.84,8.84,8.84,8.84,1,EGP,0.94,0.1064,222,222,建筑工程,أعمال الأبواب والنوافذ,باب معدني,تكسية جدارية زخرفية
850002,34401A,Equipment,General,machine-shift,39.06,39.06,39.06,39.06,1,EGP,79.0,2.0225,219,219,建筑工程,أعمال التركيب العامة - المجلد 4 تركيب المعدات الكهربائية,كهرباء الارتفاع,كهرباء الارتفاع
