resource_code,name,type,category,unit,price_avg,price_min,price_max,price_median,price_variants,currency,avg_cost_per_use,avg_qty_per_use,usage_count,used_in_work_items,parent_category,parent_collection,parent_department,parent_section
870005,jornada laboral compuesta,Labor,Labor,work-day,13.23,13.23,13.23,13.23,1,EUR,75.48,5.7067,7704,7704,建筑工程,Trabajos generales de instalación - Vol.4 Instalación de equipos eléctricos,instalación en seco,instalación
840023,otros costos de herramientas,Equipment,General,CNY,0.0,0.0,0.0,0.0,0,EUR,2.01,13.1468,5840,5840,建筑工程,trabajos de movimiento de tierra y roca,trabajos de roca,excavación de movimientos de tierra generales
840004,otros costos de materiales,Material,General,CNY,0.0,0.0,0.0,0.0,0,EUR,1.17,6.9714,5546,5546,建筑工程,trabajos de movimiento de tierra y roca,relleno,relleno de cimientos
870003,jornada laboral compuesta,Labor,Labor,work-day,14.77,14.77,14.77,14.77,1,EUR,3.79,0.2564,1585,1585,建筑工程,trabajos de puertas y ventanas,puerta de metal,techo
870002,jornada laboral compuesta,Labor,Labor,work-day,13.98,13.98,13.98,13.98,1,EUR,21.23,1.5184,814,814,建筑工程,tratamiento del terreno y soporte de taludes,foso de cimentación,()
100321,diésel,Material,General,kg,1.51,1.51,1.51,1.51,1,EUR,9.06,6.0055,718,718,建筑工程,trabajos de movimiento de tierra y roca,trabajos de roca,excavación de movimientos de tierra generales
090290,varilla de soldadura (compuesta),Material,Welding Consumables,kg,1.31,1.31,1.31,1.31,1,EUR,2.32,1.7775,690,690,建筑工程,tratamiento del terreno y soporte de taludes,foso de cimentación,pilote de acero de sección
870004,jornada laboral compuesta,Labor,Labor,work-day,17.48,17.48,17.48,17.48,1,EUR,15.17,0.8678,589,589,建筑工程,trabajos de acabado de suelos,loseta de suelo,suelo
110057,secador,Material,General,kg,3.19,3.19,3.19,3.19,1,EUR,0.01,0.0026,542,542,建筑工程,"trabajos de pintura, recubrimiento y papel pintado","pasamanos de madera y otros elementos, láminas, tiras y molduras, pintura","pintura para puertas metálicas, ventanas"
800138,mezclador de mortero 200L,Equipment,General,machine-shift,1.85,1.85,1.85,1.85,1,EUR,0.02,0.0086,530,530,建筑工程,tratamiento del terreno y soporte de taludes,foso de cimentación,clavo
870006,jornada laboral compuesta,Labor,Labor,work-day,16.23,16.23,16.23,16.23,1,EUR,461.35,28.4191,414,414,建筑工程,Trabajos generales de instalación - Vol.4 Instalación de equipos eléctricos,altura electricidad,electricidad
850108,electricidad,Equipment,General,machine-shift,3.05,3.05,3.05,3.05,1,EUR,19.69,6.4467,399,399,建筑工程,Trabajos generales de instalación - Vol.5 Sistemas de inteligencia de edificios,instalación,instalación
030001,madera aserrada,Material,Wood & Timber,m3,319.3,319.3,319.3,319.3,1,EUR,4.35,0.0136,392,392,建筑工程,tratamiento del terreno y soporte de taludes,columna de concreto prefabricado,perfil y otros elementos techo
800011,máquina de soldar (compuesta),Equipment,Welding Equip.,machine-shift,3.13,3.13,3.13,3.13,1,EUR,0.55,0.1773,389,389,建筑工程,trabajos de pilotes,pilote de pilote,perfil y otros elementos techo
110120,gas de acetileno,Material,Chemicals,m3,4.71,4.71,4.71,4.71,1,EUR,2.02,0.4285,324,324,建筑工程,tratamiento del terreno y soporte de taludes,foso de cimentación,()
110499,diluyente de pintura acrílica,Material,Paint & Coatings,kg,2.45,2.45,2.45,2.45,1,EUR,0.09,0.0374,321,321,建筑工程,"trabajos de pintura, recubrimiento y papel pintado","pasamanos de madera y otros elementos, láminas, tiras y molduras, pintura","pintura para puertas metálicas, ventanas"
110121,oxígeno,Material,Chemicals,m3,0.6,0.6,0.6,0.6,1,EUR,0.48,0.7981,315,315,建筑工程,tratamiento del terreno y soporte de taludes,foso de cimentación,()
840021,coste de materiales,Material,General,CNY,0.0,0.0,0.0,0.0,0,EUR,4.48,26.686,269,269,建筑工程,Trabajos generales de instalación - Vol.6 Control de automatización e instrument,y con,único
800045,martillo rotatorio 520W,Equipment,General,machine-shift,0.67,0.67,0.67,0.67,1,EUR,0.07,0.1064,222,222,建筑工程,trabajos de puertas y ventanas,puerta de metal,revoque decorativo de paredes
850002,34401A,Equipment,General,machine-shift,2.94,2.94,2.94,2.94,1,EUR,5.95,2.0225,219,219,建筑工程,Trabajos generales de instalación - Vol.4 Instalación de equipos eléctricos,altura electricidad,altura electricidad
870001,jornada laboral compuesta,Labor,Labor,work-day,12.49,12.49,12.49,12.49,1,EUR,11.61,0.9299,206,206,建筑工程,trabajos de movimiento de tierra y roca,trabajos de roca,excavación de movimientos de tierra generales
800102,grúa móvil 16t,Equipment,Cranes,machine-shift,153.8,153.8,153.8,153.8,1,EUR,7.38,0.048,198,198,建筑工程,tratamiento del terreno y soporte de taludes,foso de cimentación,pilote de acero de sección
850125,F-87,Equipment,General,machine-shift,1.14,1.14,1.14,1.14,1,EUR,9.64,8.4372,185,185,建筑工程,Trabajos generales de instalación - Vol.4 Instalación de equipos eléctricos,electricidad,electricidad
