resource_code,name,type,category,unit,price_avg,price_min,price_max,price_median,price_variants,currency,avg_cost_per_use,avg_qty_per_use,usage_count,used_in_work_items,parent_category,parent_collection,parent_department,parent_section
870005,journée de travail composite,Labor,Labor,work-day,15.7,15.7,15.7,15.7,1,EUR,89.57,5.7067,7704,7704,建筑工程,Travaux d'installation générale - Vol.4 Installation d'équipements électriques,installation à sec,installation ()
840023,coût des autres outils,Equipment,General,CNY,0.0,0.0,0.0,0.0,0,EUR,2.38,13.1468,5840,5840,建筑工程,terrains et travaux de roche,travaux de roche,terrassement général
840004,coût des autres matériaux,Material,General,CNY,0.0,0.0,0.0,0.0,0,EUR,1.39,6.9714,5546,5546,建筑工程,terrains et travaux de roche,remblai,remblai de fondation
870003,journée de travail composite,Labor,Labor,work-day,17.53,17.53,17.53,17.53,1,EUR,4.49,0.2564,1585,1585,建筑工程,travaux de portes et fenêtres,porte en métal,plafond
870002,journée de travail composite,Labor,Labor,work-day,16.59,16.59,16.59,16.59,1,EUR,25.19,1.5184,814,814,建筑工程,traitement du sol et soutien de pente,fosse de fondation,()
100321,diesel,Material,General,kg,1.79,1.79,1.79,1.79,1,EUR,10.76,6.0055,718,718,建筑工程,terrains et travaux de roche,travaux de roche,terrassement général
090290,barre à souder (composite),Material,Welding Consumables,kg,1.55,1.55,1.55,1.55,1,EUR,2.76,1.7775,690,690,建筑工程,traitement du sol et soutien de pente,fosse de fondation,section pieu en acier
870004,journée de travail composite,Labor,Labor,work-day,20.74,20.74,20.74,20.74,1,EUR,18.0,0.8678,589,589,建筑工程,travaux de finition de sol,carrelage de sol,sol
110057,séchage,Material,General,kg,3.79,3.79,3.79,3.79,1,EUR,0.01,0.0026,542,542,建筑工程,"travaux de peinture, de revêtement et de pose de papier","main de bois et autres éléments, bandes de dalle et moulures, peinture","porte métallique, peinture pour fenêtres"
800138,malaxeur à mortier 200L,Equipment,General,machine-shift,2.19,2.19,2.19,2.19,1,EUR,0.02,0.0086,530,530,建筑工程,traitement du sol et soutien de pente,fosse de fondation,clou
870006,journée de travail composite,Labor,Labor,work-day,19.27,19.27,19.27,19.27,1,EUR,547.51,28.4191,414,414,建筑工程,Travaux d'installation générale - Vol.4 Installation d'équipements électriques,électricité en hauteur,électricité
850108,électricité,Equipment,General,machine-shift,3.62,3.62,3.62,3.62,1,EUR,23.36,6.4467,399,399,建筑工程,Travaux d'installation généraux - Vol.5 Systèmes d'intelligence des bâtiments,installation,installation
030001,bois scié,Material,Wood & Timber,m3,378.93,378.93,378.93,378.93,1,EUR,5.16,0.0136,392,392,建筑工程,traitement du sol et soutien de pente,poteau en béton préfabriqué,profil et autres éléments de toiture
800011,machine à souder (composite),Equipment,Welding Equip.,machine-shift,3.71,3.71,3.71,3.71,1,EUR,0.66,0.1773,389,389,建筑工程,travaux de fondation,pieu foré,profil et autres éléments de toiture
110120,gaz acétylène,Material,Chemicals,m3,5.58,5.58,5.58,5.58,1,EUR,2.39,0.4285,324,324,建筑工程,traitement du sol et soutien de pente,fosse de fondation,()
110499,diluant acrylique,Material,Paint & Coatings,kg,2.91,2.91,2.91,2.91,1,EUR,0.11,0.0374,321,321,建筑工程,"travaux de peinture, de revêtement et de pose de papier","main de bois et autres éléments, bandes de dalle et moulures, peinture","porte métallique, peinture pour fenêtres"
110121,oxygène,Material,Chemicals,m3,0.72,0.72,0.72,0.72,1,EUR,0.57,0.7981,315,315,建筑工程,traitement du sol et soutien de pente,fosse de fondation,()
840021,coût des matériaux,Material,General,CNY,0.0,0.0,0.0,0.0,0,EUR,5.32,26.686,269,269,建筑工程,Travaux d'installation généraux - Vol.6 Instrumentation de contrôle d'automatisa,et avec,simple
800045,perforateur rotatif 520W,Equipment,General,machine-shift,0.79,0.79,0.79,0.79,1,EUR,0.08,0.1064,222,222,建筑工程,travaux de portes et fenêtres,porte en métal,enduit décoratif mural
850002,34401,Equipment,General,machine-shift,3.49,3.49,3.49,3.49,1,EUR,7.06,2.0225,219,219,建筑工程,Travaux d'installation générale - Vol.4 Installation d'équipements électriques,électricité en hauteur,électricité en hauteur
