resource_code,name,type,category,unit,price_avg,price_min,price_max,price_median,price_variants,currency,avg_cost_per_use,avg_qty_per_use,usage_count,used_in_work_items,parent_category,parent_collection,parent_department,parent_section
870005,composite work-day,Labor,Labor,work-day,15.68,15.68,15.68,15.68,1,GBP,89.51,5.7067,7704,7704,建筑工程,General installation works - Vol.4 Electrical equipment installation,dry installation,installation
840023,other tools cost,Equipment,General,CNY,0.0,0.0,0.0,0.0,0,GBP,2.38,13.1468,5840,5840,建筑工程,earthwork and rock works,rock works works,excavating general earthwork
840004,other materials cost,Material,General,CNY,0.0,0.0,0.0,0.0,0,GBP,1.39,6.9714,5546,5546,建筑工程,earthwork and rock works,backfill,foundation backfill
870003,composite work-day,Labor,Labor,work-day,17.52,17.52,17.52,17.52,1,GBP,4.49,0.2564,1585,1585,建筑工程,door and window works,metal door,ceiling
870002,composite work-day,Labor,Labor,work-day,16.58,16.58,16.58,16.58,1,GBP,25.18,1.5184,814,814,建筑工程,ground treatment and slope support,foundation pit,()
100321,diesel,Material,General,kg,1.79,1.79,1.79,1.79,1,GBP,10.75,6.0055,718,718,建筑工程,earthwork and rock works,rock works works,excavating general earthwork
090290,welding rod (composite),Material,Welding Consumables,kg,1.55,1.55,1.55,1.55,1,GBP,2.76,1.7775,690,690,建筑工程,ground treatment and slope support,foundation pit,section steel pile
870004,composite work-day,Labor,Labor,work-day,20.73,20.73,20.73,20.73,1,GBP,17.99,0.8678,589,589,建筑工程,floor finishing works,floor tiling,ground
110057,drier,Material,General,kg,3.79,3.79,3.79,3.79,1,GBP,0.01,0.0026,542,542,建筑工程,"painting, coating and wallpapering works",timber handrail and other items slab strips and mouldings paint,"metal door, window paint"
800138,mortar mixer 200L,Equipment,General,machine-shift,2.19,2.19,2.19,2.19,1,GBP,0.02,0.0086,530,530,建筑工程,ground treatment and slope support,foundation pit,nail
870006,composite work-day,Labor,Labor,work-day,19.25,19.25,19.25,19.25,1,GBP,547.11,28.4191,414,414,建筑工程,General installation works - Vol.4 Electrical equipment installation,height electricity,electricity
850108,electricity,Equipment,General,machine-shift,3.62,3.62,3.62,3.62,1,GBP,23.34,6.4467,399,399,建筑工程,General installation works - Vol.5 Building intelligence systems,installation,installation
030001,sawn timber,Material,Wood & Timber,m3,378.66,378.66,378.66,378.66,1,GBP,5.16,0.0136,392,392,建筑工程,ground treatment and slope support,precast concrete column,profile and other items roof
800011,welding machine (composite),Equipment,Welding Equip.,machine-shift,3.71,3.71,3.71,3.71,1,GBP,0.66,0.1773,389,389,建筑工程,Piling works,bored pile,profile and other items roof
110120,acetylene gas,Material,Chemicals,m3,5.58,5.58,5.58,5.58,1,GBP,2.39,0.4285,324,324,建筑工程,ground treatment and slope support,foundation pit,()
110499,acrylic paint thinner,Material,Paint & Coatings,kg,2.91,2.91,2.91,2.91,1,GBP,0.11,0.0374,321,321,建筑工程,"painting, coating and wallpapering works",timber handrail and other items slab strips and mouldings paint,"metal door, window paint"
110121,oxygen,Material,Chemicals,m3,0.72,0.72,0.72,0.72,1,GBP,0.57,0.7981,315,315,建筑工程,ground treatment and slope support,foundation pit,()
840021,materials cost,Material,General,CNY,0.0,0.0,0.0,0.0,0,GBP,5.32,26.686,269,269,建筑工程,General installation works - Vol.6 Automation control instrumentation,and with,single
800045,rotary hammer 520W,Equipment,General,machine-shift,0.79,0.79,0.79,0.79,1,GBP,0.08,0.1064,222,222,建筑工程,door and window works,metal door,decorative wall plastering
850002,34401A,Equipment,General,machine-shift,3.49,3.49,3.49,3.49,1,GBP,7.05,2.0225,219,219,建筑工程,General installation works - Vol.4 Electrical equipment installation,height electricity,height electricity
