resource_code,name,type,category,unit,price_avg,price_min,price_max,price_median,price_variants,currency,avg_cost_per_use,avg_qty_per_use,usage_count,used_in_work_items,parent_category,parent_collection,parent_department,parent_section
870005,kompozitni radni dan,Labor,Labor,work-day,10.91,10.91,10.91,10.91,1,EUR,62.23,5.7067,7704,7704,建筑工程,Opći radovi instalacije - Vol.4 Instalacija električne opreme,suha ugradnja,ugradnja
840023,troškovi drugih alata,Equipment,General,CNY,0.0,0.0,0.0,0.0,0,EUR,1.65,13.1468,5840,5840,建筑工程,zemljani radovi i radovi s kamenom,radni radovi na stijeni,iskop općih zemljanih radova
840004,troškovi drugih materijala,Material,General,CNY,0.0,0.0,0.0,0.0,0,EUR,0.97,6.9714,5546,5546,建筑工程,zemljani radovi i radovi s kamenom,zaobljavanje,nasipavanje temelja
870003,kompozitni radni dan,Labor,Labor,work-day,12.18,12.18,12.18,12.18,1,EUR,3.12,0.2564,1585,1585,建筑工程,radovi na vratima i prozorima,metalna vrata,strop
870002,kompozitni radni dan,Labor,Labor,work-day,11.53,11.53,11.53,11.53,1,EUR,17.51,1.5184,814,814,建筑工程,tretman tla i potpora padinama,temeljna jama,()
100321,dizel,Material,General,kg,1.24,1.24,1.24,1.24,1,EUR,7.47,6.0055,718,718,建筑工程,zemljani radovi i radovi s kamenom,radni radovi na stijeni,iskop općih zemljanih radova
090290,elektroda (kompozitna),Material,Welding Consumables,kg,1.08,1.08,1.08,1.08,1,EUR,1.92,1.7775,690,690,建筑工程,tretman tla i potpora padinama,temeljna jama,sekcija čeličnih pilota
870004,kompozitni radni dan,Labor,Labor,work-day,14.41,14.41,14.41,14.41,1,EUR,12.51,0.8678,589,589,建筑工程,radovi završne obrade poda,keramičke pločice,ground
110057,sušilo,Material,General,kg,2.63,2.63,2.63,2.63,1,EUR,0.01,0.0026,542,542,建筑工程,"radovi slikanja, premazivanja i lijepljenja papira","drveni rukohvati i drugi predmeti, ploče, trake i obloge za bojenje","metalna vrata, boja za prozore"
800138,miješalica za malter 200L,Equipment,General,machine-shift,1.52,1.52,1.52,1.52,1,EUR,0.01,0.0086,530,530,建筑工程,tretman tla i potpora padinama,temeljna jama,čavli
870006,kompozitni radni dan,Labor,Labor,work-day,13.39,13.39,13.39,13.39,1,EUR,380.41,28.4191,414,414,建筑工程,Opći radovi instalacije - Vol.4 Instalacija električne opreme,visinska električna instalacija,električna energija
850108,električna energija,Equipment,General,machine-shift,2.52,2.52,2.52,2.52,1,EUR,16.23,6.4467,399,399,建筑工程,Opći radovi instalacije - Vol.5 Sustavi zgrade inteligencije,instalacija,instalacija
030001,sječena drva,Material,Wood & Timber,m3,263.28,263.28,263.28,263.28,1,EUR,3.59,0.0136,392,392,建筑工程,tretman tla i potpora padinama,prefabricirani betonski stup,profil i ostali elementi krova
800011,stroj za zavarivanje (kompozitni),Equipment,Welding Equip.,machine-shift,2.58,2.58,2.58,2.58,1,EUR,0.46,0.1773,389,389,建筑工程,radovi na zabijanju,bore pile,profil i ostali elementi krova
110120,acetilen,Material,Chemicals,m3,3.88,3.88,3.88,3.88,1,EUR,1.66,0.4285,324,324,建筑工程,tretman tla i potpora padinama,temeljna jama,()
110499,razrjeđivač akrila,Material,Paint & Coatings,kg,2.02,2.02,2.02,2.02,1,EUR,0.08,0.0374,321,321,建筑工程,"radovi slikanja, premazivanja i lijepljenja papira","drveni rukohvati i drugi predmeti, ploče, trake i obloge za bojenje","metalna vrata, boja za prozore"
110121,kisikik,Material,Chemicals,m3,0.5,0.5,0.5,0.5,1,EUR,0.4,0.7981,315,315,建筑工程,tretman tla i potpora padinama,temeljna jama,()
840021,troškovi materijala,Material,General,CNY,0.0,0.0,0.0,0.0,0,EUR,3.7,26.686,269,269,建筑工程,Opći radovi instalacije - Vol.6 Instrumentacija za automatizaciju i kontrolu,i s,jedan
