resource_code,name,type,category,unit,price_avg,price_min,price_max,price_median,price_variants,currency,avg_cost_per_use,avg_qty_per_use,usage_count,used_in_work_items,parent_category,parent_collection,parent_department,parent_section
870005,giornata di lavoro composta,Labor,Labor,work-day,14.14,14.14,14.14,14.14,1,EUR,80.67,5.7067,7704,7704,建筑工程,Lavori di installazione generali - Vol.4 Installazione apparecchiature elettrich,installazione a secco,installazione ()
840023,costo di altri strumenti,Equipment,General,CNY,0.0,0.0,0.0,0.0,0,EUR,2.14,13.1468,5840,5840,建筑工程,scavi e lavori di roccia,lavori in roccia,scavo di lavori generali di terra
840004,costi di altri materiali,Material,General,CNY,0.0,0.0,0.0,0.0,0,EUR,1.25,6.9714,5546,5546,建筑工程,scavi e lavori di roccia,riempimento di riempimento,riempimento di fondazione
870003,giornata di lavoro composta,Labor,Labor,work-day,15.79,15.79,15.79,15.79,1,EUR,4.05,0.2564,1585,1585,建筑工程,lavori di porte e finestre,porta in metallo,soffitto
870002,giornata di lavoro composta,Labor,Labor,work-day,14.94,14.94,14.94,14.94,1,EUR,22.69,1.5184,814,814,建筑工程,trattamento del terreno e supporto delle scarpate,scavo di fondazione,()
100321,diesel,Material,General,kg,1.61,1.61,1.61,1.61,1,EUR,9.69,6.0055,718,718,建筑工程,scavi e lavori di roccia,lavori in roccia,scavo di lavori generali di terra
090290,elettrodo di saldatura (composito),Material,Welding Consumables,kg,1.4,1.4,1.4,1.4,1,EUR,2.48,1.7775,690,690,建筑工程,trattamento del terreno e supporto delle scarpate,scavo di fondazione,palo di fondazione in acciaio
870004,giornata di lavoro composta,Labor,Labor,work-day,18.68,18.68,18.68,18.68,1,EUR,16.21,0.8678,589,589,建筑工程,lavori di finitura pavimenti,piastrellatura del pavimento,pavimento
110057,asciugatrice,Material,General,kg,3.41,3.41,3.41,3.41,1,EUR,0.01,0.0026,542,542,建筑工程,"lavori di pittura, rivestimento e tappezzeria","corrimano in legno e altri elementi, lastre e profili, pittura",vernice per porte e finestre in metallo
800138,mixer di calcestruzzo 200L,Equipment,General,machine-shift,1.98,1.98,1.98,1.98,1,EUR,0.02,0.0086,530,530,建筑工程,trattamento del terreno e supporto delle scarpate,scavo di fondazione,nail
870006,giornata di lavoro composta,Labor,Labor,work-day,17.35,17.35,17.35,17.35,1,EUR,493.09,28.4191,414,414,建筑工程,Lavori di installazione generali - Vol.4 Installazione apparecchiature elettrich,altezza elettricità,elettricità
