resource_code,name,type,category,unit,price_avg,price_min,price_max,price_median,price_variants,currency,avg_cost_per_use,avg_qty_per_use,usage_count,used_in_work_items,parent_category,parent_collection,parent_department,parent_section
870005,?? ???,Labor,Labor,work-day,18908.49,18908.49,18908.49,18908.49,1,KRW,107904.94,5.7067,7704,7704,建筑工程,?? ?? ?? - ?4? ???? ??,건식 설치,() 설치
840023,?? ?? ??,Equipment,General,CNY,0.0,0.0,0.0,0.0,0,KRW,2867.01,13.1468,5840,5840,建筑工程,토공 및 암석 작업,암석 작업,일반 토공 굴착
840004,?? ?? ??,Material,General,CNY,0.0,0.0,0.0,0.0,0,KRW,1676.96,6.9714,5546,5546,建筑工程,토공 및 암석 작업,백필,기초 되메우기
870003,?? ???,Labor,Labor,work-day,21118.89,21118.89,21118.89,21118.89,1,KRW,5414.64,0.2564,1585,1585,建筑工程,? ? ?? ??,금속문,천장
870002,?? ???,Labor,Labor,work-day,19989.66,19989.66,19989.66,19989.66,1,KRW,30351.84,1.5184,814,814,建筑工程,?? ?? ? ?? ??,기초 굴착,()
100321,??,Material,General,kg,2157.54,2157.54,2157.54,2157.54,1,KRW,12957.08,6.0055,718,718,建筑工程,토공 및 암석 작업,암석 작업,일반 토공 굴착
090290,???(??),Material,Welding Consumables,kg,1869.23,1869.23,1869.23,1869.23,1,KRW,3322.5,1.7775,690,690,建筑工程,?? ?? ? ?? ??,기초 굴착,단면 강재 말뚝
870004,?? ???,Labor,Labor,work-day,24987.08,24987.08,24987.08,24987.08,1,KRW,21684.12,0.8678,589,589,建筑工程,?? ?? ??,바닥 타일,바닥
110057,???,Material,General,kg,4564.95,4564.95,4564.95,4564.95,1,KRW,11.9,0.0026,542,542,建筑工程,"??, ?? ? ?? ??","?? ??? ? ?? ??, ?? ? ? ?? ??","금속문, 창문 도장"
800138,???? ?? 200L,Equipment,General,machine-shift,2642.86,2642.86,2642.86,2642.86,1,KRW,22.7,0.0086,530,530,建筑工程,?? ?? ? ?? ??,기초 굴착,못
870006,?? ???,Labor,Labor,work-day,23209.15,23209.15,23209.15,23209.15,1,KRW,659582.09,28.4191,414,414,建筑工程,?? ?? ?? - ?4? ???? ??,고전압 전기,전기
850108,전기,Equipment,General,machine-shift,4365.53,4365.53,4365.53,4365.53,1,KRW,28143.24,6.4467,399,399,建筑工程,?? ?? ?? - ?5? ?? ??? ???,설치,설치
030001,제재목,Material,Wood & Timber,m3,456494.71,456494.71,456494.71,456494.71,1,KRW,6220.55,0.0136,392,392,建筑工程,?? ?? ? ?? ??,프리캐스트 콘크리트 기둥,프로파일 및 기타 지붕 자재
800011,???(??),Equipment,Welding Equip.,machine-shift,4468.84,4468.84,4468.84,4468.84,1,KRW,792.27,0.1773,389,389,建筑工程,?? ??,기초 말뚝,프로파일 및 기타 지붕 자재
110120,아세틸렌 가스,Material,Chemicals,m3,6727.29,6727.29,6727.29,6727.29,1,KRW,2882.67,0.4285,324,324,建筑工程,?? ?? ? ?? ??,기초 굴착,()
110499,아크릴 페인트 신너,Material,Paint & Coatings,kg,3507.8,3507.8,3507.8,3507.8,1,KRW,131.16,0.0374,321,321,建筑工程,"??, ?? ? ?? ??","?? ??? ? ?? ??, ?? ? ? ?? ??","금속문, 창문 도장"
110121,산소,Material,Chemicals,m3,864.94,864.94,864.94,864.94,1,KRW,690.34,0.7981,315,315,建筑工程,?? ?? ? ?? ??,기초 굴착,()
840021,자재비,Material,General,CNY,0.0,0.0,0.0,0.0,0,KRW,6411.59,26.686,269,269,建筑工程,?? ?? ?? - ?6? ???? ??,및,단일
800045,회전 해머 520W,Equipment,General,machine-shift,951.43,951.43,951.43,951.43,1,KRW,101.23,0.1064,222,222,建筑工程,? ? ?? ??,금속문,장식용 벽 미장
850002,34401A,Equipment,General,machine-shift,4204.56,4204.56,4204.56,4204.56,1,KRW,8503.75,2.0225,219,219,建筑工程,?? ?? ?? - ?4? ???? ??,고전압 전기,고전압 전기
