resource_code,name,type,category,unit,price_avg,price_min,price_max,price_median,price_variants,currency,avg_cost_per_use,avg_qty_per_use,usage_count,used_in_work_items,parent_category,parent_collection,parent_department,parent_section
870005,композит өдөр,Labor,Labor,work-day,28065.32,28065.32,28065.32,28065.32,1,MNT,160160.13,5.7067,7704,7704,建筑工程,Ерөнхий суурилуулалтын ажил - 4-р боть Цахилгаан тоног төхөөрөмжийн суурилуулалт,хуурай суурилуулалт,суулгалт
840023,бусад багажны зардал,Equipment,General,CNY,0.0,0.0,0.0,0.0,0,MNT,4255.42,13.1468,5840,5840,建筑工程,газрын ажил болон чулууны ажил,чулууны ажил,ерөнхий хөрсний ухалт
840004,бусад материалын зардал,Material,General,CNY,0.0,0.0,0.0,0.0,0,MNT,2489.06,6.9714,5546,5546,建筑工程,газрын ажил болон чулууны ажил,дагуулалт,суурийн нөхөлт
870003,композит өдөр,Labor,Labor,work-day,31346.14,31346.14,31346.14,31346.14,1,MNT,8036.8,0.2564,1585,1585,建筑工程,хаалга болон цонхны ажил,металл хаалга,таван
870002,композит өдөр,Labor,Labor,work-day,29670.07,29670.07,29670.07,29670.07,1,MNT,45050.34,1.5184,814,814,建筑工程,газар шорооны боловсруулалт ба налуу дэмжлэг,суурийн ухаш,()
100321,дизель,Material,General,kg,3202.37,3202.37,3202.37,3202.37,1,MNT,19231.82,6.0055,718,718,建筑工程,газрын ажил болон чулууны ажил,чулууны ажил,ерөнхий хөрсний ухалт
090290,гагнуурын утас (композит),Material,Welding Consumables,kg,2774.44,2774.44,2774.44,2774.44,1,MNT,4931.49,1.7775,690,690,建筑工程,газар шорооны боловсруулалт ба налуу дэмжлэг,суурийн ухаш,хэсгийн ган шон
870004,композит өдөр,Labor,Labor,work-day,37087.59,37087.59,37087.59,37087.59,1,MNT,32185.1,0.8678,589,589,建筑工程,"шал, ханын болон плита бүрэх ажил",шалны плитка,шал
110057,хатаар,Material,General,kg,6775.62,6775.62,6775.62,6775.62,1,MNT,17.67,0.0026,542,542,建筑工程,"будаг, бүрэх болон цаас наах ажил","модон бариул болон бусад зүйлс, хавтангийн тууз, чимэглэлийн будаг","металл хаалга, цонхны будаг"
800138,200L зуурмаг холигч,Equipment,General,machine-shift,3922.73,3922.73,3922.73,3922.73,1,MNT,33.69,0.0086,530,530,建筑工程,газар шорооны боловсруулалт ба налуу дэмжлэг,суурийн ухаш,шүд
870006,композит өдөр,Labor,Labor,work-day,34448.66,34448.66,34448.66,34448.66,1,MNT,978998.34,28.4191,414,414,建筑工程,Ерөнхий суурилуулалтын ажил - 4-р боть Цахилгаан тоног төхөөрөмжийн суурилуулалт,өндөр хүчдэл,цахилгаан эрчим хүч
850108,цахилгаан эрчим хүч,Equipment,General,machine-shift,6479.63,6479.63,6479.63,6479.63,1,MNT,41772.18,6.4467,399,399,建筑工程,Ерөнхий суурилуулалтын ажил - 5-р боть Барилгын оюун ухааны систем,суурилуулалт,суурилуулалт
030001,салбар мод,Material,Wood & Timber,m3,677561.69,677561.69,677561.69,677561.69,1,MNT,9232.98,0.0136,392,392,建筑工程,газар шорооны боловсруулалт ба налуу дэмжлэг,урьдчилан хийсэн бетон багана,профиль болон бусад зүйлс дээвэр
800011,гагнуурын машин (композит),Equipment,Welding Equip.,machine-shift,6632.97,6632.97,6632.97,6632.97,1,MNT,1175.94,0.1773,389,389,建筑工程,босоо өрөмдлөгийн ажил,ховортой багана,профиль болон бусад зүйлс дээвэр
110120,ацетилен хий,Material,Chemicals,m3,9985.12,9985.12,9985.12,9985.12,1,MNT,4278.66,0.4285,324,324,建筑工程,газар шорооны боловсруулалт ба налуу дэмжлэг,суурийн ухаш,()
110499,акрилын будаг шингээгч,Material,Paint & Coatings,kg,5206.53,5206.53,5206.53,5206.53,1,MNT,194.68,0.0374,321,321,建筑工程,"будаг, бүрэх болон цаас наах ажил","модон бариул болон бусад зүйлс, хавтангийн тууз, чимэглэлийн будаг","металл хаалга, цонхны будаг"
110121,амьсгал,Material,Chemicals,m3,1283.8,1283.8,1283.8,1283.8,1,MNT,1024.65,0.7981,315,315,建筑工程,газар шорооны боловсруулалт ба налуу дэмжлэг,суурийн ухаш,()
840021,материалын зардал,Material,General,CNY,0.0,0.0,0.0,0.0,0,MNT,9516.53,26.686,269,269,建筑工程,Ерөнхий суурилуулалтын ажил - 6-р боть Автоматжуулалтын хяналтын багаж,ба хамт,нэгж
800045,ротари хэммер 520W,Equipment,General,machine-shift,1412.18,1412.18,1412.18,1412.18,1,MNT,150.25,0.1064,222,222,建筑工程,хаалга болон цонхны ажил,металл хаалга,чимэглэлийн хана будалт
850002,34401A,Equipment,General,machine-shift,6240.7,6240.7,6240.7,6240.7,1,MNT,12621.86,2.0225,219,219,建筑工程,Ерөнхий суурилуулалтын ажил - 4-р боть Цахилгаан тоног төхөөрөмжийн суурилуулалт,өндөр хүчдэл,өндөр хүчдэл
870001,композит өдөр,Labor,Labor,work-day,26496.23,26496.23,26496.23,26496.23,1,MNT,24639.37,0.9299,206,206,建筑工程,газрын ажил болон чулууны ажил,чулууны ажил,ерөнхий хөрсний ухалт
800102,тээврийн кран 16t,Equipment,Cranes,machine-shift,326370.77,326370.77,326370.77,326370.77,1,MNT,15667.54,0.048,198,198,建筑工程,газар шорооны боловсруулалт ба налуу дэмжлэг,суурийн ухаш,хэсгийн ган шон
850125,F-87,Equipment,General,machine-shift,2424.96,2424.96,2424.96,2424.96,1,MNT,20459.88,8.4372,185,185,建筑工程,Ерөнхий суурилуулалтын ажил - 4-р боть Цахилгаан тоног төхөөрөмжийн суурилуулалт,цахилгаан эрчим хүч,цахилгаан эрчим хүч
800073,чулуу зүсэгч,Equipment,General,machine-shift,8273.38,8273.38,8273.38,8273.38,1,MNT,111.38,0.0135,179,179,建筑工程,дахи болон ус нэвтрүүлэлтийн ажил,цайргаас хамгаалах бүрхүүл,профиль болон бусад зүйлс дээвэр
280120,6,Material,General,pcs,1208.91,1208.91,1208.91,1208.91,1,MNT,2454.09,2.03,173,173,建筑工程,Ерөнхий суурилуулалтын ажил - 4-р боть Цахилгаан тоног төхөөрөмжийн суурилуулалт,цахилгаан эрчим хүчний суурилуулалт,мэс засал суулгалт
010023,цайрдсан хавтгай ган,Material,Steel & Metal,kg,1861.51,1861.51,1861.51,1861.51,1,MNT,4894.47,2.6293,165,165,建筑工程,Ерөнхий суурилуулалтын ажил - 4-р боть Цахилгаан тоног төхөөрөмжийн суурилуулалт,хуурай суурилуулалт,суулгалт
800186,гар өрөм 0.5кВт,Equipment,General,machine-shift,410.1,410.1,410.1,410.1,1,MNT,27.35,0.0667,158,158,建筑工程,хаалга болон цонхны ажил,металл хаалга,чулуу хавтангийн тулгуур гадаргуу
100040,цагаан сойз,Material,Paint & Coatings,kg,6419.01,6419.01,6419.01,6419.01,1,MNT,180.87,0.0282,158,158,建筑工程,"шал, ханын болон плита бүрэх ажил","модон бариул болон бусад зүйлс, хавтангийн тууз, чимэглэлийн будаг","металл хаалга, цонхны будаг"
