resource_code,name,type,category,unit,price_avg,price_min,price_max,price_median,price_variants,currency,avg_cost_per_use,avg_qty_per_use,usage_count,used_in_work_items,parent_category,parent_collection,parent_department,parent_section
870005,composite work-day,Labor,Labor,work-day,4517.27,4517.27,4517.27,4517.27,1,NGN,25778.69,5.7067,7704,7704,建筑工程,General installation works - Vol.4 Electrical equipment installation,dry installation,installation
840023,other tools cost,Equipment,General,CNY,0.0,0.0,0.0,0.0,0,NGN,684.93,13.1468,5840,5840,建筑工程,earthwork and rock works,rock works works,excavating general earthwork
840004,other materials cost,Material,General,CNY,0.0,0.0,0.0,0.0,0,NGN,400.63,6.9714,5546,5546,建筑工程,earthwork and rock works,backfill,foundation backfill
870003,composite work-day,Labor,Labor,work-day,5045.34,5045.34,5045.34,5045.34,1,NGN,1293.57,0.2564,1585,1585,建筑工程,door and window works,metal door,ceiling
870002,composite work-day,Labor,Labor,work-day,4775.57,4775.57,4775.57,4775.57,1,NGN,7251.11,1.5184,814,814,建筑工程,ground treatment and slope support,foundation pit,()
100321,diesel,Material,General,kg,515.44,515.44,515.44,515.44,1,NGN,3095.47,6.0055,718,718,建筑工程,earthwork and rock works,rock works works,excavating general earthwork
090290,welding rod (composite),Material,Welding Consumables,kg,446.56,446.56,446.56,446.56,1,NGN,793.75,1.7775,690,690,建筑工程,ground treatment and slope support,foundation pit,section steel pile
870004,composite work-day,Labor,Labor,work-day,5969.46,5969.46,5969.46,5969.46,1,NGN,5180.38,0.8678,589,589,建筑工程,floor finishing works,floor tiling,ground
110057,drier,Material,General,kg,1090.57,1090.57,1090.57,1090.57,1,NGN,2.84,0.0026,542,542,建筑工程,"painting, coating and wallpapering works",timber handrail and other items slab strips and mouldings paint,"metal door, window paint"
800138,mortar mixer 200L,Equipment,General,machine-shift,631.39,631.39,631.39,631.39,1,NGN,5.42,0.0086,530,530,建筑工程,ground treatment and slope support,foundation pit,nail
870006,composite work-day,Labor,Labor,work-day,5544.71,5544.71,5544.71,5544.71,1,NGN,157575.36,28.4191,414,414,建筑工程,General installation works - Vol.4 Electrical equipment installation,height electricity,electricity
850108,electricity,Equipment,General,machine-shift,1042.93,1042.93,1042.93,1042.93,1,NGN,6723.47,6.4467,399,399,建筑工程,General installation works - Vol.5 Building intelligence systems,installation,installation
030001,sawn timber,Material,Wood & Timber,m3,109057.42,109057.42,109057.42,109057.42,1,NGN,1486.1,0.0136,392,392,建筑工程,ground treatment and slope support,precast concrete column,profile and other items roof
800011,welding machine (composite),Equipment,Welding Equip.,machine-shift,1067.61,1067.61,1067.61,1067.61,1,NGN,189.27,0.1773,389,389,建筑工程,Piling works,bored pile,profile and other items roof
110120,acetylene gas,Material,Chemicals,m3,1607.16,1607.16,1607.16,1607.16,1,NGN,688.67,0.4285,324,324,建筑工程,ground treatment and slope support,foundation pit,()
110499,acrylic paint thinner,Material,Paint & Coatings,kg,838.02,838.02,838.02,838.02,1,NGN,31.33,0.0374,321,321,建筑工程,"painting, coating and wallpapering works",timber handrail and other items slab strips and mouldings paint,"metal door, window paint"
110121,oxygen,Material,Chemicals,m3,206.64,206.64,206.64,206.64,1,NGN,164.92,0.7981,315,315,建筑工程,ground treatment and slope support,foundation pit,()
840021,materials cost,Material,General,CNY,0.0,0.0,0.0,0.0,0,NGN,1531.74,26.686,269,269,建筑工程,General installation works - Vol.6 Automation control instrumentation,and with,single
800045,rotary hammer 520W,Equipment,General,machine-shift,227.3,227.3,227.3,227.3,1,NGN,24.18,0.1064,222,222,建筑工程,door and window works,metal door,decorative wall plastering
850002,34401A,Equipment,General,machine-shift,1004.48,1004.48,1004.48,1004.48,1,NGN,2031.56,2.0225,219,219,建筑工程,General installation works - Vol.4 Electrical equipment installation,height electricity,height electricity
870001,composite work-day,Labor,Labor,work-day,4264.72,4264.72,4264.72,4264.72,1,NGN,3965.85,0.9299,206,206,建筑工程,earthwork and rock works,rock works works,excavating general earthwork
800102,truck crane 16t,Equipment,Cranes,machine-shift,52531.24,52531.24,52531.24,52531.24,1,NGN,2521.78,0.048,198,198,建筑工程,ground treatment and slope support,foundation pit,section steel pile
850125,F-87,Equipment,General,machine-shift,390.31,390.31,390.31,390.31,1,NGN,3293.13,8.4372,185,185,建筑工程,General installation works - Vol.4 Electrical equipment installation,electricity,electricity
800073,stone cutter,Equipment,General,machine-shift,1331.65,1331.65,1331.65,1331.65,1,NGN,17.93,0.0135,179,179,建筑工程,roofing and waterproofing works,anti-corrosion finish layer,profile and other items roof
280120,6,Material,General,pcs,194.58,194.58,194.58,194.58,1,NGN,395.0,2.03,173,173,建筑工程,General installation works - Vol.4 Electrical equipment installation,electricity installation,mesh installation
010023,galvanized flat steel,Material,Steel & Metal,kg,299.62,299.62,299.62,299.62,1,NGN,787.79,2.6293,165,165,建筑工程,General installation works - Vol.4 Electrical equipment installation,dry installation,installation
800186,hand drill 0.5kW,Equipment,General,machine-shift,66.01,66.01,66.01,66.01,1,NGN,4.4,0.0667,158,158,建筑工程,door and window works,metal door,stone slab beam surface
100040,white spirit paint,Material,Paint & Coatings,kg,1033.18,1033.18,1033.18,1033.18,1,NGN,29.11,0.0282,158,158,建筑工程,floor finishing works,timber handrail and other items slab strips and mouldings paint,"metal door, window paint"
800033,AC welder 32kVA,Equipment,Welding Equip.,machine-shift,860.98,860.98,860.98,860.98,1,NGN,494.77,0.5747,157,157,建筑工程,ground treatment and slope support,foundation pit,section steel pile
800148,electric drill 1kW,Equipment,General,machine-shift,264.03,264.03,264.03,264.03,1,NGN,57.17,0.2165,152,152,建筑工程,door and window works,"door, door",column (beam) surface decorative
110060,silicone sealant (sealant),Material,Rubber,pcs,390.31,390.31,390.31,390.31,1,NGN,241.28,0.6182,149,149,建筑工程,door and window works,skirting,stone slab column surface
800278,cargo truck 15t,Equipment,Trucks,machine-shift,22551.93,22551.93,22551.93,22551.93,1,NGN,902.17,0.04,145,145,建筑工程,Preliminaries and site measures,cast-in-situ concrete formwork and brackets,scaffolding
150007,electricity,Material,General,kWh,72.9,72.9,72.9,72.9,1,NGN,595.23,8.1654,143,143,建筑工程,ground treatment and slope support,foundation pit,ground wall
840027,amortised materials cost,Material,General,CNY,0.0,0.0,0.0,0.0,0,NGN,3957.27,68.9437,142,142,建筑工程,Preliminaries and site measures,cast-in-situ concrete formwork and brackets,scaffolding
840028,rental materials cost,Material,General,CNY,0.0,0.0,0.0,0.0,0,NGN,1104.52,19.2429,142,142,建筑工程,Preliminaries and site measures,cast-in-situ concrete formwork and brackets,scaffolding
350011,moulding BV-6,Material,General,m,226.72,226.72,226.72,226.72,1,NGN,467.07,2.0601,140,140,建筑工程,General installation works - Vol.5 Building intelligence systems,installation,mesh installation
800007,cargo truck 5t,Equipment,Trucks,machine-shift,11106.64,11106.64,11106.64,11106.64,1,NGN,877.66,0.079,140,140,建筑工程,General installation works - Vol.4 Electrical equipment installation,height electricity installation,installation
090263,iron fittings,Material,Steel & Metal,kg,258.29,258.29,258.29,258.29,1,NGN,6425.95,24.8784,137,137,建筑工程,Piling works,block masonry,roof water
280122,16,Material,General,pcs,389.16,389.16,389.16,389.16,1,NGN,1003.08,2.5775,135,135,建筑工程,General installation works - Vol.4 Electrical equipment installation,electricity installation,electricity embedding installation
090045,galvanized 8,Material,General,pcs,0.57,0.57,0.57,0.57,1,NGN,2.79,4.8598,130,130,建筑工程,General installation works - Vol.4 Electrical equipment installation,electricity installation,installation
800014,electricity winch single 5t,Equipment,Hoists,machine-shift,6474.57,6474.57,6474.57,6474.57,1,NGN,2594.27,0.4007,129,129,建筑工程,General installation works - Vol.7 Ventilation and air conditioning,and installation,installation
850009,electricity 3141,Equipment,General,machine-shift,359.89,359.89,359.89,359.89,1,NGN,168.92,0.4694,128,128,建筑工程,General installation works - Vol.4 Electrical equipment installation,electricity,electricity
090029,galvanized 8,Material,General,pcs,6.31,6.31,6.31,6.31,1,NGN,60.24,9.541,127,127,建筑工程,ceiling works,ceiling suspended ceiling,ceiling keel
090030,galvanized 10,Material,General,pcs,6.31,6.31,6.31,6.31,1,NGN,66.27,10.4954,121,121,建筑工程,General installation works - Vol.4 Electrical equipment installation,height installation,installation
110152,contact adhesive,Material,General,kg,774.88,774.88,774.88,774.88,1,NGN,224.26,0.2894,120,120,建筑工程,door and window works,window slab,roof ()
110321,water,Material,Water,kg,369.07,369.07,369.07,369.07,1,NGN,20.11,0.0545,117,117,建筑工程,General installation works - Vol.5 Building intelligence systems,installation,installation
010138,shim plate,Material,General,kg,262.89,262.89,262.89,262.89,1,NGN,570.53,2.1702,116,116,建筑工程,Piling works,precast concrete column,profile and other items roof
020003,white cement,Material,Concrete & Cement,kg,54.53,54.53,54.53,54.53,1,NGN,32.86,0.6026,116,116,建筑工程,"wall and column finishes, partitions and curtain walls",wall block-facing layer,stone slab wall surface
010016,angle steel 63 within,Material,Steel & Metal,kg,210.65,210.65,210.65,210.65,1,NGN,1202.82,5.71,115,115,建筑工程,roofing and waterproofing works,column (beam) facing,profile and other items roof
150122,stone-cutter blade,Equipment,General,pcs,459.19,459.19,459.19,459.19,1,NGN,15.54,0.0338,113,113,建筑工程,"wall and column finishes, partitions and curtain walls",wall block-facing layer,stone slab wall surface
090174,shim plate,Material,General,kg,218.11,218.11,218.11,218.11,1,NGN,779.52,3.5739,113,113,建筑工程,General installation works - Vol.4 Electrical equipment installation,dry installation,installation
110570,oil-based acrylic woodwork primer,Material,Wood & Timber,kg,918.38,918.38,918.38,918.38,1,NGN,100.48,0.1094,112,112,建筑工程,"painting, coating and wallpapering works",timber handrail and other items slab strips and mouldings paint,timber handrail paint
110769,nitrocellulose woodwork primer thinner,Material,Wood & Timber,kg,2008.95,2008.95,2008.95,2008.95,1,NGN,36.89,0.0184,112,112,建筑工程,"painting, coating and wallpapering works",timber handrail and other items slab strips and mouldings paint,timber handrail paint
350237,ground moulding,Material,General,m,860.98,860.98,860.98,860.98,1,NGN,567.36,0.659,111,111,建筑工程,General installation works - Vol.4 Electrical equipment installation,electricity installation,electricity embedding installation
110172,petrol,Material,General,kg,541.84,541.84,541.84,541.84,1,NGN,9145.19,16.8779,109,109,建筑工程,ground treatment and slope support,Roof waterproofing and sundries,roof membrane waterproofing
400034,DS mortar,Material,Concrete & Cement,m3,26345.98,26345.98,26345.98,26345.98,1,NGN,707.04,0.0268,107,107,建筑工程,Masonry works,blinding layer,profile and other items roof
110593,polyurethane primer thinner,Material,Paint & Coatings,kg,838.02,838.02,838.02,838.02,1,NGN,18.89,0.0225,106,106,建筑工程,"painting, coating and wallpapering works",timber handrail and other items slab strips and mouldings paint,"metal door, window paint"
110132,latex,Material,General,kg,373.09,373.09,373.09,373.09,1,NGN,346.66,0.9292,106,106,建筑工程,timber-structure works,timber structural,wall surface decorative slab
020001,cement (composite),Material,Concrete & Cement,kg,22.96,22.96,22.96,22.96,1,NGN,734.03,31.9707,101,101,建筑工程,Piling works,bored pile,anti-corrosion mortar finish layer
090503,galvanized nail M6,Equipment,General,set,25.83,25.83,25.83,25.83,1,NGN,102.46,3.9667,100,100,建筑工程,General installation works - Vol.5 Building intelligence systems,installation,electricity installation
830075,composite plywood formwork,Material,Wood & Timber,m2,1721.96,1721.96,1721.96,1721.96,1,NGN,158.77,0.0922,99,99,建筑工程,Preliminaries and site measures,cast-in-situ concrete formwork and brackets,foundation
110360,coal bitumen primer,Material,Paint & Coatings,kg,924.12,924.12,924.12,924.12,1,NGN,115.09,0.1245,99,99,建筑工程,"General installation works - Vol.12 Painting, anti-corrosion, thermal insulation",anti-corrosion,ordinary anti-corrosion brushing coating
040025,sand,Material,Aggregates,kg,4.02,4.02,4.02,4.02,1,NGN,304.55,75.7993,99,99,建筑工程,ground treatment and slope support,stone masonry,profile and other items roof
110361,coal bitumen topcoat,Material,Waterproofing,kg,924.12,924.12,924.12,924.12,1,NGN,935.1,1.0119,99,99,建筑工程,"General installation works - Vol.12 Painting, anti-corrosion, thermal insulation",anti-corrosion,ordinary anti-corrosion brushing coating
090278,alloy-steel drill bit,Material,Steel & Metal,pcs,1721.96,1721.96,1721.96,1721.96,1,NGN,329.01,0.1911,98,98,建筑工程,"wall and column finishes, partitions and curtain walls",wall block-facing layer,stone slab wall surface
850194,composite 2422,Equipment,General,machine-shift,1750.66,1750.66,1750.66,1750.66,1,NGN,8058.77,4.6033,98,98,建筑工程,General installation works - Vol.6 Automation control instrumentation,and,(DCS)
090495,galvanized 10,Material,General,pcs,1.72,1.72,1.72,1.72,1,NGN,8.84,5.1336,97,97,建筑工程,General installation works - Vol.4 Electrical equipment installation,height installation,installation
840006,water,Material,Water,t,356.45,356.45,356.45,356.45,1,NGN,197.12,0.553,96,96,建筑工程,ground treatment and slope support,foundation pit,section steel pile
850201,electricity SB861,Equipment,General,machine-shift,2530.13,2530.13,2530.13,2530.13,1,NGN,1428.02,0.5644,96,96,建筑工程,General installation works - Vol.6 Automation control instrumentation,and,single
400043,adhesive DTA mortar,Material,Concrete & Cement,m3,126277.01,126277.01,126277.01,126277.01,1,NGN,839.09,0.0066,96,96,建筑工程,door and window works,door window,profile and other items roof
800185,electric cutter,Equipment,General,machine-shift,1595.77,1595.68,1598.55,1595.68,2,NGN,75.4,0.0472,95,95,建筑工程,"wall and column finishes, partitions and curtain walls",wall facing,wall surface decorative slab
090233,galvanized iron wire 8 12,Material,Steel & Metal,kg,358.74,358.74,358.74,358.74,1,NGN,592.46,1.6515,95,95,建筑工程,concrete and reinforced concrete works,cast-in-situ concrete slab,timber ground slab
110546,thinner,Material,General,kg,1951.55,1951.55,1951.55,1951.55,1,NGN,201.16,0.1031,93,93,建筑工程,"General installation works - Vol.12 Painting, anti-corrosion, thermal insulation",anti-corrosion,paint
850180,DF-1,Equipment,General,machine-shift,724.94,724.94,724.94,724.94,1,NGN,3858.82,5.3229,93,93,建筑工程,General installation works - Vol.6 Automation control instrumentation,mesh and,mesh
110586,alkyd enamel thinner,Material,Paint & Coatings,kg,614.17,614.17,614.17,614.17,1,NGN,9.81,0.016,90,90,建筑工程,"painting, coating and wallpapering works",timber handrail and other items slab strips and mouldings paint,timber handrail paint
110585,alkyd enamel,Material,Paint & Coatings,kg,929.86,929.86,929.86,929.86,1,NGN,143.38,0.1542,90,90,建筑工程,"painting, coating and wallpapering works",timber handrail and other items slab strips and mouldings paint,timber handrail paint
110174,200 petrol,Material,General,kg,359.32,359.32,359.32,359.32,1,NGN,19.44,0.0541,90,90,建筑工程,General installation works - Vol.4 Electrical equipment installation,rectangular brushing,water slab
110547,poly paint thinner,Material,Paint & Coatings,kg,774.88,774.88,774.88,774.88,1,NGN,36.19,0.0467,90,90,建筑工程,"General installation works - Vol.12 Painting, anti-corrosion, thermal insulation",,poly paint
110589,polyurethane topcoat thinner,Material,General,kg,838.02,838.02,838.02,838.02,1,NGN,19.57,0.0234,88,88,建筑工程,"painting, coating and wallpapering works",timber handrail and other items slab strips and mouldings paint,"metal door, window paint"
110583,alkyd enamel,Material,Paint & Coatings,kg,1004.48,1004.48,1004.48,1004.48,1,NGN,127.13,0.1266,86,86,建筑工程,"painting, coating and wallpapering works",timber handrail and other items slab strips and mouldings paint,timber handrail paint
110568,alkyd primer,Material,Paint & Coatings,kg,746.18,746.18,746.18,746.18,1,NGN,68.08,0.0912,86,86,建筑工程,"painting, coating and wallpapering works",timber handrail and other items slab strips and mouldings paint,timber handrail paint
850205,electricity PZ38,Equipment,General,machine-shift,271.5,271.5,271.5,271.5,1,NGN,1525.97,5.6206,86,86,建筑工程,General installation works - Vol.6 Automation control instrumentation,mesh and,mesh
110584,alkyd enamel thinner,Material,Paint & Coatings,kg,614.17,614.17,614.17,614.17,1,NGN,8.91,0.0145,86,86,建筑工程,"painting, coating and wallpapering works",timber handrail and other items slab strips and mouldings paint,timber handrail paint
