resource_code,name,type,category,unit,price_avg,price_min,price_max,price_median,price_variants,currency,avg_cost_per_use,avg_qty_per_use,usage_count,used_in_work_items,parent_category,parent_collection,parent_department,parent_section
870005,composiet werkdag,Labor,Labor,work-day,17.3,17.3,17.3,17.3,1,EUR,98.71,5.7067,7704,7704,建筑工程,Algemene installatiewerken - Vol.4 Installatie van elektrische apparatuur,droge installatie,installatie
840023,kosten van andere gereedschappen,Equipment,General,CNY,0.0,0.0,0.0,0.0,0,EUR,2.62,13.1468,5840,5840,建筑工程,grondwerken en rotswerken,steenwerken,algemene grondwerken uitgraven
840004,overige materiaalkosten,Material,General,CNY,0.0,0.0,0.0,0.0,0,EUR,1.53,6.9714,5546,5546,建筑工程,grondwerken en rotswerken,opvullen,fundering terugvulling
870003,composiet werkdag,Labor,Labor,work-day,19.32,19.32,19.32,19.32,1,EUR,4.95,0.2564,1585,1585,建筑工程,deur- en raamwerken,metaaldeur,plafond
870002,composiet werkdag,Labor,Labor,work-day,18.29,18.29,18.29,18.29,1,EUR,27.77,1.5184,814,814,建筑工程,grondbehandeling en hellingsondersteuning,funderingstrench,()
100321,diesel,Material,General,kg,1.97,1.97,1.97,1.97,1,EUR,11.85,6.0055,718,718,建筑工程,grondwerken en rotswerken,steenwerken,algemene grondwerken uitgraven
090290,lasdraad (composiet),Material,Welding Consumables,kg,1.71,1.71,1.71,1.71,1,EUR,3.04,1.7775,690,690,建筑工程,grondbehandeling en hellingsondersteuning,funderingstrench,sectie stalen paal
870004,composiet werkdag,Labor,Labor,work-day,22.86,22.86,22.86,22.86,1,EUR,19.84,0.8678,589,589,建筑工程,vloerafwerkingswerken,vloertegels,grond
110057,droger,Material,General,kg,4.18,4.18,4.18,4.18,1,EUR,0.01,0.0026,542,542,建筑工程,"schilder-, coating- en behangwerken",houten leuning en andere items slab strips en lijsten verf,"metalen deur, raamverf"
800138,mortelmenger 200L,Equipment,General,machine-shift,2.42,2.42,2.42,2.42,1,EUR,0.02,0.0086,530,530,建筑工程,grondbehandeling en hellingsondersteuning,funderingstrench,spijker
870006,composiet werkdag,Labor,Labor,work-day,21.23,21.23,21.23,21.23,1,EUR,603.38,28.4191,414,414,建筑工程,Algemene installatiewerken - Vol.4 Installatie van elektrische apparatuur,hoogte elektriciteit,elektriciteit
850108,elektriciteit,Equipment,General,machine-shift,3.99,3.99,3.99,3.99,1,EUR,25.75,6.4467,399,399,建筑工程,Algemene installatiewerken - Vol.5 Bouwintelligentiesystemen,installatie,installatie
030001,gezaagd hout,Material,Wood & Timber,m3,417.6,417.6,417.6,417.6,1,EUR,5.69,0.0136,392,392,建筑工程,grondbehandeling en hellingsondersteuning,prefab betonnen kolom,profiel en andere items dak
800011,lasmachine (composiet),Equipment,Welding Equip.,machine-shift,4.09,4.09,4.09,4.09,1,EUR,0.72,0.1773,389,389,建筑工程,fundering werkzaamheden,bored pile,profiel en andere items dak
110120,acetylen gas,Material,Chemicals,m3,6.15,6.15,6.15,6.15,1,EUR,2.64,0.4285,324,324,建筑工程,grondbehandeling en hellingsondersteuning,funderingstrench,()
110499,acrylaatverfverdunner,Material,Paint & Coatings,kg,3.21,3.21,3.21,3.21,1,EUR,0.12,0.0374,321,321,建筑工程,"schilder-, coating- en behangwerken",houten leuning en andere items slab strips en lijsten verf,"metalen deur, raamverf"
