resource_code,name,type,category,unit,price_avg,price_min,price_max,price_median,price_variants,currency,avg_cost_per_use,avg_qty_per_use,usage_count,used_in_work_items,parent_category,parent_collection,parent_department,parent_section
870005,kompozycyjny dzień roboczy,Labor,Labor,work-day,45.62,45.62,45.62,45.62,1,PLN,260.34,5.7067,7704,7704,建筑工程,Ogólne prace instalacyjne - Tom 4 Instalacja sprzętu elektrycznego,sucha instalacja,montaż ()
840023,koszt innych narzędzi,Equipment,General,CNY,0.0,0.0,0.0,0.0,0,PLN,6.92,13.1468,5840,5840,建筑工程,roboty ziemne i prace skalne,roboty skalne,roboty ziemne ogólne
840004,koszt innych materiałów,Material,General,CNY,0.0,0.0,0.0,0.0,0,PLN,4.05,6.9714,5546,5546,建筑工程,roboty ziemne i prace skalne,zasypka,zasypka fundamentowa
870003,kompozycyjny dzień roboczy,Labor,Labor,work-day,50.95,50.95,50.95,50.95,1,PLN,13.06,0.2564,1585,1585,建筑工程,prace związane z drzwiami i oknami,metalowe drzwi,sufit
870002,kompozycyjny dzień roboczy,Labor,Labor,work-day,48.23,48.23,48.23,48.23,1,PLN,73.23,1.5184,814,814,建筑工程,leczenie gruntów i wsparcie skarp,wykop fundamentowy,()
100321,olej napędowy,Material,General,kg,5.21,5.21,5.21,5.21,1,PLN,31.26,6.0055,718,718,建筑工程,roboty ziemne i prace skalne,roboty skalne,roboty ziemne ogólne
090290,pręt spawalniczy (kompozytowy),Material,Welding Consumables,kg,4.51,4.51,4.51,4.51,1,PLN,8.02,1.7775,690,690,建筑工程,leczenie gruntów i wsparcie skarp,wykop fundamentowy,sekcja pali stalowych
870004,kompozycyjny dzień roboczy,Labor,Labor,work-day,60.29,60.29,60.29,60.29,1,PLN,52.32,0.8678,589,589,建筑工程,prace wykończeniowe podłóg,płytki podłogowe,posadzka
110057,suszarka,Material,General,kg,11.01,11.01,11.01,11.01,1,PLN,0.03,0.0026,542,542,建筑工程,"prace malarskie, powłokowe i tapetarskie","poręcz drewniana i inne elementy, paski i listwy malarskie","drzwi metalowe, farba do okien"
800138,mieszarka do zaprawy 200L,Equipment,General,machine-shift,6.38,6.38,6.38,6.38,1,PLN,0.05,0.0086,530,530,建筑工程,leczenie gruntów i wsparcie skarp,wykop fundamentowy,kołek
870006,kompozycyjny dzień roboczy,Labor,Labor,work-day,56.0,56.0,56.0,56.0,1,PLN,1591.37,28.4191,414,414,建筑工程,Ogólne prace instalacyjne - Tom 4 Instalacja sprzętu elektrycznego,wysokość elektryczna,energia elektryczna
850108,energia elektryczna,Equipment,General,machine-shift,10.53,10.53,10.53,10.53,1,PLN,67.9,6.4467,399,399,建筑工程,Ogólne prace instalacyjne - Tom 5 Systemy inteligencji budynków,montaż,montaż
030001,deska tarcicy,Material,Wood & Timber,m3,1101.39,1101.39,1101.39,1101.39,1,PLN,15.01,0.0136,392,392,建筑工程,leczenie gruntów i wsparcie skarp,prefabrykowany słup betonowy,profil i inne elementy dachu
800011,maszyna spawalnicza (kompozytowa),Equipment,Welding Equip.,machine-shift,10.78,10.78,10.78,10.78,1,PLN,1.91,0.1773,389,389,建筑工程,prace fundamentowe,bored pile,profil i inne elementy dachu
110120,gaz acetylenowy,Material,Chemicals,m3,16.23,16.23,16.23,16.23,1,PLN,6.96,0.4285,324,324,建筑工程,leczenie gruntów i wsparcie skarp,wykop fundamentowy,()
110499,rozcieńczalnik do farb akrylowych,Material,Paint & Coatings,kg,8.46,8.46,8.46,8.46,1,PLN,0.32,0.0374,321,321,建筑工程,"prace malarskie, powłokowe i tapetarskie","poręcz drewniana i inne elementy, paski i listwy malarskie","drzwi metalowe, farba do okien"
110121,tlen,Material,Chemicals,m3,2.09,2.09,2.09,2.09,1,PLN,1.67,0.7981,315,315,建筑工程,leczenie gruntów i wsparcie skarp,wykop fundamentowy,()
840021,koszt materiałów,Material,General,CNY,0.0,0.0,0.0,0.0,0,PLN,15.47,26.686,269,269,建筑工程,Ogólne prace instalacyjne - Tom 6 Automatyka kontrolna i instrumentacja,i z,jednostka
800045,młot udarowy 520W,Equipment,General,machine-shift,2.3,2.3,2.3,2.3,1,PLN,0.24,0.1064,222,222,建筑工程,prace związane z drzwiami i oknami,metalowe drzwi,dekoracyjna tynkowanie ścian
850002,34401A,Equipment,General,machine-shift,10.14,10.14,10.14,10.14,1,PLN,20.52,2.0225,219,219,建筑工程,Ogólne prace instalacyjne - Tom 4 Instalacja sprzętu elektrycznego,wysokość elektryczna,wysokość elektryczna
870001,kompozycyjny dzień roboczy,Labor,Labor,work-day,43.07,43.07,43.07,43.07,1,PLN,40.05,0.9299,206,206,建筑工程,roboty ziemne i prace skalne,roboty skalne,roboty ziemne ogólne
800102,dźwig ciężarowy 16t,Equipment,Cranes,machine-shift,530.52,530.52,530.52,530.52,1,PLN,25.47,0.048,198,198,建筑工程,leczenie gruntów i wsparcie skarp,wykop fundamentowy,sekcja pali stalowych
850125,F-87,Equipment,General,machine-shift,3.94,3.94,3.94,3.94,1,PLN,33.26,8.4372,185,185,建筑工程,Ogólne prace instalacyjne - Tom 4 Instalacja sprzętu elektrycznego,energia elektryczna,energia elektryczna
800073,cięcie kamienia,Equipment,General,machine-shift,13.45,13.45,13.45,13.45,1,PLN,0.18,0.0135,179,179,建筑工程,prace dachowe i hydroizolacyjne,warstwa powłoki antykorozyjnej,profil i inne elementy dachu
280120,6,Material,General,pcs,1.97,1.97,1.97,1.97,1,PLN,3.99,2.03,173,173,建筑工程,Ogólne prace instalacyjne - Tom 4 Instalacja sprzętu elektrycznego,instalacja elektryczna,montaż siatki
010023,stal płaska ocynkowana,Material,Steel & Metal,kg,3.03,3.03,3.03,3.03,1,PLN,7.96,2.6293,165,165,建筑工程,Ogólne prace instalacyjne - Tom 4 Instalacja sprzętu elektrycznego,sucha instalacja,montaż ()
