resource_code,name,type,category,unit,price_avg,price_min,price_max,price_median,price_variants,currency,avg_cost_per_use,avg_qty_per_use,usage_count,used_in_work_items,parent_category,parent_collection,parent_department,parent_section
870005,jornada de trabalho composta,Labor,Labor,work-day,12.37,12.37,12.37,12.37,1,EUR,70.61,5.7067,7704,7704,建筑工程,General installation works - Vol.4 Electrical equipment installation,instalação seca,instalação
840023,outros custos de ferramentas,Equipment,General,CNY,0.0,0.0,0.0,0.0,0,EUR,1.88,13.1468,5840,5840,建筑工程,movimentação de terra e rochas,obras de rocha obras,escavação de terraplenagem geral
840004,outros custos de materiais,Material,General,CNY,0.0,0.0,0.0,0.0,0,EUR,1.1,6.9714,5546,5546,建筑工程,movimentação de terra e rochas,reaterro,reaterro de fundação
870003,jornada de trabalho composta,Labor,Labor,work-day,13.82,13.82,13.82,13.82,1,EUR,3.54,0.2564,1585,1585,建筑工程,obras de portas e janelas,porta de metal,forro
870002,jornada de trabalho composta,Labor,Labor,work-day,13.08,13.08,13.08,13.08,1,EUR,19.86,1.5184,814,814,建筑工程,tratamento de solo e suporte de talude,funda de escavação,()
100321,diesel,Material,General,kg,1.41,1.41,1.41,1.41,1,EUR,8.48,6.0055,718,718,建筑工程,movimentação de terra e rochas,obras de rocha obras,escavação de terraplenagem geral
090290,eletrodo de soldagem (compósito),Material,Welding Consumables,kg,1.22,1.22,1.22,1.22,1,EUR,2.17,1.7775,690,690,建筑工程,tratamento de solo e suporte de talude,funda de escavação,estaca de aço de secção
870004,jornada de trabalho composta,Labor,Labor,work-day,16.35,16.35,16.35,16.35,1,EUR,14.19,0.8678,589,589,建筑工程,revestimentos de piso,revestimento de piso,solo
110057,secador,Material,General,kg,2.99,2.99,2.99,2.99,1,EUR,0.01,0.0026,542,542,建筑工程,"pintura, revestimentos e trabalhos de papel de parede",timber handrail and other items slab strips and mouldings paint,"porta metálica, tinta para janelas"
800138,misturador de argamassa 200L,Equipment,General,machine-shift,1.73,1.73,1.73,1.73,1,EUR,0.01,0.0086,530,530,建筑工程,tratamento de solo e suporte de talude,funda de escavação,prego
870006,jornada de trabalho composta,Labor,Labor,work-day,15.19,15.19,15.19,15.19,1,EUR,431.64,28.4191,414,414,建筑工程,General installation works - Vol.4 Electrical equipment installation,altura da eletricidade,eletricidade
850108,eletricidade,Equipment,General,machine-shift,2.86,2.86,2.86,2.86,1,EUR,18.42,6.4467,399,399,建筑工程,Obras gerais de instalação - Vol.5 Sistemas de inteligência predial,instalação,instalação
030001,madeira serrada,Material,Wood & Timber,m3,298.74,298.74,298.74,298.74,1,EUR,4.07,0.0136,392,392,建筑工程,tratamento de solo e suporte de talude,coluna de concreto pré-moldado,perfil e outros itens de cobertura
800011,máquina de soldar (compósito),Equipment,Welding Equip.,machine-shift,2.92,2.92,2.92,2.92,1,EUR,0.52,0.1773,389,389,建筑工程,escavações de estacas,estaca escavada,perfil e outros itens de cobertura
110120,gás de acetileno,Material,Chemicals,m3,4.4,4.4,4.4,4.4,1,EUR,1.89,0.4285,324,324,建筑工程,tratamento de solo e suporte de talude,funda de escavação,()
110499,diluyente de pintura acrílica,Material,Paint & Coatings,kg,2.3,2.3,2.3,2.3,1,EUR,0.09,0.0374,321,321,建筑工程,"pintura, revestimentos e trabalhos de papel de parede",timber handrail and other items slab strips and mouldings paint,"porta metálica, tinta para janelas"
110121,oxigênio,Material,Chemicals,m3,0.57,0.57,0.57,0.57,1,EUR,0.45,0.7981,315,315,建筑工程,tratamento de solo e suporte de talude,funda de escavação,()
840021,custo de materiais,Material,General,CNY,0.0,0.0,0.0,0.0,0,EUR,4.2,26.686,269,269,建筑工程,"Obras gerais de instalação - Vol.6 Automação, controle e instrumentação",e com,único
800045,Martelo rotativo 520W,Equipment,General,machine-shift,0.62,0.62,0.62,0.62,1,EUR,0.07,0.1064,222,222,建筑工程,obras de portas e janelas,porta de metal,revestimento decorativo de parede
850002,34401A,Equipment,General,machine-shift,2.75,2.75,2.75,2.75,1,EUR,5.56,2.0225,219,219,建筑工程,General installation works - Vol.4 Electrical equipment installation,altura da eletricidade,altura da eletricidade
870001,jornada de trabalho composta,Labor,Labor,work-day,11.68,11.68,11.68,11.68,1,EUR,10.86,0.9299,206,206,建筑工程,movimentação de terra e rochas,obras de rocha obras,escavação de terraplenagem geral
800102,guindaste móvel 16t,Equipment,Cranes,machine-shift,143.9,143.9,143.9,143.9,1,EUR,6.91,0.048,198,198,建筑工程,tratamento de solo e suporte de talude,funda de escavação,estaca de aço de secção
850125,F-87,Equipment,General,machine-shift,1.07,1.07,1.07,1.07,1,EUR,9.02,8.4372,185,185,建筑工程,General installation works - Vol.4 Electrical equipment installation,eletricidade,eletricidade
800073,cortador de pedra,Equipment,General,machine-shift,3.65,3.65,3.65,3.65,1,EUR,0.05,0.0135,179,179,建筑工程,trabalhos de cobertura e impermeabilização,camada de acabamento anticorrosivo,perfil e outros itens de cobertura
280120,6,Material,General,pcs,0.53,0.53,0.53,0.53,1,EUR,1.08,2.03,173,173,建筑工程,General installation works - Vol.4 Electrical equipment installation,instalação de eletricidade,instalação de malha
010023,aço plano galvanizado,Material,Steel & Metal,kg,0.82,0.82,0.82,0.82,1,EUR,2.16,2.6293,165,165,建筑工程,General installation works - Vol.4 Electrical equipment installation,instalação seca,instalação
800186,"furadeira manual 0,5kW",Equipment,General,machine-shift,0.18,0.18,0.18,0.18,1,EUR,0.01,0.0667,158,158,建筑工程,obras de portas e janelas,porta de metal,superfície de laje de pedra
100040,tinta de espírito branco,Material,Paint & Coatings,kg,2.83,2.83,2.83,2.83,1,EUR,0.08,0.0282,158,158,建筑工程,revestimentos de piso,timber handrail and other items slab strips and mouldings paint,"porta metálica, tinta para janelas"
800033,Soldador de arco AC 32kVA,Equipment,Welding Equip.,machine-shift,2.36,2.36,2.36,2.36,1,EUR,1.36,0.5747,157,157,建筑工程,tratamento de solo e suporte de talude,funda de escavação,estaca de aço de secção
800148,furadeira elétrica 1kW,Equipment,General,machine-shift,0.72,0.72,0.72,0.72,1,EUR,0.16,0.2165,152,152,建筑工程,obras de portas e janelas,"porta, porta",revestimento decorativo de superfície de coluna (viga)
