resource_code,name,type,category,unit,price_avg,price_min,price_max,price_median,price_variants,currency,avg_cost_per_use,avg_qty_per_use,usage_count,used_in_work_items,parent_category,parent_collection,parent_department,parent_section
870005,zi de lucru compus,Labor,Labor,work-day,45.85,45.85,45.85,45.85,1,RON,261.68,5.7067,7704,7704,建筑工程,Lucrări generale de instalare - Vol.4 Instalarea echipamentelor electrice,instalație uscată,instalare
840023,alte unelte cost,Equipment,General,CNY,0.0,0.0,0.0,0.0,0,RON,6.95,13.1468,5840,5840,建筑工程,lucrări de terasament și lucrări de rocă,lucrări de rocă,excavare generală a pământului
840004,alte costuri ale materialelor,Material,General,CNY,0.0,0.0,0.0,0.0,0,RON,4.07,6.9714,5546,5546,建筑工程,lucrări de terasament și lucrări de rocă,umplere de umplere,umplutură de fundație
870003,zi de lucru compus,Labor,Labor,work-day,51.22,51.22,51.22,51.22,1,RON,13.13,0.2564,1585,1585,建筑工程,lucrări de uși și feronerie,Ușă metalică,tavan
870002,zi de lucru compus,Labor,Labor,work-day,48.48,48.48,48.48,48.48,1,RON,73.61,1.5184,814,814,建筑工程,tratament de sol și suport pentru pante,excavare fundație,()
100321,motorină,Material,General,kg,5.23,5.23,5.23,5.23,1,RON,31.42,6.0055,718,718,建筑工程,lucrări de terasament și lucrări de rocă,lucrări de rocă,excavare generală a pământului
090290,tijă de sudură (compozit),Material,Welding Consumables,kg,4.53,4.53,4.53,4.53,1,RON,8.06,1.7775,690,690,建筑工程,tratament de sol și suport pentru pante,excavare fundație,secțiune pilă metalică
870004,zi de lucru compus,Labor,Labor,work-day,60.6,60.6,60.6,60.6,1,RON,52.59,0.8678,589,589,建筑工程,lucrări de finisare a pardoselilor,plăci de gresie,teren
110057,uscător,Material,General,kg,11.07,11.07,11.07,11.07,1,RON,0.03,0.0026,542,542,建筑工程,"lucrări de vopsire, acoperire și tapetare","balustradă din lemn și alte articole, benzi de placaj și mouluri, vopsea","ușă metalică, vopsea pentru feronerie"
800138,mixer de mortar 200L,Equipment,General,machine-shift,6.41,6.41,6.41,6.41,1,RON,0.06,0.0086,530,530,建筑工程,tratament de sol și suport pentru pante,excavare fundație,țintă
870006,zi de lucru compus,Labor,Labor,work-day,56.28,56.28,56.28,56.28,1,RON,1599.55,28.4191,414,414,建筑工程,Lucrări generale de instalare - Vol.4 Instalarea echipamentelor electrice,electricitate înălțime,electricitate
850108,electricitate,Equipment,General,machine-shift,10.59,10.59,10.59,10.59,1,RON,68.25,6.4467,399,399,建筑工程,Lucrări generale de instalare - Vol.5 Sisteme de inteligență în clădiri,instalare,instalare
