resource_code,name,type,category,unit,price_avg,price_min,price_max,price_median,price_variants,currency,avg_cost_per_use,avg_qty_per_use,usage_count,used_in_work_items,parent_category,parent_collection,parent_department,parent_section
870005,композитный рабочий день,Labor,Labor,work-day,685.9,685.9,685.9,685.9,1,RUB,3914.24,5.7067,7704,7704,建筑工程,Общие монтажные работы - Том 4 Установка электрического оборудования,сухая установка,монтажные работы
840023,стоимость других инструментов,Equipment,General,CNY,0.0,0.0,0.0,0.0,0,RUB,104.0,13.1468,5840,5840,建筑工程,земляные работы и работы с камнем,скальные работы,общие земляные работы
840004,стоимость других материалов,Material,General,CNY,0.0,0.0,0.0,0.0,0,RUB,60.83,6.9714,5546,5546,建筑工程,земляные работы и работы с камнем,засыпка,обратная засыпка фундамента
870003,композитный рабочий день,Labor,Labor,work-day,766.09,766.09,766.09,766.09,1,RUB,196.42,0.2564,1585,1585,建筑工程,работы по установке дверей и окон,металлическая дверь,потолок
870002,композитный рабочий день,Labor,Labor,work-day,725.12,725.12,725.12,725.12,1,RUB,1101.01,1.5184,814,814,建筑工程,обработка грунта и поддержка склонов,котлован,()
100321,дизель,Material,General,kg,78.26,78.26,78.26,78.26,1,RUB,470.02,6.0055,718,718,建筑工程,земляные работы и работы с камнем,скальные работы,общие земляные работы
090290,сварочная проволока (композитная),Material,Welding Consumables,kg,67.81,67.81,67.81,67.81,1,RUB,120.52,1.7775,690,690,建筑工程,обработка грунта и поддержка склонов,котлован,секционный стальной свай
870004,композитный рабочий день,Labor,Labor,work-day,906.4,906.4,906.4,906.4,1,RUB,786.59,0.8678,589,589,建筑工程,работы по отделке пола,плитка для пола,основание
110057,сушилка,Material,General,kg,165.59,165.59,165.59,165.59,1,RUB,0.43,0.0026,542,542,建筑工程,"работы по покраске, покрытию и оклейке обоями","деревянное перила и другие элементы, плиты, полосы и молдинги, краска","металлическая дверь, краска для окон"
800138,миксер для раствора 200L,Equipment,General,machine-shift,95.87,95.87,95.87,95.87,1,RUB,0.82,0.0086,530,530,建筑工程,обработка грунта и поддержка склонов,котлован,гвоздь
870006,композитный рабочий день,Labor,Labor,work-day,841.91,841.91,841.91,841.91,1,RUB,23926.28,28.4191,414,414,建筑工程,Общие монтажные работы - Том 4 Установка электрического оборудования,высотное электрооборудование,электроэнергия
850108,электроэнергия,Equipment,General,machine-shift,158.36,158.36,158.36,158.36,1,RUB,1020.89,6.4467,399,399,建筑工程,Общие монтажные работы - Том 5 Системы интеллектуального здания,монтаж,монтаж
030001,пиломатериалы,Material,Wood & Timber,m3,16559.3,16559.3,16559.3,16559.3,1,RUB,225.65,0.0136,392,392,建筑工程,обработка грунта и поддержка склонов,сборная бетонная колонна,профиль и другие элементы крыши
800011,сварочный аппарат (композитный),Equipment,Welding Equip.,machine-shift,162.11,162.11,162.11,162.11,1,RUB,28.74,0.1773,389,389,建筑工程,работы по забивке свай,сверловая свая,профиль и другие элементы крыши
110120,ацетилен,Material,Chemicals,m3,244.03,244.03,244.03,244.03,1,RUB,104.57,0.4285,324,324,建筑工程,обработка грунта и поддержка склонов,котлован,()
110499,акриловая краска-растворитель,Material,Paint & Coatings,kg,127.25,127.25,127.25,127.25,1,RUB,4.76,0.0374,321,321,建筑工程,"работы по покраске, покрытию и оклейке обоями","деревянное перила и другие элементы, плиты, полосы и молдинги, краска","металлическая дверь, краска для окон"
110121,кислород,Material,Chemicals,m3,31.38,31.38,31.38,31.38,1,RUB,25.04,0.7981,315,315,建筑工程,обработка грунта и поддержка склонов,котлован,()
840021,стоимость материалов,Material,General,CNY,0.0,0.0,0.0,0.0,0,RUB,232.58,26.686,269,269,建筑工程,Общие монтажные работы - Том 6 Автоматизация управления и инструментальные средс,и с,один
800045,ротационный молоток 520W,Equipment,General,machine-shift,34.51,34.51,34.51,34.51,1,RUB,3.67,0.1064,222,222,建筑工程,работы по установке дверей и окон,металлическая дверь,декоративная штукатурка стен
850002,34401,Equipment,General,machine-shift,152.52,152.52,152.52,152.52,1,RUB,308.47,2.0225,219,219,建筑工程,Общие монтажные работы - Том 4 Установка электрического оборудования,высотное электрооборудование,высотное электрооборудование
870001,композитный рабочий день,Labor,Labor,work-day,647.56,647.56,647.56,647.56,1,RUB,602.18,0.9299,206,206,建筑工程,земляные работы и работы с камнем,скальные работы,общие земляные работы
800102,гусеничный кран 16t,Equipment,Cranes,machine-shift,7976.35,7976.35,7976.35,7976.35,1,RUB,382.91,0.048,198,198,建筑工程,обработка грунта и поддержка склонов,котлован,секционный стальной свай
