resource_code,name,type,category,unit,price_avg,price_min,price_max,price_median,price_variants,currency,avg_cost_per_use,avg_qty_per_use,usage_count,used_in_work_items,parent_category,parent_collection,parent_department,parent_section
870005,journée de travail composite,Labor,Labor,work-day,4822.76,4822.76,4822.76,4822.76,1,XOF,27521.98,5.7067,7704,7704,建筑工程,Travaux d'installation générale - Vol.4 Installation d'équipements électriques,installation à sec,installation ()
840023,coût des autres outils,Equipment,General,CNY,0.0,0.0,0.0,0.0,0,XOF,731.25,13.1468,5840,5840,建筑工程,terrains et travaux de roche,travaux de roche,terrassement général
840004,coût des autres matériaux,Material,General,CNY,0.0,0.0,0.0,0.0,0,XOF,427.72,6.9714,5546,5546,建筑工程,terrains et travaux de roche,remblai,remblai de fondation
870003,journée de travail composite,Labor,Labor,work-day,5386.53,5386.53,5386.53,5386.53,1,XOF,1381.05,0.2564,1585,1585,建筑工程,travaux de portes et fenêtres,porte en métal,plafond
870002,journée de travail composite,Labor,Labor,work-day,5098.52,5098.52,5098.52,5098.52,1,XOF,7741.47,1.5184,814,814,建筑工程,traitement du sol et soutien de pente,fosse de fondation,()
100321,diesel,Material,General,kg,550.3,550.3,550.3,550.3,1,XOF,3304.8,6.0055,718,718,建筑工程,terrains et travaux de roche,travaux de roche,terrassement général
090290,barre à souder (composite),Material,Welding Consumables,kg,476.76,476.76,476.76,476.76,1,XOF,847.43,1.7775,690,690,建筑工程,traitement du sol et soutien de pente,fosse de fondation,section pieu en acier
870004,journée de travail composite,Labor,Labor,work-day,6373.15,6373.15,6373.15,6373.15,1,XOF,5530.7,0.8678,589,589,建筑工程,travaux de finition de sol,carrelage de sol,sol
110057,séchage,Material,General,kg,1164.32,1164.32,1164.32,1164.32,1,XOF,3.04,0.0026,542,542,建筑工程,"travaux de peinture, de revêtement et de pose de papier","main de bois et autres éléments, bandes de dalle et moulures, peinture","porte métallique, peinture pour fenêtres"
800138,malaxeur à mortier 200L,Equipment,General,machine-shift,674.08,674.08,674.08,674.08,1,XOF,5.79,0.0086,530,530,建筑工程,traitement du sol et soutien de pente,fosse de fondation,clou
870006,journée de travail composite,Labor,Labor,work-day,5919.67,5919.67,5919.67,5919.67,1,XOF,168231.48,28.4191,414,414,建筑工程,Travaux d'installation générale - Vol.4 Installation d'équipements électriques,électricité en hauteur,électricité
850108,électricité,Equipment,General,machine-shift,1113.46,1113.46,1113.46,1113.46,1,XOF,7178.15,6.4467,399,399,建筑工程,Travaux d'installation généraux - Vol.5 Systèmes d'intelligence des bâtiments,installation,installation
030001,bois scié,Material,Wood & Timber,m3,116432.48,116432.48,116432.48,116432.48,1,XOF,1586.6,0.0136,392,392,建筑工程,traitement du sol et soutien de pente,poteau en béton préfabriqué,profil et autres éléments de toiture
800011,machine à souder (composite),Equipment,Welding Equip.,machine-shift,1139.81,1139.81,1139.81,1139.81,1,XOF,202.07,0.1773,389,389,建筑工程,travaux de fondation,pieu foré,profil et autres éléments de toiture
110120,gaz acétylène,Material,Chemicals,m3,1715.85,1715.85,1715.85,1715.85,1,XOF,735.25,0.4285,324,324,建筑工程,traitement du sol et soutien de pente,fosse de fondation,()
110499,diluant acrylique,Material,Paint & Coatings,kg,894.69,894.69,894.69,894.69,1,XOF,33.45,0.0374,321,321,建筑工程,"travaux de peinture, de revêtement et de pose de papier","main de bois et autres éléments, bandes de dalle et moulures, peinture","porte métallique, peinture pour fenêtres"
110121,oxygène,Material,Chemicals,m3,220.61,220.61,220.61,220.61,1,XOF,176.08,0.7981,315,315,建筑工程,traitement du sol et soutien de pente,fosse de fondation,()
840021,coût des matériaux,Material,General,CNY,0.0,0.0,0.0,0.0,0,XOF,1635.32,26.686,269,269,建筑工程,Travaux d'installation généraux - Vol.6 Instrumentation de contrôle d'automatisa,et avec,simple
