resource_code,name,type,category,unit,price_avg,price_min,price_max,price_median,price_variants,currency,avg_cost_per_use,avg_qty_per_use,usage_count,used_in_work_items,parent_category,parent_collection,parent_department,parent_section
870005,komposit arbetsdag,Labor,Labor,work-day,198.01,198.01,198.01,198.01,1,SEK,1129.97,5.7067,7704,7704,建筑工程,Allmän installationsarbete - Vol.4 Installation av elektrisk utrustning,torr installation,installation
840023,andra verktyg kostnad,Equipment,General,CNY,0.0,0.0,0.0,0.0,0,SEK,30.02,13.1468,5840,5840,建筑工程,jordarbeten och bergarbeten,bergarbeten,schaktning allmän jordarbeten
840004,andra materialkostnader,Material,General,CNY,0.0,0.0,0.0,0.0,0,SEK,17.56,6.9714,5546,5546,建筑工程,jordarbeten och bergarbeten,fyllning,grundfyllnad
870003,komposit arbetsdag,Labor,Labor,work-day,221.15,221.15,221.15,221.15,1,SEK,56.7,0.2564,1585,1585,建筑工程,dörr- och fönsterarbeten,metaldörr,tak
870002,komposit arbetsdag,Labor,Labor,work-day,209.33,209.33,209.33,209.33,1,SEK,317.84,1.5184,814,814,建筑工程,markbehandling och sluttningsstöd,grundgrävning,()
100321,diesel,Material,General,kg,22.59,22.59,22.59,22.59,1,SEK,135.68,6.0055,718,718,建筑工程,jordarbeten och bergarbeten,bergarbeten,schaktning allmän jordarbeten
090290,svetsstav (komposit),Material,Welding Consumables,kg,19.57,19.57,19.57,19.57,1,SEK,34.79,1.7775,690,690,建筑工程,markbehandling och sluttningsstöd,grundgrävning,sektion stålpåle
870004,komposit arbetsdag,Labor,Labor,work-day,261.66,261.66,261.66,261.66,1,SEK,227.07,0.8678,589,589,建筑工程,golvfinisharbeten,golvplattor,golv
110057,torkare,Material,General,kg,47.8,47.8,47.8,47.8,1,SEK,0.12,0.0026,542,542,建筑工程,"målning, beläggning och tapetseringsarbeten",trä räcke och andra föremål plattor remsor och lister färg,"metall dörr, fönsterfärg"
800138,murbruksmixer 200L,Equipment,General,machine-shift,27.68,27.68,27.68,27.68,1,SEK,0.24,0.0086,530,530,建筑工程,markbehandling och sluttningsstöd,grundgrävning,nagle
870006,komposit arbetsdag,Labor,Labor,work-day,243.04,243.04,243.04,243.04,1,SEK,6907.06,28.4191,414,414,建筑工程,Allmän installationsarbete - Vol.4 Installation av elektrisk utrustning,höjd elektricitet,el
850108,el,Equipment,General,machine-shift,45.72,45.72,45.72,45.72,1,SEK,294.71,6.4467,399,399,建筑工程,Allmän installationsarbete - Vol.5 Byggintelligenssystem,installation,installation
