resource_code,name,type,category,unit,price_avg,price_min,price_max,price_median,price_variants,currency,avg_cost_per_use,avg_qty_per_use,usage_count,used_in_work_items,parent_category,parent_collection,parent_department,parent_section
870005,?????????,Labor,Labor,work-day,233.77,233.77,233.77,233.77,1,THB,1334.03,5.7067,7704,7704,建筑工程,???????????????? - ???? 4 ??????????????????????,การติดตั้งแบบแห้ง,การติดตั้ง
840023,??????????????????,Equipment,General,CNY,0.0,0.0,0.0,0.0,0,THB,35.44,13.1468,5840,5840,建筑工程,งานขุดดินและงานหิน,งานหิน,งานขุดดินทั่วไป
840004,?????????????,Material,General,CNY,0.0,0.0,0.0,0.0,0,THB,20.73,6.9714,5546,5546,建筑工程,งานขุดดินและงานหิน,เติมดิน,การถมดินฐานราก
870003,?????????,Labor,Labor,work-day,261.09,261.09,261.09,261.09,1,THB,66.94,0.2564,1585,1585,建筑工程,???????????????????,ประตูเหล็ก,เพดาน
870002,?????????,Labor,Labor,work-day,247.13,247.13,247.13,247.13,1,THB,375.24,1.5184,814,814,建筑工程,?????????????????????????????????,หลุมฐานราก,()
100321,???????????,Material,General,kg,26.67,26.67,26.67,26.67,1,THB,160.19,6.0055,718,718,建筑工程,งานขุดดินและงานหิน,งานหิน,งานขุดดินทั่วไป
090290,????????? (???),Material,Welding Consumables,kg,23.11,23.11,23.11,23.11,1,THB,41.08,1.7775,690,690,建筑工程,?????????????????????????????????,หลุมฐานราก,เสาเข็มเหล็กส่วน
870004,?????????,Labor,Labor,work-day,308.91,308.91,308.91,308.91,1,THB,268.08,0.8678,589,589,建筑工程,?????????????,การปูกระเบื้องพื้น,พื้น
110057,???????????,Material,General,kg,56.44,56.44,56.44,56.44,1,THB,0.15,0.0026,542,542,建筑工程,??????? ????????? ?????????????????????,???????????????????????????? ??????????? ?????????,สีประตูและหน้าต่างโลหะ
800138,????????????????????? 200L,Equipment,General,machine-shift,32.67,32.67,32.67,32.67,1,THB,0.28,0.0086,530,530,建筑工程,?????????????????????????????????,หลุมฐานราก,ตะปู
870006,?????????,Labor,Labor,work-day,286.93,286.93,286.93,286.93,1,THB,8154.39,28.4191,414,414,建筑工程,???????????????? - ???? 4 ??????????????????????,ไฟฟ้าสูง,ไฟฟ้า
850108,ไฟฟ้า,Equipment,General,machine-shift,53.97,53.97,53.97,53.97,1,THB,347.93,6.4467,399,399,建筑工程,???????????????? - ???? 5 ?????????????????,การติดตั้ง,การติดตั้ง
030001,ไม้เลื่อย,Material,Wood & Timber,m3,5643.63,5643.63,5643.63,5643.63,1,THB,76.9,0.0136,392,392,建筑工程,?????????????????????????????????,เสาโครงสร้างคอนกรีตสำเร็จรูป,โปรไฟล์และรายการหลังคาอื่น ๆ
800011,????????????? (???),Equipment,Welding Equip.,machine-shift,55.25,55.25,55.25,55.25,1,THB,9.79,0.1773,389,389,建筑工程,??????????,เสาเข็มเจาะ,โปรไฟล์และรายการหลังคาอื่น ๆ
110120,ก๊าซอะเซทิลีน,Material,Chemicals,m3,83.17,83.17,83.17,83.17,1,THB,35.64,0.4285,324,324,建筑工程,?????????????????????????????????,หลุมฐานราก,()
110499,ทินเนอร์สีน้ำอะคริลิก,Material,Paint & Coatings,kg,43.37,43.37,43.37,43.37,1,THB,1.62,0.0374,321,321,建筑工程,??????? ????????? ?????????????????????,???????????????????????????? ??????????? ?????????,สีประตูและหน้าต่างโลหะ
110121,ออกซิเจน,Material,Chemicals,m3,10.69,10.69,10.69,10.69,1,THB,8.53,0.7981,315,315,建筑工程,?????????????????????????????????,หลุมฐานราก,()
