resource_code,name,type,category,unit,price_avg,price_min,price_max,price_median,price_variants,currency,avg_cost_per_use,avg_qty_per_use,usage_count,used_in_work_items,parent_category,parent_collection,parent_department,parent_section
870005,bütünleşik çalışma günü,Labor,Labor,work-day,375.32,375.32,375.32,375.32,1,TRY,2141.85,5.7067,7704,7704,建筑工程,Genel montaj işleri - Cilt 4 Elektrik ekipmanı montajı,kuru montaj,montaj
840023,diğer araç maliyeti,Equipment,General,CNY,0.0,0.0,0.0,0.0,0,TRY,56.91,13.1468,5840,5840,建筑工程,toprak ve kaya işleri,kaya işleri,kazı genel toprak işleri
840004,diğer malzeme maliyeti,Material,General,CNY,0.0,0.0,0.0,0.0,0,TRY,33.29,6.9714,5546,5546,建筑工程,toprak ve kaya işleri,dolgu,temel dolgu
870003,bütünleşik çalışma günü,Labor,Labor,work-day,419.2,419.2,419.2,419.2,1,TRY,107.48,0.2564,1585,1585,建筑工程,kapı ve pencere işleri,metal kapı,tavan
870002,bütünleşik çalışma günü,Labor,Labor,work-day,396.78,396.78,396.78,396.78,1,TRY,602.47,1.5184,814,814,建筑工程,zemin iyileştirme ve eğim destekleri,temel çukuru,()
100321,dizel,Material,General,kg,42.83,42.83,42.83,42.83,1,TRY,257.19,6.0055,718,718,建筑工程,toprak ve kaya işleri,kaya işleri,kazı genel toprak işleri
090290,kaynak çubuğu (kompozit),Material,Welding Consumables,kg,37.1,37.1,37.1,37.1,1,TRY,65.95,1.7775,690,690,建筑工程,zemin iyileştirme ve eğim destekleri,temel çukuru,kısım çelik kazık
870004,bütünleşik çalışma günü,Labor,Labor,work-day,495.98,495.98,495.98,495.98,1,TRY,430.42,0.8678,589,589,建筑工程,döşeme bitirme işleri,döşeme karosu,zemin
110057,kurutucu,Material,General,kg,90.61,90.61,90.61,90.61,1,TRY,0.24,0.0026,542,542,建筑工程,"boya, kaplama ve kağıt asma işleri",ahşap el korkuluğu ve diğer öğeler levha şeritleri ve kalıplar boya,"metal kapı, pencere boyası"
800138,harç karıştırıcı 200L,Equipment,General,machine-shift,52.46,52.46,52.46,52.46,1,TRY,0.45,0.0086,530,530,建筑工程,zemin iyileştirme ve eğim destekleri,temel çukuru,çivi
870006,bütünleşik çalışma günü,Labor,Labor,work-day,460.69,460.69,460.69,460.69,1,TRY,13092.29,28.4191,414,414,建筑工程,Genel montaj işleri - Cilt 4 Elektrik ekipmanı montajı,yükseklik elektrik,elektrik
850108,elektrik,Equipment,General,machine-shift,86.65,86.65,86.65,86.65,1,TRY,558.63,6.4467,399,399,建筑工程,Genel montaj işleri - Vol.5 Bina zekâ sistemleri,montaj,montaj
