resource_code,name,type,category,unit,price_avg,price_min,price_max,price_median,price_variants,currency,avg_cost_per_use,avg_qty_per_use,usage_count,used_in_work_items,parent_category,parent_collection,parent_department,parent_section
870005,composite work-day,Labor,Labor,work-day,29451.88,29451.88,29451.88,29451.88,1,UGX,168072.83,5.7067,7704,7704,建筑工程,General installation works - Vol.4 Electrical equipment installation,dry installation,installation
840023,other tools cost,Equipment,General,CNY,0.0,0.0,0.0,0.0,0,UGX,4465.66,13.1468,5840,5840,建筑工程,earthwork and rock works,rock works works,excavating general earthwork
840004,other materials cost,Material,General,CNY,0.0,0.0,0.0,0.0,0,UGX,2612.03,6.9714,5546,5546,建筑工程,earthwork and rock works,backfill,foundation backfill
870003,composite work-day,Labor,Labor,work-day,32894.8,32894.8,32894.8,32894.8,1,UGX,8433.85,0.2564,1585,1585,建筑工程,door and window works,metal door,ceiling
870002,composite work-day,Labor,Labor,work-day,31135.92,31135.92,31135.92,31135.92,1,UGX,47276.05,1.5184,814,814,建筑工程,ground treatment and slope support,foundation pit,()
100321,diesel,Material,General,kg,3360.58,3360.58,3360.58,3360.58,1,UGX,20181.97,6.0055,718,718,建筑工程,earthwork and rock works,rock works works,excavating general earthwork
090290,welding rod (composite),Material,Welding Consumables,kg,2911.51,2911.51,2911.51,2911.51,1,UGX,5175.13,1.7775,690,690,建筑工程,ground treatment and slope support,foundation pit,section steel pile
870004,composite work-day,Labor,Labor,work-day,38919.9,38919.9,38919.9,38919.9,1,UGX,33775.2,0.8678,589,589,建筑工程,floor finishing works,floor tiling,ground
110057,drier,Material,General,kg,7110.37,7110.37,7110.37,7110.37,1,UGX,18.54,0.0026,542,542,建筑工程,"painting, coating and wallpapering works",timber handrail and other items slab strips and mouldings paint,"metal door, window paint"
800138,mortar mixer 200L,Equipment,General,machine-shift,4116.53,4116.53,4116.53,4116.53,1,UGX,35.36,0.0086,530,530,建筑工程,ground treatment and slope support,foundation pit,nail
870006,composite work-day,Labor,Labor,work-day,36150.6,36150.6,36150.6,36150.6,1,UGX,1027365.71,28.4191,414,414,建筑工程,General installation works - Vol.4 Electrical equipment installation,height electricity,electricity
850108,electricity,Equipment,General,machine-shift,6799.76,6799.76,6799.76,6799.76,1,UGX,43835.93,6.4467,399,399,建筑工程,General installation works - Vol.5 Building intelligence systems,installation,installation
030001,sawn timber,Material,Wood & Timber,m3,711036.6,711036.6,711036.6,711036.6,1,UGX,9689.14,0.0136,392,392,建筑工程,ground treatment and slope support,precast concrete column,profile and other items roof
