resource_code,name,type,category,unit,price_avg,price_min,price_max,price_median,price_variants,currency,avg_cost_per_use,avg_qty_per_use,usage_count,used_in_work_items,parent_category,parent_collection,parent_department,parent_section
870005,composite work-day,Labor,Labor,work-day,23.16,23.16,23.16,23.16,1,USD,139.37,6.0169,7704,7704,建筑工程,General installation works - Vol.4 Electrical equipment installation,dry installation,installation
840023,other tools cost,Equipment,General,CNY,0.0,0.0,0.0,0.0,0,USD,3.32,12.5451,5840,5840,建筑工程,earthwork and rock works,rock works works,excavating general earthwork
840004,other materials cost,Material,General,CNY,0.0,0.0,0.0,0.0,0,USD,1.56,5.5679,5546,5546,建筑工程,earthwork and rock works,backfill,foundation backfill
870003,composite work-day,Labor,Labor,work-day,25.87,25.87,25.87,25.87,1,USD,3.04,0.1176,1585,1585,建筑工程,door and window works,metal door,ceiling
870002,composite work-day,Labor,Labor,work-day,24.49,24.49,24.49,24.49,1,USD,29.25,1.1946,814,814,建筑工程,ground treatment and slope support,foundation pit,()
100321,diesel,Material,General,LB,1.2,1.2,1.2,1.2,1,USD,14.22,11.8613,718,718,建筑工程,earthwork and rock works,rock works works,excavating general earthwork
090290,welding rod (composite),Material,Welding Consumables,LB,1.04,1.04,1.04,1.04,1,USD,3.48,3.3526,690,690,建筑工程,ground treatment and slope support,foundation pit,section steel pile
870004,composite work-day,Labor,Labor,work-day,30.61,30.61,30.61,30.61,1,USD,13.76,0.4494,589,589,建筑工程,floor finishing works,floor tiling,ground
110057,drier,Material,General,LB,2.54,2.54,2.54,2.54,1,USD,0.0,0.0009,542,542,建筑工程,"painting, coating and wallpapering works",timber handrail and other items slab strips and mouldings paint,"metal door, window paint"
800138,mortar mixer 200L,Equipment,General,machine-shift,3.24,3.24,3.24,3.24,1,USD,0.02,0.005,530,530,建筑工程,ground treatment and slope support,foundation pit,nail
870006,composite work-day,Labor,Labor,work-day,28.43,28.43,28.43,28.43,1,USD,808.16,28.4251,414,414,建筑工程,General installation works - Vol.4 Electrical equipment installation,height electricity,electricity
850108,electricity,Equipment,General,machine-shift,5.35,5.35,5.35,5.35,1,USD,34.14,6.3841,399,399,建筑工程,General installation works - Vol.5 Building intelligence systems,installation,installation
030001,sawn timber,Material,Wood & Timber,CY,427.54,427.54,427.54,427.54,1,USD,5.53,0.0129,392,392,建筑工程,ground treatment and slope support,precast concrete column,profile and other items roof
800011,welding machine (composite),Equipment,Welding Equip.,machine-shift,5.47,5.47,5.47,5.47,1,USD,0.88,0.1606,389,389,建筑工程,Piling works,bored pile,profile and other items roof
110120,acetylene gas,Material,Chemicals,CY,6.16,2.51,6.3,6.3,2,USD,3.33,0.5353,324,324,建筑工程,ground treatment and slope support,foundation pit,()
110499,acrylic paint thinner,Material,Paint & Coatings,LB,1.95,1.95,1.95,1.95,1,USD,0.03,0.0175,321,321,建筑工程,"painting, coating and wallpapering works",timber handrail and other items slab strips and mouldings paint,"metal door, window paint"
110121,oxygen,Material,Chemicals,CY,0.81,0.32,0.81,0.81,2,USD,0.81,0.9972,315,315,建筑工程,ground treatment and slope support,foundation pit,()
840021,materials cost,Material,General,CNY,0.0,0.0,0.0,0.0,0,USD,7.85,26.686,269,269,建筑工程,General installation works - Vol.6 Automation control instrumentation,and with,single
800045,rotary hammer 520W,Equipment,General,machine-shift,1.17,1.17,1.17,1.17,1,USD,0.03,0.0261,222,222,建筑工程,door and window works,metal door,decorative wall plastering
850002,34401A,Equipment,General,machine-shift,5.15,5.15,5.15,5.15,1,USD,10.42,2.0225,219,219,建筑工程,General installation works - Vol.4 Electrical equipment installation,height electricity,height electricity
870001,composite work-day,Labor,Labor,work-day,21.87,21.87,21.87,21.87,1,USD,10.8,0.4938,206,206,建筑工程,earthwork and rock works,rock works works,excavating general earthwork
800102,truck crane 16t,Equipment,Cranes,machine-shift,269.36,269.36,269.36,269.36,1,USD,12.1,0.0449,198,198,建筑工程,ground treatment and slope support,foundation pit,section steel pile
850125,F-87,Equipment,General,machine-shift,2.0,2.0,2.0,2.0,1,USD,16.89,8.4372,185,185,建筑工程,General installation works - Vol.4 Electrical equipment installation,electricity,electricity
800073,stone cutter,Equipment,General,machine-shift,6.83,6.83,6.83,6.83,1,USD,0.01,0.0014,179,179,建筑工程,roofing and waterproofing works,anti-corrosion finish layer,profile and other items roof
280120,6,Material,General,pcs,1.0,1.0,1.0,1.0,1,USD,1.98,1.9836,173,173,建筑工程,General installation works - Vol.4 Electrical equipment installation,electricity installation,mesh installation
010023,galvanized flat steel,Material,Steel & Metal,LB,0.7,0.7,0.7,0.7,1,USD,3.38,4.8545,165,165,建筑工程,General installation works - Vol.4 Electrical equipment installation,dry installation,installation
800186,hand drill 0.5kW,Equipment,General,machine-shift,0.34,0.34,0.34,0.34,1,USD,0.0,0.0067,158,158,建筑工程,door and window works,metal door,stone slab beam surface
100040,white spirit paint,Material,Paint & Coatings,LB,2.4,2.4,2.4,2.4,1,USD,0.02,0.0103,158,158,建筑工程,floor finishing works,timber handrail and other items slab strips and mouldings paint,"metal door, window paint"
800033,AC welder 32kVA,Equipment,Welding Equip.,machine-shift,4.41,4.41,4.41,4.41,1,USD,2.09,0.4724,157,157,建筑工程,ground treatment and slope support,foundation pit,section steel pile
800148,electric drill 1kW,Equipment,General,machine-shift,1.35,1.35,1.35,1.35,1,USD,0.06,0.0418,152,152,建筑工程,door and window works,"door, door",column (beam) surface decorative
110060,silicone sealant (sealant),Material,Rubber,pcs,2.0,2.0,2.0,2.0,1,USD,0.32,0.1603,149,149,建筑工程,door and window works,skirting,stone slab column surface
800278,cargo truck 15t,Equipment,Trucks,machine-shift,115.64,115.64,115.64,115.64,1,USD,4.41,0.0382,145,145,建筑工程,Preliminaries and site measures,cast-in-situ concrete formwork and brackets,scaffolding
150007,electricity,Material,General,kWh,0.37,0.37,0.37,0.37,1,USD,2.07,5.5441,143,143,建筑工程,ground treatment and slope support,foundation pit,ground wall
840027,amortised materials cost,Material,General,CNY,0.0,0.0,0.0,0.0,0,USD,19.57,66.4841,142,142,建筑工程,Preliminaries and site measures,cast-in-situ concrete formwork and brackets,scaffolding
840028,rental materials cost,Material,General,CNY,0.0,0.0,0.0,0.0,0,USD,4.66,15.8199,142,142,建筑工程,Preliminaries and site measures,cast-in-situ concrete formwork and brackets,scaffolding
350011,moulding BV-6,Material,General,LF,0.35,0.35,0.35,0.35,1,USD,2.39,6.7587,140,140,建筑工程,General installation works - Vol.5 Building intelligence systems,installation,mesh installation
800007,cargo truck 5t,Equipment,Trucks,machine-shift,56.95,56.95,56.95,56.95,1,USD,4.46,0.0783,140,140,建筑工程,General installation works - Vol.4 Electrical equipment installation,height electricity installation,installation
090263,iron fittings,Material,Steel & Metal,LB,0.6,0.6,0.6,0.6,1,USD,30.9,51.4363,137,137,建筑工程,Piling works,block masonry,roof water
280122,16,Material,General,pcs,2.0,2.0,2.0,2.0,1,USD,4.74,2.3764,135,135,建筑工程,General installation works - Vol.4 Electrical equipment installation,electricity installation,electricity embedding installation
090045,galvanized 8,Material,General,pcs,0.0,0.0,0.0,0.0,1,USD,0.01,4.1747,130,130,建筑工程,General installation works - Vol.4 Electrical equipment installation,electricity installation,installation
800014,electricity winch single 5t,Equipment,Hoists,machine-shift,33.2,33.2,33.2,33.2,1,USD,13.3,0.4007,129,129,建筑工程,General installation works - Vol.7 Ventilation and air conditioning,and installation,installation
850009,electricity 3141,Equipment,General,machine-shift,1.85,1.85,1.85,1.85,1,USD,0.86,0.4659,128,128,建筑工程,General installation works - Vol.4 Electrical equipment installation,electricity,electricity
090029,galvanized 8,Material,General,pcs,0.03,0.03,0.03,0.03,1,USD,0.27,8.3346,127,127,建筑工程,ceiling works,ceiling suspended ceiling,ceiling keel
090030,galvanized 10,Material,General,pcs,0.03,0.03,0.03,0.03,1,USD,0.23,7.1149,121,121,建筑工程,General installation works - Vol.4 Electrical equipment installation,height installation,installation
110152,contact adhesive,Material,General,LB,1.8,1.8,1.8,1.8,1,USD,0.77,0.4263,120,120,建筑工程,door and window works,window slab,roof ()
110321,water,Material,Water,LB,0.86,0.86,0.86,0.86,1,USD,0.1,0.1201,117,117,建筑工程,General installation works - Vol.5 Building intelligence systems,installation,installation
