resource_code,name,type,category,unit,price_avg,price_min,price_max,price_median,price_variants,currency,avg_cost_per_use,avg_qty_per_use,usage_count,used_in_work_items,parent_category,parent_collection,parent_department,parent_section
870005,composite work-day,Labor,Labor,work-day,171.88,171.88,171.88,171.88,1,ZAR,980.84,5.7067,7704,7704,建筑工程,General installation works - Vol.4 Electrical equipment installation,dry installation,installation
840023,other tools cost,Equipment,General,CNY,0.0,0.0,0.0,0.0,0,ZAR,26.06,13.1468,5840,5840,建筑工程,earthwork and rock works,rock works works,excavating general earthwork
840004,other materials cost,Material,General,CNY,0.0,0.0,0.0,0.0,0,ZAR,15.24,6.9714,5546,5546,建筑工程,earthwork and rock works,backfill,foundation backfill
870003,composite work-day,Labor,Labor,work-day,191.97,191.97,191.97,191.97,1,ZAR,49.22,0.2564,1585,1585,建筑工程,door and window works,metal door,ceiling
870002,composite work-day,Labor,Labor,work-day,181.7,181.7,181.7,181.7,1,ZAR,275.89,1.5184,814,814,建筑工程,ground treatment and slope support,foundation pit,()
100321,diesel,Material,General,kg,19.61,19.61,19.61,19.61,1,ZAR,117.78,6.0055,718,718,建筑工程,earthwork and rock works,rock works works,excavating general earthwork
090290,welding rod (composite),Material,Welding Consumables,kg,16.99,16.99,16.99,16.99,1,ZAR,30.2,1.7775,690,690,建筑工程,ground treatment and slope support,foundation pit,section steel pile
870004,composite work-day,Labor,Labor,work-day,227.13,227.13,227.13,227.13,1,ZAR,197.11,0.8678,589,589,建筑工程,floor finishing works,floor tiling,ground
110057,drier,Material,General,kg,41.49,41.49,41.49,41.49,1,ZAR,0.11,0.0026,542,542,建筑工程,"painting, coating and wallpapering works",timber handrail and other items slab strips and mouldings paint,"metal door, window paint"
800138,mortar mixer 200L,Equipment,General,machine-shift,24.02,24.02,24.02,24.02,1,ZAR,0.21,0.0086,530,530,建筑工程,ground treatment and slope support,foundation pit,nail
870006,composite work-day,Labor,Labor,work-day,210.97,210.97,210.97,210.97,1,ZAR,5995.49,28.4191,414,414,建筑工程,General installation works - Vol.4 Electrical equipment installation,height electricity,electricity
