resource_code,name,type,category,unit,price_avg,price_min,price_max,price_median,price_variants,currency,avg_cost_per_use,avg_qty_per_use,usage_count,used_in_work_items,parent_category,parent_collection,parent_department,parent_section
L.01,Pekerja,Labor,Labor,OH,0.0,0.0,0.0,0.0,0,IDR,0.0,0.7496,2750,2739,Water resources works,Analisa Harga Satuan Pekerjaan (AHSP) - Permen PUPR 2016,Water resources works,A.1.1 Pekerjaan tanah secara manual dan semi mekanis (Normatif)
L.04,Mandor Peralatan (A+B+C),Labor,Labor,OH,0.0,0.0,0.0,0.0,0,IDR,0.0,0.0614,2685,2685,Water resources works,Analisa Harga Satuan Pekerjaan (AHSP) - Permen PUPR 2016,Water resources works,A.1.1 Pekerjaan tanah secara manual dan semi mekanis (Normatif)
L.02,Tukang kayu,Labor,Labor,OH,0.0,0.0,0.0,0.0,0,IDR,0.0,0.6428,2301,2260,Water resources works,Analisa Harga Satuan Pekerjaan (AHSP) - Permen PUPR 2016,Water resources works,A.1.1 Pekerjaan tanah secara manual dan semi mekanis (Normatif)
L.03,Kepala Tukang,Labor,Labor,OH,0.0,0.0,0.0,0.0,0,IDR,0.0,0.1629,1761,1680,Water resources works,Analisa Harga Satuan Pekerjaan (AHSP) - Permen PUPR 2016,Water resources works,A.1.1 Pekerjaan tanah secara manual dan semi mekanis (Normatif)
Semen Portland,Semen Portland,Material,General,Kg,0.0,0.0,0.0,0.0,0,IDR,0.0,66.2005,276,276,Building and settlement works,Analisa Harga Satuan Pekerjaan (AHSP) - Permen PUPR 2016,Building and settlement works,A.2.2.1 HARGA SATUAN PEKERJAAN PERSIAPAN
Sewa Tripot/Tackel,Sewa Tripot/Tackel,Equipment,General,hari,0.0,0.0,0.0,0.0,0,IDR,0.0,0.4201,213,213,Building and settlement works,Analisa Harga Satuan Pekerjaan (AHSP) - Permen PUPR 2016,Building and settlement works,A.8.4.1 HARGA SATUAN PEKERJAAN PEMASANGAN PIPA DI LUAR GEDUNG
Pasir pasang,Pasir pasang,Material,General,m3,0.0,0.0,0.0,0.0,0,IDR,0.0,0.1095,97,97,Water resources works,Analisa Harga Satuan Pekerjaan (AHSP) - Permen PUPR 2016,Water resources works,A.2 Pekerjaan pasangan (Normatif)
Pasing Pasang,Pasing Pasang,Material,General,m3,0.0,0.0,0.0,0.0,0,IDR,0.0,0.0459,83,83,Building and settlement works,Analisa Harga Satuan Pekerjaan (AHSP) - Permen PUPR 2022,Building and settlement works,3.6.1 DINDING BATA MERAH
Urukan pasir uruk,Urukan pasir uruk,Material,General,m3,0.0,0.0,0.0,0.0,0,IDR,0.0,0.1373,82,82,Building and settlement works,Analisa Harga Satuan Pekerjaan (AHSP) - Permen PUPR 2022,Building and settlement works,8.1 SALURAN U-DITCH
Pasir beton,Pasir beton,Material,General,m3,0.0,0.0,0.0,0.0,0,IDR,0.0,374.0967,68,68,Building and settlement works,Analisa Harga Satuan Pekerjaan (AHSP) - Permen PUPR 2016,Building and settlement works,A.2.2.1 HARGA SATUAN PEKERJAAN PERSIAPAN
