resource_code,name,type,category,unit,price_avg,price_min,price_max,price_median,price_variants,currency,avg_cost_per_use,avg_qty_per_use,usage_count,used_in_work_items,parent_category,parent_collection,parent_department,parent_section
L.01,عامل,Labor,Labor,OH,0.0,0.0,0.0,0.0,0,AED,0.0,0.7496,2750,2739,Water resources works,تحليل سعر الوحدة للعمل (AHSP) - Permen PUPR 2016,أعمال موارد المياه,A.1.1 أعمال الحفر يدويًا وشبه ميكانيكي (قياسي)
L.04,مشرف المعدات (A+B+C),Labor,Labor,OH,0.0,0.0,0.0,0.0,0,AED,0.0,0.0614,2685,2685,Water resources works,تحليل سعر الوحدة للعمل (AHSP) - Permen PUPR 2016,أعمال موارد المياه,A.1.1 أعمال الحفر يدويًا وشبه ميكانيكي (قياسي)
L.02,نجار,Labor,Labor,OH,0.0,0.0,0.0,0.0,0,AED,0.0,0.6428,2301,2260,Water resources works,تحليل سعر الوحدة للعمل (AHSP) - Permen PUPR 2016,أعمال موارد المياه,A.1.1 أعمال الحفر يدويًا وشبه ميكانيكي (قياسي)
L.03,رئيس الحرفيين,Labor,Labor,OH,0.0,0.0,0.0,0.0,0,AED,0.0,0.1629,1761,1680,Water resources works,تحليل سعر الوحدة للعمل (AHSP) - Permen PUPR 2016,أعمال موارد المياه,A.1.1 أعمال الحفر يدويًا وشبه ميكانيكي (قياسي)
أسمنت بورتلاند,أسمنت بورتلاند,Material,General,Kg,0.0,0.0,0.0,0.0,0,AED,0.0,66.73,282,282,Building and settlement works,تحليل سعر الوحدة للعمل (AHSP) - Permen PUPR 2016,أعمال البناء والتسوية,A.2.2.1 سعر وحدة عمل التحضيرات
تأجير ترايبود/تاكل,تأجير ترايبود/تاكل,Equipment,General,hari,0.0,0.0,0.0,0.0,0,AED,0.0,0.4201,213,213,Building and settlement works,تحليل سعر الوحدة للعمل (AHSP) - Permen PUPR 2016,أعمال البناء والتسوية,A.8.4.1 سعر وحدة عمل تركيب الأنابيب خارج المبنى
رمل ناعم,رمل ناعم,Material,General,m3,0.0,0.0,0.0,0.0,0,AED,0.0,0.1086,139,139,Water resources works,تحليل سعر الوحدة للعمل (AHSP) - Permen PUPR 2016,أعمال موارد المياه,A.2 أعمال البناء (قياسي)
أسمنت ملون,أسمنت ملون,Material,General,Kg,0.0,0.0,0.0,0.0,0,AED,0.0,1.0454,106,106,Building and settlement works,تحليل سعر الوحدة للعمل (AHSP) - Permen PUPR 2016,أعمال البناء والتسوية,A.4.4.3 سعر وحدة عمل تغطية الأرضيات والتغطية
تسوية وتركيب,تسوية وتركيب,Material,General,m3,0.0,0.0,0.0,0.0,0,AED,0.0,0.0459,83,83,Building and settlement works,تحليل سعر الوحدة للأعمال (AHSP) - Permen PUPR 2022,أعمال البناء والتسوية,3.6.1 جدار من الطوب الأحمر
ردم بالرمل,ردم بالرمل,Material,General,m3,0.0,0.0,0.0,0.0,0,AED,0.0,0.1373,82,82,Building and settlement works,تحليل سعر الوحدة للأعمال (AHSP) - Permen PUPR 2022,أعمال البناء والتسوية,8.1 قناة U-DITCH
