resource_code,name,type,category,unit,price_avg,price_min,price_max,price_median,price_variants,currency,avg_cost_per_use,avg_qty_per_use,usage_count,used_in_work_items,parent_category,parent_collection,parent_department,parent_section
L.01,Trabalhador,Labor,Labor,OH,0.0,0.0,0.0,0.0,0,BRL,0.0,0.7496,2750,2739,Water resources works,Análise de Custos Unitários de Trabalho (AHSP) - Peraturan PUPR 2016,Obras de recursos hídricos,A.1.1 Trabalho de escavação manual e semi-mecânica (Normativo)
L.04,Capataz de Equipamentos (A+B+C),Labor,Labor,OH,0.0,0.0,0.0,0.0,0,BRL,0.0,0.0614,2685,2685,Water resources works,Análise de Custos Unitários de Trabalho (AHSP) - Peraturan PUPR 2016,Obras de recursos hídricos,A.1.1 Trabalho de escavação manual e semi-mecânica (Normativo)
L.02,Marceneiro,Labor,Labor,OH,0.0,0.0,0.0,0.0,0,BRL,0.0,0.6428,2301,2260,Water resources works,Análise de Custos Unitários de Trabalho (AHSP) - Peraturan PUPR 2016,Obras de recursos hídricos,A.1.1 Trabalho de escavação manual e semi-mecânica (Normativo)
L.03,Chefe de Mestre de Obras,Labor,Labor,OH,0.0,0.0,0.0,0.0,0,BRL,0.0,0.1629,1761,1680,Water resources works,Análise de Custos Unitários de Trabalho (AHSP) - Peraturan PUPR 2016,Obras de recursos hídricos,A.1.1 Trabalho de escavação manual e semi-mecânica (Normativo)
Cimento Portland,Cimento Portland,Material,General,Kg,0.0,0.0,0.0,0.0,0,BRL,0.0,66.3003,284,284,Building and settlement works,Análise de Custos Unitários de Trabalho (AHSP) - Peraturan PUPR 2016,Obras de construção e assentamento,A.2.2.1 PREÇO UNITÁRIO DO TRABALHO DE PREPARAÇÃO
Aluguel de Tripot/Tackel,Aluguel de Tripot/Tackel,Equipment,General,hari,0.0,0.0,0.0,0.0,0,BRL,0.0,0.4201,213,213,Building and settlement works,Análise de Custos Unitários de Trabalho (AHSP) - Peraturan PUPR 2016,Obras de construção e assentamento,A.8.4.1 PREÇO UNITÁRIO DO TRABALHO DE INSTALAÇÃO DE TUBULAÇÃO EXTERNA AO EDIFÍCI
Areia de instalação,Areia de instalação,Material,General,m3,0.0,0.0,0.0,0.0,0,BRL,0.0,0.1095,97,97,Water resources works,Análise de Custos Unitários de Trabalho (AHSP) - Peraturan PUPR 2016,Obras de recursos hídricos,A.2 Trabalho de pavimentação (Normativo)
Pasing Pasang,Pasing Pasang,Material,General,m3,0.0,0.0,0.0,0.0,0,BRL,0.0,0.0459,83,83,Building and settlement works,Análise de Custos Unitários de Trabalho (AHSP) - Permen PUPR 2022,Obras de construção e assentamento,3.6.1 PAREDE DE TIJOLO VERMELHO
Camada de areia de enchimento,Camada de areia de enchimento,Material,General,m3,0.0,0.0,0.0,0.0,0,BRL,0.0,0.1373,82,82,Building and settlement works,Análise de Custos Unitários de Trabalho (AHSP) - Permen PUPR 2022,Obras de construção e assentamento,8.1 CANAL U-DITCH
Areia de concreto,Areia de concreto,Material,General,m3,0.0,0.0,0.0,0.0,0,BRL,0.0,380.675,69,69,Building and settlement works,Análise de Custos Unitários de Trabalho (AHSP) - Peraturan PUPR 2016,Obras de construção e assentamento,A.2.2.1 PREÇO UNITÁRIO DO TRABALHO DE PREPARAÇÃO
tubo T2/mecânico cilindro saw,tubo T2/mecânico cilindro saw,Equipment,General,hari,0.0,0.0,0.0,0.0,0,BRL,0.0,0.3783,60,60,Building and settlement works,Análise de Custos Unitários de Trabalho (AHSP) - Peraturan PUPR 2016,Obras de construção e assentamento,A.8.4.2 PREÇO UNITÁRIO DO TRABALHO DE CORTE DE TUBOS
Cimento de Cor,Cimento de Cor,Material,General,kg,0.0,0.0,0.0,0.0,0,BRL,0.0,1.0252,59,59,Building and settlement works,Análise de Custos Unitários de Trabalho (AHSP) - Permen PUPR 2022,Obras de construção e assentamento,3.1.1 TELHADO DE TELHAS
"Caminhão grua 3 Toneladas, 5 Toneladas *)","Caminhão grua 3 Toneladas, 5 Toneladas *)",Equipment,General,jam,0.0,0.0,0.0,0.0,0,BRL,0.0,0.2414,57,57,Building and settlement works,Análise de Custos Unitários de Trabalho (AHSP) - Permen PUPR 2022,Obras de construção e assentamento,8.1 CANAL U-DITCH
M.15,Cimento Portland,Material,Concrete & Cement,kg,0.0,0.0,0.0,0.0,0,BRL,0.0,208.9316,56,56,Water resources works,Análise de Custos Unitários de Trabalho (AHSP) - Peraturan PUPR 2016,Obras de recursos hídricos,A.2 Trabalho de pavimentação (Normativo)
Água,Água,Material,General,Liter,0.0,0.0,0.0,0.0,0,BRL,0.0,163.4264,51,51,Building and settlement works,Análise de Custos Unitários de Trabalho (AHSP) - Peraturan PUPR 2016,Obras de construção e assentamento,A.4.1.1 PREÇO UNITÁRIO DA OBRA DE CONCRETO
Areia de enchimento,Areia de enchimento,Material,General,m3,0.0,0.0,0.0,0.0,0,BRL,0.0,0.2083,49,49,Building and settlement works,Análise de Custos Unitários de Trabalho (AHSP) - Peraturan PUPR 2016,Obras de construção e assentamento,A.2.3.1 PREÇO UNITÁRIO DA OBRA DE TERRA
"Laje de trabalho f'c 7,5 MPa","Laje de trabalho f'c 7,5 MPa",Material,General,m3,0.0,0.0,0.0,0.0,0,BRL,0.0,0.0599,47,47,Building and settlement works,Análise de Custos Unitários de Trabalho (AHSP) - Permen PUPR 2022,Obras de construção e assentamento,8.1 CANAL U-DITCH
Cimento colorido,Cimento colorido,Material,General,Kg,0.0,0.0,0.0,0.0,0,BRL,0.0,1.0707,47,47,Building and settlement works,Análise de Custos Unitários de Trabalho (AHSP) - Peraturan PUPR 2016,Obras de construção e assentamento,A.4.4.3 PREÇO UNITÁRIO DO TRABALHO PARA REVESTIMENTO DE PISO E COBERTURA
L.11,Chefe de pedreiro,Labor,Labor,OH,0.0,0.0,0.0,0.0,0,BRL,0.0,0.0148,43,43,Building and settlement works,Análise de Custos Unitários de Trabalho (AHSP) - Peraturan PUPR 2016,Obras de construção e assentamento,A.4.5.2. PREÇO UNITÁRIO DA OBRA DE COBERTURA DO TELHADO
L.15,Capataz,Labor,Labor,OH,0.0,0.0,0.0,0.0,0,BRL,0.0,0.0074,43,43,Building and settlement works,Análise de Custos Unitários de Trabalho (AHSP) - Peraturan PUPR 2016,Obras de construção e assentamento,A.4.5.2. PREÇO UNITÁRIO DA OBRA DE COBERTURA DO TELHADO
Ferramenta de corte de tubo T2/mecânico / serra cilíndrica,Ferramenta de corte de tubo T2/mecânico / serra cilíndrica,Equipment,General,Hari,0.0,0.0,0.0,0.0,0,BRL,0.0,0.1325,39,39,Building and settlement works,Análise de Custos Unitários de Trabalho (AHSP) - Permen PUPR 2022,Obras de construção e assentamento,9.2 TUBULAÇÃO GALVANIZADA
Laje de trabalho f'c 10 MPa,Laje de trabalho f'c 10 MPa,Material,General,m3,0.0,0.0,0.0,0.0,0,BRL,0.0,0.0716,35,35,Building and settlement works,Análise de Custos Unitários de Trabalho (AHSP) - Permen PUPR 2022,Obras de construção e assentamento,8.1 CANAL U-DITCH
