resource_code,name,type,category,unit,price_avg,price_min,price_max,price_median,price_variants,currency,avg_cost_per_use,avg_qty_per_use,usage_count,used_in_work_items,parent_category,parent_collection,parent_department,parent_section
L.01,Worker,Labor,Labor,OH,0.0,0.0,0.0,0.0,0,CAD,0.0,0.7496,2750,2739,Water resources works,Unit Price Analysis (AHSP) - Permen PUPR 2016,Water resources works,A.1.1 Manual and semi-mechanical earthworks (Normative)
L.04,Equipment Foreman (A+B+C),Labor,Labor,OH,0.0,0.0,0.0,0.0,0,CAD,0.0,0.0614,2685,2685,Water resources works,Unit Price Analysis (AHSP) - Permen PUPR 2016,Water resources works,A.1.1 Manual and semi-mechanical earthworks (Normative)
L.02,Carpenter,Labor,Labor,OH,0.0,0.0,0.0,0.0,0,CAD,0.0,0.6428,2301,2260,Water resources works,Unit Price Analysis (AHSP) - Permen PUPR 2016,Water resources works,A.1.1 Manual and semi-mechanical earthworks (Normative)
L.03,Foreman,Labor,Labor,OH,0.0,0.0,0.0,0.0,0,CAD,0.0,0.1629,1761,1680,Water resources works,Unit Price Analysis (AHSP) - Permen PUPR 2016,Water resources works,A.1.1 Manual and semi-mechanical earthworks (Normative)
Portland cement,Portland cement,Material,Concrete & Cement,Kg,0.0,0.0,0.0,0.0,0,CAD,0.0,66.5306,283,283,Building and settlement works,Unit Price Analysis (AHSP) - Permen PUPR 2016,Building and settlement works,A.2.2.1 UNIT PRICE FOR PREPARATION WORK
Tripod/Tackle Rental,Tripod/Tackle Rental,Equipment,General,hari,0.0,0.0,0.0,0.0,0,CAD,0.0,0.4201,213,213,Building and settlement works,Unit Price Analysis (AHSP) - Permen PUPR 2016,Building and settlement works,A.8.4.1 UNIT PRICE FOR PIPE INSTALLATION WORK OUTSIDE THE BUILDING
Bedding sand,Bedding sand,Material,Aggregates,m3,0.0,0.0,0.0,0.0,0,CAD,0.0,0.1095,97,97,Water resources works,Unit Price Analysis (AHSP) - Permen PUPR 2016,Water resources works,A.2 Masonry work (Normative)
Bedding and Installation,Bedding and Installation,Material,General,m3,0.0,0.0,0.0,0.0,0,CAD,0.0,0.0459,83,83,Building and settlement works,Unit Price Analysis (AHSP) - PUPR Regulation 2022,Building and settlement works,3.6.1 RED BRICK WALL
Fill sand backfill,Fill sand backfill,Material,Aggregates,m3,0.0,0.0,0.0,0.0,0,CAD,0.0,0.1373,82,82,Building and settlement works,Unit Price Analysis (AHSP) - PUPR Regulation 2022,Building and settlement works,8.1 U-DITCH CHANNEL
Concrete sand,Concrete sand,Material,Concrete & Cement,m3,0.0,0.0,0.0,0.0,0,CAD,0.0,374.0967,68,68,Building and settlement works,Unit Price Analysis (AHSP) - Permen PUPR 2016,Building and settlement works,A.2.2.1 UNIT PRICE FOR PREPARATION WORK
T2 pipe/mechanical cylinder saw,T2 pipe/mechanical cylinder saw,Equipment,General,hari,0.0,0.0,0.0,0.0,0,CAD,0.0,0.3783,60,60,Building and settlement works,Unit Price Analysis (AHSP) - Permen PUPR 2016,Building and settlement works,A.8.4.2 UNIT PRICE FOR PIPE CUTTING WORK
Colored Cement,Colored Cement,Material,Concrete & Cement,kg,0.0,0.0,0.0,0.0,0,CAD,0.0,1.0252,59,59,Building and settlement works,Unit Price Analysis (AHSP) - PUPR Regulation 2022,Building and settlement works,3.1.1 TILE ROOF
"Crane truck 3 Ton, 5 Ton *)","Crane truck 3 Ton, 5 Ton *)",Equipment,Cranes,jam,0.0,0.0,0.0,0.0,0,CAD,0.0,0.2414,57,57,Building and settlement works,Unit Price Analysis (AHSP) - PUPR Regulation 2022,Building and settlement works,8.1 U-DITCH CHANNEL
M.15,Portland cement,Material,Concrete & Cement,kg,0.0,0.0,0.0,0.0,0,CAD,0.0,208.9316,56,56,Water resources works,Unit Price Analysis (AHSP) - Permen PUPR 2016,Water resources works,A.2 Masonry work (Normative)
Water,Water,Material,Water,Liter,0.0,0.0,0.0,0.0,0,CAD,0.0,163.4264,51,51,Building and settlement works,Unit Price Analysis (AHSP) - Permen PUPR 2016,Building and settlement works,A.4.1.1 UNIT PRICE FOR CONCRETE WORK
Colored cement,Colored cement,Material,Concrete & Cement,Kg,0.0,0.0,0.0,0.0,0,CAD,0.0,1.0707,47,47,Building and settlement works,Unit Price Analysis (AHSP) - Permen PUPR 2016,Building and settlement works,A.4.4.3 UNIT PRICE FOR FLOOR AND COVERING WORKS
"Working floor f'c 7,5 MPa","Working floor f'c 7,5 MPa",Material,General,m3,0.0,0.0,0.0,0.0,0,CAD,0.0,0.0599,47,47,Building and settlement works,Unit Price Analysis (AHSP) - PUPR Regulation 2022,Building and settlement works,8.1 U-DITCH CHANNEL
Filling Sand,Filling Sand,Material,Aggregates,m3,0.0,0.0,0.0,0.0,0,CAD,0.0,0.0998,46,42,Building and settlement works,Unit Price Analysis (AHSP) - Permen PUPR 2016,Building and settlement works,A.2.3.1 UNIT PRICE FOR EARTHWORK
L.15,Foreman,Labor,Labor,OH,0.0,0.0,0.0,0.0,0,CAD,0.0,0.0074,43,43,Building and settlement works,Unit Price Analysis (AHSP) - Permen PUPR 2016,Building and settlement works,A.4.5.2. UNIT PRICE FOR ROOFING WORK
L.11,Foreman,Labor,Labor,OH,0.0,0.0,0.0,0.0,0,CAD,0.0,0.0148,43,43,Building and settlement works,Unit Price Analysis (AHSP) - Permen PUPR 2016,Building and settlement works,A.4.5.2. UNIT PRICE FOR ROOFING WORK
