resource_code,name,type,category,unit,price_avg,price_min,price_max,price_median,price_variants,currency,avg_cost_per_use,avg_qty_per_use,usage_count,used_in_work_items,parent_category,parent_collection,parent_department,parent_section
L.01,Arbeiter,Labor,Labor,OH,0.0,0.0,0.0,0.0,0,CHF,0.0,0.7496,2750,2739,Water resources works,Analyse der Einheitspreise für Arbeiten (AHSP) - Permen PUPR 2016,Wasserressourcenarbeiten,A.1.1 Manuelle und halbmechanische Erdarbeiten (Normativ)
L.04,Gerätevormann (A+B+C),Labor,Labor,OH,0.0,0.0,0.0,0.0,0,CHF,0.0,0.0614,2685,2685,Water resources works,Analyse der Einheitspreise für Arbeiten (AHSP) - Permen PUPR 2016,Wasserressourcenarbeiten,A.1.1 Manuelle und halbmechanische Erdarbeiten (Normativ)
L.02,Zimmerer,Labor,Labor,OH,0.0,0.0,0.0,0.0,0,CHF,0.0,0.6428,2301,2260,Water resources works,Analyse der Einheitspreise für Arbeiten (AHSP) - Permen PUPR 2016,Wasserressourcenarbeiten,A.1.1 Manuelle und halbmechanische Erdarbeiten (Normativ)
L.03,Vorarbeiter,Labor,Labor,OH,0.0,0.0,0.0,0.0,0,CHF,0.0,0.1629,1761,1680,Water resources works,Analyse der Einheitspreise für Arbeiten (AHSP) - Permen PUPR 2016,Wasserressourcenarbeiten,A.1.1 Manuelle und halbmechanische Erdarbeiten (Normativ)
Portlandzement,Portlandzement,Material,General,Kg,0.0,0.0,0.0,0.0,0,CHF,0.0,66.3003,284,284,Building and settlement works,Analyse der Einheitspreise für Arbeiten (AHSP) - Permen PUPR 2016,Gebäude- und Siedlungsarbeiten,A.2.2.1 Einheitspreis für Vorbereitungsarbeiten
Miete Tripot/Tackel,Miete Tripot/Tackel,Equipment,General,hari,0.0,0.0,0.0,0.0,0,CHF,0.0,0.4201,213,213,Building and settlement works,Analyse der Einheitspreise für Arbeiten (AHSP) - Permen PUPR 2016,Gebäude- und Siedlungsarbeiten,A.8.4.1 EINHEITSPREIS FÜR DIE ARBEIT DER ROHRLEITUNGSINSTALLATION AUSSERHALB DES
Farbiger Zement,Farbiger Zement,Material,General,Kg,0.0,0.0,0.0,0.0,0,CHF,0.0,1.0454,106,106,Building and settlement works,Analyse der Einheitspreise für Arbeiten (AHSP) - Permen PUPR 2016,Gebäude- und Siedlungsarbeiten,A.4.4.3 EINHEITSPREIS FÜR BODEN- UND BELAGSARBEITEN
Bausand,Bausand,Material,Aggregates,m3,0.0,0.0,0.0,0.0,0,CHF,0.0,0.1095,97,97,Water resources works,Analyse der Einheitspreise für Arbeiten (AHSP) - Permen PUPR 2016,Wasserressourcenarbeiten,A.2 Mauerwerksarbeiten (Normativ)
Setzen und Ausrichten,Setzen und Ausrichten,Material,General,m3,0.0,0.0,0.0,0.0,0,CHF,0.0,0.0459,83,83,Building and settlement works,Einheitspreisanalyse der Arbeit (AHSP) - Permen PUPR 2022,Gebäude- und Siedlungsarbeiten,3.6.1 ROTE ZIEGELWAND
Aufschüttung mit Sand,Aufschüttung mit Sand,Material,Aggregates,m3,0.0,0.0,0.0,0.0,0,CHF,0.0,0.1373,82,82,Building and settlement works,Einheitspreisanalyse der Arbeit (AHSP) - Permen PUPR 2022,Gebäude- und Siedlungsarbeiten,8.1 U-KANAL
Betonsand,Betonsand,Material,Aggregates,m3,0.0,0.0,0.0,0.0,0,CHF,0.0,358.8569,80,80,Building and settlement works,Analyse der Einheitspreise für Arbeiten (AHSP) - Permen PUPR 2016,Gebäude- und Siedlungsarbeiten,A.2.2.1 Einheitspreis für Vorbereitungsarbeiten
T2/Rohr mechanischer Zylindersäge,T2/Rohr mechanischer Zylindersäge,Equipment,General,hari,0.0,0.0,0.0,0.0,0,CHF,0.0,0.3783,60,60,Building and settlement works,Analyse der Einheitspreise für Arbeiten (AHSP) - Permen PUPR 2016,Gebäude- und Siedlungsarbeiten,A.8.4.2 Einheitspreis für Rohrschneidearbeiten
"Kranwagen 3 Ton, 5 Ton *)","Kranwagen 3 Ton, 5 Ton *)",Equipment,General,jam,0.0,0.0,0.0,0.0,0,CHF,0.0,0.2414,57,57,Building and settlement works,Einheitspreisanalyse der Arbeit (AHSP) - Permen PUPR 2022,Gebäude- und Siedlungsarbeiten,8.1 U-KANAL
