resource_code,name,type,category,unit,price_avg,price_min,price_max,price_median,price_variants,currency,avg_cost_per_use,avg_qty_per_use,usage_count,used_in_work_items,parent_category,parent_collection,parent_department,parent_section
L.01,Pracovník,Labor,Labor,OH,0.0,0.0,0.0,0.0,0,CZK,0.0,0.7496,2750,2739,Water resources works,Analýza jednotkových cen prací (AHSP) - Nařízení PUPR 2016,Vodohospodářské práce,A.1.1 Ruční a poloautomatické zemní práce (Normativní)
L.04,Dozorc Peralatan (A+B+C),Labor,Labor,OH,0.0,0.0,0.0,0.0,0,CZK,0.0,0.0614,2685,2685,Water resources works,Analýza jednotkových cen prací (AHSP) - Nařízení PUPR 2016,Vodohospodářské práce,A.1.1 Ruční a poloautomatické zemní práce (Normativní)
L.02,Tesař,Labor,Labor,OH,0.0,0.0,0.0,0.0,0,CZK,0.0,0.6428,2301,2260,Water resources works,Analýza jednotkových cen prací (AHSP) - Nařízení PUPR 2016,Vodohospodářské práce,A.1.1 Ruční a poloautomatické zemní práce (Normativní)
L.03,Hlava mistr,Labor,Labor,OH,0.0,0.0,0.0,0.0,0,CZK,0.0,0.1629,1761,1680,Water resources works,Analýza jednotkových cen prací (AHSP) - Nařízení PUPR 2016,Vodohospodářské práce,A.1.1 Ruční a poloautomatické zemní práce (Normativní)
Portlandská cementová směs,Portlandská cementová směs,Material,Concrete & Cement,Kg,0.0,0.0,0.0,0.0,0,CZK,0.0,65.9987,277,277,Building and settlement works,Analýza jednotkových cen prací (AHSP) - Nařízení PUPR 2016,Stavební a osadní práce,A.2.2.1 CENA JEDNOTKY PŘÍPRAVNÝCH PRACÍ
Pronájem Tripot/Tackel,Pronájem Tripot/Tackel,Equipment,General,hari,0.0,0.0,0.0,0.0,0,CZK,0.0,0.4201,213,213,Building and settlement works,Analýza jednotkových cen prací (AHSP) - Nařízení PUPR 2016,Stavební a osadní práce,A.8.4.1 CENA JEDNOTKY PRÁCE INSTALACE POTRUBÍ V EXTERIÉRU BUDOVU
Násypový písek,Násypový písek,Material,General,m3,0.0,0.0,0.0,0.0,0,CZK,0.0,0.1095,97,97,Water resources works,Analýza jednotkových cen prací (AHSP) - Nařízení PUPR 2016,Vodohospodářské práce,A.2 práce na páse (Normativní)
Pasing Pasang,Pasing Pasang,Material,General,m3,0.0,0.0,0.0,0.0,0,CZK,0.0,0.0459,83,83,Building and settlement works,Analýza jednotkových cen prací (AHSP) - Příloha PUPR 2022,Stavební a osadní práce,3.6.1 ZDÍ KONKRÉTNÍ CIHLOVÉ
Zemní práce pískovým násypem,Zemní práce pískovým násypem,Material,General,m3,0.0,0.0,0.0,0.0,0,CZK,0.0,0.1373,82,82,Building and settlement works,Analýza jednotkových cen prací (AHSP) - Příloha PUPR 2022,Stavební a osadní práce,U-DITCH KANÁL U-DITCH
písek na beton,písek na beton,Material,General,m3,0.0,0.0,0.0,0.0,0,CZK,0.0,374.0967,68,68,Building and settlement works,Analýza jednotkových cen prací (AHSP) - Nařízení PUPR 2016,Stavební a osadní práce,A.2.2.1 CENA JEDNOTKY PŘÍPRAVNÝCH PRACÍ
štěrk,štěrk,Material,General,m3,0.0,0.0,0.0,0.0,0,CZK,0.0,72.8143,63,57,Building and settlement works,Analýza jednotkových cen prací (AHSP) - Nařízení PUPR 2016,Stavební a osadní práce,A.2.2.1 CENA JEDNOTKY PŘÍPRAVNÝCH PRACÍ
T2 potrubí / mechanická válcová trubka,T2 potrubí / mechanická válcová trubka,Equipment,General,hari,0.0,0.0,0.0,0.0,0,CZK,0.0,0.3783,60,60,Building and settlement works,Analýza jednotkových cen prací (AHSP) - Nařízení PUPR 2016,Stavební a osadní práce,A.8.4.2 CENA JEDNOTKY PRÁCE ŘEZENÍ POTRUBÍ
Cementová barva,Cementová barva,Material,Concrete & Cement,kg,0.0,0.0,0.0,0.0,0,CZK,0.0,1.0252,59,59,Building and settlement works,Analýza jednotkových cen prací (AHSP) - Příloha PUPR 2022,Stavební a osadní práce,3.1.1 ŠTÍT GENTENG
"Jeřábová nákladní souprava 3 tuny, 5 tun *)","Jeřábová nákladní souprava 3 tuny, 5 tun *)",Equipment,General,jam,0.0,0.0,0.0,0.0,0,CZK,0.0,0.2414,57,57,Building and settlement works,Analýza jednotkových cen prací (AHSP) - Příloha PUPR 2022,Stavební a osadní práce,U-DITCH KANÁL U-DITCH
M.15,Portland cement,Material,Concrete & Cement,kg,0.0,0.0,0.0,0.0,0,CZK,0.0,208.9316,56,56,Water resources works,Analýza jednotkových cen prací (AHSP) - Nařízení PUPR 2016,Vodohospodářské práce,A.2 práce na páse (Normativní)
Voda,Voda,Material,General,Liter,0.0,0.0,0.0,0.0,0,CZK,0.0,163.4264,51,51,Building and settlement works,Analýza jednotkových cen prací (AHSP) - Nařízení PUPR 2016,Stavební a osadní práce,A.4.1.1 CENA JEDNOTKY BETONOVÉ PRÁCE
"Podlaha práce f'c 7,5 MPa","Podlaha práce f'c 7,5 MPa",Material,General,m3,0.0,0.0,0.0,0.0,0,CZK,0.0,0.0599,47,47,Building and settlement works,Analýza jednotkových cen prací (AHSP) - Příloha PUPR 2022,Stavební a osadní práce,U-DITCH KANÁL U-DITCH
Barva cementu,Barva cementu,Material,Concrete & Cement,Kg,0.0,0.0,0.0,0.0,0,CZK,0.0,1.0707,47,47,Building and settlement works,Analýza jednotkových cen prací (AHSP) - Nařízení PUPR 2016,Stavební a osadní práce,A.4.4.3 CENA JEDNOTKY PRÁCE NA POKLADY A POKLADY
L.11,Hlava mistr,Labor,Labor,OH,0.0,0.0,0.0,0.0,0,CZK,0.0,0.0148,43,43,Building and settlement works,Analýza jednotkových cen prací (AHSP) - Nařízení PUPR 2016,Stavební a osadní práce,A.4.5.2. CENA JEDNOTKY PRÁCE POKRÝVKA STŘEŠNÍCH KRYTIN
L.15,Foreman,Labor,Labor,OH,0.0,0.0,0.0,0.0,0,CZK,0.0,0.0074,43,43,Building and settlement works,Analýza jednotkových cen prací (AHSP) - Nařízení PUPR 2016,Stavební a osadní práce,A.4.5.2. CENA JEDNOTKY PRÁCE POKRÝVKA STŘEŠNÍCH KRYTIN
Nátěr na písek,Nátěr na písek,Material,General,m3,0.0,0.0,0.0,0.0,0,CZK,0.0,0.1065,42,42,Building and settlement works,Analýza jednotkových cen prací (AHSP) - Nařízení PUPR 2016,Stavební a osadní práce,A.2.3.1 CENA JEDNOTKY PRÁCE ZEMNÍCH PRACÍ
Nástroje na řezání trubek T2/mekanické / pilka na válcové řezání,Nástroje na řezání trubek T2/mekanické / pilka na válcové řezání,Equipment,General,Hari,0.0,0.0,0.0,0.0,0,CZK,0.0,0.1325,39,39,Building and settlement works,Analýza jednotkových cen prací (AHSP) - Příloha PUPR 2022,Stavební a osadní práce,9.2 GALVANIZOVANÁ TRUBKA
Podlaha práce f'c 10 MPa,Podlaha práce f'c 10 MPa,Material,General,m3,0.0,0.0,0.0,0.0,0,CZK,0.0,0.0716,35,35,Building and settlement works,Analýza jednotkových cen prací (AHSP) - Příloha PUPR 2022,Stavební a osadní práce,U-DITCH KANÁL U-DITCH
Cihla červená,Cihla červená,Material,General,Bh,0.0,0.0,0.0,0.0,0,CZK,0.0,86.6493,35,35,Building and settlement works,Analýza jednotkových cen prací (AHSP) - Nařízení PUPR 2016,Stavební a osadní práce,A.2.2.1 CENA JEDNOTKY PŘÍPRAVNÝCH PRACÍ
L.08,Střední odborník (stavební/hydrologický) Měřicí tyč na ocel/alluminium,Labor,Labor,OH,0.0,0.0,0.0,0.0,0,CZK,0.0,0.3707,34,34,Water resources works,Analýza jednotkových cen prací (AHSP) - Nařízení PUPR 2016,Vodohospodářské práce,P.13 Práce na pobřeží
M.14.b,Násypový písek,Material,General,m3,0.0,0.0,0.0,0.0,0,CZK,0.0,0.3089,28,28,Water resources works,Analýza jednotkových cen prací (AHSP) - Nařízení PUPR 2016,Vodohospodářské práce,5 (K175)
M.14.a,PB / Písek Beton,Material,General,kg,0.0,0.0,0.0,0.0,0,CZK,0.0,546.1573,28,28,Water resources works,Analýza jednotkových cen prací (AHSP) - Nařízení PUPR 2016,Vodohospodářské práce,P.13 Práce na pobřeží
M.12,Kámen / Štěrk,Material,General,kg,0.0,0.0,0.0,0.0,0,CZK,0.0,766.4236,28,28,Water resources works,Analýza jednotkových cen prací (AHSP) - Nařízení PUPR 2016,Vodohospodářské práce,P.13 Práce na pobřeží
E.29.b,"Kapacitní mlýnek 0,3 1 m3",Equipment,General,Sewa-hari,0.0,0.0,0.0,0.0,0,CZK,0.0,0.1318,26,26,Water resources works,Analýza jednotkových cen prací (AHSP) - Nařízení PUPR 2016,Vodohospodářské práce,A.2 práce na páse (Normativní)
M.71.b,Hřebík 5 cm a 7 cm,Material,General,kg,0.0,0.0,0.0,0.0,0,CZK,0.0,0.304,25,25,Water resources works,Analýza jednotkových cen prací (AHSP) - Nařízení PUPR 2016,Vodohospodářské práce,A.1.1 Ruční a poloautomatické zemní práce (Normativní)
M.02,Voda,Material,General,Liter,0.0,0.0,0.0,0.0,0,CZK,0.0,198.8,25,25,Water resources works,Analýza jednotkových cen prací (AHSP) - Nařízení PUPR 2016,Vodohospodářské práce,P.13 Práce na pobřeží
Izolace,Izolace,Material,General,m,0.0,0.0,0.0,0.0,0,CZK,0.0,1.032,25,25,Building and settlement works,Analýza jednotkových cen prací (AHSP) - Příloha PUPR 2022,Stavební a osadní práce,"L.0 OH m' 1,15"
M.37.a,Kaso 5/7 cm *,Material,General,m3,0.0,0.0,0.0,0.0,0,CZK,0.0,0.0077,25,21,Water resources works,Analýza jednotkových cen prací (AHSP) - Nařízení PUPR 2016,Vodohospodářské práce,1 1PC : 2PB : 3Kr
M.06.a,Kámen / lomový kámen 1roubovanfd dr�t bronzovfd ø,Material,General,m3,0.0,0.0,0.0,0.0,0,CZK,0.0,2.0982,25,25,Water resources works,Analýza jednotkových cen prací (AHSP) - Nařízení PUPR 2016,Vodohospodářské práce,P.04 1 m2 Zednické práce s maltou typu PC-PP (1 m2)
M.136b,Není dotováno pohonné hmoty,Material,General,Liter,0.0,0.0,0.0,0.0,0,CZK,0.0,1.2892,24,24,Water resources works,Analýza jednotkových cen prací (AHSP) - Nařízení PUPR 2016,Vodohospodářské práce,5 (K175)
Ocelové bednění,Ocelové bednění,Material,General,Liter,0.0,0.0,0.0,0.0,0,CZK,0.0,0.1548,21,21,Building and settlement works,Analýza jednotkových cen prací (AHSP) - Nařízení PUPR 2016,Stavební a osadní práce,A.4.1.1 CENA JEDNOTKY BETONOVÉ PRÁCE
PP,PP,Material,General,m3,0.0,0.0,0.0,0.0,0,CZK,0.0,0.0239,19,19,Building and settlement works,Analýza jednotkových cen prací (AHSP) - Nařízení PUPR 2016,Stavební a osadní práce,A.4.4.2 CENA JEDNOTKY PRÁCE PLESTEROVÁNÍ
T Dus,T Dus,Material,General,buah,0.0,0.0,0.0,0.0,0,CZK,0.0,1.1111,18,18,Building and settlement works,Analýza jednotkových cen prací (AHSP) - Nařízení PUPR 2016,Stavební a osadní práce,A.8.4.6 CENA JEDNOTKY ELEKTRICKÝCH PRACÍ
Zásuvkový vodič 20 mm,Zásuvkový vodič 20 mm,Material,General,buah,0.0,0.0,0.0,0.0,0,CZK,0.0,11.4444,18,18,Building and settlement works,Analýza jednotkových cen prací (AHSP) - Příloha PUPR 2022,Stavební a osadní práce,"L.0 OH m' 1,15"
Čistá voda,Čistá voda,Material,General,liter,0.0,0.0,0.0,0.0,0,CZK,0.0,6.2222,18,18,Building and settlement works,Analýza jednotkových cen prací (AHSP) - Příloha PUPR 2022,Stavební a osadní práce,4.1 ZÁKLADNÍ ZEMNÍ PRÁCE
b Organický hnoj: 20% c Písek/kompost/,b Organický hnoj: 20% c Písek/kompost/,Material,General,m3,0.0,0.0,0.0,0.0,0,CZK,0.0,0.025,18,18,Building and settlement works,Analýza jednotkových cen prací (AHSP) - Příloha PUPR 2022,Stavební a osadní práce,4.1 ZÁKLADNÍ ZEMNÍ PRÁCE
úrodná půda: 75%,úrodná půda: 75%,Material,General,m3,0.0,0.0,0.0,0.0,0,CZK,0.0,0.0936,18,18,Building and settlement works,Analýza jednotkových cen prací (AHSP) - Příloha PUPR 2022,Stavební a osadní práce,4.1 ZÁKLADNÍ ZEMNÍ PRÁCE
"Pronájem bagru 225 s kapacitou 0,5 1,0 m3","Pronájem bagru 225 s kapacitou 0,5 1,0 m3",Equipment,General,hari,0.0,0.0,0.0,0.0,0,CZK,0.0,0.0647,18,18,Building and settlement works,Analýza jednotkových cen prací (AHSP) - Nařízení PUPR 2016,Stavební a osadní práce,A.8.4.1 CENA JEDNOTKY PRÁCE INSTALACE POTRUBÍ V EXTERIÉRU BUDOVU
materiál pro úpravu půdy: 5%,materiál pro úpravu půdy: 5%,Material,General,m3,0.0,0.0,0.0,0.0,0,CZK,0.0,0.0062,17,17,Building and settlement works,Analýza jednotkových cen prací (AHSP) - Příloha PUPR 2022,Stavební a osadní práce,4.1 ZÁKLADNÍ ZEMNÍ PRÁCE
Fischer S6 + šroub,Fischer S6 + šroub,Material,General,buah,0.0,0.0,0.0,0.0,0,CZK,0.0,31.9412,17,17,Building and settlement works,Analýza jednotkových cen prací (AHSP) - Příloha PUPR 2022,Stavební a osadní práce,"L.0 OH m' 1,15"
Klem 20 mm,Klem 20 mm,Material,General,buah,0.0,0.0,0.0,0.0,0,CZK,0.0,21.2941,17,17,Building and settlement works,Analýza jednotkových cen prací (AHSP) - Příloha PUPR 2022,Stavební a osadní práce,"L.0 OH m' 1,15"
Připojení k síti,Připojení k síti,Material,General,Kg,0.0,0.0,0.0,0.0,0,CZK,0.0,7.2375,16,16,Building and settlement works,Analýza jednotkových cen prací (AHSP) - Nařízení PUPR 2016,Stavební a osadní práce,A.4.4.2 CENA JEDNOTKY PRÁCE PLESTEROVÁNÍ
