resource_code,name,type,category,unit,price_avg,price_min,price_max,price_median,price_variants,currency,avg_cost_per_use,avg_qty_per_use,usage_count,used_in_work_items,parent_category,parent_collection,parent_department,parent_section
L.01,Trabajador,Labor,Labor,OH,0.0,0.0,0.0,0.0,0,EUR,0.0,0.7496,2750,2739,Water resources works,Análisis de Costos Unitarios de Trabajos (AHSP) - Decreto PUPR 2016,Obras de recursos hídricos,A.1.1 Trabajos de excavación manual y semi-mecánica (Normativo)
L.04,Capataz de Equipos (A+B+C),Labor,Labor,OH,0.0,0.0,0.0,0.0,0,EUR,0.0,0.0614,2685,2685,Water resources works,Análisis de Costos Unitarios de Trabajos (AHSP) - Decreto PUPR 2016,Obras de recursos hídricos,A.1.1 Trabajos de excavación manual y semi-mecánica (Normativo)
L.02,Carpintero,Labor,Labor,OH,0.0,0.0,0.0,0.0,0,EUR,0.0,0.6428,2301,2260,Water resources works,Análisis de Costos Unitarios de Trabajos (AHSP) - Decreto PUPR 2016,Obras de recursos hídricos,A.1.1 Trabajos de excavación manual y semi-mecánica (Normativo)
L.03,Jefe de Obra,Labor,Labor,OH,0.0,0.0,0.0,0.0,0,EUR,0.0,0.1629,1761,1680,Water resources works,Análisis de Costos Unitarios de Trabajos (AHSP) - Decreto PUPR 2016,Obras de recursos hídricos,A.1.1 Trabajos de excavación manual y semi-mecánica (Normativo)
Cemento Portland,Cemento Portland,Material,Concrete & Cement,Kg,0.0,0.0,0.0,0.0,0,EUR,0.0,66.3003,284,284,Building and settlement works,Análisis de Costos Unitarios de Trabajos (AHSP) - Decreto PUPR 2016,Trabajos de construcción y asentamiento,A.2.2.1 PRECIO UNITARIO DE LA OBRA DE PREPARACIÓN
Alquiler de Tripot/Tackel,Alquiler de Tripot/Tackel,Equipment,General,hari,0.0,0.0,0.0,0.0,0,EUR,0.0,0.4201,213,213,Building and settlement works,Análisis de Costos Unitarios de Trabajos (AHSP) - Decreto PUPR 2016,Trabajos de construcción y asentamiento,A.8.4.1 PRECIO UNITARIO DE LA INSTALACIÓN DE TUBERÍAS FUERA DEL EDIFICIO
Arena de arena,Arena de arena,Material,General,m3,0.0,0.0,0.0,0.0,0,EUR,0.0,20.9529,157,153,Water resources works,Análisis de Costos Unitarios de Trabajos (AHSP) - Decreto PUPR 2016,Obras de recursos hídricos,A.2 Trabajo de empalme (Normativo)
Cemento de color,Cemento de color,Material,Concrete & Cement,Kg,0.0,0.0,0.0,0.0,0,EUR,0.0,1.0454,106,106,Building and settlement works,Análisis de Costos Unitarios de Trabajos (AHSP) - Decreto PUPR 2016,Trabajos de construcción y asentamiento,A.4.4.3 PRECIO UNITARIO DE LOS TRABAJOS DE CUBIERTA Y REVESTIMIENTO DEL PISO
Pasing Pasang,Pasing Pasang,Material,General,m3,0.0,0.0,0.0,0.0,0,EUR,0.0,0.0459,83,83,Building and settlement works,Análisis de Costos Unitarios de Trabajos (AHSP) - Permen PUPR 2022,Trabajos de construcción y asentamiento,3.6.1 MURO DE LADRILLO ROJO
compactación de arena,compactación de arena,Material,General,m3,0.0,0.0,0.0,0.0,0,EUR,0.0,0.1373,82,82,Building and settlement works,Análisis de Costos Unitarios de Trabajos (AHSP) - Permen PUPR 2022,Trabajos de construcción y asentamiento,Canal U-DITCH
Arena de hormigón,Arena de hormigón,Material,General,m3,0.0,0.0,0.0,0.0,0,EUR,0.0,374.0967,68,68,Building and settlement works,Análisis de Costos Unitarios de Trabajos (AHSP) - Decreto PUPR 2016,Trabajos de construcción y asentamiento,A.2.2.1 PRECIO UNITARIO DE LA OBRA DE PREPARACIÓN
tubería T2/mecánico cilindro sierra,tubería T2/mecánico cilindro sierra,Equipment,General,hari,0.0,0.0,0.0,0.0,0,EUR,0.0,0.3783,60,60,Building and settlement works,Análisis de Costos Unitarios de Trabajos (AHSP) - Decreto PUPR 2016,Trabajos de construcción y asentamiento,A.8.4.2 PRECIO UNITARIO DE LA OBRA DE CORTE DE TUBERÍAS
"Camión grúa 3 Ton, 5 Ton *)","Camión grúa 3 Ton, 5 Ton *)",Equipment,General,jam,0.0,0.0,0.0,0.0,0,EUR,0.0,0.2414,57,57,Building and settlement works,Análisis de Costos Unitarios de Trabajos (AHSP) - Permen PUPR 2022,Trabajos de construcción y asentamiento,Canal U-DITCH
M.15,cemento Portland,Material,Concrete & Cement,kg,0.0,0.0,0.0,0.0,0,EUR,0.0,208.9316,56,56,Water resources works,Análisis de Costos Unitarios de Trabajos (AHSP) - Decreto PUPR 2016,Obras de recursos hídricos,A.2 Trabajo de empalme (Normativo)
Agua,Agua,Material,General,Liter,0.0,0.0,0.0,0.0,0,EUR,0.0,163.4264,51,51,Building and settlement works,Análisis de Costos Unitarios de Trabajos (AHSP) - Decreto PUPR 2016,Trabajos de construcción y asentamiento,A.4.1.1 PRECIO UNITARIO DE LA OBRA DE CONCRETO
"Losa de trabajo f'c 7,5 MPa","Losa de trabajo f'c 7,5 MPa",Material,General,m3,0.0,0.0,0.0,0.0,0,EUR,0.0,0.0599,47,47,Building and settlement works,Análisis de Costos Unitarios de Trabajos (AHSP) - Permen PUPR 2022,Trabajos de construcción y asentamiento,Canal U-DITCH
L.15,Capataz,Labor,Labor,OH,0.0,0.0,0.0,0.0,0,EUR,0.0,0.0074,43,43,Building and settlement works,Análisis de Costos Unitarios de Trabajos (AHSP) - Decreto PUPR 2016,Trabajos de construcción y asentamiento,A.4.5.2. PRECIO UNITARIO DE LA OBRA CUBIERTA
L.11,Jefe de capataz,Labor,Labor,OH,0.0,0.0,0.0,0.0,0,EUR,0.0,0.0148,43,43,Building and settlement works,Análisis de Costos Unitarios de Trabajos (AHSP) - Decreto PUPR 2016,Trabajos de construcción y asentamiento,A.4.5.2. PRECIO UNITARIO DE LA OBRA CUBIERTA
