resource_code,name,type,category,unit,price_avg,price_min,price_max,price_median,price_variants,currency,avg_cost_per_use,avg_qty_per_use,usage_count,used_in_work_items,parent_category,parent_collection,parent_department,parent_section
L.01,Radnik,Labor,Labor,OH,0.0,0.0,0.0,0.0,0,EUR,0.0,0.7496,2750,2739,Water resources works,Analiza Jedinične Cijene Radova (AHSP) - PUPR Uredba 2016,Water resources works,A.1.1 Rušenje i priprema tla ručno i polu-mehanizirano (Normativ)
L.04,Nadzornik Oprema (A+B+C),Labor,Labor,OH,0.0,0.0,0.0,0.0,0,EUR,0.0,0.0614,2685,2685,Water resources works,Analiza Jedinične Cijene Radova (AHSP) - PUPR Uredba 2016,Water resources works,A.1.1 Rušenje i priprema tla ručno i polu-mehanizirano (Normativ)
L.02,Stolar,Labor,Labor,OH,0.0,0.0,0.0,0.0,0,EUR,0.0,0.6428,2301,2260,Water resources works,Analiza Jedinične Cijene Radova (AHSP) - PUPR Uredba 2016,Water resources works,A.1.1 Rušenje i priprema tla ručno i polu-mehanizirano (Normativ)
L.03,Voditelj radnika,Labor,Labor,OH,0.0,0.0,0.0,0.0,0,EUR,0.0,0.1629,1761,1680,Water resources works,Analiza Jedinične Cijene Radova (AHSP) - PUPR Uredba 2016,Water resources works,A.1.1 Rušenje i priprema tla ručno i polu-mehanizirano (Normativ)
Portland cement,Portland cement,Material,Concrete & Cement,Kg,0.0,0.0,0.0,0.0,0,EUR,0.0,66.4982,283,283,Building and settlement works,Analiza Jedinične Cijene Radova (AHSP) - PUPR Uredba 2016,Radovi na izgradnji i naseljavanju,A.2.2.1 CIJENA JEDINICE RADOVA PRIPREME
Najam Tripot/Tackel,Najam Tripot/Tackel,Equipment,General,hari,0.0,0.0,0.0,0.0,0,EUR,0.0,0.4201,213,213,Building and settlement works,Analiza Jedinične Cijene Radova (AHSP) - PUPR Uredba 2016,Radovi na izgradnji i naseljavanju,A.8.4.1 CIJENA JEDINICE RADOVA UGRADNJE CJEVI IZVAN ZGRADE
Nasipni pijesak,Nasipni pijesak,Material,General,m3,0.0,0.0,0.0,0.0,0,EUR,0.0,0.1095,97,97,Water resources works,Analiza Jedinične Cijene Radova (AHSP) - PUPR Uredba 2016,Water resources works,A.2 Radovi na parovanju (Normativ)
Pasing Pasang,Pasing Pasang,Material,General,m3,0.0,0.0,0.0,0.0,0,EUR,0.0,0.0459,83,83,Building and settlement works,Analiza Jedinične Cijene Radova (AHSP) - PUPR 2022,Radovi na izgradnji i naseljavanju,3.6.1 ZIDINA OD CRVENOG CIGLA
Nasipni sloj od pijeska,Nasipni sloj od pijeska,Material,General,m3,0.0,0.0,0.0,0.0,0,EUR,0.0,0.1373,82,82,Building and settlement works,Analiza Jedinične Cijene Radova (AHSP) - PUPR 2022,Radovi na izgradnji i naseljavanju,U-ODVOD U-DITCH
Pijesak za beton,Pijesak za beton,Material,General,m3,0.0,0.0,0.0,0.0,0,EUR,0.0,358.8569,80,80,Building and settlement works,Analiza Jedinične Cijene Radova (AHSP) - PUPR Uredba 2016,Radovi na izgradnji i naseljavanju,A.2.2.1 CIJENA JEDINICE RADOVA PRIPREME
T2 cijev/mekanički cilindar pila,T2 cijev/mekanički cilindar pila,Equipment,General,hari,0.0,0.0,0.0,0.0,0,EUR,0.0,0.3783,60,60,Building and settlement works,Analiza Jedinične Cijene Radova (AHSP) - PUPR Uredba 2016,Radovi na izgradnji i naseljavanju,A.8.4.2 CIJENA JEDINICE RADOVA REZANJA CIJEVI
Žuta cement,Žuta cement,Material,Concrete & Cement,kg,0.0,0.0,0.0,0.0,0,EUR,0.0,1.0252,59,59,Building and settlement works,Analiza Jedinične Cijene Radova (AHSP) - PUPR 2022,Radovi na izgradnji i naseljavanju,3.1.1 KROVNA PLOČA OD PLOČICA
"Kran kamion 3 Ton, 5 Ton *)","Kran kamion 3 Ton, 5 Ton *)",Equipment,General,jam,0.0,0.0,0.0,0.0,0,EUR,0.0,0.2414,57,57,Building and settlement works,Analiza Jedinične Cijene Radova (AHSP) - PUPR 2022,Radovi na izgradnji i naseljavanju,U-ODVOD U-DITCH
M.15,Portland cement,Material,Concrete & Cement,kg,0.0,0.0,0.0,0.0,0,EUR,0.0,208.9316,56,56,Water resources works,Analiza Jedinične Cijene Radova (AHSP) - PUPR Uredba 2016,Water resources works,A.2 Radovi na parovanju (Normativ)
Voda,Voda,Material,General,Liter,0.0,0.0,0.0,0.0,0,EUR,0.0,163.4264,51,51,Building and settlement works,Analiza Jedinične Cijene Radova (AHSP) - PUPR Uredba 2016,Radovi na izgradnji i naseljavanju,A.4.1.1 CIJENA JEDINICE BETONSKIH RADOVA
Žuta cementa,Žuta cementa,Material,Concrete & Cement,Kg,0.0,0.0,0.0,0.0,0,EUR,0.0,1.0707,47,47,Building and settlement works,Analiza Jedinične Cijene Radova (AHSP) - PUPR Uredba 2016,Radovi na izgradnji i naseljavanju,A.4.4.3 CIJENA JEDINICE RADOVA ZA POKRIVKE PODOVA I PREKLOPNE
"Podne obloge F'c 7,5 MPa","Podne obloge F'c 7,5 MPa",Material,General,m3,0.0,0.0,0.0,0.0,0,EUR,0.0,0.0599,47,47,Building and settlement works,Analiza Jedinične Cijene Radova (AHSP) - PUPR 2022,Radovi na izgradnji i naseljavanju,U-ODVOD U-DITCH
L.11,Voditelj radnika,Labor,Labor,OH,0.0,0.0,0.0,0.0,0,EUR,0.0,0.0148,43,43,Building and settlement works,Analiza Jedinične Cijene Radova (AHSP) - PUPR Uredba 2016,Radovi na izgradnji i naseljavanju,A.4.5.2. CIJENA JEDINICE RADOVA ZA KROVNU PLOČU
L.15,Nadzornik,Labor,Labor,OH,0.0,0.0,0.0,0.0,0,EUR,0.0,0.0074,43,43,Building and settlement works,Analiza Jedinične Cijene Radova (AHSP) - PUPR Uredba 2016,Radovi na izgradnji i naseljavanju,A.4.5.2. CIJENA JEDINICE RADOVA ZA KROVNU PLOČU
Pasir Pasang,Pasir Pasang,Material,General,m3,0.0,0.0,0.0,0.0,0,EUR,0.0,0.1065,42,42,Building and settlement works,Analiza Jedinične Cijene Radova (AHSP) - PUPR Uredba 2016,Radovi na izgradnji i naseljavanju,A.2.3.1 CIJENA JEDINICE RADOVA ZEMLJANIH
Oprema za rezanje cijevi T2/mehanička / cilindri pila,Oprema za rezanje cijevi T2/mehanička / cilindri pila,Equipment,General,Hari,0.0,0.0,0.0,0.0,0,EUR,0.0,0.1325,39,39,Building and settlement works,Analiza Jedinične Cijene Radova (AHSP) - PUPR 2022,Radovi na izgradnji i naseljavanju,9.2 GALVANIČNA CIJEV
Crvena opeka,Crvena opeka,Material,General,Bh,0.0,0.0,0.0,0.0,0,EUR,0.0,86.6493,35,35,Building and settlement works,Analiza Jedinične Cijene Radova (AHSP) - PUPR Uredba 2016,Radovi na izgradnji i naseljavanju,A.2.2.1 CIJENA JEDINICE RADOVA PRIPREME
