resource_code,name,type,category,unit,price_avg,price_min,price_max,price_median,price_variants,currency,avg_cost_per_use,avg_qty_per_use,usage_count,used_in_work_items,parent_category,parent_collection,parent_department,parent_section
L.01,Lavoratore,Labor,Labor,OH,0.0,0.0,0.0,0.0,0,EUR,0.0,0.7496,2750,2739,Water resources works,Analisi dei costi unitari del lavoro (AHSP) - Permen PUPR 2016,Lavori di risorse idriche,A.1.1 Lavori di scavo manuali e semi-meccanici (Normativo)
L.04,Capo squadra Attrezzature (A+B+C),Labor,Labor,OH,0.0,0.0,0.0,0.0,0,EUR,0.0,0.0614,2685,2685,Water resources works,Analisi dei costi unitari del lavoro (AHSP) - Permen PUPR 2016,Lavori di risorse idriche,A.1.1 Lavori di scavo manuali e semi-meccanici (Normativo)
L.02,Falegname,Labor,Labor,OH,0.0,0.0,0.0,0.0,0,EUR,0.0,0.6428,2301,2260,Water resources works,Analisi dei costi unitari del lavoro (AHSP) - Permen PUPR 2016,Lavori di risorse idriche,A.1.1 Lavori di scavo manuali e semi-meccanici (Normativo)
L.03,Capo Operaio,Labor,Labor,OH,0.0,0.0,0.0,0.0,0,EUR,0.0,0.1629,1761,1680,Water resources works,Analisi dei costi unitari del lavoro (AHSP) - Permen PUPR 2016,Lavori di risorse idriche,A.1.1 Lavori di scavo manuali e semi-meccanici (Normativo)
Cemento Portland,Cemento Portland,Material,Concrete & Cement,Kg,0.0,0.0,0.0,0.0,0,EUR,0.0,66.4982,283,283,Building and settlement works,Analisi dei costi unitari del lavoro (AHSP) - Permen PUPR 2016,Lavori di costruzione e sistemazione,A.2.2.1 COSTO UNITARIO DELLE OPERAZIONI DI PREPARAZIONE
Noleggio Tripot/Tackel,Noleggio Tripot/Tackel,Equipment,General,hari,0.0,0.0,0.0,0.0,0,EUR,0.0,0.4201,213,213,Building and settlement works,Analisi dei costi unitari del lavoro (AHSP) - Permen PUPR 2016,Lavori di costruzione e sistemazione,A.8.4.1 PREZZO UNITARIO PER L'INSTALLAZIONE DI TUBAZIONI ESTERNE ALL'EDIFICIO
Sabbia di riempimento,Sabbia di riempimento,Material,General,m3,0.0,0.0,0.0,0.0,0,EUR,0.0,0.1441,155,150,Water resources works,Analisi dei costi unitari del lavoro (AHSP) - Permen PUPR 2016,Lavori di risorse idriche,A.2 Lavori di sottofondo (Normativo)
Cemento colorato,Cemento colorato,Material,Concrete & Cement,Kg,0.0,0.0,0.0,0.0,0,EUR,0.0,1.0454,106,106,Building and settlement works,Analisi dei costi unitari del lavoro (AHSP) - Permen PUPR 2016,Lavori di costruzione e sistemazione,A.4.4.3 PREZZO UNITARIO DELLE OPERE DI COPERTURA E FINITURE DEL PAVIMENTO
Pasing Pasang,Pasing Pasang,Material,General,m3,0.0,0.0,0.0,0.0,0,EUR,0.0,0.0459,83,83,Building and settlement works,Analisi dei costi unitari del lavoro (AHSP) - Permen PUPR 2022,Lavori di costruzione e sistemazione,3.6.1 MURATURA IN MATTONI DI TERRACOTTA
Riempimento di sabbia,Riempimento di sabbia,Material,General,m3,0.0,0.0,0.0,0.0,0,EUR,0.0,0.1373,82,82,Building and settlement works,Analisi dei costi unitari del lavoro (AHSP) - Permen PUPR 2022,Lavori di costruzione e sistemazione,8.1 TUBAZIONE U-DITCH
Sabbia di calcestruzzo,Sabbia di calcestruzzo,Material,General,m3,0.0,0.0,0.0,0.0,0,EUR,0.0,358.8569,80,80,Building and settlement works,Analisi dei costi unitari del lavoro (AHSP) - Permen PUPR 2016,Lavori di costruzione e sistemazione,A.2.2.1 COSTO UNITARIO DELLE OPERAZIONI DI PREPARAZIONE
