resource_code,name,type,category,unit,price_avg,price_min,price_max,price_median,price_variants,currency,avg_cost_per_use,avg_qty_per_use,usage_count,used_in_work_items,parent_category,parent_collection,parent_department,parent_section
L.01,???,Labor,Labor,OH,0.0,0.0,0.0,0.0,0,JPY,0.0,0.7496,2750,2739,Water resources works,???????AHSP? - PUPR???? 2016,?????,A.1.1 手動および半機械的土工事（規範）
L.04,作業監督（A+B+C）,Labor,Labor,OH,0.0,0.0,0.0,0.0,0,JPY,0.0,0.0614,2685,2685,Water resources works,???????AHSP? - PUPR???? 2016,?????,A.1.1 手動および半機械的土工事（規範）
L.02,??,Labor,Labor,OH,0.0,0.0,0.0,0.0,0,JPY,0.0,0.6428,2301,2260,Water resources works,???????AHSP? - PUPR???? 2016,?????,A.1.1 手動および半機械的土工事（規範）
L.03,?????,Labor,Labor,OH,0.0,0.0,0.0,0.0,0,JPY,0.0,0.1629,1761,1680,Water resources works,???????AHSP? - PUPR???? 2016,?????,A.1.1 手動および半機械的土工事（規範）
??????????,??????????,Material,General,Kg,0.0,0.0,0.0,0.0,0,JPY,0.0,66.2005,276,276,Building and settlement works,???????AHSP? - PUPR???? 2016,?????????,A.2.2.1 ???????
?????????,?????????,Equipment,General,hari,0.0,0.0,0.0,0.0,0,JPY,0.0,0.4201,213,213,Building and settlement works,???????AHSP? - PUPR???? 2016,?????????,A.8.4.1 ??????????????
セメントの色,セメントの色,Material,General,Kg,0.0,0.0,0.0,0.0,0,JPY,0.0,1.0454,106,106,Building and settlement works,???????AHSP? - PUPR???? 2016,?????????,A.4.4.3 価格単価 作業 床仕上げ及び
????,????,Material,General,m3,0.0,0.0,0.0,0.0,0,JPY,0.0,0.1095,97,97,Water resources works,???????AHSP? - PUPR???? 2016,?????,A.2 ????????
パシング・パサング,パシング・パサング,Material,General,m3,0.0,0.0,0.0,0.0,0,JPY,0.0,0.0459,83,83,Building and settlement works,???????AHSP? - PUPR???? 2022,?????????,3.6.1 ?????
砂の埋戻し,砂の埋戻し,Material,General,m3,0.0,0.0,0.0,0.0,0,JPY,0.0,0.1373,82,82,Building and settlement works,???????AHSP? - PUPR???? 2022,?????????,8.1 U-DITCH???
