resource_code,name,type,category,unit,price_avg,price_min,price_max,price_median,price_variants,currency,avg_cost_per_use,avg_qty_per_use,usage_count,used_in_work_items,parent_category,parent_collection,parent_department,parent_section
L.01,작업자,Labor,Labor,OH,0.0,0.0,0.0,0.0,0,KRW,0.0,0.7496,2750,2739,Water resources works,공사 단가 분석 (AHSP) - PUPR 장관령 2016,수자원 공사,A.1.1 수작업 및 반기계적 토공 작업 (표준)
L.04,장비 감독 (A+B+C),Labor,Labor,OH,0.0,0.0,0.0,0.0,0,KRW,0.0,0.0614,2685,2685,Water resources works,공사 단가 분석 (AHSP) - PUPR 장관령 2016,수자원 공사,A.1.1 수작업 및 반기계적 토공 작업 (표준)
L.02,목공,Labor,Labor,OH,0.0,0.0,0.0,0.0,0,KRW,0.0,0.6428,2301,2260,Water resources works,공사 단가 분석 (AHSP) - PUPR 장관령 2016,수자원 공사,A.1.1 수작업 및 반기계적 토공 작업 (표준)
L.03,기능공 반장,Labor,Labor,OH,0.0,0.0,0.0,0.0,0,KRW,0.0,0.1629,1761,1680,Water resources works,공사 단가 분석 (AHSP) - PUPR 장관령 2016,수자원 공사,A.1.1 수작업 및 반기계적 토공 작업 (표준)
포틀랜드 시멘트,포틀랜드 시멘트,Material,General,Kg,0.0,0.0,0.0,0.0,0,KRW,0.0,66.73,282,282,Building and settlement works,공사 단가 분석 (AHSP) - PUPR 장관령 2016,건축 및 정착지 공사,A.2.2.1 준비 공사 단가
Tripot/Tackel 임대,Tripot/Tackel 임대,Equipment,General,hari,0.0,0.0,0.0,0.0,0,KRW,0.0,0.4201,213,213,Building and settlement works,공사 단가 분석 (AHSP) - PUPR 장관령 2016,건축 및 정착지 공사,A.8.4.1 건물 외부 배관 설치 공사 단가
시멘트 색상,시멘트 색상,Material,General,Kg,0.0,0.0,0.0,0.0,0,KRW,0.0,1.0454,106,106,Building and settlement works,공사 단가 분석 (AHSP) - PUPR 장관령 2016,건축 및 정착지 공사,A.4.4.3 바닥 마감 및 마감재 공사 단가
조적용 모래,조적용 모래,Material,General,m3,0.0,0.0,0.0,0.0,0,KRW,0.0,0.1095,97,97,Water resources works,공사 단가 분석 (AHSP) - PUPR 장관령 2016,수자원 공사,A.2 조적 공사 (규범)
패싱 패싱,패싱 패싱,Material,General,m3,0.0,0.0,0.0,0.0,0,KRW,0.0,0.0459,83,83,Building and settlement works,공사 단가 분석 (AHSP) - PUPR 장관령 2022,건축 및 정착지 공사,3.6.1 붉은 벽돌 벽체
모래 포설,모래 포설,Material,General,m3,0.0,0.0,0.0,0.0,0,KRW,0.0,0.1373,82,82,Building and settlement works,공사 단가 분석 (AHSP) - PUPR 장관령 2022,건축 및 정착지 공사,8.1 U-DITCH 배수로
콘크리트 모래,콘크리트 모래,Material,General,m3,0.0,0.0,0.0,0.0,0,KRW,0.0,364.6488,81,81,Building and settlement works,공사 단가 분석 (AHSP) - PUPR 장관령 2016,건축 및 정착지 공사,A.2.2.1 준비 공사 단가
T2/기계 실린더 배관,T2/기계 실린더 배관,Equipment,General,hari,0.0,0.0,0.0,0.0,0,KRW,0.0,0.3783,60,60,Building and settlement works,공사 단가 분석 (AHSP) - PUPR 장관령 2016,건축 및 정착지 공사,A.8.4.2 배관 절단 공사 단가
"크레인 트럭 3 Ton, 5 Ton *)","크레인 트럭 3 Ton, 5 Ton *)",Equipment,General,jam,0.0,0.0,0.0,0.0,0,KRW,0.0,0.2414,57,57,Building and settlement works,공사 단가 분석 (AHSP) - PUPR 장관령 2022,건축 및 정착지 공사,8.1 U-DITCH 배수로
M.15,포틀랜드 시멘트,Material,Concrete & Cement,kg,0.0,0.0,0.0,0.0,0,KRW,0.0,208.9316,56,56,Water resources works,공사 단가 분석 (AHSP) - PUPR 장관령 2016,수자원 공사,A.2 조적 공사 (규범)
수도,수도,Material,General,Liter,0.0,0.0,0.0,0.0,0,KRW,0.0,163.4264,51,51,Building and settlement works,공사 단가 분석 (AHSP) - PUPR 장관령 2016,건축 및 정착지 공사,A.4.1.1 콘크리트 공사 단가
파이프 절단 장비 T2/기계 / 실린더 톱,파이프 절단 장비 T2/기계 / 실린더 톱,Equipment,General,Hari,0.0,0.0,0.0,0.0,0,KRW,0.0,0.1687,48,48,Building and settlement works,공사 단가 분석 (AHSP) - PUPR 장관령 2022,건축 및 정착지 공사,9.2 아연도금관
"바닥 작업 f'c 7,5 MPa","바닥 작업 f'c 7,5 MPa",Material,General,m3,0.0,0.0,0.0,0.0,0,KRW,0.0,0.0599,47,47,Building and settlement works,공사 단가 분석 (AHSP) - PUPR 장관령 2022,건축 및 정착지 공사,8.1 U-DITCH 배수로
L.11,기능공 반장,Labor,Labor,OH,0.0,0.0,0.0,0.0,0,KRW,0.0,0.0148,43,43,Building and settlement works,공사 단가 분석 (AHSP) - PUPR 장관령 2016,건축 및 정착지 공사,A.4.5.2. 지붕 마감 공사 단가
L.15,작업반장,Labor,Labor,OH,0.0,0.0,0.0,0.0,0,KRW,0.0,0.0074,43,43,Building and settlement works,공사 단가 분석 (AHSP) - PUPR 장관령 2016,건축 및 정착지 공사,A.4.5.2. 지붕 마감 공사 단가
모래 채우기,모래 채우기,Material,General,m3,0.0,0.0,0.0,0.0,0,KRW,0.0,0.1065,42,42,Building and settlement works,공사 단가 분석 (AHSP) - PUPR 장관령 2016,건축 및 정착지 공사,A.2.3.1 토공 작업 단가
