resource_code,name,type,category,unit,price_avg,price_min,price_max,price_median,price_variants,currency,avg_cost_per_use,avg_qty_per_use,usage_count,used_in_work_items,parent_category,parent_collection,parent_department,parent_section
L.01,Ажилчид,Labor,Labor,OH,0.0,0.0,0.0,0.0,0,MNT,0.0,0.7496,2750,2739,Water resources works,Нэгжийн үнийн дүнгийн судалгаа (AHSP) - PUPR 2016,Усны нөөцийн ажил,A.1.1 Газар хөдлөх ажлыг гар аргаар ба хагас механик аргаар гүйцэтгэнэ (Стандарт
L.04,Хүлээлцэх төхөөрөмж (A+B+C),Labor,Labor,OH,0.0,0.0,0.0,0.0,0,MNT,0.0,0.0614,2685,2685,Water resources works,Нэгжийн үнийн дүнгийн судалгаа (AHSP) - PUPR 2016,Усны нөөцийн ажил,A.1.1 Газар хөдлөх ажлыг гар аргаар ба хагас механик аргаар гүйцэтгэнэ (Стандарт
L.02,Мастер-цавх,Labor,Labor,OH,0.0,0.0,0.0,0.0,0,MNT,0.0,0.6428,2301,2260,Water resources works,Нэгжийн үнийн дүнгийн судалгаа (AHSP) - PUPR 2016,Усны нөөцийн ажил,A.1.1 Газар хөдлөх ажлыг гар аргаар ба хагас механик аргаар гүйцэтгэнэ (Стандарт
L.03,Головой бригадир,Labor,Labor,OH,0.0,0.0,0.0,0.0,0,MNT,0.0,0.1629,1761,1680,Water resources works,Нэгжийн үнийн дүнгийн судалгаа (AHSP) - PUPR 2016,Усны нөөцийн ажил,A.1.1 Газар хөдлөх ажлыг гар аргаар ба хагас механик аргаар гүйцэтгэнэ (Стандарт
Портланд цемент,Портланд цемент,Material,General,Kg,0.0,0.0,0.0,0.0,0,MNT,0.0,65.9657,277,277,Building and settlement works,Нэгжийн үнийн дүнгийн судалгаа (AHSP) - PUPR 2016,Барилга ба суурьшлын ажлууд,A.2.2.1 ҮНЭНД ТӨЛӨХ ҮЙЛ АЖИЛЛАГААНЫ ҮНЭНД ТӨЛӨХ
Трапо/Такель түрээс,Трапо/Такель түрээс,Equipment,General,hari,0.0,0.0,0.0,0.0,0,MNT,0.0,0.4201,213,213,Building and settlement works,Нэгжийн үнийн дүнгийн судалгаа (AHSP) - PUPR 2016,Барилга ба суурьшлын ажлууд,A.8.4.1 ҮНЭЛГЭЭНИЙ ҮНЭНД ГАДААД БАЙШИНД ХИЙГДЭХ ПАЙПЛАА ХӨГЖҮҮЛЭХ АЖЛЫН ҮНЭ
Гравий цацах,Гравий цацах,Material,General,m3,0.0,0.0,0.0,0.0,0,MNT,0.0,0.1095,97,97,Water resources works,Нэгжийн үнийн дүнгийн судалгаа (AHSP) - PUPR 2016,Усны нөөцийн ажил,A.2 Хоолойн ажил (Стандартын дагуу)
Пасинг Пасанг,Пасинг Пасанг,Material,General,m3,0.0,0.0,0.0,0.0,0,MNT,0.0,0.0459,83,83,Building and settlement works,Анализа нэгжийн үнийн тооцоо (AHSP) - PUPR 2022,Барилга ба суурьшлын ажлууд,3.6.1 УЛЬ ТООЛГОМОНГИЙН ТООЛГОМОНГИЙН ХАНАН
Пескэн өрөмдлөг,Пескэн өрөмдлөг,Material,General,m3,0.0,0.0,0.0,0.0,0,MNT,0.0,0.1373,82,82,Building and settlement works,Анализа нэгжийн үнийн тооцоо (AHSP) - PUPR 2022,Барилга ба суурьшлын ажлууд,8.1 SALURAN U-DITCH
Бетон элс,Бетон элс,Material,General,m3,0.0,0.0,0.0,0.0,0,MNT,0.0,358.8569,80,80,Building and settlement works,Нэгжийн үнийн дүнгийн судалгаа (AHSP) - PUPR 2016,Барилга ба суурьшлын ажлууд,A.2.2.1 ҮНЭНД ТӨЛӨХ ҮЙЛ АЖИЛЛАГААНЫ ҮНЭНД ТӨЛӨХ
Т2/механик цилиндр saw,Т2/механик цилиндр saw,Equipment,General,hari,0.0,0.0,0.0,0.0,0,MNT,0.0,0.3783,60,60,Building and settlement works,Нэгжийн үнийн дүнгийн судалгаа (AHSP) - PUPR 2016,Барилга ба суурьшлын ажлууд,A.8.4.2 ҮНЭНД ХУДАЛДАН АВАХ ҮНЭНД ХУДАЛДАН АВАХ ҮНЭНД ХУДАЛДАН АВАХ ҮНЭНД ХУДАЛД
Өнгөт гипс,Өнгөт гипс,Material,General,kg,0.0,0.0,0.0,0.0,0,MNT,0.0,1.0252,59,59,Building and settlement works,Анализа нэгжийн үнийн тооцоо (AHSP) - PUPR 2022,Барилга ба суурьшлын ажлууд,3.1.1 ATAP GENTENG
"Кран машин 3 Тон, 5 Тон *)","Кран машин 3 Тон, 5 Тон *)",Equipment,General,jam,0.0,0.0,0.0,0.0,0,MNT,0.0,0.2414,57,57,Building and settlement works,Анализа нэгжийн үнийн тооцоо (AHSP) - PUPR 2022,Барилга ба суурьшлын ажлууд,8.1 SALURAN U-DITCH
M.15,Портланд цемент,Material,Concrete & Cement,kg,0.0,0.0,0.0,0.0,0,MNT,0.0,208.9316,56,56,Water resources works,Нэгжийн үнийн дүнгийн судалгаа (AHSP) - PUPR 2016,Усны нөөцийн ажил,A.2 Хоолойн ажил (Стандартын дагуу)
