resource_code,name,type,category,unit,price_avg,price_min,price_max,price_median,price_variants,currency,avg_cost_per_use,avg_qty_per_use,usage_count,used_in_work_items,parent_category,parent_collection,parent_department,parent_section
L.01,Werknemer,Labor,Labor,OH,0.0,0.0,0.0,0.0,0,EUR,0.0,0.7496,2750,2739,Water resources works,Analyse van de eenheidsprijs van werkzaamheden (AHSP) - PUPR-regeling 2016,Waterresourceswerken,A.1.1 Handmatig en semi-mechanisch grondwerk (Normatief)
L.04,Voorman Apparatuur (A+B+C),Labor,Labor,OH,0.0,0.0,0.0,0.0,0,EUR,0.0,0.0614,2685,2685,Water resources works,Analyse van de eenheidsprijs van werkzaamheden (AHSP) - PUPR-regeling 2016,Waterresourceswerken,A.1.1 Handmatig en semi-mechanisch grondwerk (Normatief)
L.02,Timmerman,Labor,Labor,OH,0.0,0.0,0.0,0.0,0,EUR,0.0,0.6428,2301,2260,Water resources works,Analyse van de eenheidsprijs van werkzaamheden (AHSP) - PUPR-regeling 2016,Waterresourceswerken,A.1.1 Handmatig en semi-mechanisch grondwerk (Normatief)
L.03,Hoofdvakman,Labor,Labor,OH,0.0,0.0,0.0,0.0,0,EUR,0.0,0.1629,1761,1680,Water resources works,Analyse van de eenheidsprijs van werkzaamheden (AHSP) - PUPR-regeling 2016,Waterresourceswerken,A.1.1 Handmatig en semi-mechanisch grondwerk (Normatief)
Portlandcement,Portlandcement,Material,Concrete & Cement,Kg,0.0,0.0,0.0,0.0,0,EUR,0.0,67.0361,285,285,Building and settlement works,Analyse van de eenheidsprijs van werkzaamheden (AHSP) - PUPR-regeling 2016,Bouwwerkzaamheden en nederzettingswerken,A.2.2.1 PRIJS PER EENHEID VAN DE VOORBEREIDINGSWERKZAAMHEDEN
Huur Tripot/Tackel,Huur Tripot/Tackel,Equipment,General,hari,0.0,0.0,0.0,0.0,0,EUR,0.0,0.4201,213,213,Building and settlement works,Analyse van de eenheidsprijs van werkzaamheden (AHSP) - PUPR-regeling 2016,Bouwwerkzaamheden en nederzettingswerken,A.8.4.1 PRIJS PER EENHEID VAN UITVOERINGSWERK VOOR INSTALLATIE VAN BUIS IN DE BU
Zand voor fundering,Zand voor fundering,Material,General,m3,0.0,0.0,0.0,0.0,0,EUR,0.0,0.1095,97,97,Water resources works,Analyse van de eenheidsprijs van werkzaamheden (AHSP) - PUPR-regeling 2016,Waterresourceswerken,A.2 Werkzaamheden voor de fundering (Normatief)
Pasing Pasang,Pasing Pasang,Material,General,m3,0.0,0.0,0.0,0.0,0,EUR,0.0,0.0459,83,83,Building and settlement works,Analyse van de eenheidsprijs van werkzaamheden (AHSP) - Permen PUPR 2022,Bouwwerkzaamheden en nederzettingswerken,3.6.1 Muur van bakstenen
Zandstorting,Zandstorting,Material,General,m3,0.0,0.0,0.0,0.0,0,EUR,0.0,0.1373,82,82,Building and settlement works,Analyse van de eenheidsprijs van werkzaamheden (AHSP) - Permen PUPR 2022,Bouwwerkzaamheden en nederzettingswerken,8.1 U-DITCH LEIDING
Betonzand,Betonzand,Material,General,m3,0.0,0.0,0.0,0.0,0,EUR,0.0,374.0967,68,68,Building and settlement works,Analyse van de eenheidsprijs van werkzaamheden (AHSP) - PUPR-regeling 2016,Bouwwerkzaamheden en nederzettingswerken,A.2.2.1 PRIJS PER EENHEID VAN DE VOORBEREIDINGSWERKZAAMHEDEN
T2/mechanische cilinderpijp,T2/mechanische cilinderpijp,Equipment,General,hari,0.0,0.0,0.0,0.0,0,EUR,0.0,0.3783,60,60,Building and settlement works,Analyse van de eenheidsprijs van werkzaamheden (AHSP) - PUPR-regeling 2016,Bouwwerkzaamheden en nederzettingswerken,A.8.4.2 PRIJS PER EENHEID VAN HET KAPOTRENDEN VAN BUIS
Warna Cement,Warna Cement,Material,Concrete & Cement,kg,0.0,0.0,0.0,0.0,0,EUR,0.0,1.0252,59,59,Building and settlement works,Analyse van de eenheidsprijs van werkzaamheden (AHSP) - Permen PUPR 2022,Bouwwerkzaamheden en nederzettingswerken,3.1.1 DAKPANNEN DAK
"Kraanwagen 3 Ton, 5 Ton *)","Kraanwagen 3 Ton, 5 Ton *)",Equipment,General,jam,0.0,0.0,0.0,0.0,0,EUR,0.0,0.2414,57,57,Building and settlement works,Analyse van de eenheidsprijs van werkzaamheden (AHSP) - Permen PUPR 2022,Bouwwerkzaamheden en nederzettingswerken,8.1 U-DITCH LEIDING
