resource_code,name,type,category,unit,price_avg,price_min,price_max,price_median,price_variants,currency,avg_cost_per_use,avg_qty_per_use,usage_count,used_in_work_items,parent_category,parent_collection,parent_department,parent_section
L.01,Pracownik,Labor,Labor,OH,0.0,0.0,0.0,0.0,0,PLN,0.0,0.7496,2750,2739,Water resources works,Analiza jednostkowego kosztu robót (AHSP) - Rozporządzenie PUPR 2016,Prace związane z zasobami wodnymi,A.1.1 Prace ziemne ręczne i półmechaniczne (Normatywne)
L.04,Kierownik sprzętu (A+B+C),Labor,Labor,OH,0.0,0.0,0.0,0.0,0,PLN,0.0,0.0614,2685,2685,Water resources works,Analiza jednostkowego kosztu robót (AHSP) - Rozporządzenie PUPR 2016,Prace związane z zasobami wodnymi,A.1.1 Prace ziemne ręczne i półmechaniczne (Normatywne)
L.02,Stolarz,Labor,Labor,OH,0.0,0.0,0.0,0.0,0,PLN,0.0,0.6428,2301,2260,Water resources works,Analiza jednostkowego kosztu robót (AHSP) - Rozporządzenie PUPR 2016,Prace związane z zasobami wodnymi,A.1.1 Prace ziemne ręczne i półmechaniczne (Normatywne)
L.03,Kierownik robót,Labor,Labor,OH,0.0,0.0,0.0,0.0,0,PLN,0.0,0.1629,1761,1680,Water resources works,Analiza jednostkowego kosztu robót (AHSP) - Rozporządzenie PUPR 2016,Prace związane z zasobami wodnymi,A.1.1 Prace ziemne ręczne i półmechaniczne (Normatywne)
Cement Portland,Cement Portland,Material,Concrete & Cement,Kg,0.0,0.0,0.0,0.0,0,PLN,0.0,66.2005,276,276,Building and settlement works,Analiza jednostkowego kosztu robót (AHSP) - Rozporządzenie PUPR 2016,Roboty budowlane i zagospodarowania terenu,A.2.2.1 CENA JEDNOSTKOWA PRAC PRZYGOTOWAWCZYCH
Wynajem Tripot/Tackel,Wynajem Tripot/Tackel,Equipment,General,hari,0.0,0.0,0.0,0.0,0,PLN,0.0,0.4201,213,213,Building and settlement works,Analiza jednostkowego kosztu robót (AHSP) - Rozporządzenie PUPR 2016,Roboty budowlane i zagospodarowania terenu,A.8.4.1 CENA JEDNOSTKOWA PRACY INSTALACJI RUR NA ZEWNĄTRZ BUDYNKU
Piasek do wysypu,Piasek do wysypu,Material,General,m3,0.0,0.0,0.0,0.0,0,PLN,0.0,0.1086,139,139,Water resources works,Analiza jednostkowego kosztu robót (AHSP) - Rozporządzenie PUPR 2016,Prace związane z zasobami wodnymi,A.2 Prace związane z pasmami (Normatywne)
Montaż i demontaż,Montaż i demontaż,Material,General,m3,0.0,0.0,0.0,0.0,0,PLN,0.0,0.0459,83,83,Building and settlement works,Analiza jednostkowego kosztu pracy (AHSP) - Rozporządzenie PUPR 2022,Roboty budowlane i zagospodarowania terenu,3.6.1 ŚCIANA CEGŁA CZERWONA
Wylewka piaskowa,Wylewka piaskowa,Material,General,m3,0.0,0.0,0.0,0.0,0,PLN,0.0,0.1373,82,82,Building and settlement works,Analiza jednostkowego kosztu pracy (AHSP) - Rozporządzenie PUPR 2022,Roboty budowlane i zagospodarowania terenu,8.1 RURKA U-DITCH
Piasek betonowy,Piasek betonowy,Material,General,m3,0.0,0.0,0.0,0.0,0,PLN,0.0,358.8569,80,80,Building and settlement works,Analiza jednostkowego kosztu robót (AHSP) - Rozporządzenie PUPR 2016,Roboty budowlane i zagospodarowania terenu,A.2.2.1 CENA JEDNOSTKOWA PRAC PRZYGOTOWAWCZYCH
rura T2/mekanika cylindra piła,rura T2/mekanika cylindra piła,Equipment,General,hari,0.0,0.0,0.0,0.0,0,PLN,0.0,0.3783,60,60,Building and settlement works,Analiza jednostkowego kosztu robót (AHSP) - Rozporządzenie PUPR 2016,Roboty budowlane i zagospodarowania terenu,A.8.4.2 CENA JEDNOSTKOWA PRAC PRZEPŁYWU RUR
Cement W kolorze,Cement W kolorze,Material,Concrete & Cement,kg,0.0,0.0,0.0,0.0,0,PLN,0.0,1.0252,59,59,Building and settlement works,Analiza jednostkowego kosztu pracy (AHSP) - Rozporządzenie PUPR 2022,Roboty budowlane i zagospodarowania terenu,3.1.1 DACHÓWKA DACHOWA
"Dźwig samochodowy 3 Ton, 5 Ton *)","Dźwig samochodowy 3 Ton, 5 Ton *)",Equipment,General,jam,0.0,0.0,0.0,0.0,0,PLN,0.0,0.2414,57,57,Building and settlement works,Analiza jednostkowego kosztu pracy (AHSP) - Rozporządzenie PUPR 2022,Roboty budowlane i zagospodarowania terenu,8.1 RURKA U-DITCH
M.15,Portland cement,Material,Concrete & Cement,kg,0.0,0.0,0.0,0.0,0,PLN,0.0,208.9316,56,56,Water resources works,Analiza jednostkowego kosztu robót (AHSP) - Rozporządzenie PUPR 2016,Prace związane z zasobami wodnymi,A.2 Prace związane z pasmami (Normatywne)
Woda,Woda,Material,General,Liter,0.0,0.0,0.0,0.0,0,PLN,0.0,163.4264,51,51,Building and settlement works,Analiza jednostkowego kosztu robót (AHSP) - Rozporządzenie PUPR 2016,Roboty budowlane i zagospodarowania terenu,A.4.1.1 CENA JEDNOSTKOWA PRACY BETONU
"Podłoga robocza f'c 7,5 MPa","Podłoga robocza f'c 7,5 MPa",Material,General,m3,0.0,0.0,0.0,0.0,0,PLN,0.0,0.0599,47,47,Building and settlement works,Analiza jednostkowego kosztu pracy (AHSP) - Rozporządzenie PUPR 2022,Roboty budowlane i zagospodarowania terenu,8.1 RURKA U-DITCH
Cement barwiony,Cement barwiony,Material,Concrete & Cement,Kg,0.0,0.0,0.0,0.0,0,PLN,0.0,1.0707,47,47,Building and settlement works,Analiza jednostkowego kosztu robót (AHSP) - Rozporządzenie PUPR 2016,Roboty budowlane i zagospodarowania terenu,A.4.4.3 CENA JEDNOSTKOWA PRAC ZABUDOWY PODŁOGI I POWŁOK
L.11,Kierownik robót,Labor,Labor,OH,0.0,0.0,0.0,0.0,0,PLN,0.0,0.0148,43,43,Building and settlement works,Analiza jednostkowego kosztu robót (AHSP) - Rozporządzenie PUPR 2016,Roboty budowlane i zagospodarowania terenu,A.4.5.2. CENA JEDNOSTKOWA PRACY NA POKRYCIE DACHU
L.15,Przełożony,Labor,Labor,OH,0.0,0.0,0.0,0.0,0,PLN,0.0,0.0074,43,43,Building and settlement works,Analiza jednostkowego kosztu robót (AHSP) - Rozporządzenie PUPR 2016,Roboty budowlane i zagospodarowania terenu,A.4.5.2. CENA JEDNOSTKOWA PRACY NA POKRYCIE DACHU
Narzędzia do cięcia rur T2/mekanik / piła cylindryczna,Narzędzia do cięcia rur T2/mekanik / piła cylindryczna,Equipment,General,Hari,0.0,0.0,0.0,0.0,0,PLN,0.0,0.1325,39,39,Building and settlement works,Analiza jednostkowego kosztu pracy (AHSP) - Rozporządzenie PUPR 2022,Roboty budowlane i zagospodarowania terenu,9.2 RURA GALWANIZOWANA
Posadzka robocza f'c 10 MPa,Posadzka robocza f'c 10 MPa,Material,General,m3,0.0,0.0,0.0,0.0,0,PLN,0.0,0.0716,35,35,Building and settlement works,Analiza jednostkowego kosztu pracy (AHSP) - Rozporządzenie PUPR 2022,Roboty budowlane i zagospodarowania terenu,8.1 RURKA U-DITCH
L.08,Mistrz średni (budownictwo/ hidrogeologia) Miarka pomiarowa zbrojenia / aluminium,Labor,Labor,OH,0.0,0.0,0.0,0.0,0,PLN,0.0,0.3707,34,34,Water resources works,Analiza jednostkowego kosztu robót (AHSP) - Rozporządzenie PUPR 2016,Prace związane z zasobami wodnymi,Prace przy plaży
