resource_code,name,type,category,unit,price_avg,price_min,price_max,price_median,price_variants,currency,avg_cost_per_use,avg_qty_per_use,usage_count,used_in_work_items,parent_category,parent_collection,parent_department,parent_section
L.01,Рабочие,Labor,Labor,OH,0.0,0.0,0.0,0.0,0,RUB,0.0,0.7496,2750,2739,Water resources works,Анализ единичной стоимости работ (AHSP) - Постановление PUPR 2016,Работы по водным ресурсам,A.1.1 Земляные работы вручную и полу-механизированные (нормативные)
L.04,Мастер по оборудованию (A+B+C),Labor,Labor,OH,0.0,0.0,0.0,0.0,0,RUB,0.0,0.0614,2685,2685,Water resources works,Анализ единичной стоимости работ (AHSP) - Постановление PUPR 2016,Работы по водным ресурсам,A.1.1 Земляные работы вручную и полу-механизированные (нормативные)
L.02,Плотник,Labor,Labor,OH,0.0,0.0,0.0,0.0,0,RUB,0.0,0.6428,2301,2260,Water resources works,Анализ единичной стоимости работ (AHSP) - Постановление PUPR 2016,Работы по водным ресурсам,A.1.1 Земляные работы вручную и полу-механизированные (нормативные)
L.03,Начальник бригады,Labor,Labor,OH,0.0,0.0,0.0,0.0,0,RUB,0.0,0.1629,1761,1680,Water resources works,Анализ единичной стоимости работ (AHSP) - Постановление PUPR 2016,Работы по водным ресурсам,A.1.1 Земляные работы вручную и полу-механизированные (нормативные)
Портландцемент,Портландцемент,Material,General,Kg,0.0,0.0,0.0,0.0,0,RUB,0.0,66.73,282,282,Building and settlement works,Анализ единичной стоимости работ (AHSP) - Постановление PUPR 2016,Строительные и земляные работы,A.2.2.1 Цена единицы работ по подготовительным работам
Аренда Трипот/Тэкель,Аренда Трипот/Тэкель,Equipment,General,hari,0.0,0.0,0.0,0.0,0,RUB,0.0,0.4201,213,213,Building and settlement works,Анализ единичной стоимости работ (AHSP) - Постановление PUPR 2016,Строительные и земляные работы,A.8.4.1 ЦЕНА ЗА ЕДИНИЦУ РАБОТЫ ПО УСТАНОВКЕ ТРУБ ВНЕ ЗДАНИЯ
Песок насыпаемый,Песок насыпаемый,Material,General,m3,0.0,0.0,0.0,0.0,0,RUB,0.0,0.1095,97,97,Water resources works,Анализ единичной стоимости работ (AHSP) - Постановление PUPR 2016,Работы по водным ресурсам,A.2 Работы по сопряжению (Нормативные)
Установка и монтаж,Установка и монтаж,Material,General,m3,0.0,0.0,0.0,0.0,0,RUB,0.0,0.0459,83,83,Building and settlement works,Анализ единичной стоимости работ (AHSP) - Постановление PUPR 2022,Строительные и земляные работы,3.6.1 КИРПИЧНАЯ СТЕНА
насыпной песок,насыпной песок,Material,General,m3,0.0,0.0,0.0,0.0,0,RUB,0.0,0.1373,82,82,Building and settlement works,Анализ единичной стоимости работ (AHSP) - Постановление PUPR 2022,Строительные и земляные работы,8.1 КАНАЛ U-ЛОЖЕЙКА
Песок бетонный,Песок бетонный,Material,General,m3,0.0,0.0,0.0,0.0,0,RUB,0.0,374.0967,68,68,Building and settlement works,Анализ единичной стоимости работ (AHSP) - Постановление PUPR 2016,Строительные и земляные работы,A.2.2.1 Цена единицы работ по подготовительным работам
