resource_code,name,type,category,unit,price_avg,price_min,price_max,price_median,price_variants,currency,avg_cost_per_use,avg_qty_per_use,usage_count,used_in_work_items,parent_category,parent_collection,parent_department,parent_section
L.01,Arbetare,Labor,Labor,OH,0.0,0.0,0.0,0.0,0,SEK,0.0,0.7496,2750,2739,Water resources works,Enhetsprisanalys för arbete (AHSP) - Permen PUPR 2016,Vattenresurssarbeten,A.1.1 Manuell och semi-mekanisk jordarbeten (Normativ)
L.04,Fackmästare för utrustning (A+B+C),Labor,Labor,OH,0.0,0.0,0.0,0.0,0,SEK,0.0,0.0614,2685,2685,Water resources works,Enhetsprisanalys för arbete (AHSP) - Permen PUPR 2016,Vattenresurssarbeten,A.1.1 Manuell och semi-mekanisk jordarbeten (Normativ)
L.02,Snickare,Labor,Labor,OH,0.0,0.0,0.0,0.0,0,SEK,0.0,0.6428,2301,2260,Water resources works,Enhetsprisanalys för arbete (AHSP) - Permen PUPR 2016,Vattenresurssarbeten,A.1.1 Manuell och semi-mekanisk jordarbeten (Normativ)
L.03,Kapmästare,Labor,Labor,OH,0.0,0.0,0.0,0.0,0,SEK,0.0,0.1629,1761,1680,Water resources works,Enhetsprisanalys för arbete (AHSP) - Permen PUPR 2016,Vattenresurssarbeten,A.1.1 Manuell och semi-mekanisk jordarbeten (Normativ)
Portlandcement,Portlandcement,Material,Concrete & Cement,Kg,0.0,0.0,0.0,0.0,0,SEK,0.0,67.0361,285,285,Building and settlement works,Enhetsprisanalys för arbete (AHSP) - Permen PUPR 2016,Bygg- och anläggningsarbeten,A.2.2.1 Pris per enhet för förberedande arbete
Hyra Tripot/Tackel,Hyra Tripot/Tackel,Equipment,General,hari,0.0,0.0,0.0,0.0,0,SEK,0.0,0.4201,213,213,Building and settlement works,Enhetsprisanalys för arbete (AHSP) - Permen PUPR 2016,Bygg- och anläggningsarbeten,A.8.4.1 ENHETSPRISER FÖR INSTALLATION AV RÖR UTANFÖR BYGGNAD
Sand för fyllning,Sand för fyllning,Material,Aggregates,m3,0.0,0.0,0.0,0.0,0,SEK,0.0,0.1263,101,100,Water resources works,Enhetsprisanalys för arbete (AHSP) - Permen PUPR 2016,Vattenresurssarbeten,A.2 Passagerarbete (Normativ)
Passning och installation,Passning och installation,Material,General,m3,0.0,0.0,0.0,0.0,0,SEK,0.0,0.0459,83,83,Building and settlement works,Analys av enhetskostnad för arbete (AHSP) - Permen PUPR 2022,Bygg- och anläggningsarbeten,3.6.1 MURSTEN AV RÖD BRICK
Sandfyllning,Sandfyllning,Material,Aggregates,m3,0.0,0.0,0.0,0.0,0,SEK,0.0,0.1373,82,82,Building and settlement works,Analys av enhetskostnad för arbete (AHSP) - Permen PUPR 2022,Bygg- och anläggningsarbeten,8.1 U-DITCHKANAL
Betongsand,Betongsand,Material,Aggregates,m3,0.0,0.0,0.0,0.0,0,SEK,0.0,374.0967,68,68,Building and settlement works,Enhetsprisanalys för arbete (AHSP) - Permen PUPR 2016,Bygg- och anläggningsarbeten,A.2.2.1 Pris per enhet för förberedande arbete
T2-rör/mekanisk cilinder såg,T2-rör/mekanisk cilinder såg,Equipment,General,hari,0.0,0.0,0.0,0.0,0,SEK,0.0,0.3783,60,60,Building and settlement works,Enhetsprisanalys för arbete (AHSP) - Permen PUPR 2016,Bygg- och anläggningsarbeten,A.8.4.2 ENKOSTNAD FÖR RÖRSLAGNINGARBETEN
