resource_code,name,type,category,unit,price_avg,price_min,price_max,price_median,price_variants,currency,avg_cost_per_use,avg_qty_per_use,usage_count,used_in_work_items,parent_category,parent_collection,parent_department,parent_section
L.01,คนงาน,Labor,Labor,OH,0.0,0.0,0.0,0.0,0,THB,0.0,0.7496,2750,2739,Water resources works,การวิเคราะห์ราคาต่อหน่วยงาน (AHSP) - พระราชกฤษฎีกา PUPR 2016,งานทรัพยากรน้ำ,A.1.1 งานดินด้วยมือและกึ่งกลไก (มาตรฐาน)
L.04,หัวหน้างานเครื่องมือ (A+B+C),Labor,Labor,OH,0.0,0.0,0.0,0.0,0,THB,0.0,0.0614,2685,2685,Water resources works,การวิเคราะห์ราคาต่อหน่วยงาน (AHSP) - พระราชกฤษฎีกา PUPR 2016,งานทรัพยากรน้ำ,A.1.1 งานดินด้วยมือและกึ่งกลไก (มาตรฐาน)
L.02,ช่างไม้,Labor,Labor,OH,0.0,0.0,0.0,0.0,0,THB,0.0,0.6428,2301,2260,Water resources works,การวิเคราะห์ราคาต่อหน่วยงาน (AHSP) - พระราชกฤษฎีกา PUPR 2016,งานทรัพยากรน้ำ,A.1.1 งานดินด้วยมือและกึ่งกลไก (มาตรฐาน)
L.03,หัวหน้าช่าง,Labor,Labor,OH,0.0,0.0,0.0,0.0,0,THB,0.0,0.1629,1761,1680,Water resources works,การวิเคราะห์ราคาต่อหน่วยงาน (AHSP) - พระราชกฤษฎีกา PUPR 2016,งานทรัพยากรน้ำ,A.1.1 งานดินด้วยมือและกึ่งกลไก (มาตรฐาน)
ซีเมนต์ปอร์ตแลนด์,ซีเมนต์ปอร์ตแลนด์,Material,General,Kg,0.0,0.0,0.0,0.0,0,THB,0.0,67.2681,284,284,Building and settlement works,การวิเคราะห์ราคาต่อหน่วยงาน (AHSP) - พระราชกฤษฎีกา PUPR 2016,งานก่อสร้างและการตั้งถิ่นฐาน,A.2.2.1 ราคาหน่วยงานเตรียมงาน
เช่า Tripot/Tackel,เช่า Tripot/Tackel,Equipment,General,hari,0.0,0.0,0.0,0.0,0,THB,0.0,0.4201,213,213,Building and settlement works,การวิเคราะห์ราคาต่อหน่วยงาน (AHSP) - พระราชกฤษฎีกา PUPR 2016,งานก่อสร้างและการตั้งถิ่นฐาน,A.8.4.1 ราคาต่อหน่วยงานติดตั้งท่อภายนอกอาคาร
ทรายเท,ทรายเท,Material,General,m3,0.0,0.0,0.0,0.0,0,THB,0.0,0.1095,97,97,Water resources works,การวิเคราะห์ราคาต่อหน่วยงาน (AHSP) - พระราชกฤษฎีกา PUPR 2016,งานทรัพยากรน้ำ,A.2 งานงานคู่ขนาน (มาตรฐาน)
ติดตั้งและรื้อถอน,ติดตั้งและรื้อถอน,Material,General,m3,0.0,0.0,0.0,0.0,0,THB,0.0,0.0459,83,83,Building and settlement works,วิเคราะห์ราคาต่อหน่วยงาน (AHSP) - พระราชกฤษฎีกา PUPR 2022,งานก่อสร้างและการตั้งถิ่นฐาน,3.6.1 ผนังอิฐมอญ
เทคอนกรีตทรายเทคอนกรีต,เทคอนกรีตทรายเทคอนกรีต,Material,General,m3,0.0,0.0,0.0,0.0,0,THB,0.0,0.1373,82,82,Building and settlement works,วิเคราะห์ราคาต่อหน่วยงาน (AHSP) - พระราชกฤษฎีกา PUPR 2022,งานก่อสร้างและการตั้งถิ่นฐาน,ท่อ U-DITCH
ทรายคอนกรีต,ทรายคอนกรีต,Material,General,m3,0.0,0.0,0.0,0.0,0,THB,0.0,358.8569,80,80,Building and settlement works,การวิเคราะห์ราคาต่อหน่วยงาน (AHSP) - พระราชกฤษฎีกา PUPR 2016,งานก่อสร้างและการตั้งถิ่นฐาน,A.2.2.1 ราคาหน่วยงานเตรียมงาน
