resource_code,name,type,category,unit,price_avg,price_min,price_max,price_median,price_variants,currency,avg_cost_per_use,avg_qty_per_use,usage_count,used_in_work_items,parent_category,parent_collection,parent_department,parent_section
L.01,İşçi,Labor,Labor,OH,0.0,0.0,0.0,0.0,0,TRY,0.0,0.7496,2750,2739,Water resources works,Birim Fiyat Analizi (AHSP) - PUPR Yönetmeliği 2016,Su kaynakları çalışmaları,A.1.1 Manuel ve yarı mekanize toprak işleri (Normatif)
L.04,İşçi Şefi (A+B+C),Labor,Labor,OH,0.0,0.0,0.0,0.0,0,TRY,0.0,0.0614,2685,2685,Water resources works,Birim Fiyat Analizi (AHSP) - PUPR Yönetmeliği 2016,Su kaynakları çalışmaları,A.1.1 Manuel ve yarı mekanize toprak işleri (Normatif)
L.02,Ahşap işçisi,Labor,Labor,OH,0.0,0.0,0.0,0.0,0,TRY,0.0,0.6428,2301,2260,Water resources works,Birim Fiyat Analizi (AHSP) - PUPR Yönetmeliği 2016,Su kaynakları çalışmaları,A.1.1 Manuel ve yarı mekanize toprak işleri (Normatif)
L.03,Baş Usta,Labor,Labor,OH,0.0,0.0,0.0,0.0,0,TRY,0.0,0.1629,1761,1680,Water resources works,Birim Fiyat Analizi (AHSP) - PUPR Yönetmeliği 2016,Su kaynakları çalışmaları,A.1.1 Manuel ve yarı mekanize toprak işleri (Normatif)
Portland Çimentosu,Portland Çimentosu,Material,General,Kg,0.0,0.0,0.0,0.0,0,TRY,0.0,65.9657,277,277,Building and settlement works,Birim Fiyat Analizi (AHSP) - PUPR Yönetmeliği 2016,İnşaat ve yerleşim işleri,A.2.2.1 BİRİM FİYATI HAZIRLIK İŞLERİ
Tripot/Tackel Kiralama,Tripot/Tackel Kiralama,Equipment,General,hari,0.0,0.0,0.0,0.0,0,TRY,0.0,0.4201,213,213,Building and settlement works,Birim Fiyat Analizi (AHSP) - PUPR Yönetmeliği 2016,İnşaat ve yerleşim işleri,A.8.4.1 BİNA DIŞINDA BORU TESİSATI KURULUMU BİRİM FİYATI
Dolgu kumu,Dolgu kumu,Material,General,m3,0.0,0.0,0.0,0.0,0,TRY,0.0,0.1325,149,144,Water resources works,Birim Fiyat Analizi (AHSP) - PUPR Yönetmeliği 2016,Su kaynakları çalışmaları,A.2 Normatif eş çalışma işleri
Pasang Pemasangan,Pasang Pemasangan,Material,General,m3,0.0,0.0,0.0,0.0,0,TRY,0.0,0.0459,83,83,Building and settlement works,Birim Fiyat Analizi (AHSP) - PUPR 2022,İnşaat ve yerleşim işleri,KIRİŞİM: 3.6.1 KIRMIZI TUĞLA DUVARI
kumlama için kum dolgu,kumlama için kum dolgu,Material,General,m3,0.0,0.0,0.0,0.0,0,TRY,0.0,0.1373,82,82,Building and settlement works,Birim Fiyat Analizi (AHSP) - PUPR 2022,İnşaat ve yerleşim işleri,8.1 U-DİTÇİ HATTI
Beton kumu,Beton kumu,Material,General,m3,0.0,0.0,0.0,0.0,0,TRY,0.0,374.0967,68,68,Building and settlement works,Birim Fiyat Analizi (AHSP) - PUPR Yönetmeliği 2016,İnşaat ve yerleşim işleri,A.2.2.1 BİRİM FİYATI HAZIRLIK İŞLERİ
T2 boru/mekanik silindir makinesi,T2 boru/mekanik silindir makinesi,Equipment,General,hari,0.0,0.0,0.0,0.0,0,TRY,0.0,0.3783,60,60,Building and settlement works,Birim Fiyat Analizi (AHSP) - PUPR Yönetmeliği 2016,İnşaat ve yerleşim işleri,A.8.4.2 BİTİŞİM BORUSU KESİMİ İŞİMİ BİRİM FİYATI
Beyaz Çimento,Beyaz Çimento,Material,General,kg,0.0,0.0,0.0,0.0,0,TRY,0.0,1.0252,59,59,Building and settlement works,Birim Fiyat Analizi (AHSP) - PUPR 2022,İnşaat ve yerleşim işleri,Çatı Kiremitleri
"Vinç kamyonu 3 Ton, 5 Ton *)","Vinç kamyonu 3 Ton, 5 Ton *)",Equipment,General,jam,0.0,0.0,0.0,0.0,0,TRY,0.0,0.2414,57,57,Building and settlement works,Birim Fiyat Analizi (AHSP) - PUPR 2022,İnşaat ve yerleşim işleri,8.1 U-DİTÇİ HATTI
M.15,Portland çimentosu,Material,Concrete & Cement,kg,0.0,0.0,0.0,0.0,0,TRY,0.0,208.9316,56,56,Water resources works,Birim Fiyat Analizi (AHSP) - PUPR Yönetmeliği 2016,Su kaynakları çalışmaları,A.2 Normatif eş çalışma işleri
Su,Su,Material,General,Liter,0.0,0.0,0.0,0.0,0,TRY,0.0,163.4264,51,51,Building and settlement works,Birim Fiyat Analizi (AHSP) - PUPR Yönetmeliği 2016,İnşaat ve yerleşim işleri,A.4.1.1 BETON İŞİ BİRİM FİYATI
Beyaz çimento,Beyaz çimento,Material,General,Kg,0.0,0.0,0.0,0.0,0,TRY,0.0,1.0707,47,47,Building and settlement works,Birim Fiyat Analizi (AHSP) - PUPR Yönetmeliği 2016,İnşaat ve yerleşim işleri,A.4.4.3 ZEMİN VE ZEMİN KAPLAMASI İŞİNİN BİRİM FİYATI
"F'c zemin kaplaması 7,5 MPa","F'c zemin kaplaması 7,5 MPa",Material,General,m3,0.0,0.0,0.0,0.0,0,TRY,0.0,0.0599,47,47,Building and settlement works,Birim Fiyat Analizi (AHSP) - PUPR 2022,İnşaat ve yerleşim işleri,8.1 U-DİTÇİ HATTI
L.15,Usta,Labor,Labor,OH,0.0,0.0,0.0,0.0,0,TRY,0.0,0.0074,43,43,Building and settlement works,Birim Fiyat Analizi (AHSP) - PUPR Yönetmeliği 2016,İnşaat ve yerleşim işleri,A.4.5.2. ÇATI KAPLAMASI İŞİ BİRİM FİYATI
