resource_code,name,type,category,unit,price_avg,price_min,price_max,price_median,price_variants,currency,avg_cost_per_use,avg_qty_per_use,usage_count,used_in_work_items,parent_category,parent_collection,parent_department,parent_section
L.01,Công nhân,Labor,Labor,OH,0.0,0.0,0.0,0.0,0,VND,0.0,0.7496,2750,2739,Water resources works,Phân tích Đơn giá Công việc (AHSP) - Nghị định PUPR 2016,Công trình nguồn nước,A.1.1 Công tác đất thủ công và bán cơ giới (Tiêu chuẩn)
L.04,Trưởng ca thiết bị (A+B+C),Labor,Labor,OH,0.0,0.0,0.0,0.0,0,VND,0.0,0.0614,2685,2685,Water resources works,Phân tích Đơn giá Công việc (AHSP) - Nghị định PUPR 2016,Công trình nguồn nước,A.1.1 Công tác đất thủ công và bán cơ giới (Tiêu chuẩn)
L.02,Thợ mộc,Labor,Labor,OH,0.0,0.0,0.0,0.0,0,VND,0.0,0.6428,2301,2260,Water resources works,Phân tích Đơn giá Công việc (AHSP) - Nghị định PUPR 2016,Công trình nguồn nước,A.1.1 Công tác đất thủ công và bán cơ giới (Tiêu chuẩn)
L.03,Trưởng nhóm thợ chính,Labor,Labor,OH,0.0,0.0,0.0,0.0,0,VND,0.0,0.1629,1761,1680,Water resources works,Phân tích Đơn giá Công việc (AHSP) - Nghị định PUPR 2016,Công trình nguồn nước,A.1.1 Công tác đất thủ công và bán cơ giới (Tiêu chuẩn)
Xi măng Portland,Xi măng Portland,Material,General,Kg,0.0,0.0,0.0,0.0,0,VND,0.0,66.73,282,282,Building and settlement works,Phân tích Đơn giá Công việc (AHSP) - Nghị định PUPR 2016,Công trình xây dựng và san lấp mặt bằng,A.2.2.1 GIÁ ĐƠN VỊ CÔNG VIỆC CHUẨN BỊ
Thuê Tripot/Tackel,Thuê Tripot/Tackel,Equipment,General,hari,0.0,0.0,0.0,0.0,0,VND,0.0,0.4201,213,213,Building and settlement works,Phân tích Đơn giá Công việc (AHSP) - Nghị định PUPR 2016,Công trình xây dựng và san lấp mặt bằng,A.8.4.1 GIÁ ĐƠN VỊ CÔNG VIỆC LẮP ĐẶT ỐNG NGOÀI TÒA NHÀ
Cát đổ,Cát đổ,Material,General,m3,0.0,0.0,0.0,0.0,0,VND,0.0,0.1086,139,139,Water resources works,Phân tích Đơn giá Công việc (AHSP) - Nghị định PUPR 2016,Công trình nguồn nước,A.2 Công việc đường ống phụ (Tiêu chuẩn)
Xi măng màu,Xi măng màu,Material,General,Kg,0.0,0.0,0.0,0.0,0,VND,0.0,1.0454,106,106,Building and settlement works,Phân tích Đơn giá Công việc (AHSP) - Nghị định PUPR 2016,Công trình xây dựng và san lấp mặt bằng,A.4.4.3 GIÁ ĐƠN VỊ CÔNG VIỆC LÁT SÀN VÀ LÁT NỀN
Lắp đặt và tháo dỡ,Lắp đặt và tháo dỡ,Material,General,m3,0.0,0.0,0.0,0.0,0,VND,0.0,0.0459,83,83,Building and settlement works,Phân tích Đơn giá Công việc (AHSP) - Nghị định PUPR 2022,Công trình xây dựng và san lấp mặt bằng,3.6.1 TƯỜNG GẠCH ĐỎ
Đắp cát đắp,Đắp cát đắp,Material,General,m3,0.0,0.0,0.0,0.0,0,VND,0.0,0.1373,82,82,Building and settlement works,Phân tích Đơn giá Công việc (AHSP) - Nghị định PUPR 2022,Công trình xây dựng và san lấp mặt bằng,Ống U-DITCH
