resource_code,name,type,category,unit,price_avg,price_min,price_max,price_median,price_variants,currency,avg_cost_per_use,avg_qty_per_use,usage_count,used_in_work_items,parent_category,parent_collection,parent_department,parent_section
L.01,工人,Labor,Labor,OH,0.0,0.0,0.0,0.0,0,CNY,0.0,0.7496,2750,2739,Water resources works,单项工作价格分析（AHSP） - PUPR 2016年,水资源工程,A.1.1 以手工和半机械方式进行土方工程（规范）
L.04,工长设备（A+B+C）,Labor,Labor,OH,0.0,0.0,0.0,0.0,0,CNY,0.0,0.0614,2685,2685,Water resources works,单项工作价格分析（AHSP） - PUPR 2016年,水资源工程,A.1.1 以手工和半机械方式进行土方工程（规范）
L.02,木工工人,Labor,Labor,OH,0.0,0.0,0.0,0.0,0,CNY,0.0,0.6428,2301,2260,Water resources works,单项工作价格分析（AHSP） - PUPR 2016年,水资源工程,A.1.1 以手工和半机械方式进行土方工程（规范）
L.03,工头,Labor,Labor,OH,0.0,0.0,0.0,0.0,0,CNY,0.0,0.1629,1761,1680,Water resources works,单项工作价格分析（AHSP） - PUPR 2016年,水资源工程,A.1.1 以手工和半机械方式进行土方工程（规范）
波特兰水泥,波特兰水泥,Material,General,Kg,0.0,0.0,0.0,0.0,0,CNY,0.0,66.9579,277,277,Building and settlement works,单项工作价格分析（AHSP） - PUPR 2016年,建筑和安置工程,A.2.2.1 施工單價
租赁三通/接头,租赁三通/接头,Equipment,General,hari,0.0,0.0,0.0,0.0,0,CNY,0.0,0.4201,213,213,Building and settlement works,单项工作价格分析（AHSP） - PUPR 2016年,建筑和安置工程,A.8.4.1 施工单价：建筑外管道安装
填充砂,填充砂,Material,General,m3,0.0,0.0,0.0,0.0,0,CNY,0.0,0.1207,98,98,Water resources works,单项工作价格分析（AHSP） - PUPR 2016年,水资源工程,A.2 配套工程（规范）
安装调试,安装调试,Material,General,m3,0.0,0.0,0.0,0.0,0,CNY,0.0,0.0459,83,83,Building and settlement works,单价分析（AHSP） - PUPR 2022,建筑和安置工程,3.6.1 砖墙
砂砾铺设,砂砾铺设,Material,General,m3,0.0,0.0,0.0,0.0,0,CNY,0.0,0.1373,82,82,Building and settlement works,单价分析（AHSP） - PUPR 2022,建筑和安置工程,8.1 U型沟槽管道
混凝土砂,混凝土砂,Material,General,m3,0.0,0.0,0.0,0.0,0,CNY,0.0,364.6488,81,81,Building and settlement works,单项工作价格分析（AHSP） - PUPR 2016年,建筑和安置工程,A.2.2.1 施工單價
T2/机械气缸管,T2/机械气缸管,Equipment,General,hari,0.0,0.0,0.0,0.0,0,CNY,0.0,0.3783,60,60,Building and settlement works,单项工作价格分析（AHSP） - PUPR 2016年,建筑和安置工程,A.8.4.2 管道切割工作单价
水泥颜色,水泥颜色,Material,General,kg,0.0,0.0,0.0,0.0,0,CNY,0.0,1.0252,59,59,Building and settlement works,单价分析（AHSP） - PUPR 2022,建筑和安置工程,瓦楞屋顶
碎石,碎石,Material,General,m3,0.0,0.0,0.0,0.0,0,CNY,0.0,79.3852,58,54,Building and settlement works,单项工作价格分析（AHSP） - PUPR 2016年,建筑和安置工程,A.2.2.1 施工單價
起重机卡车 3 吨，5 吨 *),起重机卡车 3 吨，5 吨 *),Equipment,General,jam,0.0,0.0,0.0,0.0,0,CNY,0.0,0.2414,57,57,Building and settlement works,单价分析（AHSP） - PUPR 2022,建筑和安置工程,8.1 U型沟槽管道
M.15,波特兰水泥,Material,Concrete & Cement,kg,0.0,0.0,0.0,0.0,0,CNY,0.0,208.9316,56,56,Water resources works,单项工作价格分析（AHSP） - PUPR 2016年,水资源工程,A.2 配套工程（规范）
水,水,Material,General,Liter,0.0,0.0,0.0,0.0,0,CNY,0.0,163.4264,51,51,Building and settlement works,单项工作价格分析（AHSP） - PUPR 2016年,建筑和安置工程,A.4.1.1 混凝土工程单价
管道切割设备 T2/机械 / 气缸锯,管道切割设备 T2/机械 / 气缸锯,Equipment,General,Hari,0.0,0.0,0.0,0.0,0,CNY,0.0,0.1687,48,48,Building and settlement works,单价分析（AHSP） - PUPR 2022,建筑和安置工程,9.2 镀锌管
"F'c 7,5 MPa 施工樓板","F'c 7,5 MPa 施工樓板",Material,General,m3,0.0,0.0,0.0,0.0,0,CNY,0.0,0.0599,47,47,Building and settlement works,单价分析（AHSP） - PUPR 2022,建筑和安置工程,8.1 U型沟槽管道
色水泥,色水泥,Material,General,Kg,0.0,0.0,0.0,0.0,0,CNY,0.0,1.0707,47,47,Building and settlement works,单项工作价格分析（AHSP） - PUPR 2016年,建筑和安置工程,A.4.4.3 地板和覆盖层工作单价
L.11,工头,Labor,Labor,OH,0.0,0.0,0.0,0.0,0,CNY,0.0,0.0148,43,43,Building and settlement works,单项工作价格分析（AHSP） - PUPR 2016年,建筑和安置工程,A.4.5.2. 屋顶覆盖工程单价
L.15,工头,Labor,Labor,OH,0.0,0.0,0.0,0.0,0,CNY,0.0,0.0074,43,43,Building and settlement works,单项工作价格分析（AHSP） - PUPR 2016年,建筑和安置工程,A.4.5.2. 屋顶覆盖工程单价
沙子铺设,沙子铺设,Material,General,m3,0.0,0.0,0.0,0.0,0,CNY,0.0,0.1065,42,42,Building and settlement works,单项工作价格分析（AHSP） - PUPR 2016年,建筑和安置工程,A.2.3.1 土方工程单价
F'c 10 MPa 施工樓板,F'c 10 MPa 施工樓板,Material,General,m3,0.0,0.0,0.0,0.0,0,CNY,0.0,0.0716,35,35,Building and settlement works,单价分析（AHSP） - PUPR 2022,建筑和安置工程,8.1 U型沟槽管道
红砖,红砖,Material,General,Bh,0.0,0.0,0.0,0.0,0,CNY,0.0,86.6493,35,35,Building and settlement works,单项工作价格分析（AHSP） - PUPR 2016年,建筑和安置工程,A.2.2.1 施工單價
L.08,中级专家（土木/水文学）钢筋/铝测量尺,Labor,Labor,OH,0.0,0.0,0.0,0.0,0,CNY,0.0,0.3707,34,34,Water resources works,单项工作价格分析（AHSP） - PUPR 2016年,水资源工程,海滩工程
木板,木板,Material,General,M3,0.0,0.0,0.0,0.0,0,CNY,0.0,0.0375,34,34,Building and settlement works,单项工作价格分析（AHSP） - PUPR 2016年,建筑和安置工程,A.4.4.3 地板和覆盖层工作单价
M.14.b,填充砂,Material,General,m3,0.0,0.0,0.0,0.0,0,CNY,0.0,0.3089,28,28,Water resources works,单项工作价格分析（AHSP） - PUPR 2016年,水资源工程,5 (K175)
M.12,碎石 / 碎石,Material,General,kg,0.0,0.0,0.0,0.0,0,CNY,0.0,766.4236,28,28,Water resources works,单项工作价格分析（AHSP） - PUPR 2016年,水资源工程,海滩工程
M.14.a,PB / 砂混凝土,Material,General,kg,0.0,0.0,0.0,0.0,0,CNY,0.0,546.1573,28,28,Water resources works,单项工作价格分析（AHSP） - PUPR 2016年,水资源工程,海滩工程
木胶,木胶,Material,General,kg,0.0,0.0,0.0,0.0,0,CNY,0.0,0.6008,26,26,Water resources works,单项工作价格分析（AHSP） - PUPR 2016年,水资源工程,4 - - LS
E.29.b,"容量为0,3 1 m3的搅拌机",Equipment,General,Sewa-hari,0.0,0.0,0.0,0.0,0,CNY,0.0,0.1318,26,26,Water resources works,单项工作价格分析（AHSP） - PUPR 2016年,水资源工程,A.2 配套工程（规范）
M.06.a,石 / 石块 网格钢筋ø,Material,General,m3,0.0,0.0,0.0,0.0,0,CNY,0.0,2.0982,25,25,Water resources works,单项工作价格分析（AHSP） - PUPR 2016年,水资源工程,P.04 1 m2 粘结砂浆抹灰工程，采用PC-PP类型砂浆（1 m2）
M.02,水,Material,General,Liter,0.0,0.0,0.0,0.0,0,CNY,0.0,198.8,25,25,Water resources works,单项工作价格分析（AHSP） - PUPR 2016年,水资源工程,海滩工程
M.71.b,5 cm 和 7 cm 钉子,Material,General,kg,0.0,0.0,0.0,0.0,0,CNY,0.0,0.304,25,25,Water resources works,单项工作价格分析（AHSP） - PUPR 2016年,水资源工程,A.1.1 以手工和半机械方式进行土方工程（规范）
M.37.a,7 cm *,Material,General,m3,0.0,0.0,0.0,0.0,0,CNY,0.0,0.0077,25,21,Water resources works,单项工作价格分析（AHSP） - PUPR 2016年,水资源工程,1 1PC : 2PB : 3Kr
绝缘,绝缘,Material,General,m,0.0,0.0,0.0,0.0,0,CNY,0.0,1.032,25,25,Building and settlement works,单价分析（AHSP） - PUPR 2022,建筑和安置工程,"L.0 OH m' 1,15"
M.136b,非补贴燃料油,Material,General,Liter,0.0,0.0,0.0,0.0,0,CNY,0.0,1.2892,24,24,Water resources works,单项工作价格分析（AHSP） - PUPR 2016年,水资源工程,5 (K175)
PP,PP,Material,General,m3,0.0,0.0,0.0,0.0,0,CNY,0.0,0.0239,19,19,Building and settlement works,单项工作价格分析（AHSP） - PUPR 2016年,建筑和安置工程,A.4.4.2 单位价格
"租用挖掘机 225 0,5 1,0 m3容量","租用挖掘机 225 0,5 1,0 m3容量",Equipment,General,hari,0.0,0.0,0.0,0.0,0,CNY,0.0,0.0647,18,18,Building and settlement works,单项工作价格分析（AHSP） - PUPR 2016年,建筑和安置工程,A.8.4.1 施工单价：建筑外管道安装
b 有机肥料：20% c 沙子/堆肥/,b 有机肥料：20% c 沙子/堆肥/,Material,General,m3,0.0,0.0,0.0,0.0,0,CNY,0.0,0.025,18,18,Building and settlement works,单价分析（AHSP） - PUPR 2022,建筑和安置工程,4.1 植物栽植工程
