resource_code,name,type,category,unit,price_avg,price_min,price_max,price_median,price_variants,currency,avg_cost_per_use,avg_qty_per_use,usage_count,used_in_work_items,parent_category,parent_collection,parent_department,parent_section
Labour,Labour,Labor,Labor,unit,0.0,0.0,0.0,0.0,0,AUD,0.0,7.1363,3428,3271,Works Clearing Forest Forming Ground surface by Manual - Clearing forest lo,"Construction cost estimate norms (Circular 12/2021/TT-BXD), Appendix II",Site clearing and preparation,Works Clearing Forest Forming Ground surface by Manual - Clearing forest lo
Other materials,Other materials,Material,General,%,0.0,0.0,0.0,0.0,0,AUD,0.0,3.31,1876,1876,Works Clearing Forest Forming Ground surface by Manual - Clearing forest lo,"Construction cost estimate norms (Circular 12/2021/TT-BXD), Appendix II",Site clearing and preparation,Works Clearing Forest Forming Ground surface by Manual - Clearing forest lo
Other machinery,Other machinery,Equipment,General,%,0.0,0.0,0.0,0.0,0,AUD,0.0,1.6035,1387,1385,Excavation BÙN by Manual - Excavation bùn in mọi điều component - Bùn đặ,"Construction cost estimate norms (Circular 12/2021/TT-BXD), Appendix II",Earthwork - excavation and filling,Manual Excavation of MUD - Excavation of mud in all components - Dense mud
Brick,Brick,Material,General,unit,0.0,0.0,0.0,0.0,0,AUD,0.0,224.6312,685,685,Masonry Foundation - Masonry foundation - Dimension   ,"Construction cost estimate norms (Circular 12/2021/TT-BXD), Appendix II",Masonry (brick and stone),Masonry Foundation - Masonry foundation - Dimension ≤  
3 t cage hoist,3 t cage hoist,Equipment,Hoists,ca,0.0,0.0,0.0,0.0,0,AUD,0.0,0.0483,642,642,Masonry Foundation - Masonry foundation - Dimension   ,"Construction cost estimate norms (Circular 12/2021/TT-BXD), Appendix II",Masonry (brick and stone),Masonry Foundation - Masonry foundation - Dimension ≤  
Mortar,Mortar,Material,Concrete & Cement,m3,0.0,0.0,0.0,0.0,0,AUD,0.0,0.2021,552,551,Masonry Foundation - Masonry foundation - Dimension   ,"Construction cost estimate norms (Circular 12/2021/TT-BXD), Appendix II",Masonry (brick and stone),Masonry Foundation - Masonry foundation - Dimension ≤  
150l mortar mixer,150l mortar mixer,Equipment,General,ca,0.0,0.0,0.0,0.0,0,AUD,0.0,0.0265,541,540,Masonry Foundation - Masonry foundation - Dimension   ,"Construction cost estimate norms (Circular 12/2021/TT-BXD), Appendix II",Masonry (brick and stone),Masonry Foundation - Masonry foundation - Dimension ≤  
25 t tower crane,25 t tower crane,Equipment,Cranes,ca,0.0,0.0,0.0,0.0,0,AUD,0.0,0.0395,437,437,Masonry Foundation - Masonry foundation - Dimension   ,"Construction cost estimate norms (Circular 12/2021/TT-BXD), Appendix II",Masonry (brick and stone),Masonry Foundation - Masonry foundation - Dimension ≤  
Welding rod,Welding rod,Material,Welding Consumables,kg,0.0,0.0,0.0,0.0,0,AUD,0.0,6.7562,375,371,Works Clearing Forest Forming Ground surface by Manual - Clearing forest lo,"Construction cost estimate norms (Circular 12/2021/TT-BXD), Appendix II",Site clearing and preparation,Works Clearing Forest Forming Ground surface by Manual - Clearing forest lo
Welding machine 23 kW,Welding machine 23 kW,Equipment,Welding Equip.,ca,0.0,0.0,0.0,0.0,0,AUD,0.0,1.5672,365,361,Works Clearing Forest Forming Ground surface by Manual - Clearing forest lo,"Construction cost estimate norms (Circular 12/2021/TT-BXD), Appendix II",Site clearing and preparation,Works Clearing Forest Forming Ground surface by Manual - Clearing forest lo
Water,Water,Material,Water,m3,0.0,0.0,0.0,0.0,0,AUD,0.0,176.0578,312,129,"Pile driving TRE by Manual - Pile driving tre by manual, chi","Construction cost estimate norms (Circular 12/2021/TT-BXD), Appendix II",Piling and cast-in-place bored piles,"Pile driving TRE by Manual - Pile driving TRE by manual, chi"
Crushed stone,Crushed stone,Material,Aggregates,m3,0.0,0.0,0.0,0.0,0,AUD,0.0,1.9415,311,125,Construction Foundation Graded aggregate Crushed stone - Construction foundation graded aggregate stone dă,"Construction cost estimate norms (Circular 12/2021/TT-BXD), Appendix II",Road base and sub-base,Construction Foundation Graded aggregate Crushed stone - Construction foundation
Round steel,Round steel,Material,Steel & Metal,kg,0.0,0.0,0.0,0.0,0,AUD,0.0,896.8674,288,288,Concrete LÓT Foundation - Concrete lót -    ,"Construction cost estimate norms (Circular 12/2021/TT-BXD), Appendix II",In situ concrete,Concrete LÓT Foundation - Concrete lót -    
