resource_code,name,type,category,unit,price_avg,price_min,price_max,price_median,price_variants,currency,avg_cost_per_use,avg_qty_per_use,usage_count,used_in_work_items,parent_category,parent_collection,parent_department,parent_section
Работна ръка,Работна ръка,Labor,Labor,единица,0.0,0.0,0.0,0.0,0,BGN,0.0,7.1363,3428,3271,Works Clearing Forest Forming Ground surface by Manual - Clearing forest lo,"Държавна норма за строителни работи (TT 12/2021), Приложение II",Почистване и подготовка на площадката,Работи по изчистване на горски терени с ръчен труд - изчистване на гори lo
Други материали,Други материали,Material,General,%,0.0,0.0,0.0,0.0,0,BGN,0.0,3.307,1878,1878,Works Clearing Forest Forming Ground surface by Manual - Clearing forest lo,"Държавна норма за строителни работи (TT 12/2021), Приложение II",Почистване и подготовка на площадката,Работи по изчистване на горски терени с ръчен труд - изчистване на гори lo
Други машини,Други машини,Equipment,General,%,0.0,0.0,0.0,0.0,0,BGN,0.0,1.6035,1387,1385,Excavation BÙN by Manual - Excavation bùn in mọi điều component - Bùn đặ,"Държавна норма за строителни работи (TT 12/2021), Приложение II",Земни работи - изкопаване и запълване,Изкопаване на ГРУБА с ръка - Изкопаване на ГРУБА в различни компоненти - Груба п
Циментова мазилка,Циментова мазилка,Material,General,m3,0.0,0.0,0.0,0.0,0,BGN,0.0,0.4354,783,782,Construction Foundation Graded aggregate Crushed stone - Construction foundation graded aggregate stone dă,"Държавна норма за строителни работи (TT 12/2021), Приложение II",Пътна основа и подоснова,Фундаментна конструкция Граден агрегат Трошен камък - Граден агрегат за фундамен
Тухла,Тухла,Material,General,държач,0.0,0.0,0.0,0.0,0,BGN,0.0,224.6312,685,685,Masonry Foundation - Masonry foundation - Dimension   ,"Държавна норма за строителни работи (TT 12/2021), Приложение II",Каменно зидарство ( тухли и камък ),Фундамент за зидария - Фундамент за зидария - Размер   
Височен асансьор 3 т,Височен асансьор 3 т,Equipment,General,ca,0.0,0.0,0.0,0.0,0,BGN,0.0,0.0483,642,642,Masonry Foundation - Masonry foundation - Dimension   ,"Държавна норма за строителни работи (TT 12/2021), Приложение II",Каменно зидарство ( тухли и камък ),Фундамент за зидария - Фундамент за зидария - Размер   
Миксер за мазилка 150л,Миксер за мазилка 150л,Equipment,General,ca,0.0,0.0,0.0,0.0,0,BGN,0.0,0.0265,540,539,Masonry Foundation - Masonry foundation - Dimension   ,"Държавна норма за строителни работи (TT 12/2021), Приложение II",Каменно зидарство ( тухли и камък ),Фундамент за зидария - Фундамент за зидария - Размер   
Кулата 25 т,Кулата 25 т,Equipment,General,ca,0.0,0.0,0.0,0.0,0,BGN,0.0,0.0395,437,437,Masonry Foundation - Masonry foundation - Dimension   ,"Държавна норма за строителни работи (TT 12/2021), Приложение II",Каменно зидарство ( тухли и камък ),Фундамент за зидария - Фундамент за зидария - Размер   
Заваръчна шевна,Заваръчна шевна,Material,General,kg,0.0,0.0,0.0,0.0,0,BGN,0.0,6.7562,375,371,Works Clearing Forest Forming Ground surface by Manual - Clearing forest lo,"Държавна норма за строителни работи (TT 12/2021), Приложение II",Почистване и подготовка на площадката,Работи по изчистване на горски терени с ръчен труд - изчистване на гори lo
Машина за заваряване 23 kW,Машина за заваряване 23 kW,Equipment,General,ca,0.0,0.0,0.0,0.0,0,BGN,0.0,1.5672,365,361,Works Clearing Forest Forming Ground surface by Manual - Clearing forest lo,"Държавна норма за строителни работи (TT 12/2021), Приложение II",Почистване и подготовка на площадката,Работи по изчистване на горски терени с ръчен труд - изчистване на гори lo
