resource_code,name,type,category,unit,price_avg,price_min,price_max,price_median,price_variants,currency,avg_cost_per_use,avg_qty_per_use,usage_count,used_in_work_items,parent_category,parent_collection,parent_department,parent_section
Main-d'œuvre,Main-d'œuvre,Labor,Labor,unité,0.0,0.0,0.0,0.0,0,XAF,0.0,7.1363,3428,3271,Works Clearing Forest Forming Ground surface by Manual - Clearing forest lo,"Dinh muc du toan xay dung cong trinh (TT 12/2021/TT-BXD), Phu luc II",Nettoyage et préparation du site,Travaux de défrichage de la surface du sol par méthode manuelle - Défrichage de 
Autres matériaux,Autres matériaux,Material,General,%,0.0,0.0,0.0,0.0,0,XAF,0.0,3.3051,1880,1880,Works Clearing Forest Forming Ground surface by Manual - Clearing forest lo,"Dinh muc du toan xay dung cong trinh (TT 12/2021/TT-BXD), Phu luc II",Nettoyage et préparation du site,Travaux de défrichage de la surface du sol par méthode manuelle - Défrichage de 
Autre machine,Autre machine,Equipment,General,%,0.0,0.0,0.0,0.0,0,XAF,0.0,1.6035,1387,1385,Excavation BÙN by Manual - Excavation bùn in mọi điều component - Bùn đặ,"Dinh muc du toan xay dung cong trinh (TT 12/2021/TT-BXD), Phu luc II",Terrassement - excavation et remblayage,Excavation de boue manuelle - Excavation de boue dans tous les composants - Boue
Brique,Brique,Material,General,pierre,0.0,0.0,0.0,0.0,0,XAF,0.0,224.6312,685,685,Masonry Foundation - Masonry foundation - Dimension   ,"Dinh muc du toan xay dung cong trinh (TT 12/2021/TT-BXD), Phu luc II",Maçonnerie (brique et pierre),Fondation en maçonnerie - Fondation en maçonnerie - Dimension   
Élévateur à cage 3 t,Élévateur à cage 3 t,Equipment,General,ca,0.0,0.0,0.0,0.0,0,XAF,0.0,0.0483,642,642,Masonry Foundation - Masonry foundation - Dimension   ,"Dinh muc du toan xay dung cong trinh (TT 12/2021/TT-BXD), Phu luc II",Maçonnerie (brique et pierre),Fondation en maçonnerie - Fondation en maçonnerie - Dimension   
Mortier,Mortier,Material,General,m3,0.0,0.0,0.0,0.0,0,XAF,0.0,0.2021,552,551,Masonry Foundation - Masonry foundation - Dimension   ,"Dinh muc du toan xay dung cong trinh (TT 12/2021/TT-BXD), Phu luc II",Maçonnerie (brique et pierre),Fondation en maçonnerie - Fondation en maçonnerie - Dimension   
Malaxeur à mortier 150l,Malaxeur à mortier 150l,Equipment,General,ca,0.0,0.0,0.0,0.0,0,XAF,0.0,0.0265,536,535,Masonry Foundation - Masonry foundation - Dimension   ,"Dinh muc du toan xay dung cong trinh (TT 12/2021/TT-BXD), Phu luc II",Maçonnerie (brique et pierre),Fondation en maçonnerie - Fondation en maçonnerie - Dimension   
Grue à tour 25 t,Grue à tour 25 t,Equipment,General,ca,0.0,0.0,0.0,0.0,0,XAF,0.0,0.0395,437,437,Masonry Foundation - Masonry foundation - Dimension   ,"Dinh muc du toan xay dung cong trinh (TT 12/2021/TT-BXD), Phu luc II",Maçonnerie (brique et pierre),Fondation en maçonnerie - Fondation en maçonnerie - Dimension   
Machine à souder 23 kW,Machine à souder 23 kW,Equipment,General,ca,0.0,0.0,0.0,0.0,0,XAF,0.0,1.5568,385,381,Works Clearing Forest Forming Ground surface by Manual - Clearing forest lo,"Dinh muc du toan xay dung cong trinh (TT 12/2021/TT-BXD), Phu luc II",Nettoyage et préparation du site,Travaux de défrichage de la surface du sol par méthode manuelle - Défrichage de 
Soudure,Soudure,Material,General,kg,0.0,0.0,0.0,0.0,0,XAF,0.0,6.7562,375,371,Works Clearing Forest Forming Ground surface by Manual - Clearing forest lo,"Dinh muc du toan xay dung cong trinh (TT 12/2021/TT-BXD), Phu luc II",Nettoyage et préparation du site,Travaux de défrichage de la surface du sol par méthode manuelle - Défrichage de 
