resource_code,name,type,category,unit,price_avg,price_min,price_max,price_median,price_variants,currency,avg_cost_per_use,avg_qty_per_use,usage_count,used_in_work_items,parent_category,parent_collection,parent_department,parent_section
Práce,Práce,Labor,Labor,jednotka,0.0,0.0,0.0,0.0,0,CZK,0.0,7.1363,3428,3271,Works Clearing Forest Forming Ground surface by Manual - Clearing forest lo,"Dílné normy stavebních prací (VV 12/2021), Příloha II",Vyklízení a příprava staveniště,Práce odstraňování lesa Formující povrch země ručně - Odstraňování lesa lo
Jiný materiál,Jiný materiál,Material,General,%,0.0,0.0,0.0,0.0,0,CZK,0.0,3.31,1876,1876,Works Clearing Forest Forming Ground surface by Manual - Clearing forest lo,"Dílné normy stavebních prací (VV 12/2021), Příloha II",Vyklízení a příprava staveniště,Práce odstraňování lesa Formující povrch země ručně - Odstraňování lesa lo
Jiný stroj,Jiný stroj,Equipment,General,%,0.0,0.0,0.0,0.0,0,CZK,0.0,1.6035,1387,1385,Excavation BÙN by Manual - Excavation bùn in mọi điều component - Bùn đặ,"Dílné normy stavebních prací (VV 12/2021), Příloha II",Zemní práce - výkop a zásyp,Výkopová práce HLÍNA ručně - Výkopová práce s hlínou ve všech složkách - Hlína s
Cihla,Cihla,Material,General,kulička,0.0,0.0,0.0,0.0,0,CZK,0.0,224.6312,685,685,Masonry Foundation - Masonry foundation - Dimension   ,"Dílné normy stavebních prací (VV 12/2021), Příloha II",Zednické práce (cihly a kámen),"Základová konstrukce z cihel, tvárnic a kamene - Rozměr   "
Výtah s nosností 3 t,Výtah s nosností 3 t,Equipment,General,ca,0.0,0.0,0.0,0.0,0,CZK,0.0,0.0483,642,642,Masonry Foundation - Masonry foundation - Dimension   ,"Dílné normy stavebních prací (VV 12/2021), Příloha II",Zednické práce (cihly a kámen),"Základová konstrukce z cihel, tvárnic a kamene - Rozměr   "
Malta,Malta,Material,General,m3,0.0,0.0,0.0,0.0,0,CZK,0.0,0.2021,552,551,Masonry Foundation - Masonry foundation - Dimension   ,"Dílné normy stavebních prací (VV 12/2021), Příloha II",Zednické práce (cihly a kámen),"Základová konstrukce z cihel, tvárnic a kamene - Rozměr   "
Míchací stroj na maltu 150l,Míchací stroj na maltu 150l,Equipment,General,ca,0.0,0.0,0.0,0.0,0,CZK,0.0,0.0265,536,535,Masonry Foundation - Masonry foundation - Dimension   ,"Dílné normy stavebních prací (VV 12/2021), Příloha II",Zednické práce (cihly a kámen),"Základová konstrukce z cihel, tvárnic a kamene - Rozměr   "
Jeřáb věžový 25 t,Jeřáb věžový 25 t,Equipment,General,ca,0.0,0.0,0.0,0.0,0,CZK,0.0,0.0395,437,437,Masonry Foundation - Masonry foundation - Dimension   ,"Dílné normy stavebních prací (VV 12/2021), Příloha II",Zednické práce (cihly a kámen),"Základová konstrukce z cihel, tvárnic a kamene - Rozměr   "
Svařovací stroj 23 kW,Svařovací stroj 23 kW,Equipment,General,ca,0.0,0.0,0.0,0.0,0,CZK,0.0,1.5568,385,381,Works Clearing Forest Forming Ground surface by Manual - Clearing forest lo,"Dílné normy stavebních prací (VV 12/2021), Příloha II",Vyklízení a příprava staveniště,Práce odstraňování lesa Formující povrch země ručně - Odstraňování lesa lo
Hliníková svorka,Hliníková svorka,Material,General,kg,0.0,0.0,0.0,0.0,0,CZK,0.0,6.7562,375,371,Works Clearing Forest Forming Ground surface by Manual - Clearing forest lo,"Dílné normy stavebních prací (VV 12/2021), Příloha II",Vyklízení a příprava staveniště,Práce odstraňování lesa Formující povrch země ručně - Odstraňování lesa lo
