resource_code,name,type,category,unit,price_avg,price_min,price_max,price_median,price_variants,currency,avg_cost_per_use,avg_qty_per_use,usage_count,used_in_work_items,parent_category,parent_collection,parent_department,parent_section
العمالة,العمالة,Labor,Labor,وحدة,0.0,0.0,0.0,0.0,0,EGP,0.0,7.1363,3428,3271,Works Clearing Forest Forming Ground surface by Manual - Clearing forest lo,معايير تقدير تكاليف إنشاء الأعمال (TT 12/2021/TT-BXD)، الملحق II,تطهير الموقع وتجهيزه,أعمال إزالة الغابات وتشكيل سطح الأرض يدويًا - إزالة الغابات المنخفضة
مواد أخرى,مواد أخرى,Material,General,%,0.0,0.0,0.0,0.0,0,EGP,0.0,3.3032,1882,1882,Works Clearing Forest Forming Ground surface by Manual - Clearing forest lo,معايير تقدير تكاليف إنشاء الأعمال (TT 12/2021/TT-BXD)، الملحق II,تطهير الموقع وتجهيزه,أعمال إزالة الغابات وتشكيل سطح الأرض يدويًا - إزالة الغابات المنخفضة
آلات أخرى,آلات أخرى,Equipment,General,%,0.0,0.0,0.0,0.0,0,EGP,0.0,1.6035,1387,1385,Excavation BÙN by Manual - Excavation bùn in mọi điều component - Bùn đặ,معايير تقدير تكاليف إنشاء الأعمال (TT 12/2021/TT-BXD)، الملحق II,أعمال الترابية - الحفر والردم,حفر الطين يدويًا - حفر الطين في جميع مكونات العمل - الطين الكثيف
طوب,طوب,Material,General,حبة,0.0,0.0,0.0,0.0,0,EGP,0.0,224.6312,685,685,Masonry Foundation - Masonry foundation - Dimension   ,معايير تقدير تكاليف إنشاء الأعمال (TT 12/2021/TT-BXD)، الملحق II,أعمال البناء (الطوب والحجر),أساس البناء - أساس البناء - الأبعاد   
رافعة ركاب 3 t,رافعة ركاب 3 t,Equipment,General,ca,0.0,0.0,0.0,0.0,0,EGP,0.0,0.0483,642,642,Masonry Foundation - Masonry foundation - Dimension   ,معايير تقدير تكاليف إنشاء الأعمال (TT 12/2021/TT-BXD)، الملحق II,أعمال البناء (الطوب والحجر),أساس البناء - أساس البناء - الأبعاد   
مونة,مونة,Material,General,m3,0.0,0.0,0.0,0.0,0,EGP,0.0,0.2021,552,551,Masonry Foundation - Masonry foundation - Dimension   ,معايير تقدير تكاليف إنشاء الأعمال (TT 12/2021/TT-BXD)، الملحق II,أعمال البناء (الطوب والحجر),أساس البناء - أساس البناء - الأبعاد   
خلاط ملاط 150,خلاط ملاط 150,Equipment,General,ca,0.0,0.0,0.0,0.0,0,EGP,0.0,0.0265,536,535,Masonry Foundation - Masonry foundation - Dimension   ,معايير تقدير تكاليف إنشاء الأعمال (TT 12/2021/TT-BXD)، الملحق II,أعمال البناء (الطوب والحجر),أساس البناء - أساس البناء - الأبعاد   
رافعة برجية 25 t,رافعة برجية 25 t,Equipment,General,ca,0.0,0.0,0.0,0.0,0,EGP,0.0,0.0395,437,437,Masonry Foundation - Masonry foundation - Dimension   ,معايير تقدير تكاليف إنشاء الأعمال (TT 12/2021/TT-BXD)، الملحق II,أعمال البناء (الطوب والحجر),أساس البناء - أساس البناء - الأبعاد   
سلك لحام,سلك لحام,Material,General,kg,0.0,0.0,0.0,0.0,0,EGP,0.0,6.7562,375,371,Works Clearing Forest Forming Ground surface by Manual - Clearing forest lo,معايير تقدير تكاليف إنشاء الأعمال (TT 12/2021/TT-BXD)، الملحق II,تطهير الموقع وتجهيزه,أعمال إزالة الغابات وتشكيل سطح الأرض يدويًا - إزالة الغابات المنخفضة
آلة لحام 23 كيلوواط,آلة لحام 23 كيلوواط,Equipment,General,ca,0.0,0.0,0.0,0.0,0,EGP,0.0,1.5672,365,361,Works Clearing Forest Forming Ground surface by Manual - Clearing forest lo,معايير تقدير تكاليف إنشاء الأعمال (TT 12/2021/TT-BXD)، الملحق II,تطهير الموقع وتجهيزه,أعمال إزالة الغابات وتشكيل سطح الأرض يدويًا - إزالة الغابات المنخفضة
ماء,ماء,Material,General,m3,0.0,0.0,0.0,0.0,0,EGP,0.0,176.0578,312,129,"Pile driving TRE by Manual - Pile driving tre by manual, chi",معايير تقدير تكاليف إنشاء الأعمال (TT 12/2021/TT-BXD)، الملحق II,الخوازيق وصب الخوازيق المحفورة في الموقع,دق خوازيق TRE يدويًا - دق خوازيق tre يدويًا، chi
حصى مكسر,حصى مكسر,Material,General,m3,0.0,0.0,0.0,0.0,0,EGP,0.0,1.9415,311,125,Construction Foundation Graded aggregate Crushed stone - Construction foundation graded aggregate stone dă,معايير تقدير تكاليف إنشاء الأعمال (TT 12/2021/TT-BXD)، الملحق II,طبقة الأساس وتحت الأساس للطريق,أساس البناء من الركام المتدرج حجر مكسر - حجر الركام المتدرج لأساس البناء
حديد دائري,حديد دائري,Material,General,kg,0.0,0.0,0.0,0.0,0,EGP,0.0,896.8674,288,288,Concrete LÓT Foundation - Concrete lót -    ,معايير تقدير تكاليف إنشاء الأعمال (TT 12/2021/TT-BXD)، الملحق II,خرسانة مصبوبة في الموقع,أساس خرساني لوت - لوت خرساني -    
