resource_code,name,type,category,unit,price_avg,price_min,price_max,price_median,price_variants,currency,avg_cost_per_use,avg_qty_per_use,usage_count,used_in_work_items,parent_category,parent_collection,parent_department,parent_section
Radnici,Radnici,Labor,Labor,jedinica,0.0,0.0,0.0,0.0,0,EUR,0.0,7.1363,3428,3271,Works Clearing Forest Forming Ground surface by Manual - Clearing forest lo,"Dužina procjene građevinskih radova (TT 12/2021), Prilog II",Priprema i čišćenje gradilišta,Radovi na čišćenju šume Formiranje tla ručno - Čišćenje šume lo
Ostali materijali,Ostali materijali,Material,General,%,0.0,0.0,0.0,0.0,0,EUR,0.0,3.307,1878,1878,Works Clearing Forest Forming Ground surface by Manual - Clearing forest lo,"Dužina procjene građevinskih radova (TT 12/2021), Prilog II",Priprema i čišćenje gradilišta,Radovi na čišćenju šume Formiranje tla ručno - Čišćenje šume lo
Ostali strojevi,Ostali strojevi,Equipment,General,%,0.0,0.0,0.0,0.0,0,EUR,0.0,1.6035,1387,1385,Excavation BÙN by Manual - Excavation bùn in mọi điều component - Bùn đặ,"Dužina procjene građevinskih radova (TT 12/2021), Prilog II",Zemljani radovi - iskapanje i ispunjavanje,Iskopavanje BUNOM ručno - Iskopavanje blata u svim komponentama - Blato
Cement,Cement,Material,Concrete & Cement,kg,0.0,0.0,0.0,0.0,0,EUR,0.0,90.2282,823,718,"Pile driving TRE by Manual - Pile driving tre by manual, chi","Dužina procjene građevinskih radova (TT 12/2021), Prilog II",Piling i betonske čaure za bušenje,"Vučna bušenja TRE ručno - Vučna bušenja TRE ručno, chi"
Cigla,Cigla,Material,General,kuglica,0.0,0.0,0.0,0.0,0,EUR,0.0,224.393,693,693,Masonry Foundation - Masonry foundation - Dimension   ,"Dužina procjene građevinskih radova (TT 12/2021), Prilog II",Zidarstvo (crvene i kamene opeke),Temelj od opeke - Temelj od opeke - Dimenzija   
Vučna dizalica s nosivošću od 3 t,Vučna dizalica s nosivošću od 3 t,Equipment,General,ca,0.0,0.0,0.0,0.0,0,EUR,0.0,0.0483,642,642,Masonry Foundation - Masonry foundation - Dimension   ,"Dužina procjene građevinskih radova (TT 12/2021), Prilog II",Zidarstvo (crvene i kamene opeke),Temelj od opeke - Temelj od opeke - Dimenzija   
Miješalica za mort 150l,Miješalica za mort 150l,Equipment,General,ca,0.0,0.0,0.0,0.0,0,EUR,0.0,0.0265,540,539,Masonry Foundation - Masonry foundation - Dimension   ,"Dužina procjene građevinskih radova (TT 12/2021), Prilog II",Zidarstvo (crvene i kamene opeke),Temelj od opeke - Temelj od opeke - Dimenzija   
Dizalica za tešku opterećenje 25 t,Dizalica za tešku opterećenje 25 t,Equipment,General,ca,0.0,0.0,0.0,0.0,0,EUR,0.0,0.0395,437,437,Masonry Foundation - Masonry foundation - Dimension   ,"Dužina procjene građevinskih radova (TT 12/2021), Prilog II",Zidarstvo (crvene i kamene opeke),Temelj od opeke - Temelj od opeke - Dimenzija   
Mašina za zavarivanje 23 kW,Mašina za zavarivanje 23 kW,Equipment,General,ca,0.0,0.0,0.0,0.0,0,EUR,0.0,1.5568,385,381,Works Clearing Forest Forming Ground surface by Manual - Clearing forest lo,"Dužina procjene građevinskih radova (TT 12/2021), Prilog II",Priprema i čišćenje gradilišta,Radovi na čišćenju šume Formiranje tla ručno - Čišćenje šume lo
Que hàn,Que hàn,Material,General,kg,0.0,0.0,0.0,0.0,0,EUR,0.0,6.7562,375,371,Works Clearing Forest Forming Ground surface by Manual - Clearing forest lo,"Dužina procjene građevinskih radova (TT 12/2021), Prilog II",Priprema i čišćenje gradilišta,Radovi na čišćenju šume Formiranje tla ručno - Čišćenje šume lo
Voda,Voda,Material,General,m3,0.0,0.0,0.0,0.0,0,EUR,0.0,176.0578,312,129,"Pile driving TRE by Manual - Pile driving tre by manual, chi","Dužina procjene građevinskih radova (TT 12/2021), Prilog II",Piling i betonske čaure za bušenje,"Vučna bušenja TRE ručno - Vučna bušenja TRE ručno, chi"
Šljunak,Šljunak,Material,General,m3,0.0,0.0,0.0,0.0,0,EUR,0.0,1.9415,311,125,Construction Foundation Graded aggregate Crushed stone - Construction foundation graded aggregate stone dă,"Dužina procjene građevinskih radova (TT 12/2021), Prilog II",Podloga i podložni sloj za cestu,"Temeljna konstrukcija, granulirani agregat, drobljeni kamen - granulirani agrega"
Željezna žica,Željezna žica,Material,General,kg,0.0,0.0,0.0,0.0,0,EUR,0.0,10.5823,288,288,Construction Foundation Graded aggregate Crushed stone - Construction foundation graded aggregate stone dă,"Dužina procjene građevinskih radova (TT 12/2021), Prilog II",Podloga i podložni sloj za cestu,"Temeljna konstrukcija, granulirani agregat, drobljeni kamen - granulirani agrega"
Žuti pijesak,Žuti pijesak,Material,General,m3,0.0,0.0,0.0,0.0,0,EUR,0.0,2.8172,287,113,Construction Foundation Graded aggregate Crushed stone - Construction foundation graded aggregate stone dă,"Dužina procjene građevinskih radova (TT 12/2021), Prilog II",Podloga i podložni sloj za cestu,"Temeljna konstrukcija, granulirani agregat, drobljeni kamen - granulirani agrega"
Čelični šipkasti,Čelični šipkasti,Material,General,kg,0.0,0.0,0.0,0.0,0,EUR,0.0,896.4384,287,287,Concrete LÓT Foundation - Concrete lót -    ,"Dužina procjene građevinskih radova (TT 12/2021), Prilog II",In situ beton,Temelj od betona LÓT - Beton za temelj -    
Stroj za rezanje i savijanje 5 kW,Stroj za rezanje i savijanje 5 kW,Equipment,General,ca,0.0,0.0,0.0,0.0,0,EUR,0.0,0.3444,279,279,Concrete LÓT Foundation - Concrete lót -    ,"Dužina procjene građevinskih radova (TT 12/2021), Prilog II",In situ beton,Temelj od betona LÓT - Beton za temelj -    
Cementni mort,Cementni mort,Material,Concrete & Cement,m3,0.0,0.0,0.0,0.0,0,EUR,0.0,1.0056,228,228,Construction Foundation Graded aggregate Crushed stone - Construction foundation graded aggregate stone dă,"Dužina procjene građevinskih radova (TT 12/2021), Prilog II",Podloga i podložni sloj za cestu,"Temeljna konstrukcija, granulirani agregat, drobljeni kamen - granulirani agrega"
