resource_code,name,type,category,unit,price_avg,price_min,price_max,price_median,price_variants,currency,avg_cost_per_use,avg_qty_per_use,usage_count,used_in_work_items,parent_category,parent_collection,parent_department,parent_section
Tenaga kerja,Tenaga kerja,Labor,Labor,unit,0.0,0.0,0.0,0.0,0,IDR,0.0,7.1363,3428,3271,Works Clearing Forest Forming Ground surface by Manual - Clearing forest lo,"Dinh mức dự toán xây dựng công trình (TT 12/2021/TT-BXD), Phụ lục II",Pembersihan dan persiapan lokasi,Pekerjaan Pembersihan Hutan Membentuk Permukaan Tanah secara Manual - Pembersiha
Bahan lain,Bahan lain,Material,General,%,0.0,0.0,0.0,0.0,0,IDR,0.0,3.31,1876,1876,Works Clearing Forest Forming Ground surface by Manual - Clearing forest lo,"Dinh mức dự toán xây dựng công trình (TT 12/2021/TT-BXD), Phụ lục II",Pembersihan dan persiapan lokasi,Pekerjaan Pembersihan Hutan Membentuk Permukaan Tanah secara Manual - Pembersiha
Mesin lain,Mesin lain,Equipment,General,%,0.0,0.0,0.0,0.0,0,IDR,0.0,1.6035,1387,1385,Excavation BÙN by Manual - Excavation bùn in mọi điều component - Bùn đặ,"Dinh mức dự toán xây dựng công trình (TT 12/2021/TT-BXD), Phụ lục II",Pekerjaan tanah - penggalian dan pengisian,Penggalian TANAH oleh Manual - Penggalian tanah dalam semua komponen - Tanah khu
Bata,Bata,Material,General,butir,0.0,0.0,0.0,0.0,0,IDR,0.0,224.6312,685,685,Masonry Foundation - Masonry foundation - Dimension   ,"Dinh mức dự toán xây dựng công trình (TT 12/2021/TT-BXD), Phụ lục II",Masonry (brick and stone),Fondasi Masonry - Fondasi masonry - Dimensi   
Menara angkat 3 t,Menara angkat 3 t,Equipment,General,ca,0.0,0.0,0.0,0.0,0,IDR,0.0,0.0483,642,642,Masonry Foundation - Masonry foundation - Dimension   ,"Dinh mức dự toán xây dựng công trình (TT 12/2021/TT-BXD), Phụ lục II",Masonry (brick and stone),Fondasi Masonry - Fondasi masonry - Dimensi   
Campuran mortar,Campuran mortar,Material,Concrete & Cement,m3,0.0,0.0,0.0,0.0,0,IDR,0.0,0.2021,552,551,Masonry Foundation - Masonry foundation - Dimension   ,"Dinh mức dự toán xây dựng công trình (TT 12/2021/TT-BXD), Phụ lục II",Masonry (brick and stone),Fondasi Masonry - Fondasi masonry - Dimensi   
Mixer mortar 150l,Mixer mortar 150l,Equipment,General,ca,0.0,0.0,0.0,0.0,0,IDR,0.0,0.0265,536,535,Masonry Foundation - Masonry foundation - Dimension   ,"Dinh mức dự toán xây dựng công trình (TT 12/2021/TT-BXD), Phụ lục II",Masonry (brick and stone),Fondasi Masonry - Fondasi masonry - Dimensi   
Menara crane 25 t,Menara crane 25 t,Equipment,Cranes,ca,0.0,0.0,0.0,0.0,0,IDR,0.0,0.0395,437,437,Masonry Foundation - Masonry foundation - Dimension   ,"Dinh mức dự toán xây dựng công trình (TT 12/2021/TT-BXD), Phụ lục II",Masonry (brick and stone),Fondasi Masonry - Fondasi masonry - Dimensi   
Las las,Las las,Material,General,kg,0.0,0.0,0.0,0.0,0,IDR,0.0,6.7562,375,371,Works Clearing Forest Forming Ground surface by Manual - Clearing forest lo,"Dinh mức dự toán xây dựng công trình (TT 12/2021/TT-BXD), Phụ lục II",Pembersihan dan persiapan lokasi,Pekerjaan Pembersihan Hutan Membentuk Permukaan Tanah secara Manual - Pembersiha
Batu pecah,Batu pecah,Material,General,m3,0.0,0.0,0.0,0.0,0,IDR,0.0,4.3149,368,156,Construction Foundation Graded aggregate Crushed stone - Construction foundation graded aggregate stone dă,"Dinh mức dự toán xây dựng công trình (TT 12/2021/TT-BXD), Phụ lục II",Base jalan dan sub-base,Fondasi konstruksi agregat bergradasi batu pecah - agregat batu bergradasi untuk
Mesin las 23 kW,Mesin las 23 kW,Equipment,General,ca,0.0,0.0,0.0,0.0,0,IDR,0.0,1.5672,365,361,Works Clearing Forest Forming Ground surface by Manual - Clearing forest lo,"Dinh mức dự toán xây dựng công trình (TT 12/2021/TT-BXD), Phụ lục II",Pembersihan dan persiapan lokasi,Pekerjaan Pembersihan Hutan Membentuk Permukaan Tanah secara Manual - Pembersiha
Air,Air,Material,General,m3,0.0,0.0,0.0,0.0,0,IDR,0.0,176.0578,312,129,"Pile driving TRE by Manual - Pile driving tre by manual, chi","Dinh mức dự toán xây dựng công trình (TT 12/2021/TT-BXD), Phụ lục II",Piling dan tiang bor cast-in-place,Pengeboran tiang pile driving TRE secara manual - Pile driving tre secara manual
Baja bulat,Baja bulat,Material,General,kg,0.0,0.0,0.0,0.0,0,IDR,0.0,896.8674,288,288,Concrete LÓT Foundation - Concrete lót -    ,"Dinh mức dự toán xây dựng công trình (TT 12/2021/TT-BXD), Phụ lục II",Beton in situ,Fondasi LÓT Beton - Lót beton -    
