resource_code,name,type,category,unit,price_avg,price_min,price_max,price_median,price_variants,currency,avg_cost_per_use,avg_qty_per_use,usage_count,used_in_work_items,parent_category,parent_collection,parent_department,parent_section
Manodopera,Manodopera,Labor,Labor,unità,0.0,0.0,0.0,0.0,0,EUR,0.0,7.1363,3428,3271,Works Clearing Forest Forming Ground surface by Manual - Clearing forest lo,"Quantitativo di stima dei costi di costruzione (TT 12/2021/TT-BXD), Allegato II",sbancamento e preparazione del sito,Lavori di sgombero foresta formando superficie del terreno manualmente - Sgomber
Materiali vari,Materiali vari,Material,General,%,0.0,0.0,0.0,0.0,0,EUR,0.0,3.31,1876,1876,Works Clearing Forest Forming Ground surface by Manual - Clearing forest lo,"Quantitativo di stima dei costi di costruzione (TT 12/2021/TT-BXD), Allegato II",sbancamento e preparazione del sito,Lavori di sgombero foresta formando superficie del terreno manualmente - Sgomber
Altra macchina,Altra macchina,Equipment,General,%,0.0,0.0,0.0,0.0,0,EUR,0.0,1.6035,1387,1385,Excavation BÙN by Manual - Excavation bùn in mọi điều component - Bùn đặ,"Quantitativo di stima dei costi di costruzione (TT 12/2021/TT-BXD), Allegato II",Movimento terra - scavo e riempimento,Scavo di BÙN manuale - Scavo di BÙN in ogni componente - Bùn đặ
Mattoni,Mattoni,Material,General,unità,0.0,0.0,0.0,0.0,0,EUR,0.0,224.393,693,693,Masonry Foundation - Masonry foundation - Dimension   ,"Quantitativo di stima dei costi di costruzione (TT 12/2021/TT-BXD), Allegato II",Muratura (mattoni e pietra),Fondamenta in muratura - Fondamenta in muratura - Dimensione   
Ascensore gabbia 3 t,Ascensore gabbia 3 t,Equipment,General,ca,0.0,0.0,0.0,0.0,0,EUR,0.0,0.0483,642,642,Masonry Foundation - Masonry foundation - Dimension   ,"Quantitativo di stima dei costi di costruzione (TT 12/2021/TT-BXD), Allegato II",Muratura (mattoni e pietra),Fondamenta in muratura - Fondamenta in muratura - Dimensione   
malta,malta,Material,General,m3,0.0,0.0,0.0,0.0,0,EUR,0.0,0.2021,552,551,Masonry Foundation - Masonry foundation - Dimension   ,"Quantitativo di stima dei costi di costruzione (TT 12/2021/TT-BXD), Allegato II",Muratura (mattoni e pietra),Fondamenta in muratura - Fondamenta in muratura - Dimensione   
Impastatrice malta 150l,Impastatrice malta 150l,Equipment,General,ca,0.0,0.0,0.0,0.0,0,EUR,0.0,0.0265,536,535,Masonry Foundation - Masonry foundation - Dimension   ,"Quantitativo di stima dei costi di costruzione (TT 12/2021/TT-BXD), Allegato II",Muratura (mattoni e pietra),Fondamenta in muratura - Fondamenta in muratura - Dimensione   
Gru a torre 25 t,Gru a torre 25 t,Equipment,General,ca,0.0,0.0,0.0,0.0,0,EUR,0.0,0.0395,437,437,Masonry Foundation - Masonry foundation - Dimension   ,"Quantitativo di stima dei costi di costruzione (TT 12/2021/TT-BXD), Allegato II",Muratura (mattoni e pietra),Fondamenta in muratura - Fondamenta in muratura - Dimensione   
Saldatura a tenuta,Saldatura a tenuta,Material,Fasteners,kg,0.0,0.0,0.0,0.0,0,EUR,0.0,6.7562,375,371,Works Clearing Forest Forming Ground surface by Manual - Clearing forest lo,"Quantitativo di stima dei costi di costruzione (TT 12/2021/TT-BXD), Allegato II",sbancamento e preparazione del sito,Lavori di sgombero foresta formando superficie del terreno manualmente - Sgomber
Saldatrice da 23 kW,Saldatrice da 23 kW,Equipment,General,ca,0.0,0.0,0.0,0.0,0,EUR,0.0,1.5672,365,361,Works Clearing Forest Forming Ground surface by Manual - Clearing forest lo,"Quantitativo di stima dei costi di costruzione (TT 12/2021/TT-BXD), Allegato II",sbancamento e preparazione del sito,Lavori di sgombero foresta formando superficie del terreno manualmente - Sgomber
Acqua,Acqua,Material,General,m3,0.0,0.0,0.0,0.0,0,EUR,0.0,176.0578,312,129,"Pile driving TRE by Manual - Pile driving tre by manual, chi","Quantitativo di stima dei costi di costruzione (TT 12/2021/TT-BXD), Allegato II",Iniezioni e pali trivellati in opera,"Iniezione di pali TRE manuale - Iniezione di pali TRE manuale, chi"
Granulato di pietrisco,Granulato di pietrisco,Material,General,m3,0.0,0.0,0.0,0.0,0,EUR,0.0,1.9415,311,125,Construction Foundation Graded aggregate Crushed stone - Construction foundation graded aggregate stone dă,"Quantitativo di stima dei costi di costruzione (TT 12/2021/TT-BXD), Allegato II",Road base and sub-base,"Fondamenta in aggregato graduato, pietrisco frantumato - aggregato graduato per "
Filo di acciaio,Filo di acciaio,Material,General,kg,0.0,0.0,0.0,0.0,0,EUR,0.0,10.5823,288,288,Construction Foundation Graded aggregate Crushed stone - Construction foundation graded aggregate stone dă,"Quantitativo di stima dei costi di costruzione (TT 12/2021/TT-BXD), Allegato II",Road base and sub-base,"Fondamenta in aggregato graduato, pietrisco frantumato - aggregato graduato per "
Acciaio rotondo,Acciaio rotondo,Material,General,kg,0.0,0.0,0.0,0.0,0,EUR,0.0,896.4384,287,287,Concrete LÓT Foundation - Concrete lót -    ,"Quantitativo di stima dei costi di costruzione (TT 12/2021/TT-BXD), Allegato II",calcestruzzo in situ,Fondazione in calcestruzzo LÓT - Calcestruzzo di fondazione -    
Sabbia gialla,Sabbia gialla,Material,General,m3,0.0,0.0,0.0,0.0,0,EUR,0.0,2.8172,287,113,Construction Foundation Graded aggregate Crushed stone - Construction foundation graded aggregate stone dă,"Quantitativo di stima dei costi di costruzione (TT 12/2021/TT-BXD), Allegato II",Road base and sub-base,"Fondamenta in aggregato graduato, pietrisco frantumato - aggregato graduato per "
Macchina taglio e piegatura 5 kW,Macchina taglio e piegatura 5 kW,Equipment,General,ca,0.0,0.0,0.0,0.0,0,EUR,0.0,0.3444,279,279,Concrete LÓT Foundation - Concrete lót -    ,"Quantitativo di stima dei costi di costruzione (TT 12/2021/TT-BXD), Allegato II",calcestruzzo in situ,Fondazione in calcestruzzo LÓT - Calcestruzzo di fondazione -    
Cemento,Cemento,Material,Concrete & Cement,kg,0.0,0.0,0.0,0.0,0,EUR,0.0,273.6026,271,167,"Pile driving TRE by Manual - Pile driving tre by manual, chi","Quantitativo di stima dei costi di costruzione (TT 12/2021/TT-BXD), Allegato II",Iniezioni e pali trivellati in opera,"Iniezione di pali TRE manuale - Iniezione di pali TRE manuale, chi"
Malta di calcestruzzo,Malta di calcestruzzo,Material,General,m3,0.0,0.0,0.0,0.0,0,EUR,0.0,1.0056,228,228,Construction Foundation Graded aggregate Crushed stone - Construction foundation graded aggregate stone dă,"Quantitativo di stima dei costi di costruzione (TT 12/2021/TT-BXD), Allegato II",Road base and sub-base,"Fondamenta in aggregato graduato, pietrisco frantumato - aggregato graduato per "
Gruppo di torre di 40 t,Gruppo di torre di 40 t,Equipment,General,ca,0.0,0.0,0.0,0.0,0,EUR,0.0,0.0657,214,214,Masonry Foundation - Masonry foundation - Dimension   ,"Quantitativo di stima dei costi di costruzione (TT 12/2021/TT-BXD), Allegato II",Muratura (mattoni e pietra),Fondamenta in muratura - Fondamenta in muratura - Dimensione   
Bulldozer 110 cv,Bulldozer 110 cv,Equipment,Bulldozers,ca,0.0,0.0,0.0,0.0,0,EUR,0.0,0.0974,204,168,Works Clearing Forest Forming Ground surface by Manual - Clearing forest lo,"Quantitativo di stima dei costi di costruzione (TT 12/2021/TT-BXD), Allegato II",sbancamento e preparazione del sito,Lavori di sgombero foresta formando superficie del terreno manualmente - Sgomber
Malta di calcestruzzo leggero per muratura,Malta di calcestruzzo leggero per muratura,Material,General,m3,0.0,0.0,0.0,0.0,0,EUR,0.0,0.0453,200,200,Masonry Foundation - Masonry foundation - Dimension   ,"Quantitativo di stima dei costi di costruzione (TT 12/2021/TT-BXD), Allegato II",Muratura (mattoni e pietra),Fondamenta in muratura - Fondamenta in muratura - Dimensione   
Gru 25 t,Gru 25 t,Equipment,General,ca,0.0,0.0,0.0,0.0,0,EUR,0.0,0.6022,171,161,Works Clearing Forest Forming Ground surface by Manual - Clearing forest lo,"Quantitativo di stima dei costi di costruzione (TT 12/2021/TT-BXD), Allegato II",sbancamento e preparazione del sito,Lavori di sgombero foresta formando superficie del terreno manualmente - Sgomber
"Vibratore a compattazione 1,5 kW","Vibratore a compattazione 1,5 kW",Equipment,General,ca,0.0,0.0,0.0,0.0,0,EUR,0.0,0.1566,165,165,Concrete LÓT Foundation - Concrete lót -    ,"Quantitativo di stima dei costi di costruzione (TT 12/2021/TT-BXD), Allegato II",calcestruzzo in situ,Fondazione in calcestruzzo LÓT - Calcestruzzo di fondazione -    
spese,spese,Material,General,posizione,0.0,0.0,0.0,0.0,0,EUR,0.0,131.219,133,128,Excavation BÙN by Manual - Excavation bùn in mọi điều component - Bùn đặ,"Quantitativo di stima dei costi di costruzione (TT 12/2021/TT-BXD), Allegato II",Movimento terra - scavo e riempimento,Scavo di BÙN manuale - Scavo di BÙN in ogni componente - Bùn đặ
Tug 150 cv,Tug 150 cv,Equipment,General,ca,0.0,0.0,0.0,0.0,0,EUR,0.0,0.1647,130,108,Works Clearing Forest Forming Ground surface by Manual - Clearing forest lo,"Quantitativo di stima dei costi di costruzione (TT 12/2021/TT-BXD), Allegato II",sbancamento e preparazione del sito,Lavori di sgombero foresta formando superficie del terreno manualmente - Sgomber
Barge 200 t,Barge 200 t,Equipment,General,ca,0.0,0.0,0.0,0.0,0,EUR,0.0,0.4293,129,95,Works Clearing Forest Forming Ground surface by Manual - Clearing forest lo,"Quantitativo di stima dei costi di costruzione (TT 12/2021/TT-BXD), Allegato II",sbancamento e preparazione del sito,Lavori di sgombero foresta formando superficie del terreno manualmente - Sgomber
Profilo d'acciaio,Profilo d'acciaio,Material,General,kg,0.0,0.0,0.0,0.0,0,EUR,0.0,168.8337,124,124,"Pile driving TRE by Manual - Pile driving tre by manual, chi","Quantitativo di stima dei costi di costruzione (TT 12/2021/TT-BXD), Allegato II",Iniezioni e pali trivellati in opera,"Iniezione di pali TRE manuale - Iniezione di pali TRE manuale, chi"
Cingolato 16 t,Cingolato 16 t,Equipment,General,ca,0.0,0.0,0.0,0.0,0,EUR,0.0,0.0756,107,104,Works Clearing Forest Forming Ground surface by Manual - Clearing forest lo,"Quantitativo di stima dei costi di costruzione (TT 12/2021/TT-BXD), Allegato II",sbancamento e preparazione del sito,Lavori di sgombero foresta formando superficie del terreno manualmente - Sgomber
Palo di fondazione in calcestruzzo,Palo di fondazione in calcestruzzo,Material,General,m,0.0,0.0,0.0,0.0,0,EUR,0.0,101.0,106,106,"Pile driving TRE by Manual - Pile driving tre by manual, chi","Quantitativo di stima dei costi di costruzione (TT 12/2021/TT-BXD), Allegato II",Iniezioni e pali trivellati in opera,"Iniezione di pali TRE manuale - Iniezione di pali TRE manuale, chi"
