resource_code,name,type,category,unit,price_avg,price_min,price_max,price_median,price_variants,currency,avg_cost_per_use,avg_qty_per_use,usage_count,used_in_work_items,parent_category,parent_collection,parent_department,parent_section
労務,労務,Labor,Labor,単位,0.0,0.0,0.0,0.0,0,JPY,0.0,7.1363,3428,3271,Works Clearing Forest Forming Ground surface by Manual - Clearing forest lo,建設工事積算基準（TT 12/2021/TT-BXD）、付録II,用地の伐開および準備,森林伐採、地表整形、手作業による伐採
その他材料,その他材料,Material,General,%,0.0,0.0,0.0,0.0,0,JPY,0.0,3.3051,1880,1880,Works Clearing Forest Forming Ground surface by Manual - Clearing forest lo,建設工事積算基準（TT 12/2021/TT-BXD）、付録II,用地の伐開および準備,森林伐採、地表整形、手作業による伐採
その他機械,その他機械,Equipment,General,%,0.0,0.0,0.0,0.0,0,JPY,0.0,1.6035,1387,1385,Excavation BÙN by Manual - Excavation bùn in mọi điều component - Bùn đặ,建設工事積算基準（TT 12/2021/TT-BXD）、付録II,土工 - 掘削および埋戻し,掘削 泥 手作業による - あらゆる構成要素での泥の掘削 - 泥の堆積
レンガ,レンガ,Material,General,個体,0.0,0.0,0.0,0.0,0,JPY,0.0,222.923,694,694,Masonry Foundation - Masonry foundation - Dimension   ,建設工事積算基準（TT 12/2021/TT-BXD）、付録II,組積工（レンガおよび石材）,石工基礎 - 石工基礎 - 寸法   
ケージ式工事用リフト 3 t,ケージ式工事用リフト 3 t,Equipment,General,ca,0.0,0.0,0.0,0.0,0,JPY,0.0,0.0483,642,642,Masonry Foundation - Masonry foundation - Dimension   ,建設工事積算基準（TT 12/2021/TT-BXD）、付録II,組積工（レンガおよび石材）,石工基礎 - 石工基礎 - 寸法   
モルタル,モルタル,Material,General,m3,0.0,0.0,0.0,0.0,0,JPY,0.0,0.2021,552,551,Masonry Foundation - Masonry foundation - Dimension   ,建設工事積算基準（TT 12/2021/TT-BXD）、付録II,組積工（レンガおよび石材）,石工基礎 - 石工基礎 - 寸法   
モルタルミキサー 150l,モルタルミキサー 150l,Equipment,General,ca,0.0,0.0,0.0,0.0,0,JPY,0.0,0.0265,536,535,Masonry Foundation - Masonry foundation - Dimension   ,建設工事積算基準（TT 12/2021/TT-BXD）、付録II,組積工（レンガおよび石材）,石工基礎 - 石工基礎 - 寸法   
タワークレーン 25 t,タワークレーン 25 t,Equipment,General,ca,0.0,0.0,0.0,0.0,0,JPY,0.0,0.0395,437,437,Masonry Foundation - Masonry foundation - Dimension   ,建設工事積算基準（TT 12/2021/TT-BXD）、付録II,組積工（レンガおよび石材）,石工基礎 - 石工基礎 - 寸法   
溶接棒,溶接棒,Material,General,kg,0.0,0.0,0.0,0.0,0,JPY,0.0,6.7275,377,373,Works Clearing Forest Forming Ground surface by Manual - Clearing forest lo,建設工事積算基準（TT 12/2021/TT-BXD）、付録II,用地の伐開および準備,森林伐採、地表整形、手作業による伐採
溶接機 23 kW,溶接機 23 kW,Equipment,General,ca,0.0,0.0,0.0,0.0,0,JPY,0.0,1.5672,365,361,Works Clearing Forest Forming Ground surface by Manual - Clearing forest lo,建設工事積算基準（TT 12/2021/TT-BXD）、付録II,用地の伐開および準備,森林伐採、地表整形、手作業による伐採
砕石,砕石,Material,General,m3,0.0,0.0,0.0,0.0,0,JPY,0.0,11.2661,359,172,Construction Foundation Graded aggregate Crushed stone - Construction foundation graded aggregate stone dă,建設工事積算基準（TT 12/2021/TT-BXD）、付録II,道路基層および下層路盤,建設基礎等級骨材砕石 - 建設基礎等級骨材石
水,水,Material,General,m3,0.0,0.0,0.0,0.0,0,JPY,0.0,176.0578,312,129,"Pile driving TRE by Manual - Pile driving tre by manual, chi",建設工事積算基準（TT 12/2021/TT-BXD）、付録II,杭工および現場打ち場所打ち杭,杭打ちTRE手動 - 杭打ちTRE手動、チ
丸鋼,丸鋼,Material,General,kg,0.0,0.0,0.0,0.0,0,JPY,0.0,893.7689,289,289,Concrete LÓT Foundation - Concrete lót -    ,建設工事積算基準（TT 12/2021/TT-BXD）、付録II,現場打ちコンクリート,コンクリート基礎敷設 - コンクリート敷設 -    
鉄線,鉄線,Material,General,kg,0.0,0.0,0.0,0.0,0,JPY,0.0,10.5823,288,288,Construction Foundation Graded aggregate Crushed stone - Construction foundation graded aggregate stone dă,建設工事積算基準（TT 12/2021/TT-BXD）、付録II,道路基層および下層路盤,建設基礎等級骨材砕石 - 建設基礎等級骨材石
黄砂,黄砂,Material,General,m3,0.0,0.0,0.0,0.0,0,JPY,0.0,2.8172,287,113,Construction Foundation Graded aggregate Crushed stone - Construction foundation graded aggregate stone dă,建設工事積算基準（TT 12/2021/TT-BXD）、付録II,道路基層および下層路盤,建設基礎等級骨材砕石 - 建設基礎等級骨材石
鉄筋切断曲げ機 5 kW,鉄筋切断曲げ機 5 kW,Equipment,General,ca,0.0,0.0,0.0,0.0,0,JPY,0.0,0.3444,279,279,Concrete LÓT Foundation - Concrete lót -    ,建設工事積算基準（TT 12/2021/TT-BXD）、付録II,現場打ちコンクリート,コンクリート基礎敷設 - コンクリート敷設 -    
セメント,セメント,Material,General,kg,0.0,0.0,0.0,0.0,0,JPY,0.0,273.6026,271,167,"Pile driving TRE by Manual - Pile driving tre by manual, chi",建設工事積算基準（TT 12/2021/TT-BXD）、付録II,杭工および現場打ち場所打ち杭,杭打ちTRE手動 - 杭打ちTRE手動、チ
コンクリートモルタル,コンクリートモルタル,Material,General,m3,0.0,0.0,0.0,0.0,0,JPY,0.0,1.0056,228,228,Construction Foundation Graded aggregate Crushed stone - Construction foundation graded aggregate stone dă,建設工事積算基準（TT 12/2021/TT-BXD）、付録II,道路基層および下層路盤,建設基礎等級骨材砕石 - 建設基礎等級骨材石
タワークレーン 40 t,タワークレーン 40 t,Equipment,General,ca,0.0,0.0,0.0,0.0,0,JPY,0.0,0.0657,214,214,Masonry Foundation - Masonry foundation - Dimension   ,建設工事積算基準（TT 12/2021/TT-BXD）、付録II,組積工（レンガおよび石材）,石工基礎 - 石工基礎 - 寸法   
ブルドーザー 110 cv,ブルドーザー 110 cv,Equipment,General,ca,0.0,0.0,0.0,0.0,0,JPY,0.0,0.0974,204,168,Works Clearing Forest Forming Ground surface by Manual - Clearing forest lo,建設工事積算基準（TT 12/2021/TT-BXD）、付録II,用地の伐開および準備,森林伐採、地表整形、手作業による伐採
軽量コンクリート用組積モルタル,軽量コンクリート用組積モルタル,Material,General,m3,0.0,0.0,0.0,0.0,0,JPY,0.0,0.0453,200,200,Masonry Foundation - Masonry foundation - Dimension   ,建設工事積算基準（TT 12/2021/TT-BXD）、付録II,組積工（レンガおよび石材）,石工基礎 - 石工基礎 - 寸法   
クレーン 25 t,クレーン 25 t,Equipment,General,ca,0.0,0.0,0.0,0.0,0,JPY,0.0,0.6022,171,161,Works Clearing Forest Forming Ground surface by Manual - Clearing forest lo,建設工事積算基準（TT 12/2021/TT-BXD）、付録II,用地の伐開および準備,森林伐採、地表整形、手作業による伐採
"内部振動機 1,5 kW","内部振動機 1,5 kW",Equipment,General,ca,0.0,0.0,0.0,0.0,0,JPY,0.0,0.1566,165,165,Concrete LÓT Foundation - Concrete lót -    ,建設工事積算基準（TT 12/2021/TT-BXD）、付録II,現場打ちコンクリート,コンクリート基礎敷設 - コンクリート敷設 -    
