resource_code,name,type,category,unit,price_avg,price_min,price_max,price_median,price_variants,currency,avg_cost_per_use,avg_qty_per_use,usage_count,used_in_work_items,parent_category,parent_collection,parent_department,parent_section
인력,인력,Labor,Labor,단위,0.0,0.0,0.0,0.0,0,KRW,0.0,7.1363,3428,3271,Works Clearing Forest Forming Ground surface by Manual - Clearing forest lo,"건설공사 예정가격 기준 (TT 12/2021/TT-BXD), 부록 II",부지 정리 및 준비,작업 산림 벌채 지면 형성 수작업 - 산림 벌채
기타 자재,기타 자재,Material,General,%,0.0,0.0,0.0,0.0,0,KRW,0.0,3.3062,1880,1880,Works Clearing Forest Forming Ground surface by Manual - Clearing forest lo,"건설공사 예정가격 기준 (TT 12/2021/TT-BXD), 부록 II",부지 정리 및 준비,작업 산림 벌채 지면 형성 수작업 - 산림 벌채
기타 장비,기타 장비,Equipment,General,%,0.0,0.0,0.0,0.0,0,KRW,0.0,1.6035,1387,1385,Excavation BÙN by Manual - Excavation bùn in mọi điều component - Bùn đặ,"건설공사 예정가격 기준 (TT 12/2021/TT-BXD), 부록 II",토공사 - 굴착 및 성토,수작업 토사 굴착 - 모든 구성 요소에서 토사 굴착 - 토사 퇴적
벽돌,벽돌,Material,General,개별,0.0,0.0,0.0,0.0,0,KRW,0.0,222.7074,702,702,Masonry Foundation - Masonry foundation - Dimension   ,"건설공사 예정가격 기준 (TT 12/2021/TT-BXD), 부록 II",조적공사(벽돌 및 석재),조적 기초 - 조적 기초 - 치수   
케이지 호이스트 3 t,케이지 호이스트 3 t,Equipment,General,ca,0.0,0.0,0.0,0.0,0,KRW,0.0,0.0483,642,642,Masonry Foundation - Masonry foundation - Dimension   ,"건설공사 예정가격 기준 (TT 12/2021/TT-BXD), 부록 II",조적공사(벽돌 및 석재),조적 기초 - 조적 기초 - 치수   
모르타르,모르타르,Material,General,m3,0.0,0.0,0.0,0.0,0,KRW,0.0,0.2021,552,551,Masonry Foundation - Masonry foundation - Dimension   ,"건설공사 예정가격 기준 (TT 12/2021/TT-BXD), 부록 II",조적공사(벽돌 및 석재),조적 기초 - 조적 기초 - 치수   
모르타르 믹서 150l,모르타르 믹서 150l,Equipment,General,ca,0.0,0.0,0.0,0.0,0,KRW,0.0,0.0265,536,535,Masonry Foundation - Masonry foundation - Dimension   ,"건설공사 예정가격 기준 (TT 12/2021/TT-BXD), 부록 II",조적공사(벽돌 및 석재),조적 기초 - 조적 기초 - 치수   
타워크레인 25 t,타워크레인 25 t,Equipment,General,ca,0.0,0.0,0.0,0.0,0,KRW,0.0,0.0395,437,437,Masonry Foundation - Masonry foundation - Dimension   ,"건설공사 예정가격 기준 (TT 12/2021/TT-BXD), 부록 II",조적공사(벽돌 및 석재),조적 기초 - 조적 기초 - 치수   
용접봉,용접봉,Material,General,kg,0.0,0.0,0.0,0.0,0,KRW,0.0,6.7562,375,371,Works Clearing Forest Forming Ground surface by Manual - Clearing forest lo,"건설공사 예정가격 기준 (TT 12/2021/TT-BXD), 부록 II",부지 정리 및 준비,작업 산림 벌채 지면 형성 수작업 - 산림 벌채
용접기 23 kW,용접기 23 kW,Equipment,General,ca,0.0,0.0,0.0,0.0,0,KRW,0.0,1.5672,365,361,Works Clearing Forest Forming Ground surface by Manual - Clearing forest lo,"건설공사 예정가격 기준 (TT 12/2021/TT-BXD), 부록 II",부지 정리 및 준비,작업 산림 벌채 지면 형성 수작업 - 산림 벌채
쇄석,쇄석,Material,General,m3,0.0,0.0,0.0,0.0,0,KRW,0.0,1.9235,314,128,Construction Foundation Graded aggregate Crushed stone - Construction foundation graded aggregate stone dă,"건설공사 예정가격 기준 (TT 12/2021/TT-BXD), 부록 II",도로 기층 및 보조기층,건축 기초 등급 골재 분쇄석 - 건축 기초 등급 골재석
물,물,Material,General,m3,0.0,0.0,0.0,0.0,0,KRW,0.0,176.0578,312,129,"Pile driving TRE by Manual - Pile driving tre by manual, chi","건설공사 예정가격 기준 (TT 12/2021/TT-BXD), 부록 II",말뚝 및 현장타설 천공말뚝,"말뚝 박기 TRE 수동 - 말뚝 박기 tre 수동, chi"
철선,철선,Material,General,kg,0.0,0.0,0.0,0.0,0,KRW,0.0,10.5823,288,288,Construction Foundation Graded aggregate Crushed stone - Construction foundation graded aggregate stone dă,"건설공사 예정가격 기준 (TT 12/2021/TT-BXD), 부록 II",도로 기층 및 보조기층,건축 기초 등급 골재 분쇄석 - 건축 기초 등급 골재석
황사,황사,Material,General,m3,0.0,0.0,0.0,0.0,0,KRW,0.0,2.8172,287,113,Construction Foundation Graded aggregate Crushed stone - Construction foundation graded aggregate stone dă,"건설공사 예정가격 기준 (TT 12/2021/TT-BXD), 부록 II",도로 기층 및 보조기층,건축 기초 등급 골재 분쇄석 - 건축 기초 등급 골재석
원형강,원형강,Material,General,kg,0.0,0.0,0.0,0.0,0,KRW,0.0,896.4384,287,287,Concrete LÓT Foundation - Concrete lót -    ,"건설공사 예정가격 기준 (TT 12/2021/TT-BXD), 부록 II",현장타설 콘크리트,콘크리트 기초 LÓT - 콘크리트 LÓT -    
절단·절곡기 5 kW,절단·절곡기 5 kW,Equipment,General,ca,0.0,0.0,0.0,0.0,0,KRW,0.0,0.3444,279,279,Concrete LÓT Foundation - Concrete lót -    ,"건설공사 예정가격 기준 (TT 12/2021/TT-BXD), 부록 II",현장타설 콘크리트,콘크리트 기초 LÓT - 콘크리트 LÓT -    
시멘트,시멘트,Material,General,kg,0.0,0.0,0.0,0.0,0,KRW,0.0,273.6026,271,167,"Pile driving TRE by Manual - Pile driving tre by manual, chi","건설공사 예정가격 기준 (TT 12/2021/TT-BXD), 부록 II",말뚝 및 현장타설 천공말뚝,"말뚝 박기 TRE 수동 - 말뚝 박기 tre 수동, chi"
콘크리트 모르타르,콘크리트 모르타르,Material,General,m3,0.0,0.0,0.0,0.0,0,KRW,0.0,1.0057,231,231,Construction Foundation Graded aggregate Crushed stone - Construction foundation graded aggregate stone dă,"건설공사 예정가격 기준 (TT 12/2021/TT-BXD), 부록 II",도로 기층 및 보조기층,건축 기초 등급 골재 분쇄석 - 건축 기초 등급 골재석
타워크레인 40 t,타워크레인 40 t,Equipment,General,ca,0.0,0.0,0.0,0.0,0,KRW,0.0,0.0657,214,214,Masonry Foundation - Masonry foundation - Dimension   ,"건설공사 예정가격 기준 (TT 12/2021/TT-BXD), 부록 II",조적공사(벽돌 및 석재),조적 기초 - 조적 기초 - 치수   
