resource_code,name,type,category,unit,price_avg,price_min,price_max,price_median,price_variants,currency,avg_cost_per_use,avg_qty_per_use,usage_count,used_in_work_items,parent_category,parent_collection,parent_department,parent_section
Ажилчдын хөлс,Ажилчдын хөлс,Labor,Labor,нэгж,0.0,0.0,0.0,0.0,0,MNT,0.0,7.1363,3428,3271,Works Clearing Forest Forming Ground surface by Manual - Clearing forest lo,"Баримт бичгийн төсөл тооцооллын норм (TT 12/2021), Хавсралт II",Газрын цэвэрлэгээ ба бэлтгэл,"Ажлын хээр талбайг цэвэрлэх, ойн цэвэрлэгээ гар аргаар - ойн цэвэрлэгээ lo"
Бусад материал,Бусад материал,Material,General,%,0.0,0.0,0.0,0.0,0,MNT,0.0,3.31,1876,1876,Works Clearing Forest Forming Ground surface by Manual - Clearing forest lo,"Баримт бичгийн төсөл тооцооллын норм (TT 12/2021), Хавсралт II",Газрын цэвэрлэгээ ба бэлтгэл,"Ажлын хээр талбайг цэвэрлэх, ойн цэвэрлэгээ гар аргаар - ойн цэвэрлэгээ lo"
Máy khác,Máy khác,Equipment,General,%,0.0,0.0,0.0,0.0,0,MNT,0.0,1.6035,1387,1385,Excavation BÙN by Manual - Excavation bùn in mọi điều component - Bùn đặ,"Баримт бичгийн төсөл тооцооллын норм (TT 12/2021), Хавсралт II",Бульдозерийн ажил - малталт ба дүүргэлт,Гэрийн бункерийн ухалт - Бункерийн ухалт бүх бүрэлдэхүүн хэсэгт - Бункерийн ухал
Гал,Гал,Material,General,шар,0.0,0.0,0.0,0.0,0,MNT,0.0,224.6312,685,685,Masonry Foundation - Masonry foundation - Dimension   ,"Баримт бичгийн төсөл тооцооллын норм (TT 12/2021), Хавсралт II","Машинари (кирпич, чулуу)",Маягт суурь - Маягт суурь - Хэмжээ   
3 t lift crane,3 t lift crane,Equipment,Cranes,ca,0.0,0.0,0.0,0.0,0,MNT,0.0,0.0483,642,642,Masonry Foundation - Masonry foundation - Dimension   ,"Баримт бичгийн төсөл тооцооллын норм (TT 12/2021), Хавсралт II","Машинари (кирпич, чулуу)",Маягт суурь - Маягт суурь - Хэмжээ   
Цементэн хольц,Цементэн хольц,Material,General,m3,0.0,0.0,0.0,0.0,0,MNT,0.0,0.2021,552,551,Masonry Foundation - Masonry foundation - Dimension   ,"Баримт бичгийн төсөл тооцооллын норм (TT 12/2021), Хавсралт II","Машинари (кирпич, чулуу)",Маягт суурь - Маягт суурь - Хэмжээ   
150л зуурагч машин,150л зуурагч машин,Equipment,General,ca,0.0,0.0,0.0,0.0,0,MNT,0.0,0.0265,536,535,Masonry Foundation - Masonry foundation - Dimension   ,"Баримт бичгийн төсөл тооцооллын норм (TT 12/2021), Хавсралт II","Машинари (кирпич, чулуу)",Маягт суурь - Маягт суурь - Хэмжээ   
Цамхагийн краны 25 т,Цамхагийн краны 25 т,Equipment,General,ca,0.0,0.0,0.0,0.0,0,MNT,0.0,0.0395,437,437,Masonry Foundation - Masonry foundation - Dimension   ,"Баримт бичгийн төсөл тооцооллын норм (TT 12/2021), Хавсралт II","Машинари (кирпич, чулуу)",Маягт суурь - Маягт суурь - Хэмжээ   
Тэсэлгээний гагнуур,Тэсэлгээний гагнуур,Material,General,kg,0.0,0.0,0.0,0.0,0,MNT,0.0,6.7562,375,371,Works Clearing Forest Forming Ground surface by Manual - Clearing forest lo,"Баримт бичгийн төсөл тооцооллын норм (TT 12/2021), Хавсралт II",Газрын цэвэрлэгээ ба бэлтгэл,"Ажлын хээр талбайг цэвэрлэх, ойн цэвэрлэгээ гар аргаар - ойн цэвэрлэгээ lo"
Галын халаагуур 23 кВт,Галын халаагуур 23 кВт,Equipment,General,ca,0.0,0.0,0.0,0.0,0,MNT,0.0,1.5672,365,361,Works Clearing Forest Forming Ground surface by Manual - Clearing forest lo,"Баримт бичгийн төсөл тооцооллын норм (TT 12/2021), Хавсралт II",Газрын цэвэрлэгээ ба бэлтгэл,"Ажлын хээр талбайг цэвэрлэх, ойн цэвэрлэгээ гар аргаар - ойн цэвэрлэгээ lo"
Ус,Ус,Material,General,m3,0.0,0.0,0.0,0.0,0,MNT,0.0,176.0578,312,129,"Pile driving TRE by Manual - Pile driving tre by manual, chi","Баримт бичгийн төсөл тооцооллын норм (TT 12/2021), Хавсралт II",Шахагулт ба суурийн шахагуур суулгах цутгамал шахагуур,"Буржуулах TRE гүйцэтгэл гарын авлага - Буржуулах TRE гарын авлага, chi"
Дăm чулуу,Дăm чулуу,Material,General,m3,0.0,0.0,0.0,0.0,0,MNT,0.0,1.9415,311,125,Construction Foundation Graded aggregate Crushed stone - Construction foundation graded aggregate stone dă,"Баримт бичгийн төсөл тооцооллын норм (TT 12/2021), Хавсралт II",Давхар суурь ба суурийн доод давхар,Барилгын суурь ангилагдсан хагас дайрга буталсан чулуу - Барилгын суурь ангилагд
