resource_code,name,type,category,unit,price_avg,price_min,price_max,price_median,price_variants,currency,avg_cost_per_use,avg_qty_per_use,usage_count,used_in_work_items,parent_category,parent_collection,parent_department,parent_section
Mano de obra,Mano de obra,Labor,Labor,unidad,0.0,0.0,0.0,0.0,0,MXN,0.0,7.1363,3428,3271,Works Clearing Forest Forming Ground surface by Manual - Clearing forest lo,"Normativa de presupuesto para la construcción (TT 12/2021), Anexo II",Despeje y preparación del sitio,Trabajos de limpieza de bosques formando superficie de tierra a mano - Limpieza 
Otros materiales,Otros materiales,Material,General,%,0.0,0.0,0.0,0.0,0,MXN,0.0,3.31,1876,1876,Works Clearing Forest Forming Ground surface by Manual - Clearing forest lo,"Normativa de presupuesto para la construcción (TT 12/2021), Anexo II",Despeje y preparación del sitio,Trabajos de limpieza de bosques formando superficie de tierra a mano - Limpieza 
Otra maquinaria,Otra maquinaria,Equipment,General,%,0.0,0.0,0.0,0.0,0,MXN,0.0,1.6035,1387,1385,Excavation BÙN by Manual - Excavation bùn in mọi điều component - Bùn đặ,"Normativa de presupuesto para la construcción (TT 12/2021), Anexo II",Movimiento de tierra - excavación y relleno,Excavación de BARRO por manual - Excavación de barro en todos los componentes - 
Ladrillo,Ladrillo,Material,General,unidad,0.0,0.0,0.0,0.0,0,MXN,0.0,224.6312,685,685,Masonry Foundation - Masonry foundation - Dimension   ,"Normativa de presupuesto para la construcción (TT 12/2021), Anexo II",Mampostería (ladrillo y piedra),Fundación de albañilería - Fundación de albañilería - Dimensión   
Montacargas de 3 t,Montacargas de 3 t,Equipment,General,ca,0.0,0.0,0.0,0.0,0,MXN,0.0,0.0478,654,654,Masonry Foundation - Masonry foundation - Dimension   ,"Normativa de presupuesto para la construcción (TT 12/2021), Anexo II",Mampostería (ladrillo y piedra),Fundación de albañilería - Fundación de albañilería - Dimensión   
mortero,mortero,Material,General,m3,0.0,0.0,0.0,0.0,0,MXN,0.0,0.2021,552,551,Masonry Foundation - Masonry foundation - Dimension   ,"Normativa de presupuesto para la construcción (TT 12/2021), Anexo II",Mampostería (ladrillo y piedra),Fundación de albañilería - Fundación de albañilería - Dimensión   
Mezcladora de mortero 150l,Mezcladora de mortero 150l,Equipment,General,ca,0.0,0.0,0.0,0.0,0,MXN,0.0,0.0265,540,539,Masonry Foundation - Masonry foundation - Dimension   ,"Normativa de presupuesto para la construcción (TT 12/2021), Anexo II",Mampostería (ladrillo y piedra),Fundación de albañilería - Fundación de albañilería - Dimensión   
Grúa torre 25 t,Grúa torre 25 t,Equipment,General,ca,0.0,0.0,0.0,0.0,0,MXN,0.0,0.0395,437,437,Masonry Foundation - Masonry foundation - Dimension   ,"Normativa de presupuesto para la construcción (TT 12/2021), Anexo II",Mampostería (ladrillo y piedra),Fundación de albañilería - Fundación de albañilería - Dimensión   
Soldadura,Soldadura,Material,General,kg,0.0,0.0,0.0,0.0,0,MXN,0.0,6.7562,375,371,Works Clearing Forest Forming Ground surface by Manual - Clearing forest lo,"Normativa de presupuesto para la construcción (TT 12/2021), Anexo II",Despeje y preparación del sitio,Trabajos de limpieza de bosques formando superficie de tierra a mano - Limpieza 
Soldadora 23 kW,Soldadora 23 kW,Equipment,General,ca,0.0,0.0,0.0,0.0,0,MXN,0.0,1.5672,365,361,Works Clearing Forest Forming Ground surface by Manual - Clearing forest lo,"Normativa de presupuesto para la construcción (TT 12/2021), Anexo II",Despeje y preparación del sitio,Trabajos de limpieza de bosques formando superficie de tierra a mano - Limpieza 
Roca triturada,Roca triturada,Material,General,m3,0.0,0.0,0.0,0.0,0,MXN,0.0,4.6542,324,138,Construction Foundation Graded aggregate Crushed stone - Construction foundation graded aggregate stone dă,"Normativa de presupuesto para la construcción (TT 12/2021), Anexo II",Capa de base y subbase de carreteras,Cimiento de construcción agregado triturado agregado de piedra - agregado de pie
Agua,Agua,Material,General,m3,0.0,0.0,0.0,0.0,0,MXN,0.0,176.0578,312,129,"Pile driving TRE by Manual - Pile driving tre by manual, chi","Normativa de presupuesto para la construcción (TT 12/2021), Anexo II",pilotes y pilotes perforados en sitio con forjado,"Perforación de pilotes TRE manual - Perforación de pilotes TRE manual, chi"
Cuerda de acero,Cuerda de acero,Material,General,kg,0.0,0.0,0.0,0.0,0,MXN,0.0,10.5823,288,288,Construction Foundation Graded aggregate Crushed stone - Construction foundation graded aggregate stone dă,"Normativa de presupuesto para la construcción (TT 12/2021), Anexo II",Capa de base y subbase de carreteras,Cimiento de construcción agregado triturado agregado de piedra - agregado de pie
Arena de arena dorada,Arena de arena dorada,Material,General,m3,0.0,0.0,0.0,0.0,0,MXN,0.0,2.8172,287,113,Construction Foundation Graded aggregate Crushed stone - Construction foundation graded aggregate stone dă,"Normativa de presupuesto para la construcción (TT 12/2021), Anexo II",Capa de base y subbase de carreteras,Cimiento de construcción agregado triturado agregado de piedra - agregado de pie
Acero de refuerzo de barras redondas,Acero de refuerzo de barras redondas,Material,General,kg,0.0,0.0,0.0,0.0,0,MXN,0.0,896.4384,287,287,Concrete LÓT Foundation - Concrete lót -    ,"Normativa de presupuesto para la construcción (TT 12/2021), Anexo II",Hormigón in situ,Cimentación de la base de LÓT - Cimentación de la base -    
Cortadora y dobladora de 5 kW,Cortadora y dobladora de 5 kW,Equipment,General,ca,0.0,0.0,0.0,0.0,0,MXN,0.0,0.3444,279,279,Concrete LÓT Foundation - Concrete lót -    ,"Normativa de presupuesto para la construcción (TT 12/2021), Anexo II",Hormigón in situ,Cimentación de la base de LÓT - Cimentación de la base -    
