resource_code,name,type,category,unit,price_avg,price_min,price_max,price_median,price_variants,currency,avg_cost_per_use,avg_qty_per_use,usage_count,used_in_work_items,parent_category,parent_collection,parent_department,parent_section
Arbeidskracht,Arbeidskracht,Labor,Labor,eenheid,0.0,0.0,0.0,0.0,0,EUR,0.0,7.1363,3428,3271,Works Clearing Forest Forming Ground surface by Manual - Clearing forest lo,"Constructiebegrotingspecificatie (TT 12/2021), Bijlage II",Site clearing and preparation,Werkzaamheden voor het vrijmaken van bosgrond door handmatig - bos verwijderen l
Overige materialen,Overige materialen,Material,General,%,0.0,0.0,0.0,0.0,0,EUR,0.0,3.3021,1882,1882,Works Clearing Forest Forming Ground surface by Manual - Clearing forest lo,"Constructiebegrotingspecificatie (TT 12/2021), Bijlage II",Site clearing and preparation,Werkzaamheden voor het vrijmaken van bosgrond door handmatig - bos verwijderen l
Andere machine,Andere machine,Equipment,General,%,0.0,0.0,0.0,0.0,0,EUR,0.0,1.6035,1387,1385,Excavation BÙN by Manual - Excavation bùn in mọi điều component - Bùn đặ,"Constructiebegrotingspecificatie (TT 12/2021), Bijlage II",Grondwerk - graven en ophogen,Handmatige BUN Grondwerk - Grondwerk BUN in alle componenten - BUN aangewezen
Baksteen,Baksteen,Material,General,stuks,0.0,0.0,0.0,0.0,0,EUR,0.0,224.6312,685,685,Masonry Foundation - Masonry foundation - Dimension   ,"Constructiebegrotingspecificatie (TT 12/2021), Bijlage II",metselwerk (baksteen en steen),Fundering metselwerk - Fundering metselwerk - Afmeting   
Hijskraan 3 t,Hijskraan 3 t,Equipment,General,ca,0.0,0.0,0.0,0.0,0,EUR,0.0,0.0478,654,654,Masonry Foundation - Masonry foundation - Dimension   ,"Constructiebegrotingspecificatie (TT 12/2021), Bijlage II",metselwerk (baksteen en steen),Fundering metselwerk - Fundering metselwerk - Afmeting   
mortel,mortel,Material,General,m3,0.0,0.0,0.0,0.0,0,EUR,0.0,0.2021,552,551,Masonry Foundation - Masonry foundation - Dimension   ,"Constructiebegrotingspecificatie (TT 12/2021), Bijlage II",metselwerk (baksteen en steen),Fundering metselwerk - Fundering metselwerk - Afmeting   
Mengmachine 150l,Mengmachine 150l,Equipment,General,ca,0.0,0.0,0.0,0.0,0,EUR,0.0,0.0265,536,535,Masonry Foundation - Masonry foundation - Dimension   ,"Constructiebegrotingspecificatie (TT 12/2021), Bijlage II",metselwerk (baksteen en steen),Fundering metselwerk - Fundering metselwerk - Afmeting   
25 t torenkraan,25 t torenkraan,Equipment,General,ca,0.0,0.0,0.0,0.0,0,EUR,0.0,0.0395,437,437,Masonry Foundation - Masonry foundation - Dimension   ,"Constructiebegrotingspecificatie (TT 12/2021), Bijlage II",metselwerk (baksteen en steen),Fundering metselwerk - Fundering metselwerk - Afmeting   
Lassen,Lassen,Material,General,kg,0.0,0.0,0.0,0.0,0,EUR,0.0,6.7562,375,371,Works Clearing Forest Forming Ground surface by Manual - Clearing forest lo,"Constructiebegrotingspecificatie (TT 12/2021), Bijlage II",Site clearing and preparation,Werkzaamheden voor het vrijmaken van bosgrond door handmatig - bos verwijderen l
Lasmachine 23 kW,Lasmachine 23 kW,Equipment,General,ca,0.0,0.0,0.0,0.0,0,EUR,0.0,1.5672,365,361,Works Clearing Forest Forming Ground surface by Manual - Clearing forest lo,"Constructiebegrotingspecificatie (TT 12/2021), Bijlage II",Site clearing and preparation,Werkzaamheden voor het vrijmaken van bosgrond door handmatig - bos verwijderen l
Grindsteen,Grindsteen,Material,General,m3,0.0,0.0,0.0,0.0,0,EUR,0.0,1.9235,314,128,Construction Foundation Graded aggregate Crushed stone - Construction foundation graded aggregate stone dă,"Constructiebegrotingspecificatie (TT 12/2021), Bijlage II",Fundering en onderfundering,Fundering Constructie Gekorreleerd aggregaat Gebroken steen - Gekorreleerd aggre
