resource_code,name,type,category,unit,price_avg,price_min,price_max,price_median,price_variants,currency,avg_cost_per_use,avg_qty_per_use,usage_count,used_in_work_items,parent_category,parent_collection,parent_department,parent_section
Praca ręczna,Praca ręczna,Labor,Labor,jednostka,0.0,0.0,0.0,0.0,0,PLN,0.0,7.1363,3428,3271,Works Clearing Forest Forming Ground surface by Manual - Clearing forest lo,"Dopuszczalny zakres kosztów budowy obiektu (TT 12/2021), Załącznik II",Wykonanie wykopu i przygotowanie terenu,Roboty usuwania lasu Formowanie powierzchni terenu ręcznie - wycinka lasu lo
Inne materiały,Inne materiały,Material,General,%,0.0,0.0,0.0,0.0,0,PLN,0.0,3.3021,1882,1882,Works Clearing Forest Forming Ground surface by Manual - Clearing forest lo,"Dopuszczalny zakres kosztów budowy obiektu (TT 12/2021), Załącznik II",Wykonanie wykopu i przygotowanie terenu,Roboty usuwania lasu Formowanie powierzchni terenu ręcznie - wycinka lasu lo
Inne maszyny,Inne maszyny,Equipment,General,%,0.0,0.0,0.0,0.0,0,PLN,0.0,1.6035,1387,1385,Excavation BÙN by Manual - Excavation bùn in mọi điều component - Bùn đặ,"Dopuszczalny zakres kosztów budowy obiektu (TT 12/2021), Załącznik II",Roboty ziemne - wykopy i zasypy,Wykop podłoża BŁOTO ręcznie - wykop błota we wszystkich elementach - Błoto specj
Cegła,Cegła,Material,General,sztuka,0.0,0.0,0.0,0.0,0,PLN,0.0,224.6312,685,685,Masonry Foundation - Masonry foundation - Dimension   ,"Dopuszczalny zakres kosztów budowy obiektu (TT 12/2021), Załącznik II",Muratorstwo (cegła i kamień),Fundament murowany - fundament murowany - Wymiar   
Podnośnik ramowy 3 t,Podnośnik ramowy 3 t,Equipment,General,ca,0.0,0.0,0.0,0.0,0,PLN,0.0,0.0483,642,642,Masonry Foundation - Masonry foundation - Dimension   ,"Dopuszczalny zakres kosztów budowy obiektu (TT 12/2021), Załącznik II",Muratorstwo (cegła i kamień),Fundament murowany - fundament murowany - Wymiar   
Zaprawa,Zaprawa,Material,General,m3,0.0,0.0,0.0,0.0,0,PLN,0.0,0.2021,552,551,Masonry Foundation - Masonry foundation - Dimension   ,"Dopuszczalny zakres kosztów budowy obiektu (TT 12/2021), Załącznik II",Muratorstwo (cegła i kamień),Fundament murowany - fundament murowany - Wymiar   
Mieszadło do zaprawy 150l,Mieszadło do zaprawy 150l,Equipment,General,ca,0.0,0.0,0.0,0.0,0,PLN,0.0,0.0265,540,539,Masonry Foundation - Masonry foundation - Dimension   ,"Dopuszczalny zakres kosztów budowy obiektu (TT 12/2021), Załącznik II",Muratorstwo (cegła i kamień),Fundament murowany - fundament murowany - Wymiar   
Dźwig wieżowy 25 t,Dźwig wieżowy 25 t,Equipment,General,ca,0.0,0.0,0.0,0.0,0,PLN,0.0,0.0395,437,437,Masonry Foundation - Masonry foundation - Dimension   ,"Dopuszczalny zakres kosztów budowy obiektu (TT 12/2021), Załącznik II",Muratorstwo (cegła i kamień),Fundament murowany - fundament murowany - Wymiar   
Spawanie,Spawanie,Material,General,kg,0.0,0.0,0.0,0.0,0,PLN,0.0,6.7562,375,371,Works Clearing Forest Forming Ground surface by Manual - Clearing forest lo,"Dopuszczalny zakres kosztów budowy obiektu (TT 12/2021), Załącznik II",Wykonanie wykopu i przygotowanie terenu,Roboty usuwania lasu Formowanie powierzchni terenu ręcznie - wycinka lasu lo
Spawarka 23 kW,Spawarka 23 kW,Equipment,General,ca,0.0,0.0,0.0,0.0,0,PLN,0.0,1.5672,365,361,Works Clearing Forest Forming Ground surface by Manual - Clearing forest lo,"Dopuszczalny zakres kosztów budowy obiektu (TT 12/2021), Załącznik II",Wykonanie wykopu i przygotowanie terenu,Roboty usuwania lasu Formowanie powierzchni terenu ręcznie - wycinka lasu lo
Woda,Woda,Material,General,m3,0.0,0.0,0.0,0.0,0,PLN,0.0,176.0578,312,129,"Pile driving TRE by Manual - Pile driving tre by manual, chi","Dopuszczalny zakres kosztów budowy obiektu (TT 12/2021), Załącznik II",Płyty i pale wiercone na miejscu,"Wiercenie pali TRE ręcznie - wiercenie pali ręcznie, chi"
kruszywo kamienne,kruszywo kamienne,Material,General,m3,0.0,0.0,0.0,0.0,0,PLN,0.0,1.9415,311,125,Construction Foundation Graded aggregate Crushed stone - Construction foundation graded aggregate stone dă,"Dopuszczalny zakres kosztów budowy obiektu (TT 12/2021), Załącznik II",Podbudowa i podkład podbudowy,Podbudowa z kruszonego kamienia - Podbudowa z kruszonego kamienia o uziarnieniu 
Pręt stalowy okrągły,Pręt stalowy okrągły,Material,General,kg,0.0,0.0,0.0,0.0,0,PLN,0.0,897.6649,290,290,Concrete LÓT Foundation - Concrete lót -    ,"Dopuszczalny zakres kosztów budowy obiektu (TT 12/2021), Załącznik II",Beton wylewany na miejscu,Fundament betonowy LÓT - Beton lót -    
Drut stalowy,Drut stalowy,Material,General,kg,0.0,0.0,0.0,0.0,0,PLN,0.0,10.5823,288,288,Construction Foundation Graded aggregate Crushed stone - Construction foundation graded aggregate stone dă,"Dopuszczalny zakres kosztów budowy obiektu (TT 12/2021), Załącznik II",Podbudowa i podkład podbudowy,Podbudowa z kruszonego kamienia - Podbudowa z kruszonego kamienia o uziarnieniu 
Żółty piasek,Żółty piasek,Material,General,m3,0.0,0.0,0.0,0.0,0,PLN,0.0,2.8172,287,113,Construction Foundation Graded aggregate Crushed stone - Construction foundation graded aggregate stone dă,"Dopuszczalny zakres kosztów budowy obiektu (TT 12/2021), Załącznik II",Podbudowa i podkład podbudowy,Podbudowa z kruszonego kamienia - Podbudowa z kruszonego kamienia o uziarnieniu 
Maszyna do cięcia i gięcia 5 kW,Maszyna do cięcia i gięcia 5 kW,Equipment,General,ca,0.0,0.0,0.0,0.0,0,PLN,0.0,0.3444,279,279,Concrete LÓT Foundation - Concrete lót -    ,"Dopuszczalny zakres kosztów budowy obiektu (TT 12/2021), Załącznik II",Beton wylewany na miejscu,Fundament betonowy LÓT - Beton lót -    
Cement,Cement,Material,Concrete & Cement,kg,0.0,0.0,0.0,0.0,0,PLN,0.0,273.6026,271,167,"Pile driving TRE by Manual - Pile driving tre by manual, chi","Dopuszczalny zakres kosztów budowy obiektu (TT 12/2021), Załącznik II",Płyty i pale wiercone na miejscu,"Wiercenie pali TRE ręcznie - wiercenie pali ręcznie, chi"
Cementowa zaprawa betonowa,Cementowa zaprawa betonowa,Material,Concrete & Cement,m3,0.0,0.0,0.0,0.0,0,PLN,0.0,1.0056,228,228,Construction Foundation Graded aggregate Crushed stone - Construction foundation graded aggregate stone dă,"Dopuszczalny zakres kosztów budowy obiektu (TT 12/2021), Załącznik II",Podbudowa i podkład podbudowy,Podbudowa z kruszonego kamienia - Podbudowa z kruszonego kamienia o uziarnieniu 
Dźwig wieżowy 40 t,Dźwig wieżowy 40 t,Equipment,General,ca,0.0,0.0,0.0,0.0,0,PLN,0.0,0.0657,214,214,Masonry Foundation - Masonry foundation - Dimension   ,"Dopuszczalny zakres kosztów budowy obiektu (TT 12/2021), Załącznik II",Muratorstwo (cegła i kamień),Fundament murowany - fundament murowany - Wymiar   
Ładowarka 110 kW,Ładowarka 110 kW,Equipment,General,ca,0.0,0.0,0.0,0.0,0,PLN,0.0,0.0966,210,174,Works Clearing Forest Forming Ground surface by Manual - Clearing forest lo,"Dopuszczalny zakres kosztów budowy obiektu (TT 12/2021), Załącznik II",Wykonanie wykopu i przygotowanie terenu,Roboty usuwania lasu Formowanie powierzchni terenu ręcznie - wycinka lasu lo
Zaprawa do lekkiego betonu,Zaprawa do lekkiego betonu,Material,General,m3,0.0,0.0,0.0,0.0,0,PLN,0.0,0.0453,200,200,Masonry Foundation - Masonry foundation - Dimension   ,"Dopuszczalny zakres kosztów budowy obiektu (TT 12/2021), Załącznik II",Muratorstwo (cegła i kamień),Fundament murowany - fundament murowany - Wymiar   
Dźwig 25 t,Dźwig 25 t,Equipment,General,ca,0.0,0.0,0.0,0.0,0,PLN,0.0,0.5597,195,185,Works Clearing Forest Forming Ground surface by Manual - Clearing forest lo,"Dopuszczalny zakres kosztów budowy obiektu (TT 12/2021), Załącznik II",Wykonanie wykopu i przygotowanie terenu,Roboty usuwania lasu Formowanie powierzchni terenu ręcznie - wycinka lasu lo
"Wibrator 1,5 kW","Wibrator 1,5 kW",Equipment,General,ca,0.0,0.0,0.0,0.0,0,PLN,0.0,0.1566,165,165,Concrete LÓT Foundation - Concrete lót -    ,"Dopuszczalny zakres kosztów budowy obiektu (TT 12/2021), Załącznik II",Beton wylewany na miejscu,Fundament betonowy LÓT - Beton lót -    
wydatki,wydatki,Material,General,jednostka,0.0,0.0,0.0,0.0,0,PLN,0.0,131.219,133,128,Excavation BÙN by Manual - Excavation bùn in mọi điều component - Bùn đặ,"Dopuszczalny zakres kosztów budowy obiektu (TT 12/2021), Załącznik II",Roboty ziemne - wykopy i zasypy,Wykop podłoża BŁOTO ręcznie - wykop błota we wszystkich elementach - Błoto specj
Tug 150 KM,Tug 150 KM,Equipment,General,ca,0.0,0.0,0.0,0.0,0,PLN,0.0,0.1647,130,108,Works Clearing Forest Forming Ground surface by Manual - Clearing forest lo,"Dopuszczalny zakres kosztów budowy obiektu (TT 12/2021), Załącznik II",Wykonanie wykopu i przygotowanie terenu,Roboty usuwania lasu Formowanie powierzchni terenu ręcznie - wycinka lasu lo
Łódź 200 t,Łódź 200 t,Equipment,General,ca,0.0,0.0,0.0,0.0,0,PLN,0.0,0.4293,129,95,Works Clearing Forest Forming Ground surface by Manual - Clearing forest lo,"Dopuszczalny zakres kosztów budowy obiektu (TT 12/2021), Załącznik II",Wykonanie wykopu i przygotowanie terenu,Roboty usuwania lasu Formowanie powierzchni terenu ręcznie - wycinka lasu lo
Profil stalowy,Profil stalowy,Material,General,kg,0.0,0.0,0.0,0.0,0,PLN,0.0,171.6898,126,126,"Pile driving TRE by Manual - Pile driving tre by manual, chi","Dopuszczalny zakres kosztów budowy obiektu (TT 12/2021), Załącznik II",Płyty i pale wiercone na miejscu,"Wiercenie pali TRE ręcznie - wiercenie pali ręcznie, chi"
Dźwig 16 t,Dźwig 16 t,Equipment,General,ca,0.0,0.0,0.0,0.0,0,PLN,0.0,0.0756,107,104,Works Clearing Forest Forming Ground surface by Manual - Clearing forest lo,"Dopuszczalny zakres kosztów budowy obiektu (TT 12/2021), Załącznik II",Wykonanie wykopu i przygotowanie terenu,Roboty usuwania lasu Formowanie powierzchni terenu ręcznie - wycinka lasu lo
Ciąg betonowy,Ciąg betonowy,Material,General,m,0.0,0.0,0.0,0.0,0,PLN,0.0,101.0,106,106,"Pile driving TRE by Manual - Pile driving tre by manual, chi","Dopuszczalny zakres kosztów budowy obiektu (TT 12/2021), Załącznik II",Płyty i pale wiercone na miejscu,"Wiercenie pali TRE ręcznie - wiercenie pali ręcznie, chi"
400 t,400 t,Equipment,General,ca,0.0,0.0,0.0,0.0,0,PLN,0.0,0.452,103,81,Excavation BÙN by Manual - Excavation bùn in mọi điều component - Bùn đặ,"Dopuszczalny zakres kosztów budowy obiektu (TT 12/2021), Załącznik II",Roboty ziemne - wykopy i zasypy,Wykop podłoża BŁOTO ręcznie - wykop błota we wszystkich elementach - Błoto specj
Dźwig 10 t,Dźwig 10 t,Equipment,General,ca,0.0,0.0,0.0,0.0,0,PLN,0.0,0.8519,92,80,"Pile driving TRE by Manual - Pile driving tre by manual, chi","Dopuszczalny zakres kosztów budowy obiektu (TT 12/2021), Załącznik II",Płyty i pale wiercone na miejscu,"Wiercenie pali TRE ręcznie - wiercenie pali ręcznie, chi"
Dynamit,Dynamit,Material,General,m,0.0,0.0,0.0,0.0,0,PLN,0.0,306.405,91,91,Excavation BÙN by Manual - Excavation bùn in mọi điều component - Bùn đặ,"Dopuszczalny zakres kosztów budowy obiektu (TT 12/2021), Załącznik II",Roboty ziemne - wykopy i zasypy,Wykop podłoża BŁOTO ręcznie - wykop błota we wszystkich elementach - Błoto specj
Blacha stalowa,Blacha stalowa,Material,General,kg,0.0,0.0,0.0,0.0,0,PLN,0.0,380.8888,87,87,"Pile driving TRE by Manual - Pile driving tre by manual, chi","Dopuszczalny zakres kosztów budowy obiektu (TT 12/2021), Załącznik II",Płyty i pale wiercone na miejscu,"Wiercenie pali TRE ręcznie - wiercenie pali ręcznie, chi"
Gaz,Gaz,Material,General,kg,0.0,0.0,0.0,0.0,0,PLN,0.0,2.6456,81,81,Construction Foundation Graded aggregate Crushed stone - Construction foundation graded aggregate stone dă,"Dopuszczalny zakres kosztów budowy obiektu (TT 12/2021), Załącznik II",Podbudowa i podkład podbudowy,Podbudowa z kruszonego kamienia - Podbudowa z kruszonego kamienia o uziarnieniu 
Materiały inne %,Materiały inne %,Material,General,,0.0,0.0,0.0,0.0,0,PLN,0.0,2.4247,77,77,Construction Foundation Graded aggregate Crushed stone - Construction foundation graded aggregate stone dă,"Dopuszczalny zakres kosztów budowy obiektu (TT 12/2021), Załącznik II",Podbudowa i podkład podbudowy,Podbudowa z kruszonego kamienia - Podbudowa z kruszonego kamienia o uziarnieniu 
Dźwig 40 t,Dźwig 40 t,Equipment,General,ca,0.0,0.0,0.0,0.0,0,PLN,0.0,0.0397,77,77,Concrete LÓT Foundation - Concrete lót -    ,"Dopuszczalny zakres kosztów budowy obiektu (TT 12/2021), Załącznik II",Beton wylewany na miejscu,Fundament betonowy LÓT - Beton lót -    
Wiertło 42mm,Wiertło 42mm,Material,General,cái,0.0,0.0,0.0,0.0,0,PLN,0.0,7.8,68,68,Excavation BÙN by Manual - Excavation bùn in mọi điều component - Bùn đặ,"Dopuszczalny zakres kosztów budowy obiektu (TT 12/2021), Załącznik II",Roboty ziemne - wykopy i zasypy,Wykop podłoża BŁOTO ręcznie - wykop błota we wszystkich elementach - Błoto specj
Oksygen,Oksygen,Material,General,chai,0.0,0.0,0.0,0.0,0,PLN,0.0,1.3599,63,63,"Concrete Pile, Column, Pile CỪ - Concrete pile, - Pile, column","Dopuszczalny zakres kosztów budowy obiektu (TT 12/2021), Załącznik II","Żelbetowe słupy, kolumny i elementy prefabrykowane","Ciąg, kolumna, CỪ - ciąg, kolumna"
Słup wsporczy z rur stalowych,Słup wsporczy z rur stalowych,Material,General,kg,0.0,0.0,0.0,0.0,0,PLN,0.0,31.2835,63,63,Concrete LÓT Foundation - Concrete lót -    ,"Dopuszczalny zakres kosztów budowy obiektu (TT 12/2021), Załącznik II",Beton wylewany na miejscu,Fundament betonowy LÓT - Beton lót -    
Wiertło diamentowe,Wiertło diamentowe,Material,General,cái,0.0,0.0,0.0,0.0,0,PLN,0.0,0.734,60,60,"Pile driving TRE by Manual - Pile driving tre by manual, chi","Dopuszczalny zakres kosztów budowy obiektu (TT 12/2021), Załącznik II",Płyty i pale wiercone na miejscu,"Wiercenie pali TRE ręcznie - wiercenie pali ręcznie, chi"
